Itration,Reward Loss,Running Update Time,Running Reverse KL,Running Env Steps,Real Sto Return,Running Forward KL,Real Det Return
0,7.825761795043945,0,11.4113,0,-237.9,158.541,-17.18
1,-43.36753463745117,1,12.3308,5000,-102.41,158.5856,-80.8
2,-95.68441009521484,2,12.6412,10000,158.76,158.3678,756.63
3,-163.8242950439453,3,13.5908,15000,404.63,158.2419,794.02
4,-202.58262634277344,4,13.9097,20000,610.37,157.9479,1018.55
5,-256.3305969238281,5,14.0362,25000,608.16,157.8333,1046.69
6,-305.5279235839844,6,13.918,30000,650.95,157.9414,1047.33
7,-360.79150390625,7,14.518,35000,721.45,158.2,1152.96
8,-391.8517150878906,8,14.7162,40000,815.7,158.0989,1212.88
9,-430.8038330078125,9,15.3282,45000,927.05,157.9948,1305.15
10,-478.4873352050781,10,15.7481,50000,976.52,158.1574,1391.31
11,-520.595458984375,11,16.1151,55000,971.63,158.4774,1335.15
12,-545.1704711914062,12,16.4234,60000,1107.8,158.2236,1532.15
13,-589.6122436523438,13,16.6838,65000,1119.82,158.3289,1532.84
14,-628.0657348632812,14,16.4403,70000,1179.56,158.0007,1493.33
15,-649.5546264648438,15,16.6385,75000,1232.49,157.9811,1610.31
16,-694.0230102539062,16,16.6858,80000,1260.18,157.7773,1470.86
17,-748.8695678710938,17,16.912,85000,1325.99,157.9444,1773.13
18,-779.4071044921875,18,16.3787,90000,1298.5,157.8006,1714.91
19,-813.8775634765625,19,16.7812,95000,1321.46,157.7026,1730.32
20,-849.0394287109375,20,16.6967,100000,1370.38,157.9556,1772.25
21,-866.8447265625,21,16.5676,105000,1459.72,157.7306,1837.97
22,-924.7451171875,22,16.3224,110000,1394.28,157.8249,1776.4
23,-948.4967041015625,23,16.8646,115000,1454.33,157.7583,1881.06
24,-1005.2955322265625,24,16.2769,120000,1464.86,157.8986,1834.74
25,-1026.9813232421875,25,16.688,125000,1576.97,157.5036,1938.86
26,-1094.5986328125,26,16.5934,130000,1512.98,157.6797,1885.49
27,-1107.341552734375,27,16.5293,135000,1522.5,157.7856,1860.63
28,-1140.964599609375,28,16.7244,140000,1562.7,157.8575,1925.31
29,-1187.24560546875,29,16.3392,145000,1425.2,157.7664,1827.35
30,-1222.49658203125,30,17.0012,150000,1511.44,158.1406,1896.89
31,-1259.9559326171875,31,16.6373,155000,1555.62,157.7246,1908.85
32,-1273.4532470703125,32,16.5102,160000,1586.37,157.6781,1962.79
33,-1340.0283203125,33,16.2953,165000,1575.54,157.7595,1923.69
34,-1360.9462890625,34,16.5535,170000,1617.71,157.4081,1971.04
