Real Sto Return,Reward Loss,Running Update Time,Running Reverse KL,Itration,Running Forward KL,Running Env Steps,Real Det Return
214.27,-147.4097137451172,0,17.8228,0,33.2676,0,211.45
227.57,259.5747375488281,1,21.1326,1,32.8126,5000,229.92
229.88,278.3756103515625,2,24.5139,2,33.066,10000,229.05
230.78,129.418212890625,3,20.135,3,32.8913,15000,229.87
235.02,-235.7180938720703,4,16.8641,4,32.5521,20000,236.55
265.66,-237.95802307128906,5,16.6289,5,32.3881,25000,269.14
282.66,-298.43353271484375,6,17.9422,6,32.1885,30000,278.98
285.18,-397.47412109375,7,15.0812,7,31.9392,35000,282.2
303.55,-456.4136657714844,8,19.47,8,32.4789,40000,303.0
310.34,-464.8088073730469,9,20.0852,9,32.0047,45000,311.75
286.73,-459.33978271484375,10,20.489,10,30.673,50000,324.1
313.73,-556.9351806640625,11,20.8703,11,31.1453,55000,316.34
329.58,-640.1265869140625,12,22.8584,12,31.5691,60000,325.05
330.09,-620.5756225585938,13,23.0744,13,31.6288,65000,329.58
329.55,-632.9524536132812,14,21.5553,14,30.4686,70000,329.66
339.17,-715.924072265625,15,22.0346,15,31.1798,75000,341.71
343.8,-731.6951904296875,16,20.6188,16,31.1643,80000,348.7
353.66,-786.3673095703125,17,20.1068,17,30.5185,85000,356.26
372.0,-797.7698364257812,18,20.7177,18,29.802,90000,372.69
392.34,-862.9457397460938,19,19.9441,19,29.9644,95000,395.16
393.42,-870.746337890625,20,19.3978,20,30.3655,100000,397.93
414.0,-911.8033447265625,21,20.934,21,31.5262,105000,415.34
443.3,-980.32080078125,22,24.3466,22,29.7318,110000,457.41
447.73,-1056.8575439453125,23,28.0706,23,30.2313,115000,449.76
406.65,-1098.0340576171875,24,30.6119,24,31.5152,120000,408.96
368.72,-1155.1881103515625,25,23.3604,25,30.7204,125000,380.58
490.81,-1164.7991943359375,26,20.4184,26,27.0527,130000,487.26
628.25,-1122.5394287109375,27,14.1266,27,27.2064,135000,640.16
607.66,-1155.2696533203125,28,13.9994,28,26.5624,140000,604.54
604.74,-1257.9716796875,29,23.594,29,28.982,145000,603.13
615.15,-1274.11376953125,30,20.8332,30,27.0849,150000,613.5
616.87,-1278.6319580078125,31,20.5129,31,28.9122,155000,637.49
716.7,-1239.8837890625,32,18.7265,32,28.1295,160000,720.0
643.42,-1390.7904052734375,33,20.6942,33,28.0056,165000,672.42
688.99,-1347.941650390625,34,19.7706,34,27.4905,170000,724.0
706.46,-1336.759765625,35,19.704,35,27.1333,175000,716.99
718.2,-1399.1995849609375,36,19.2114,36,27.9898,180000,775.8
744.82,-1497.935302734375,37,19.1247,37,27.634,185000,743.67
844.61,-1524.4180908203125,38,20.3146,38,27.7325,190000,942.34
851.94,-1539.48388671875,39,19.9413,39,27.4052,195000,876.29
936.22,-1557.590087890625,40,19.6483,40,27.3742,200000,970.88
999.15,-1569.7691650390625,41,18.5749,41,27.6492,205000,1026.33
854.28,-1626.6485595703125,42,20.679,42,26.6927,210000,540.25
747.62,-1675.2232666015625,43,20.8047,43,27.0238,215000,916.67
1130.94,-1594.22705078125,44,18.9304,44,27.2689,220000,978.24
903.57,-1785.2042236328125,45,20.0863,45,27.4177,225000,837.1
1003.56,-1806.9388427734375,46,21.0163,46,27.0728,230000,994.56
936.67,-1795.6273193359375,47,21.0026,47,27.0544,235000,1033.09
1203.11,-1793.1217041015625,48,20.1942,48,27.2093,240000,954.41
1392.63,-1814.4097900390625,49,22.0307,49,26.6044,245000,1519.33
1002.14,-1854.4068603515625,50,21.7335,50,26.4448,250000,1211.24
1074.96,-1825.9593505859375,51,22.6293,51,25.6069,255000,2644.95
971.94,-1881.4862060546875,52,20.5126,52,26.9086,260000,1265.04
1254.32,-1805.9844970703125,53,19.1879,53,26.341,265000,1455.17
1193.06,-1864.220703125,54,19.1296,54,26.1625,270000,1384.5
1091.54,-1996.18115234375,55,20.0047,55,27.3451,275000,1337.94
1339.7,-1898.7574462890625,56,19.7554,56,27.5097,280000,3060.59
1000.14,-2134.728271484375,57,20.6603,57,26.9212,285000,1090.31
1398.19,-1955.7210693359375,58,18.7031,58,27.3663,290000,2183.26
1564.02,-1964.879150390625,59,18.8577,59,25.9153,295000,2013.86
1026.01,-2213.96337890625,60,20.7632,60,26.8395,300000,1008.63
1120.84,-2140.346923828125,61,18.919,61,27.1686,305000,1115.5
