Real Sto Return,Running Update Time,Running Env Steps,Itration,Running Forward KL,Reward Loss,Real Det Return,Running Reverse KL
203.93,0,0,0,32.7433,432.6167297363281,198.37,16.258
248.93,1,5000,1,31.0273,407.2488098144531,248.55,15.0556
210.09,2,10000,2,31.5207,292.8417053222656,160.2,17.9106
320.22,3,15000,3,30.0034,84.36982727050781,324.79,15.3319
368.58,4,20000,4,27.2871,724.6851196289062,360.53,77.0061
595.44,5,25000,5,24.791,178.5694122314453,588.24,25.8612
498.53,6,30000,6,25.6148,95.38690185546875,506.16,22.5288
810.94,7,35000,7,24.9861,37.32400894165039,969.89,20.9083
957.36,8,40000,8,23.3481,-4.368292808532715,826.35,16.0953
793.99,9,45000,9,22.7494,-41.535560607910156,772.52,17.5132
1556.99,10,50000,10,21.9302,-66.93009185791016,1089.81,12.6627
1022.9,11,55000,11,23.0475,-9.717402458190918,906.74,19.1873
1322.97,12,60000,12,23.2932,8.266827583312988,890.07,13.768
2751.29,13,65000,13,23.8649,-1.02463960647583,2700.22,14.0071
1318.83,14,70000,14,21.8922,-106.59891510009766,1932.54,14.0471
2377.36,15,75000,15,21.2849,-55.807823181152344,3027.91,12.9826
2606.4,16,80000,16,20.8697,-78.18556213378906,3166.99,12.7801
3211.62,17,85000,17,19.0944,-25.16780662536621,3207.69,12.7367
3110.98,18,90000,18,19.4342,15.654382705688477,3169.62,12.8972
3180.84,19,95000,19,19.3059,11.650935173034668,3226.56,12.4107
1106.44,20,100000,20,22.2591,-322.6463317871094,3163.83,16.5562
1314.22,21,105000,21,22.4498,-401.72515869140625,943.36,17.3441
1045.33,22,110000,22,21.0287,-391.398193359375,976.08,16.5546
2597.66,23,115000,23,19.8072,-220.8184814453125,2814.53,12.8142
1746.19,24,120000,24,19.6927,-344.4776306152344,2811.0,15.0064
2800.33,25,125000,25,17.966,-84.61138916015625,3288.84,10.3785
1149.98,26,130000,26,21.0919,-573.1039428710938,1160.5,22.9817
2408.56,27,135000,27,18.8279,-224.03782653808594,3240.74,12.3042
2872.76,28,140000,28,18.5017,-205.10824584960938,3301.12,13.2205
3045.41,29,145000,29,17.5017,-145.74899291992188,3270.16,10.9392
3205.22,30,150000,30,18.0995,-47.551841735839844,3270.34,12.1652
3185.52,31,155000,31,17.1802,-63.865421295166016,3306.67,10.5904
2174.76,32,160000,32,17.5843,-237.94076538085938,3300.56,14.5716
3214.39,33,165000,33,16.5412,-24.09122657775879,3344.32,10.5503
3282.82,34,170000,34,17.0776,-116.13128662109375,3318.63,13.6016
2821.92,35,175000,35,16.7667,-117.67606353759766,3308.3,12.2916
2785.18,36,180000,36,17.7094,-195.5785369873047,3185.43,15.3331
2865.96,37,185000,37,17.2319,-118.06303405761719,3318.0,12.2542
3333.37,38,190000,38,17.6481,-75.48269653320312,3361.37,11.7385
2240.86,39,195000,39,18.7779,-444.2669372558594,2686.64,20.693
1988.57,40,200000,40,19.0091,-701.3402709960938,2559.74,29.302
2853.92,41,205000,41,16.3,-257.93939208984375,3352.7,16.6969
3055.31,42,210000,42,16.3994,-187.2398681640625,3373.01,12.5587
3110.03,43,215000,43,16.8156,-108.44237518310547,3341.67,11.3741
3002.15,44,220000,44,16.6265,-163.69810485839844,3221.91,11.1765
2328.48,45,225000,45,17.0294,-482.33642578125,3040.29,18.9203
3330.39,46,230000,46,16.715,-129.40403747558594,3351.89,11.6756
