Running Update Time,Real Det Return,Running Forward KL,Real Sto Return,Reward Loss,Running Env Steps,Running Reverse KL,Itration
0,313.53,31.6327,308.87,307.8432312011719,0,24.8759,0
1,301.25,30.3706,300.66,240.74180603027344,5000,24.7592,1
2,10.8,31.241,34.04,650.0628662109375,10000,22.3568,2
3,280.93,30.9648,288.5,162.61268615722656,15000,33.8019,3
4,323.98,30.5772,258.88,121.77481079101562,20000,31.9993,4
5,373.35,30.963,366.24,509.4742126464844,25000,36.2329,5
6,315.21,31.0119,320.25,25.156728744506836,30000,27.3903,6
7,353.18,30.4468,347.4,-7.9696550369262695,35000,40.9036,7
8,326.75,31.1527,299.13,-77.32930755615234,40000,33.6514,8
9,482.09,29.193,455.8,-144.32688903808594,45000,28.5527,9
10,157.11,27.9233,398.83,117.54003143310547,50000,41.6945,10
11,604.12,28.6281,604.1,-215.61973571777344,55000,33.2676,11
12,849.55,28.3968,748.29,-297.73944091796875,60000,38.3531,12
13,1466.77,28.3447,1143.25,-259.67266845703125,65000,40.3296,13
14,1054.07,28.3815,924.28,-342.0694274902344,70000,35.282,14
15,992.87,28.1525,939.87,-369.5349426269531,75000,30.2291,15
16,423.81,28.2817,422.54,-218.80955505371094,80000,57.9905,16
17,1298.67,27.8639,1163.94,-285.2036437988281,85000,35.9645,17
18,1194.7,27.1948,1145.69,-406.51129150390625,90000,38.312,18
19,1228.26,27.6458,1294.51,-420.55902099609375,95000,24.066,19
20,3168.58,27.3796,3152.98,-42.612579345703125,100000,19.3813,20
21,2271.87,28.0813,1395.98,-336.5879821777344,105000,19.4967,21
22,2685.54,28.1984,2101.77,-259.4779357910156,110000,22.4355,22
23,3095.2,26.7379,2511.51,-110.70973205566406,115000,18.2947,23
24,3107.43,27.9668,2238.83,-282.77581787109375,120000,15.1834,24
25,3129.78,27.7153,3065.77,-116.3558120727539,125000,20.2842,25
26,3231.26,26.8194,2515.18,-330.97943115234375,130000,19.5063,26
27,2976.46,27.5426,2855.5,-205.75088500976562,135000,17.7448,27
28,3137.29,26.6398,2554.74,-212.23072814941406,140000,19.2244,28
29,3147.89,26.8559,3063.87,-161.98097229003906,145000,17.8464,29
30,3090.92,26.6056,2919.58,-285.51715087890625,150000,18.5999,30
31,3161.92,27.0059,2947.8,-166.8847198486328,155000,18.1251,31
32,3207.67,26.648,2189.77,-445.30303955078125,160000,19.7988,32
33,1558.46,28.0085,1105.42,-694.9011840820312,165000,21.06,33
34,1330.57,27.2773,1412.01,-680.8079223632812,170000,19.1124,34
35,3094.23,27.3597,2806.43,-244.98666381835938,175000,18.8511,35
36,3192.26,26.3215,3084.04,-422.43194580078125,180000,17.6648,36
37,3205.1,26.6989,2880.83,-331.27288818359375,185000,17.4916,37
38,3145.88,26.6959,2754.74,-338.66912841796875,190000,16.8354,38
39,3146.4,26.3115,2673.81,-405.05810546875,195000,17.1138,39
