Running Update Time,Running Reverse KL,Itration,Running Forward KL,Running Env Steps,Reward Loss,Real Det Return,Real Sto Return
0,239.4543,0,435.5934,0,-1997.9403076171875,456.45,292.17
1,298.6108,1,439.0929,5000,-2677.6279296875,292.35,330.62
2,266.1543,2,428.672,10000,-2083.001953125,420.96,366.34
3,268.5405,3,428.4942,15000,-1511.74072265625,369.54,379.52
4,273.9043,4,422.2323,20000,-3104.6328125,293.55,328.66
5,375.3153,5,412.2106,25000,-3883.21826171875,403.49,443.03
6,269.6564,6,405.1674,30000,-3429.646484375,490.1,483.74
7,280.4852,7,406.2161,35000,-2959.64111328125,485.34,501.56
8,274.1686,8,408.1357,40000,-2749.48095703125,458.31,478.05
9,287.1713,9,429.7768,45000,-3136.228515625,458.65,431.2
10,276.4707,10,410.3366,50000,-2519.154541015625,412.91,450.17
11,264.025,11,406.5287,55000,-2714.0625,571.4,498.24
12,270.5273,12,407.9848,60000,-5464.63818359375,512.01,556.97
13,254.8482,13,416.4319,65000,-4561.447265625,490.84,509.32
14,267.0501,14,421.7291,70000,-3889.140869140625,724.2,559.67
15,291.2649,15,429.7435,75000,-4916.4716796875,503.77,491.37
16,290.0297,16,407.7472,80000,-5067.56494140625,731.13,645.01
17,258.4885,17,391.0299,85000,-5281.56298828125,696.38,570.47
18,259.2815,18,400.5656,90000,-4719.47509765625,744.35,661.77
19,280.2944,19,400.9335,95000,-6827.59375,609.11,594.37
20,258.438,20,408.8371,100000,-5434.5849609375,602.87,629.69
21,250.6051,21,398.3899,105000,-5448.25927734375,652.67,576.05
22,255.8357,22,404.0366,110000,-6478.6044921875,739.9,639.94
23,257.0231,23,411.6442,115000,-6363.2548828125,686.57,629.87
24,263.5303,24,404.5748,120000,-6002.97119140625,834.57,662.17
25,248.4347,25,398.6002,125000,-5997.435546875,822.85,641.8
26,246.8692,26,392.3384,130000,-7540.6611328125,597.68,834.61
27,242.2439,27,398.7687,135000,-6109.8701171875,718.07,876.09
28,246.0775,28,398.9504,140000,-6824.47900390625,682.1,704.47
29,241.3883,29,403.107,145000,-6357.61865234375,718.01,840.69
30,254.7143,30,409.9375,150000,-6059.62841796875,791.2,616.97
31,272.0309,31,419.2933,155000,-5966.55712890625,819.88,741.63
32,239.0317,32,397.3484,160000,-6577.37353515625,808.95,746.94
33,243.5739,33,399.6192,165000,-7156.4443359375,804.66,839.35
34,268.2764,34,408.623,170000,-6328.142578125,786.99,818.45
35,239.1352,35,405.8364,175000,-7851.02490234375,738.73,856.01
36,256.7424,36,407.6883,180000,-8649.8916015625,830.87,836.33
37,235.0849,37,393.4174,185000,-6925.2548828125,807.19,803.8
38,253.8699,38,409.041,190000,-7316.080078125,606.94,755.77
39,244.7012,39,407.0268,195000,-7091.19287109375,630.88,797.42
40,226.3338,40,393.4748,200000,-7955.53466796875,738.23,777.91
41,228.7917,41,393.1008,205000,-7677.5322265625,944.51,1078.54
42,230.4912,42,382.8237,210000,-7580.2490234375,850.82,1061.44
43,198.225,43,367.1871,215000,-7511.92578125,988.15,1384.84
44,206.4334,44,376.126,220000,-7486.66552734375,752.99,926.01
45,219.5498,45,380.5945,225000,-8157.28662109375,785.0,1136.67
46,259.6221,46,390.7062,230000,-7575.51416015625,899.88,1413.05
47,214.8064,47,378.0848,235000,-8603.7197265625,824.61,1194.23
48,214.2726,48,368.169,240000,-8389.525390625,1159.41,1169.42
49,210.2752,49,371.8813,245000,-7743.09765625,1377.54,1180.25
50,180.4968,50,352.4902,250000,-6806.89697265625,973.23,1453.64
51,201.8194,51,358.5717,255000,-8081.08056640625,1542.54,1785.94
52,214.4759,52,365.5619,260000,-8064.52001953125,720.01,1109.49
53,231.6978,53,382.0941,265000,-8411.5830078125,1863.05,1523.0
54,201.7621,54,365.7987,270000,-8405.8154296875,912.62,1471.1
55,202.4583,55,371.0351,275000,-8384.2109375,1431.68,1322.05
56,178.9654,56,347.8393,280000,-7852.642578125,1309.34,1482.6
57,192.7881,57,369.308,285000,-8071.50830078125,1045.88,1570.17
58,209.0149,58,379.9753,290000,-8454.248046875,1099.82,1588.55
59,218.5317,59,362.2775,295000,-9149.5244140625,2795.68,2255.31
60,178.4105,60,353.3812,300000,-7694.13134765625,1812.32,1823.78
61,182.5943,61,353.0939,305000,-7489.3076171875,3340.53,2254.89
62,166.0024,62,349.9202,310000,-7371.5361328125,3485.28,2613.0
63,147.7924,63,330.3245,315000,-5696.9052734375,3235.62,2996.59
64,182.2991,64,350.9593,320000,-7676.01904296875,3875.96,2170.63
65,169.9883,65,335.8661,325000,-6228.24267578125,4437.05,3446.18
66,160.9504,66,343.9373,330000,-6531.72607421875,3603.09,3213.44
67,218.0491,67,367.7382,335000,-8187.4189453125,902.46,1921.54
68,156.415,68,344.1511,340000,-5945.94873046875,2848.49,2487.18
69,257.1865,69,399.4245,345000,-10385.32421875,595.18,1081.0
70,191.6591,70,355.7438,350000,-8479.1513671875,1556.66,1913.64
71,163.3184,71,343.1214,355000,-6470.005859375,4593.77,3308.66
72,127.8502,72,321.918,360000,-3522.654541015625,4089.53,3177.16
73,206.0137,73,345.3742,365000,-7997.31591796875,3534.01,2552.02
74,132.4769,74,318.6726,370000,-3419.040283203125,5021.11,3574.77
75,133.9756,75,324.9764,375000,-2497.381591796875,3880.75,3957.01
76,172.0187,76,348.3486,380000,-6926.712890625,4111.1,2699.16
77,181.902,77,342.437,385000,-6528.71044921875,3948.39,3682.13
78,170.4694,78,341.4807,390000,-6552.42041015625,4282.08,3034.21
79,149.1714,79,336.0371,395000,-4623.3359375,4911.59,3561.55
80,142.2969,80,332.5192,400000,-3321.728759765625,4170.5,4185.23
81,136.0074,81,332.9918,405000,-3925.1611328125,3983.8,4155.43
82,194.4064,82,360.1111,410000,-8991.0986328125,4255.62,3369.66
83,143.3925,83,327.6216,415000,-4735.91796875,4312.13,3544.54
84,149.0327,84,338.4841,420000,-5317.291015625,4995.13,4372.51
85,169.3372,85,346.6448,425000,-7538.48291015625,3769.36,3110.0
86,152.1605,86,340.772,430000,-6380.40771484375,4923.84,3933.19
87,148.3229,87,343.4544,435000,-6033.41943359375,3910.4,3865.18
88,140.4025,88,331.8259,440000,-5113.796875,3774.78,3878.02
89,186.1361,89,362.9175,445000,-9412.0419921875,2979.71,2473.72
90,141.5003,90,329.7347,450000,-5270.56591796875,4272.3,4060.33
91,138.0199,91,330.0837,455000,-5287.32861328125,4879.17,4637.9
92,149.0991,92,339.549,460000,-5893.97412109375,4216.23,4198.18
93,151.7713,93,337.2738,465000,-7609.88818359375,3251.05,3811.79
94,144.6277,94,323.5479,470000,-6031.27001953125,4144.91,4427.42
95,144.8542,95,329.1066,475000,-5103.80078125,3885.89,4320.21
96,143.6219,96,327.3409,480000,-5680.75439453125,4939.09,5121.32
97,146.8295,97,333.0448,485000,-5438.17626953125,4695.3,4830.57
98,137.2215,98,330.8407,490000,-5420.5625,4678.74,4754.55
99,152.5397,99,333.2331,495000,-5512.64404296875,4698.62,4620.85
100,136.2732,100,323.5887,500000,-5620.75537109375,3439.29,4412.57
101,145.1599,101,326.238,505000,-6096.46484375,5065.57,4940.88
102,141.564,102,326.2767,510000,-6373.92236328125,4788.39,4848.05
103,148.997,103,338.8133,515000,-6419.42333984375,4993.28,4644.5
104,143.7789,104,331.811,520000,-6317.54248046875,4710.33,4868.5
105,137.5346,105,321.0967,525000,-6357.455078125,3698.07,4976.05
106,147.1377,106,333.2628,530000,-6623.9072265625,4323.8,4673.3
107,140.4904,107,324.0203,535000,-6741.23779296875,4027.15,5101.25
108,138.1015,108,325.1622,540000,-6881.64306640625,5153.75,5074.3
109,154.1864,109,339.7357,545000,-7314.15478515625,5198.37,5144.84
110,145.369,110,333.7891,550000,-7160.74169921875,5114.56,5073.34
111,147.1118,111,336.4315,555000,-7462.58642578125,5185.23,5112.08
112,135.0081,112,323.641,560000,-7446.900390625,2838.91,4770.51
113,145.9732,113,332.9132,565000,-7785.8173828125,4632.5,4622.83
114,138.7269,114,333.0654,570000,-8208.341796875,5121.12,5058.61
115,134.9788,115,322.4385,575000,-7975.9150390625,5171.92,5092.72
116,132.6978,116,319.4981,580000,-7725.9638671875,4685.14,4633.27
117,142.3663,117,326.727,585000,-8520.7724609375,5080.1,4948.75
118,143.3634,118,329.9967,590000,-8536.8076171875,5124.98,4357.47
119,141.3651,119,330.2171,595000,-9029.2265625,5069.12,4999.11
120,133.1779,120,320.6912,600000,-8616.1201171875,4911.63,4663.46
121,144.9455,121,326.3357,605000,-8875.220703125,4894.95,4929.55
122,142.2631,122,325.8243,610000,-8982.1943359375,4899.68,5103.1
123,146.6169,123,328.2819,615000,-9502.4326171875,4696.38,5041.23
124,143.4681,124,327.0378,620000,-9108.0986328125,2323.03,4691.54
125,143.4831,125,328.8596,625000,-9615.923828125,4905.45,4883.44
126,136.9563,126,323.5081,630000,-9489.7998046875,5165.36,4788.59
127,136.5808,127,322.9724,635000,-9847.26953125,2559.81,4814.06
128,127.8478,128,315.0833,640000,-9682.4873046875,2162.72,4835.41
129,132.0927,129,323.74,645000,-10068.994140625,2597.84,5001.5
130,142.2695,130,321.2934,650000,-10599.6435546875,4566.25,4862.85
131,132.1207,131,320.4558,655000,-10259.8173828125,5150.4,4808.23
132,140.3803,132,333.2202,660000,-10911.0029296875,5102.07,4635.26
133,129.7886,133,322.2869,665000,-10120.921875,1470.0,4866.06
134,134.0143,134,323.0269,670000,-11077.7861328125,1681.51,4703.62
135,135.1048,135,326.3618,675000,-11176.8896484375,2803.74,4958.71
136,134.6665,136,318.3849,680000,-10900.6708984375,1798.2,4881.36
