Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Itration,Reward Loss,Real Sto Return,Running Update Time
38.18,0,10.8981,37.8484,0,2.200092315673828,17.77,0
47.66,90,8.2312,36.3662,1,4.392533779144287,33.29,1
47.76,180,7.7843,37.8525,2,4.308955192565918,41.26,2
48.28,270,7.7834,37.6688,3,4.65883207321167,47.67,3
46.65,360,8.3807,37.7901,4,4.339703559875488,47.63,4
