Running Forward KL,Real Det Return,Running Env Steps,Running Reverse KL,Reward Loss,Running Update Time,Real Sto Return,Itration
31.6428,221.51,0,45.3122,202.04347229003906,0,228.06,0
32.0007,324.57,5000,50.2815,133.65310668945312,1,320.68,1
30.0517,368.68,10000,47.5437,71.6536865234375,2,364.58,2
29.7793,339.84,15000,44.6267,20.743932723999023,3,352.72,3
27.5378,389.92,20000,47.764,7.6351728439331055,4,417.5,4
27.2662,494.8,25000,43.5758,-109.83140563964844,5,427.41,5
26.6857,647.41,30000,36.3888,-143.50869750976562,6,630.22,6
24.8998,622.71,35000,45.5045,-95.44953155517578,7,693.37,7
25.3694,573.09,40000,63.2297,18.507308959960938,8,607.97,8
24.8145,325.71,45000,47.2608,-61.25090026855469,9,807.87,9
26.5682,638.57,50000,51.911,-40.06632995605469,10,578.46,10
24.808,1597.93,55000,30.0159,-82.64897155761719,11,884.57,11
25.6832,1182.06,60000,17.4937,-270.223876953125,12,1198.28,12
27.3135,808.48,65000,19.9413,-327.1164855957031,13,1576.89,13
27.5009,1949.58,70000,24.0646,-279.2179260253906,14,1771.61,14
26.3112,1938.97,75000,15.7851,-275.7796936035156,15,1626.16,15
27.1799,934.39,80000,23.6971,-368.2742919921875,16,838.95,16
26.5216,1994.34,85000,33.5577,-416.9845886230469,17,1656.88,17
25.5626,2422.21,90000,17.0514,-334.9525146484375,18,1316.77,18
25.8557,143.67,95000,21.1003,-270.2449645996094,19,1226.89,19
24.9863,2560.02,100000,20.71,-450.49951171875,20,2064.22,20
24.8048,728.31,105000,22.4789,-605.8863525390625,21,1041.38,21
25.1165,1186.12,110000,30.528,-652.39599609375,22,1527.51,22
25.0522,1280.15,115000,23.268,-582.5687866210938,23,1481.81,23
23.8836,958.15,120000,25.3902,-517.7975463867188,24,1574.47,24
25.0267,215.4,125000,48.2646,-461.4527282714844,25,853.52,25
24.622,966.27,130000,27.7063,-446.75018310546875,26,1369.77,26
25.0521,76.15,135000,38.8181,-511.04010009765625,27,434.54,27
26.4105,28.66,140000,42.2961,-467.9793701171875,28,163.08,28
25.8069,1342.91,145000,33.329,-562.1467895507812,29,1441.89,29
25.2711,2312.23,150000,24.423,-532.5777587890625,30,1792.52,30
24.9213,1379.68,155000,31.7116,-645.20556640625,31,1591.52,31
23.0647,1541.4,160000,19.6145,-534.98974609375,32,2237.81,32
