Itration,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL
0,265.645,265.95,419.05,436.4382
1,251.369,388.13,420.24,455.8289
2,279.8309,387.09,394.97,441.8495
3,316.0079,377.8,394.88,436.2635
4,287.7605,404.98,442.75,422.3252
5,277.5432,407.94,303.37,424.7699
6,292.3074,453.42,432.61,420.4965
7,314.53,363.84,377.73,434.0707
8,268.633,427.96,421.53,432.2061
9,264.9587,500.66,579.97,407.8469
10,295.2877,452.46,414.5,427.1353
11,313.2966,441.18,483.33,423.7466
12,316.5155,460.35,355.47,432.2796
13,302.0577,528.81,460.25,423.2923
14,284.3233,553.85,580.23,418.6344
15,322.702,494.26,419.96,441.9
16,330.9414,545.5,486.26,422.3941
17,312.5141,549.83,547.89,430.367
18,283.6906,536.05,479.15,418.5603
19,316.3478,517.21,508.2,424.0036
20,315.3064,551.73,467.8,421.5667
21,281.6393,653.23,527.81,405.1599
22,286.8109,580.37,475.36,415.5849
23,284.7688,556.21,510.86,409.9238
24,269.8103,623.15,550.69,405.4215
25,292.4876,562.89,520.99,398.5431
26,281.5308,583.57,460.56,412.6693
27,258.5959,680.25,507.87,401.6567
28,255.7931,753.54,526.79,399.6419
29,279.5017,582.85,474.87,399.8077
30,277.3794,652.47,527.23,397.9489
31,274.6476,710.74,504.58,384.9205
32,260.7953,784.15,506.07,371.3759
33,270.994,815.65,490.47,380.6537
34,248.6746,922.73,569.63,372.0595
35,231.8217,811.26,494.72,376.3095
36,272.0744,888.17,537.95,367.4671
37,310.4772,738.45,698.52,366.3361
38,246.4118,924.43,574.15,362.0124
39,261.6303,828.38,540.44,352.8744
40,257.1337,885.32,573.63,353.1799
41,223.7275,1239.31,1222.58,339.016
42,266.2839,1021.74,718.14,350.6327
43,265.8547,1302.97,1053.58,349.2293
44,271.6132,1070.9,754.07,356.0233
45,297.2253,859.98,827.32,345.9293
46,255.8005,1317.94,1130.29,347.441
47,229.9607,1117.72,639.35,338.5221
