Running Forward KL,Itration,Running Env Steps,Real Sto Return,Running Reverse KL,Reward Loss,Real Det Return,Running Update Time
48.9366,0,0,387.2,12.6289,116.53375244140625,531.34,0
49.7896,1,5000,261.46,23.5598,-37.32964324951172,207.74,1
48.3102,2,10000,588.88,30.0481,-67.45025634765625,1303.37,2
49.8628,3,15000,384.51,41.4002,-168.38406372070312,351.07,3
49.9676,4,20000,431.08,33.25,-151.0799102783203,367.72,4
49.0933,5,25000,532.37,22.3365,-6.408005714416504,458.4,5
47.9734,6,30000,552.85,22.3334,25.75290298461914,563.42,6
48.0762,7,35000,607.99,14.5283,137.10943603515625,744.83,7
48.0615,8,40000,879.82,17.2138,43.832271575927734,980.75,8
47.5567,9,45000,1050.85,15.772,140.9357147216797,1202.4,9
47.2235,10,50000,998.47,25.7176,-64.71693420410156,873.98,10
47.5193,11,55000,1161.73,16.9446,-51.02530288696289,1409.75,11
46.7721,12,60000,1147.92,18.1626,-23.775964736938477,1139.18,12
54.4113,13,65000,-10.43,33.916,-338.69921875,-4.87,13
50.7618,14,70000,21.52,16.7907,-116.5494613647461,9.31,14
51.2564,15,75000,120.77,35.7341,-239.87576293945312,224.42,15
49.3715,16,80000,114.84,65.2002,-297.4427185058594,287.5,16
54.7729,17,85000,-14.27,51.7151,-315.5436096191406,-18.34,17
54.357,18,90000,-24.85,31.9625,-182.80824279785156,-32.97,18
52.6544,19,95000,-5.63,90.7066,-429.75360107421875,-14.88,19
55.0547,20,100000,10.28,38.34,-318.05419921875,7.99,20
49.8325,21,105000,297.95,17.5993,-137.18899536132812,323.3,21
50.3367,22,110000,434.17,100.1721,-310.6593933105469,403.14,22
52.1758,23,115000,416.28,193.8123,-446.982177734375,391.38,23
50.975,24,120000,452.63,41.2143,-317.9901123046875,377.83,24
53.8371,25,125000,32.2,28.1327,-285.6434326171875,46.05,25
51.4013,26,130000,224.03,116.7136,-317.345458984375,258.53,26
51.2736,27,135000,553.92,47.8574,-253.36143493652344,466.29,27
51.3616,28,140000,356.92,163.7599,-405.3158874511719,368.77,28
55.5641,29,145000,105.79,130.4686,-495.89276123046875,0.51,29
50.4639,30,150000,301.91,43.9211,-270.94036865234375,236.15,30
50.6073,31,155000,338.72,56.2455,-325.7359924316406,344.48,31
49.2367,32,160000,470.3,22.6474,-93.7815933227539,489.47,32
49.9878,33,165000,856.05,57.1904,-366.9642639160156,849.73,33
48.5571,34,170000,564.49,54.13,-259.4911193847656,475.64,34
50.1559,35,175000,603.82,49.5271,-436.8818359375,527.38,35
51.4879,36,180000,349.87,163.2883,-468.722412109375,345.25,36
50.7663,37,185000,496.19,131.8921,-452.6396484375,460.92,37
52.1974,38,190000,205.34,53.595,-301.75372314453125,249.74,38
52.764,39,195000,-22.77,24.8319,-151.0283966064453,27.66,39
51.0563,40,200000,667.67,142.9067,-443.369384765625,699.85,40
51.7607,41,205000,74.72,26.2066,-303.31378173828125,170.9,41
51.8858,42,210000,264.35,31.9512,-409.1866455078125,235.61,42
52.2837,43,215000,573.76,70.9885,-522.6238403320312,585.6,43
51.5094,44,220000,51.12,62.135,-342.4544372558594,62.95,44
55.961,45,225000,1000.2,109.5574,-707.94140625,1000.78,45
53.8693,46,230000,70.32,244.7727,-527.22021484375,69.47,46
51.4806,47,235000,12.23,18.3545,-129.00930786132812,13.89,47
53.1318,48,240000,15.58,22.8305,-308.2783203125,14.12,48
51.5528,49,245000,-23.82,21.1355,-289.4021911621094,-24.33,49
52.9454,50,250000,127.52,29.0881,-470.34991455078125,51.9,50
52.961,51,255000,18.55,47.9304,-600.5770263671875,14.25,51
53.0455,52,260000,25.72,63.078,-529.5616455078125,118.6,52
52.3149,53,265000,18.02,40.581,-640.0185546875,20.22,53
51.4945,54,270000,58.62,51.5694,-338.7724609375,48.25,54
49.7407,55,275000,157.77,20.9687,-449.4366149902344,144.55,55
51.6588,56,280000,65.98,21.0548,-476.83465576171875,51.94,56
51.1712,57,285000,49.42,16.4375,-405.6586608886719,32.68,57
51.4719,58,290000,24.09,43.5103,-470.92120361328125,-0.01,58
50.6666,59,295000,113.4,20.441,-480.1117248535156,109.79,59
50.5709,60,300000,145.21,69.9453,-468.02679443359375,145.38,60
50.9435,61,305000,446.02,23.357,-425.0768737792969,382.23,61
50.2621,62,310000,208.64,62.0546,-505.7738952636719,194.71,62
