Running Env Steps,Itration,Real Sto Return,Real Det Return,Running Forward KL,Reward Loss,Running Update Time,Running Reverse KL
0,0,324.17,349.43,31.6637,-12.771574974060059,0,19.0746
5000,1,312.98,302.45,31.741,10.728148460388184,1,36.8734
10000,2,304.39,300.01,31.6535,-101.82499694824219,2,39.8365
15000,3,293.81,291.81,32.1988,-380.5904235839844,3,41.1113
20000,4,292.84,290.7,31.6679,-527.6445922851562,4,77.9483
25000,5,327.74,150.21,30.519,-421.70977783203125,5,42.0176
30000,6,288.64,348.1,30.0309,-321.1644592285156,6,47.4414
35000,7,434.91,311.77,31.9671,-390.3282165527344,7,25.7608
40000,8,291.3,284.63,30.7825,-440.144287109375,8,29.7658
45000,9,43.62,40.59,28.7456,-53.75233840942383,9,16.0097
50000,10,170.86,162.71,29.7707,-118.23413848876953,10,37.554
55000,11,189.58,189.36,35.2928,-826.1682739257812,11,35.6301
60000,12,1058.7,987.27,35.5949,-712.9102172851562,12,26.7753
65000,13,1006.61,1005.74,35.4355,-1034.932861328125,13,24.0937
70000,14,1006.83,1006.37,35.9642,-894.8341674804688,14,36.5428
75000,15,1077.75,1080.13,35.6111,-576.0489501953125,15,29.1324
80000,16,1007.4,1009.89,34.7169,-1001.3103637695312,16,26.1043
85000,17,113.71,77.14,35.2177,-909.019287109375,17,39.757
90000,18,998.22,953.6,33.4966,-843.7194213867188,18,22.835
95000,19,1035.34,1034.82,37.4005,-961.2962036132812,19,29.2888
100000,20,1026.89,1027.82,35.184,-838.2413940429688,20,29.2553
105000,21,1035.55,1035.48,36.7041,-888.661376953125,21,29.2403
110000,22,300.53,451.85,36.505,-1163.3912353515625,22,35.7645
115000,23,1017.83,1017.98,39.1961,-1305.2210693359375,23,48.2758
120000,24,1056.01,1054.16,34.8602,-1123.655517578125,24,39.1649
125000,25,1032.89,1033.84,35.7248,-1401.936279296875,25,33.381
130000,26,1043.41,1043.2,36.7965,-1318.9315185546875,26,51.4046
135000,27,939.59,983.72,36.034,-1483.767333984375,27,27.763
140000,28,1042.86,1042.67,36.0384,-1439.96240234375,28,55.0833
145000,29,1032.4,1032.21,35.3116,-1674.9803466796875,29,37.8148
150000,30,1021.67,1022.97,36.3563,-1449.9276123046875,30,30.4121
155000,31,517.79,515.96,36.9475,-1696.9307861328125,31,38.8799
160000,32,991.45,991.53,37.894,-1799.728759765625,32,54.639
165000,33,219.37,242.29,39.72,-1745.6182861328125,33,60.8916
170000,34,1044.35,1044.48,36.2452,-1899.05615234375,34,32.1642
175000,35,71.41,70.99,29.5787,-1243.0068359375,35,29.9245
180000,36,1056.46,1056.45,35.2259,-1767.6680908203125,36,48.4064
185000,37,1130.42,1131.71,33.2068,-1237.384521484375,37,19.9542
190000,38,141.15,139.14,32.5462,-2065.428466796875,38,82.8023
195000,39,266.58,268.81,31.7015,-2718.37646484375,39,101.6812
200000,40,181.11,180.95,31.5356,-1343.1162109375,40,183.7985
205000,41,201.94,202.62,32.0943,-1097.94921875,41,220.7018
210000,42,881.18,930.82,33.954,-2215.388671875,42,22.6829
215000,43,1027.01,1025.81,34.2465,-2261.278076171875,43,24.9624
220000,44,292.5,295.74,32.6217,-1779.955322265625,44,122.3759
225000,45,326.53,230.92,32.259,-1734.865234375,45,34.3954
230000,46,577.16,512.38,31.8072,-1950.412353515625,46,30.8401
235000,47,262.13,265.6,31.1921,-1897.9656982421875,47,24.7516
240000,48,180.9,182.56,32.3245,-1428.1851806640625,48,64.4736
245000,49,398.24,395.08,34.5524,-2797.670654296875,49,42.6134
250000,50,357.03,356.14,32.806,-2410.29736328125,50,37.1296
255000,51,1185.06,1184.98,33.7889,-2325.980224609375,51,66.7393
260000,52,1044.6,1045.19,37.8225,-2602.628173828125,52,87.1525
265000,53,1040.35,1040.36,37.8224,-2623.315185546875,53,36.4445
270000,54,1053.74,1054.24,33.5472,-2606.703369140625,54,36.9956
275000,55,1043.98,1044.01,32.8604,-2650.97998046875,55,89.2633
280000,56,493.11,494.35,32.7837,-2609.14697265625,56,44.835
285000,57,473.33,482.51,34.2698,-2742.93505859375,57,46.3164
290000,58,1062.16,1062.36,34.8757,-2837.94287109375,58,43.3641
295000,59,1156.19,1156.56,34.0567,-2737.643310546875,59,42.818
300000,60,1010.76,1010.57,40.1993,-3067.48583984375,60,112.3557
305000,61,1001.46,961.91,32.9954,-2877.2978515625,61,31.4159
310000,62,1255.94,1254.98,33.1629,-2467.45947265625,62,29.4553
315000,63,1200.66,1202.09,32.9034,-2251.931396484375,63,25.069
320000,64,1054.8,1075.18,30.639,-2005.207275390625,64,44.049
325000,65,1233.05,1195.47,32.5096,-2353.71044921875,65,19.6031
330000,66,86.15,84.87,33.7276,-2697.95263671875,66,218.8612
335000,67,361.08,288.2,32.6031,-2743.7548828125,67,146.222
340000,68,725.35,844.36,32.4589,-2431.09619140625,68,24.571
345000,69,371.35,360.6,32.4396,-2934.02685546875,69,98.7976
350000,70,863.47,861.23,32.4711,-2938.1767578125,70,32.9329
355000,71,1046.13,1171.93,32.5237,-2979.777099609375,71,24.8342
360000,72,1209.81,1209.57,34.3256,-3016.07177734375,72,29.7517
365000,73,1176.56,1174.63,34.7214,-3055.031494140625,73,22.5188
