Itration,Running Update Time,Running Forward KL,Real Det Return,Running Env Steps,Reward Loss,Running Reverse KL,Real Sto Return
0,0,29.9711,340.17,0,343.45123291015625,15.9711,304.59
1,1,28.6426,370.99,5000,55.01134490966797,15.504,351.8
2,2,27.661,377.67,10000,93.4770736694336,17.0779,372.78
3,3,27.5549,474.16,15000,51.78984451293945,17.4109,457.94
4,4,27.7357,388.42,20000,-9.480544090270996,16.3664,428.98
5,5,25.9384,210.13,25000,-42.96452713012695,15.0891,565.97
6,6,27.3218,589.23,30000,-77.98957824707031,30.2807,590.07
7,7,25.7485,1069.39,35000,-134.1836395263672,33.4544,826.9
8,8,25.7777,2340.21,40000,-102.27619171142578,15.7065,1781.29
9,9,26.8748,484.45,45000,-177.92173767089844,24.8786,580.66
10,10,26.6347,1143.38,50000,-219.56593322753906,25.6677,1015.79
11,11,26.4991,735.32,55000,-269.3124694824219,30.6672,966.27
12,12,25.4117,1180.92,60000,-305.4376525878906,30.1669,1051.18
13,13,24.6514,916.9,65000,-312.38739013671875,26.0103,1040.01
14,14,27.5096,2766.74,70000,-141.5130615234375,18.8676,2673.65
15,15,25.5667,2032.66,75000,-149.98257446289062,14.9093,2174.37
16,16,27.3817,3091.36,80000,-151.152587890625,18.8855,2942.42
17,17,25.1659,3162.78,85000,-236.24009704589844,17.3827,2748.66
18,18,25.2535,3127.4,90000,-309.3361511230469,20.2795,2492.67
19,19,24.83,3133.5,95000,-153.025146484375,17.4441,2954.86
20,20,25.4757,2561.24,100000,-537.3258666992188,30.4561,1365.05
21,21,25.2042,2999.31,105000,-241.72488403320312,17.1532,2979.92
22,22,25.1997,3103.47,110000,-559.2830200195312,27.5,1820.83
23,23,26.4911,3017.92,115000,-253.76524353027344,18.26,3033.29
24,24,39.3979,-2.15,120000,-719.177001953125,177.0995,-2.06
25,25,27.2716,1025.31,125000,-543.896728515625,23.8467,1331.42
26,26,25.5607,1375.96,130000,-674.0742797851562,32.4648,1353.71
27,27,23.3974,2954.94,135000,-433.25408935546875,22.14,2510.66
28,28,24.6885,3145.87,140000,-292.9639892578125,17.244,2957.84
29,29,24.7054,2148.78,145000,-733.1469116210938,29.4852,1436.67
30,30,24.6448,3178.94,150000,-258.4561767578125,17.0362,3117.09
31,31,25.1864,3253.58,155000,-560.0546875,20.7466,2072.85
32,32,24.4729,3204.53,160000,-272.3200378417969,16.0192,3031.01
33,33,24.9933,3112.02,165000,-335.442138671875,17.3884,3089.37
34,34,24.4395,3178.13,170000,-295.1119079589844,16.781,3171.78
35,35,24.0678,3183.91,175000,-391.9748840332031,17.3907,2957.51
36,36,24.2725,3212.85,180000,-885.8563232421875,24.8132,1529.79
37,37,24.5463,3228.21,185000,-517.662109375,20.1502,2530.44
38,38,24.0694,3224.48,190000,-461.10870361328125,17.6447,2662.37
39,39,23.5511,3125.33,195000,-627.285888671875,19.2365,1981.15
40,40,24.1982,2055.82,200000,-915.9895629882812,22.7855,1343.73
41,41,24.8856,2997.57,205000,-946.4861450195312,23.4565,1727.86
42,42,24.4102,3217.65,210000,-645.9947509765625,18.4169,2516.39
43,43,23.9308,3049.25,215000,-772.3092651367188,17.0857,2033.18
44,44,23.9125,3185.57,220000,-746.798828125,15.0035,2631.24
45,45,24.0226,3204.5,225000,-646.8242797851562,18.8702,2409.08
46,46,23.8349,3202.0,230000,-252.8952178955078,14.7777,3051.35
47,47,23.7322,3193.11,235000,-311.3509521484375,14.9656,2632.65
48,48,23.8872,3170.63,240000,-387.0785217285156,15.3279,3134.79
49,49,23.2494,3178.28,245000,-313.9012451171875,14.2155,3132.61
50,50,23.8529,3184.4,250000,-690.4298706054688,17.1925,2647.31
51,51,24.132,3165.27,255000,-314.1068115234375,14.2752,3089.68
52,52,23.9932,3152.01,260000,-317.9034118652344,15.8325,3139.66
53,53,22.5163,3205.65,265000,-340.5643615722656,13.151,2774.29
54,54,23.972,3149.93,270000,-579.877197265625,17.0312,3082.97
55,55,24.1349,3152.43,275000,-360.012451171875,15.7717,3034.58
56,56,23.7889,3181.77,280000,-859.6491088867188,17.0427,1946.74
57,57,22.9302,3164.84,285000,-733.6153564453125,16.9133,2511.94
58,58,23.5284,2715.4,290000,-1185.4376220703125,20.2949,1750.7
59,59,23.9745,3198.6,295000,-1087.27880859375,19.5314,2102.61
