Reward Loss,Real Sto Return,Running Forward KL,Itration,Running Update Time,Running Reverse KL,Running Env Steps,Real Det Return
60.41731643676758,214.18,32.735,0,0,20.004,0,228.77
43.764122009277344,267.28,31.7255,1,1,20.8073,5000,264.52
75.17906951904297,339.96,30.5497,2,2,16.3835,10000,340.08
34.750755310058594,306.86,28.578,3,3,17.5969,15000,316.82
39.248985290527344,364.29,28.1591,4,4,14.8919,20000,384.6
36.93257522583008,398.14,29.1181,5,5,15.8687,25000,386.32
32.677589416503906,395.34,27.9942,6,6,16.1227,30000,419.23
17.31789779663086,480.0,26.5089,7,7,17.7026,35000,534.56
13.354524612426758,425.0,26.8904,8,8,15.3013,40000,461.62
-1.8144958019256592,444.31,26.9672,9,9,18.6312,45000,477.98
-34.935394287109375,491.19,26.8295,10,10,16.8496,50000,511.93
-42.3025016784668,569.33,25.3077,11,11,17.073,55000,589.28
-50.36795425415039,636.99,26.2282,12,12,18.1932,60000,641.15
-57.2603645324707,676.35,25.4002,13,13,19.3157,65000,642.38
-52.02313995361328,619.68,25.8792,14,14,19.7956,70000,588.34
-20.60616111755371,698.32,26.7925,15,15,35.6392,75000,684.99
-18.570411682128906,631.12,26.6466,16,16,31.0825,80000,603.93
-28.331806182861328,573.28,26.9124,17,17,78.8409,85000,542.95
-39.21872329711914,706.02,25.4044,18,18,33.234,90000,697.43
-57.48030090332031,734.28,26.1751,19,19,38.2856,95000,702.92
-73.57057189941406,741.3,25.0589,20,20,56.0003,100000,717.08
-75.40269470214844,735.58,26.1659,21,21,54.1786,105000,714.26
-88.98989868164062,774.1,25.6315,22,22,55.9562,110000,790.88
-96.87761688232422,711.87,26.1734,23,23,43.9411,115000,694.95
-112.07723999023438,778.15,25.7124,24,24,57.5973,120000,766.56
-124.95027923583984,820.99,25.1316,25,25,65.9986,125000,845.22
-127.80902099609375,855.08,24.4681,26,26,58.2845,130000,894.51
-116.94448852539062,855.48,24.4156,27,27,49.5576,135000,926.59
-154.00228881835938,849.82,24.932,28,28,66.7853,140000,933.87
-168.1201629638672,813.56,25.0504,29,29,57.9293,145000,818.3
-174.3866424560547,856.11,24.3523,30,30,73.4165,150000,897.97
-198.04953002929688,822.76,24.3715,31,31,67.7327,155000,845.93
-182.02967834472656,841.87,24.3839,32,32,78.6705,160000,947.32
-204.62289428710938,908.23,25.1055,33,33,79.6752,165000,826.7
-224.46656799316406,1117.55,24.6741,34,34,76.1281,170000,875.91
-196.598388671875,1247.21,24.6493,35,35,52.9152,175000,1019.51
-235.8838348388672,1177.17,25.0602,36,36,62.0815,180000,1084.02
-210.0894012451172,1043.81,24.4784,37,37,42.8884,185000,1025.27
-184.21829223632812,1321.05,23.3203,38,38,37.8463,190000,1424.01
-273.614990234375,1060.86,23.6342,39,39,67.3935,195000,937.86
-247.17056274414062,1092.9,23.4552,40,40,73.9918,200000,1013.05
-290.73956298828125,952.6,25.3607,41,41,53.6683,205000,921.11
-319.43939208984375,909.2,24.0183,42,42,47.8508,210000,834.55
-336.3761291503906,856.9,25.0581,43,43,42.1975,215000,809.48
-325.306640625,943.97,24.6338,44,44,43.4839,220000,888.8
-349.97772216796875,1021.09,25.3313,45,45,44.299,225000,986.97
-346.71588134765625,1011.05,24.7202,46,46,36.7663,230000,913.1
-352.3772888183594,1257.57,23.8098,47,47,41.3739,235000,1087.81
-363.51287841796875,1065.82,24.4676,48,48,44.6483,240000,1029.22
-362.15936279296875,1214.47,24.4532,49,49,39.7019,245000,1780.47
-376.21502685546875,1153.28,24.2895,50,50,39.5965,250000,1116.56
-339.1546325683594,966.88,23.0327,51,51,24.892,255000,1156.08
-366.35333251953125,1084.44,23.1918,52,52,30.6399,260000,1150.47
-348.2077331542969,1072.41,23.4554,53,53,27.7658,265000,1284.71
-365.56817626953125,1101.79,23.0069,54,54,25.6942,270000,1557.69
-407.2916564941406,1060.13,23.582,55,55,26.8567,275000,2355.17
-330.3304443359375,1690.07,23.4206,56,56,17.2263,280000,3172.81
-324.71612548828125,1465.79,23.2123,57,57,19.3581,285000,1679.85
-395.49969482421875,1014.62,24.1748,58,58,20.6896,290000,1067.97
-407.925537109375,896.48,24.1859,59,59,18.4246,295000,1050.62
-310.6202392578125,1664.44,21.655,60,60,19.273,300000,3188.58
-442.0274963378906,1075.12,23.4276,61,61,27.7296,305000,1787.18
-398.79473876953125,1182.31,21.9841,62,62,19.4911,310000,1297.47
-324.69915771484375,1695.68,22.1644,63,63,15.4234,315000,1772.17
-427.3313293457031,1162.71,22.8976,64,64,19.2366,320000,1257.53
-476.8285217285156,1229.6,23.4798,65,65,19.5147,325000,1065.78
-366.269287109375,1207.22,23.1104,66,66,14.2745,330000,1230.14
-354.97552490234375,1163.06,22.4751,67,67,18.5093,335000,1287.16
-439.9178771972656,943.53,22.3133,68,68,16.8235,340000,1074.55
-437.0516052246094,1117.47,23.268,69,69,15.6721,345000,1157.12
-349.8900451660156,976.29,23.9217,70,70,19.3792,350000,1191.07
-363.6849060058594,1935.41,21.788,71,71,15.1278,355000,2932.22
-119.74969482421875,2305.68,20.9534,72,72,13.2298,360000,3148.03
-494.1803894042969,1008.32,23.2966,73,73,17.4341,365000,1222.05
-498.51416015625,1074.48,23.5574,74,74,19.3602,370000,1235.06
-503.96197509765625,1132.26,23.1329,75,75,18.2446,375000,1214.48
-552.0480346679688,1011.14,24.0252,76,76,19.4137,380000,1135.57
-371.2319030761719,1542.39,22.7589,77,77,15.8425,385000,2711.15
-508.2329406738281,1069.04,23.6819,78,78,16.511,390000,1209.79
-486.34844970703125,1137.99,22.6158,79,79,17.5819,395000,1264.82
-381.27484130859375,1404.08,21.6727,80,80,14.0039,400000,3013.96
-434.86785888671875,1494.48,22.6869,81,81,15.106,405000,2335.67
-382.3402099609375,1346.08,21.4862,82,82,16.7928,410000,2369.81
-523.9439697265625,1138.67,23.3528,83,83,15.8654,415000,1432.54
-408.99176025390625,1544.05,21.633,84,84,14.5324,420000,2617.37
-414.82733154296875,1516.06,21.8455,85,85,14.5227,425000,3017.85
-427.806884765625,1406.75,20.9737,86,86,13.7042,430000,2454.74
