Itration,Running Forward KL,Real Sto Return,Real Det Return,Running Update Time,Reward Loss,Running Env Steps,Running Reverse KL
0,158.4709,-192.08,5.56,0,206.33006286621094,0,11.2801
1,158.212,-23.87,617.27,1,157.86997985839844,5000,11.736
2,157.9516,240.89,786.73,2,112.10041046142578,10000,12.3426
3,157.8546,353.84,872.18,3,56.03125762939453,15000,12.2587
4,158.036,510.58,953.14,4,30.024423599243164,20000,13.9337
5,158.3482,628.77,1087.92,5,-4.109635829925537,25000,14.3315
6,158.0469,746.69,1236.38,6,-34.09528732299805,30000,14.655
7,158.073,744.86,1190.08,7,-39.80132293701172,35000,14.5288
8,157.87,973.12,1446.2,8,-65.15243530273438,40000,15.2868
9,157.9489,949.31,1517.44,9,-89.70443725585938,45000,15.7614
10,157.6941,1095.12,1546.92,10,-106.94825744628906,50000,16.0704
11,157.9699,1100.22,1540.09,11,-121.68411254882812,55000,16.2073
12,157.7828,1155.53,1593.05,12,-162.21694946289062,60000,16.0297
13,157.8498,1213.48,1571.24,13,-206.32652282714844,65000,16.4415
14,157.7364,1266.41,1601.75,14,-229.89971923828125,70000,16.4021
15,157.9457,1255.5,1272.6,15,-251.07479858398438,75000,16.2881
16,157.9118,1303.91,1724.67,16,-294.70086669921875,80000,16.2836
17,157.7122,1279.93,1736.72,17,-331.8306884765625,85000,16.1801
18,157.7388,1326.5,1759.83,18,-348.9623718261719,90000,16.4102
19,157.7518,1368.75,1795.58,19,-391.3602294921875,95000,16.6215
20,157.6591,1414.56,1705.09,20,-422.22894287109375,100000,16.4229
21,157.7151,1427.67,1716.55,21,-454.6591491699219,105000,16.3025
22,157.8216,1440.45,1811.74,22,-483.34222412109375,110000,16.4262
23,157.5239,1489.32,1855.03,23,-508.72772216796875,115000,15.8851
24,157.5415,1469.79,1867.96,24,-537.378173828125,120000,15.9919
25,157.649,1518.67,1925.16,25,-569.3175659179688,125000,16.2604
26,157.6399,1554.94,1920.22,26,-601.5792846679688,130000,16.2948
27,157.5015,1464.33,1893.48,27,-630.4085693359375,135000,16.1716
28,157.8715,1555.08,1956.18,28,-647.7628173828125,140000,16.5174
29,157.6923,1590.93,1920.43,29,-686.8521118164062,145000,16.3055
30,157.4564,1622.24,2009.4,30,-711.38671875,150000,16.4292
31,157.5632,1583.96,1953.06,31,-748.2745361328125,155000,16.1561
32,157.715,1641.79,1970.5,32,-785.4326782226562,160000,16.3897
33,157.6722,1633.19,1942.36,33,-812.930419921875,165000,16.368
34,157.5083,1534.04,1886.37,34,-839.3215942382812,170000,16.1628
35,157.4857,1664.49,1993.02,35,-876.1490478515625,175000,16.4225
36,157.5693,1615.1,1948.19,36,-905.98974609375,180000,16.272
37,157.6346,1649.65,2000.52,37,-941.7391967773438,185000,16.2992
38,157.4665,1649.83,1942.46,38,-970.7952270507812,190000,16.2818
39,157.6343,1682.78,2017.57,39,-997.7389526367188,195000,16.8983
40,157.6192,1675.13,1986.4,40,-1039.50048828125,200000,16.3741
41,157.3216,1696.13,2028.19,41,-1058.1435546875,205000,16.4332
42,157.1775,1634.92,1967.02,42,-1099.786865234375,210000,16.1063
43,157.2838,1671.16,1984.76,43,-1126.0989990234375,215000,15.8789
44,157.9809,-279.37,-451.06,44,-1153.4256591796875,220000,17.9895
45,157.2628,1257.08,-59.96,45,-1194.2259521484375,225000,14.4822
46,157.632,196.64,-282.86,46,-1178.964111328125,230000,12.2114
47,157.5553,223.86,35.93,47,-1224.0943603515625,235000,13.8424
48,157.0986,1613.36,1959.46,48,-1285.5306396484375,240000,14.435
49,157.1943,1622.57,1961.85,49,-1310.0926513671875,245000,15.4989
50,157.5415,853.67,413.63,50,-1336.1431884765625,250000,13.0998
51,157.0339,1587.0,1911.1,51,-1372.6766357421875,255000,15.6569
52,157.3157,1646.06,2001.76,52,-1398.229248046875,260000,16.1651
53,157.1967,1641.84,1974.84,53,-1440.5777587890625,265000,15.9852
54,157.3548,1462.27,263.52,54,-1472.3446044921875,270000,15.784
55,157.2998,1669.77,1997.56,55,-1501.0892333984375,275000,15.9387
56,156.8928,1576.18,1924.89,56,-1527.2677001953125,280000,15.4848
57,157.24,1625.93,1967.67,57,-1573.109375,285000,15.5299
58,157.346,1602.34,2048.63,58,-1593.45849609375,290000,15.9516
59,157.1907,1695.36,2005.83,59,-1625.451171875,295000,15.8964
