Running Forward KL,Real Sto Return,Running Reverse KL,Itration,Real Det Return
424.9785,307.19,245.0366,0,298.44
414.4226,364.74,264.2751,1,372.52
421.1002,364.2,280.1503,2,357.33
424.1002,376.6,263.9222,3,464.28
418.1642,451.49,285.5029,4,576.52
394.3642,409.35,270.4821,5,583.03
387.9444,453.34,262.4206,6,490.89
411.3065,438.66,276.9511,7,447.43
379.8351,442.47,277.7937,8,493.52
380.4465,480.89,288.554,9,460.18
364.0503,515.67,266.4815,10,483.5
366.4487,559.45,257.9451,11,588.87
370.468,557.37,226.7894,12,693.07
378.9225,546.26,255.9331,13,627.23
385.5056,596.49,245.2022,14,693.55
376.4198,550.55,244.9215,15,623.69
363.2619,622.65,256.3136,16,835.82
374.1685,668.78,261.7937,17,738.04
342.6516,743.23,249.8051,18,822.24
353.3747,725.39,233.3713,19,753.12
353.3601,679.42,243.2396,20,761.42
353.1486,657.56,236.6102,21,662.89
344.2935,788.37,241.7225,22,664.55
337.2909,685.22,229.4566,23,866.18
329.7265,842.61,235.9196,24,820.06
330.8184,981.36,220.4812,25,840.35
318.8588,819.06,232.2356,26,895.6
327.6206,896.94,236.6009,27,945.26
337.3098,926.73,277.1099,28,860.69
324.803,1146.37,220.6936,29,1141.33
331.5185,959.53,293.8593,30,971.26
320.3868,814.03,277.3759,31,795.21
321.3489,996.67,273.6225,32,736.84
330.4905,1174.69,271.6612,33,907.94
324.0924,1121.83,260.8945,34,1079.23
301.262,1427.04,235.1996,35,1158.46
323.8009,950.88,263.1401,36,1184.25
328.8331,902.9,285.6251,37,836.86
318.243,1196.3,251.3347,38,1606.64
322.7411,1394.82,258.2671,39,1901.99
323.7498,1451.45,202.0951,40,1819.83
322.2056,1169.8,232.8233,41,1067.65
321.1562,1589.11,210.9962,42,1643.52
365.1478,1388.58,297.1564,43,617.43
326.5944,1326.03,237.3461,44,1064.27
348.1285,1744.5,289.9789,45,1519.66
293.5654,2059.48,203.6788,46,1061.73
291.8802,2327.04,186.0153,47,1541.62
275.0572,4049.06,94.6761,48,4314.25
277.5273,3127.69,157.4426,49,4649.17
315.7007,2133.31,289.989,50,1159.18
277.8002,3332.83,149.5961,51,699.46
262.2869,3330.48,90.0514,52,3639.65
259.2592,4117.81,72.3472,53,2697.49
277.6215,3556.81,153.3751,54,2302.51
281.1527,2503.8,142.9941,55,1942.35
274.8933,3548.36,101.7949,56,3325.8
268.5999,3312.15,96.8555,57,1851.7
283.1126,3535.39,124.7254,58,1998.47
293.2315,2704.82,181.7134,59,1532.31
285.44,2934.82,124.2884,60,1807.08
274.4969,3839.44,98.2936,61,3555.17
284.9307,2426.13,139.5413,62,1849.6
277.8547,3457.92,133.9913,63,3365.2
268.9583,3968.92,116.9489,64,3084.27
260.3011,4477.9,65.7299,65,3084.07
267.8672,3928.18,96.7486,66,2630.6
272.8568,4394.27,99.7331,67,2724.98
260.3293,5041.05,60.3004,68,4715.93
269.9484,4078.08,75.5402,69,3257.67
271.5949,4466.59,69.4134,70,3263.57
266.8199,4932.82,83.1867,71,4882.08
273.0509,4615.94,77.5993,72,3000.09
263.6202,4763.11,61.7878,73,1943.73
273.109,4564.35,84.7485,74,2778.48
269.8515,4991.68,85.8266,75,4354.95
282.0867,4773.76,114.9327,76,3440.17
276.0929,4880.77,79.492,77,4452.63
268.0243,5026.82,67.9841,78,4733.99
265.7443,4814.38,65.5089,79,4437.74
266.8282,4971.63,75.1334,80,5359.05
262.3764,5189.6,75.0527,81,4885.51
255.4864,4811.62,67.619,82,3181.38
275.9187,3939.86,84.7308,83,3695.74
270.8731,4855.64,86.1765,84,5161.02
273.0355,4814.51,81.5817,85,5269.08
282.313,4195.64,105.6887,86,1786.2
285.4272,4049.09,142.2104,87,664.65
291.8837,4157.07,158.1345,88,445.74
277.0669,4520.51,81.0395,89,3698.57
290.1917,4053.59,144.0088,90,3805.79
295.2448,4644.31,144.7875,91,4083.56
284.1624,4643.29,112.0787,92,4980.68
283.3628,4929.22,152.5651,93,3550.0
279.0006,4361.98,96.8023,94,3291.49
308.3809,2827.42,173.5638,95,722.57
264.1247,4890.94,64.1449,96,5270.89
278.6477,4566.87,93.075,97,5002.11
267.3084,4829.21,66.0229,98,5003.2
273.868,5187.76,84.6472,99,4308.98
268.6392,5043.24,73.4861,100,5318.42
275.4158,4976.67,74.5837,101,4282.27
276.6163,4901.02,90.9884,102,4476.14
272.4604,5138.22,70.5456,103,5276.35
269.6188,5249.31,75.4499,104,5337.89
264.5291,4609.76,66.7778,105,3851.4
265.8719,5294.76,75.8953,106,3003.39
261.8031,5140.51,75.3328,107,3302.79
266.508,5237.82,69.2824,108,4660.11
270.3017,5157.95,76.435,109,1981.81
264.1559,5185.38,74.2008,110,5124.74
271.5419,4868.52,89.9049,111,3066.89
265.8219,5244.55,69.6334,112,2584.69
255.4427,5237.8,67.1438,113,3208.23
264.0824,5217.03,64.5341,114,2143.99
281.6164,4351.43,134.2921,115,3964.63
268.857,4784.58,78.658,116,3858.85
259.4539,5066.83,58.4182,117,3997.8
267.7264,4951.76,78.4294,118,2719.74
264.4413,5260.32,75.6656,119,5268.54
278.8844,5125.31,80.6597,120,3197.39
274.9478,4732.16,112.9671,121,3478.83
264.2458,4747.32,62.1706,122,5187.61
278.3153,4054.0,93.006,123,1777.08
269.1091,3337.93,84.1734,124,2117.87
265.8826,5188.47,63.4443,125,1683.43
266.8714,5219.26,68.63,126,4881.64
277.2133,5104.98,73.4458,127,2779.56
260.0309,5156.99,59.9996,128,4539.87
263.2116,4962.82,53.3789,129,4130.39
262.3147,4798.96,59.8394,130,3101.1
271.5143,4163.78,73.046,131,2535.82
258.2719,4906.59,63.6702,132,3452.46
257.7451,5101.92,58.4308,133,5166.27
274.2538,4571.85,74.7877,134,2653.78
271.6795,4758.97,80.7543,135,4339.45
270.4272,5192.67,68.2289,136,3188.4
274.3219,4417.66,99.8472,137,3850.7
264.9421,4930.29,64.0401,138,5269.69
272.1295,4282.5,83.2568,139,1739.6
263.8584,4910.39,61.3696,140,3055.62
270.053,4363.86,65.1331,141,3827.41
281.3055,4581.54,88.0938,142,3661.86
272.7509,4166.82,76.7183,143,4047.1
258.1757,5100.13,49.5237,144,4852.32
260.2386,4752.21,60.861,145,5188.95
271.2904,4648.99,67.4383,146,4213.24
259.9368,4371.09,63.9957,147,3918.52
267.6541,4440.73,64.8603,148,5042.32
262.9731,5033.66,66.2069,149,3773.64
249.9404,5120.31,55.42,150,5022.64
260.6505,5252.48,61.5622,151,4935.08
267.2766,4508.56,64.7408,152,2628.11
264.8486,5103.48,71.8197,153,4522.77
272.1231,4840.84,96.5759,154,2732.3
262.1294,5275.05,65.8882,155,4622.27
278.4135,3871.81,123.4323,156,1438.82
