Reward Loss,Real Sto Return,Itration,Running Update Time,Real Det Return,Running Reverse KL,Running Env Steps,Running Forward KL
-1480.373046875,200.44,0,0,203.35,19.6036,0,33.3561
-1400.692626953125,217.78,1,1,226.74,14.2214,5000,31.1606
-1258.2137451171875,361.84,2,2,355.26,22.3508,10000,30.9037
-1323.8670654296875,353.64,3,3,352.92,27.0178,15000,31.4313
-1462.150634765625,357.2,4,4,356.95,20.7443,20000,30.2859
-1350.1138916015625,468.48,5,5,570.89,17.6607,25000,28.8859
-1385.5938720703125,470.47,6,6,470.54,18.952,30000,29.3572
-1539.808837890625,477.32,7,7,516.3,20.786,35000,28.3844
-1656.8743896484375,293.48,8,8,453.23,20.0172,40000,25.8475
-1389.4527587890625,474.05,9,9,270.14,29.0068,45000,26.9213
-2217.975341796875,1037.96,10,10,1039.49,33.7871,50000,38.4278
-2173.271484375,1027.32,11,11,1026.81,34.4747,55000,34.6495
-2609.45751953125,67.83,12,12,67.53,88.6835,60000,34.44
-2730.365478515625,102.94,13,13,114.64,80.6807,65000,33.8019
-1964.19775390625,1159.54,14,14,1173.93,20.5053,70000,33.162
-2484.742431640625,1035.28,15,15,1035.71,27.03,75000,35.3192
-1636.111083984375,240.04,16,16,258.07,21.3552,80000,32.1003
-2469.7275390625,340.51,17,17,365.03,53.8221,85000,30.6302
-1989.8956298828125,210.14,18,18,256.01,18.0321,90000,31.0326
-2652.834716796875,997.91,19,19,995.51,29.8377,95000,36.7389
-2663.73291015625,1012.74,20,20,1012.11,36.9635,100000,36.4336
-2767.031005859375,1004.77,21,21,1003.8,41.5091,105000,33.9337
-2118.228515625,550.57,22,22,605.77,23.776,110000,30.4792
-2609.646484375,542.0,23,23,533.36,24.2349,115000,31.8143
-2915.801025390625,1032.89,24,24,1032.56,41.3437,120000,35.6137
-2951.415283203125,1006.83,25,25,1007.05,50.6601,125000,37.4209
-2934.014892578125,1009.82,26,26,995.46,39.745,130000,35.1809
-3093.357666015625,843.4,27,27,1023.54,49.451,135000,36.7809
-3072.189697265625,1028.42,28,28,1028.66,34.304,140000,36.5467
-2759.17236328125,715.03,29,29,689.87,32.2968,145000,33.9818
-2526.989501953125,251.03,30,30,254.06,44.9026,150000,30.6863
-3373.0537109375,426.93,31,31,424.73,32.3573,155000,33.0701
-3277.916748046875,187.34,32,32,184.29,38.7384,160000,35.2128
-3360.32421875,81.59,33,33,80.71,40.7479,165000,35.5232
-3520.251953125,250.14,34,34,621.02,95.104,170000,32.8634
-3425.726318359375,304.17,35,35,286.21,39.4643,175000,36.6402
-3546.301513671875,1012.11,36,36,1012.41,52.947,180000,39.0855
-2091.7470703125,165.32,37,37,164.72,18.3781,185000,30.7358
-3642.3818359375,308.68,38,38,336.99,64.463,190000,29.403
-2394.757568359375,230.01,39,39,233.9,79.9567,195000,31.8464
-3894.4189453125,142.0,40,40,137.67,40.4769,200000,38.1769
-3743.052978515625,1053.35,41,41,1058.63,27.9391,205000,37.4511
