Running Env Steps,Running Update Time,Real Det Return,Reward Loss,Running Forward KL,Real Sto Return,Itration,Running Reverse KL
0,0,190.54,158.1358184814453,37.9634,193.49,0,18.2387
5000,1,323.81,143.12425231933594,37.6059,321.57,1,22.526
10000,2,304.89,134.22572326660156,37.2089,306.42,2,21.8807
15000,3,324.92,119.04780578613281,36.7261,312.29,3,24.6572
20000,4,351.54,116.17829132080078,36.7188,344.11,4,23.4231
25000,5,380.72,92.30830383300781,36.204,373.37,5,27.4374
30000,6,364.69,78.42201232910156,36.6819,361.52,6,27.3561
35000,7,367.17,68.65149688720703,36.7313,358.79,7,26.5445
40000,8,335.15,70.80261993408203,37.0731,355.89,8,23.1905
45000,9,409.21,61.11078643798828,36.7675,405.13,9,23.3126
50000,10,401.27,62.97364044189453,36.8869,395.21,10,21.4284
55000,11,408.45,44.451290130615234,36.8728,402.37,11,20.6421
60000,12,421.11,54.55187225341797,34.7198,411.31,12,17.3144
65000,13,419.2,42.90557098388672,35.0906,417.68,13,17.5889
70000,14,419.49,25.737565994262695,33.2697,423.17,14,19.2464
75000,15,411.04,15.975549697875977,35.5533,406.44,15,19.5905
80000,16,413.94,-6.537921905517578,35.4359,407.5,16,21.7963
85000,17,415.91,-8.792940139770508,35.8354,411.1,17,20.6374
90000,18,419.31,-28.69043731689453,35.9389,410.27,18,21.3615
95000,19,418.59,-30.738182067871094,35.3543,412.31,19,20.325
100000,20,420.84,-45.008094787597656,35.3324,415.32,20,20.4195
105000,21,422.07,-53.01073455810547,35.3156,414.6,21,20.6038
110000,22,426.96,-39.91786575317383,34.9593,416.74,22,18.3118
115000,23,422.68,-69.70823669433594,35.1711,416.09,23,19.6304
120000,24,421.6,-70.88065338134766,35.844,411.68,24,18.9107
125000,25,429.55,-62.404659271240234,34.2377,424.85,25,17.2057
130000,26,428.06,-4.6533942222595215,34.4319,413.59,26,15.1098
135000,27,430.22,-68.78583526611328,34.9314,422.27,27,16.8402
140000,28,430.04,-44.869510650634766,33.5456,433.27,28,15.7816
145000,29,526.81,32.87981414794922,34.1589,477.53,29,14.2506
150000,30,554.84,-60.18910598754883,32.0136,499.61,30,17.4227
155000,31,596.3,27.2095947265625,33.9688,632.12,31,14.903
160000,32,620.78,29.381900787353516,32.4303,628.4,32,14.3395
165000,33,636.98,-27.550966262817383,32.9809,735.17,33,15.5072
170000,34,949.23,33.6468505859375,32.9172,662.56,34,14.0933
175000,35,707.67,67.24132537841797,32.3188,713.4,35,14.8969
180000,36,669.59,39.68486022949219,33.9121,668.41,36,15.5768
