Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return,Itration
12.3135,158.6186,-189.9,-26.18,0
11.6788,158.4633,-115.83,6.13,1
12.1868,158.1123,101.92,766.35,2
12.899,158.1527,246.12,744.1,3
13.2623,158.0156,478.19,938.37,4
13.639,157.9748,565.26,926.2,5
13.9224,158.012,640.73,1039.09,6
14.5782,158.064,749.84,1122.43,7
15.2098,157.879,896.91,1272.12,8
15.5472,157.8961,1032.68,1475.61,9
16.0327,157.8549,1106.11,1521.56,10
16.2365,157.8389,1102.76,1458.79,11
16.3398,157.9386,1126.42,1500.33,12
16.3297,158.1612,1178.57,1568.87,13
16.5296,157.927,1219.63,1585.32,14
16.3388,158.0155,1239.34,1680.44,15
16.3526,157.9897,1054.49,1631.56,16
16.7362,158.0938,1307.53,1717.4,17
16.0129,157.8378,1324.08,1749.74,18
16.2411,157.9091,1374.48,1756.07,19
16.484,158.0415,1380.95,1763.66,20
16.3878,157.7127,1399.8,1834.31,21
16.8294,157.8264,1393.46,1807.81,22
16.1664,157.7095,1448.47,1889.01,23
16.7953,157.9221,1494.13,1909.69,24
16.3708,157.6789,1460.08,1890.31,25
16.1081,157.7382,1482.33,1866.23,26
16.4167,157.5788,1526.39,1947.49,27
16.5485,157.7687,1518.29,1908.42,28
16.2967,157.4516,1549.36,1932.72,29
16.5136,157.7369,1583.39,1950.96,30
16.4475,157.7564,1547.79,1954.77,31
16.2721,157.4978,1570.35,1937.5,32
16.5634,157.7159,1578.32,1978.73,33
16.9084,157.5593,1670.23,2056.04,34
16.5054,157.5242,1605.46,2005.54,35
16.8591,157.6084,1621.1,2055.12,36
16.6444,157.5959,1640.99,2046.52,37
16.1616,157.4912,1634.08,2029.57,38
16.3212,157.47,1662.13,2043.2,39
16.2406,157.3821,1636.63,2017.12,40
16.2589,157.2957,1622.22,2036.62,41
16.466,157.3795,1664.1,2047.1,42
16.6327,157.2156,1678.35,2123.57,43
16.485,157.3199,1683.7,2109.56,44
16.0325,157.2721,1671.31,2041.81,45
16.4337,157.3147,1671.92,2046.14,46
16.3613,157.1178,1704.61,2085.73,47
16.6784,157.2165,1732.89,2111.91,48
16.6613,157.0805,1729.85,2098.93,49
15.9742,156.8878,1686.38,2063.23,50
16.0676,157.1024,1720.23,2080.92,51
15.7314,157.0306,1709.89,2077.97,52
16.4413,157.0476,1729.27,2094.15,53
16.1738,157.2186,1763.34,2130.55,54
16.1003,157.185,1705.01,2072.59,55
16.5271,157.3148,1760.37,2094.31,56
16.2893,157.0947,1738.99,2126.0,57
16.0412,157.0556,1727.59,2074.12,58
15.7803,156.8897,1746.69,2090.01,59
15.8717,156.9692,1764.26,2111.76,60
15.9374,156.9635,1723.91,2073.95,61
16.3825,157.1371,1775.06,2123.39,62
16.1692,157.0291,1740.1,2099.08,63
16.2678,157.0761,1755.04,2094.0,64
16.4397,157.168,1759.16,2124.3,65
15.861,157.229,1741.72,2082.59,66
16.2417,157.0676,1790.31,2147.44,67
15.9811,156.9755,1767.14,2123.94,68
15.9016,156.7781,1780.98,2123.75,69
15.7802,156.9614,1739.4,2081.24,70
15.7802,157.0533,1745.23,2097.41,71
15.5631,156.8246,1755.47,2068.42,72
15.8394,156.7831,1735.75,2113.89,73
16.0896,156.942,1767.43,2131.6,74
15.8466,156.9551,1794.36,2132.89,75
15.8916,156.9072,1760.17,2104.74,76
15.9957,157.051,1761.43,2108.36,77
16.062,156.9284,1787.43,2113.33,78
16.0636,156.9803,1770.41,2074.89,79
16.0855,156.7646,1823.54,2159.58,80
15.8898,156.8881,1788.18,2081.42,81
15.6901,156.8122,1780.56,2144.95,82
15.576,156.8826,1756.83,2060.78,83
15.9374,156.7902,1815.05,2179.39,84
15.8236,156.8024,1757.43,2130.51,85
15.6756,156.9328,1791.89,2167.75,86
15.8385,156.9389,1804.45,2154.02,87
15.7022,156.9006,1794.26,2109.33,88
15.4961,156.8048,1778.77,2077.45,89
15.8445,156.8917,1806.29,2138.71,90
16.1131,156.9655,1816.92,2145.08,91
15.6103,156.7774,1794.19,2156.46,92
15.8078,156.8454,1808.49,2216.14,93
16.0067,156.7281,1800.47,2129.79,94
15.56,156.8979,1801.55,2131.92,95
15.4572,156.7569,1804.58,2165.72,96
15.858,156.8271,1834.53,2185.52,97
15.5704,156.777,1811.15,2167.24,98
15.9367,156.8002,1834.4,2233.06,99
15.4781,156.9352,1824.76,2101.26,100
15.3126,156.754,1811.94,2204.28,101
15.5358,156.7108,1829.4,2146.03,102
15.7456,156.7248,1833.99,2146.24,103
15.326,156.686,1805.42,2146.01,104
15.2972,156.8188,1823.88,2163.11,105
15.6859,156.7071,1862.98,2216.19,106
15.711,156.6848,1830.3,2164.64,107
15.6845,156.9589,1814.98,2156.62,108
15.9322,156.7366,1848.56,2219.47,109
15.4699,156.8772,1834.71,2171.69,110
15.3667,156.8481,1816.14,2166.16,111
15.5374,156.8273,1812.33,2161.2,112
15.4482,156.6582,1827.98,2182.38,113
15.3947,156.762,1803.64,2123.26,114
15.869,156.8295,1849.02,2186.65,115
15.8009,156.7429,1839.49,2196.85,116
15.8048,156.7674,1828.76,2171.63,117
15.6417,156.7755,1833.18,2194.91,118
15.695,156.7857,1877.19,2237.81,119
15.8951,156.809,1868.59,2204.11,120
15.4455,156.8095,1846.05,2183.41,121
15.4629,156.7245,1837.19,2183.33,122
15.478,156.6788,1818.64,2190.34,123
15.8067,156.8886,1849.15,2169.25,124
15.3639,156.7289,1836.11,2160.74,125
15.3599,156.6285,1850.74,2200.87,126
15.6807,156.6708,1880.73,2224.39,127
15.2692,156.6985,1836.82,2185.33,128
15.4519,156.6895,1850.24,2206.33,129
15.7278,156.8246,1853.95,2202.33,130
15.8194,156.7212,1897.08,2262.08,131
15.3781,156.7853,1851.8,2227.34,132
15.4114,156.652,1853.85,2204.08,133
15.1961,156.6384,1857.98,2204.79,134
15.5074,156.8271,1870.27,2226.24,135
15.5833,156.8392,1859.07,2217.02,136
15.4072,156.725,1850.7,2186.45,137
15.1495,156.6959,1839.31,2152.02,138
15.3666,156.8725,1851.1,2203.06,139
15.4827,156.8205,1853.09,2175.71,140
15.6337,156.6852,1909.54,2242.57,141
15.2041,156.7544,1848.3,2188.85,142
15.5611,156.613,1871.62,2228.9,143
15.3595,156.7036,1849.0,2201.88,144
15.2174,156.5983,1869.54,2222.37,145
15.3576,156.8253,1877.67,2215.85,146
15.5346,156.5321,1885.4,2232.01,147
15.3645,156.7307,1895.47,2246.94,148
15.4753,156.5798,1885.71,2214.67,149
15.4118,156.7861,1889.41,2257.74,150
15.393,156.7821,1882.3,2237.67,151
15.5952,156.6899,1886.64,2238.01,152
15.2975,156.714,1846.24,2223.64,153
15.8075,156.6873,1895.44,2239.89,154
15.251,156.7042,1857.37,2218.31,155
15.5641,156.5971,1885.27,2261.84,156
15.5283,156.7455,1854.79,2228.82,157
15.4974,156.5765,1879.92,2230.84,158
15.3957,156.8174,1864.47,2224.91,159
15.3214,156.682,1878.44,2221.12,160
15.3079,156.6968,1890.97,2197.92,161
15.2437,156.6175,1861.59,2235.77,162
15.5991,156.6976,1867.91,2229.68,163
15.3601,156.7307,1874.63,2236.07,164
15.2028,156.6447,1845.33,2172.13,165
15.3612,156.6442,1906.31,2222.05,166
15.4341,156.8479,1886.59,2215.88,167
15.4997,156.6694,1895.9,2260.18,168
15.6611,156.7654,1925.93,2252.82,169
15.0818,156.6227,1850.11,2208.61,170
15.2961,156.6061,1879.88,2202.12,171
15.2524,156.7594,1833.23,2203.74,172
15.1581,156.6488,1893.87,2241.21,173
15.5154,156.6817,1883.74,2216.8,174
15.3664,156.5276,1872.38,2202.88,175
15.3563,156.6443,1907.44,2241.11,176
15.0985,156.7693,1867.12,2241.26,177
15.2793,156.6955,1870.55,2188.28,178
15.2317,156.7079,1867.02,2251.37,179
15.1846,156.8255,1848.16,2193.9,180
15.198,156.7215,1881.15,2204.32,181
14.9513,156.6523,1892.39,2233.0,182
15.2062,156.5653,1886.61,2249.37,183
15.0671,156.6134,1905.43,2244.96,184
15.0483,156.7256,1870.92,2209.19,185
15.0856,156.695,1885.18,2247.24,186
15.0898,156.6783,1880.64,2279.23,187
15.3284,156.6501,1914.89,2260.92,188
15.0653,156.6979,1867.59,2186.46,189
15.1139,156.5274,1911.1,2246.58,190
15.2614,156.5998,1894.28,2253.39,191
15.0444,156.6673,1891.45,2226.99,192
14.7732,156.6609,1850.04,2188.04,193
15.0833,156.6266,1870.52,2279.76,194
15.1644,156.6276,1906.81,2213.84,195
15.3171,156.6215,1881.9,2246.06,196
15.1556,156.4385,1904.21,2245.27,197
15.1653,156.7094,1900.38,2269.3,198
15.6534,156.8398,1922.82,2260.51,199
15.5151,156.7212,1901.81,2287.04,200
15.3185,156.7419,1882.82,2275.44,201
15.1611,156.5942,1897.94,2246.34,202
15.2803,156.6938,1889.61,2259.76,203
