Running Reverse KL,Real Sto Return,Itration,Running Forward KL,Real Det Return
15.8072,278.36,0,36.5261,281.66
18.4609,360.79,1,36.9756,364.52
17.4111,368.1,2,34.4104,362.28
20.0059,367.58,3,34.2508,172.93
27.8928,490.52,4,34.3644,459.63
42.6179,547.53,5,33.5234,598.37
31.9484,660.4,6,33.8162,687.21
33.604,637.07,7,32.7792,665.93
39.4246,586.49,8,33.7596,608.77
29.1842,1326.11,9,32.8854,1139.28
31.4378,791.8,10,31.6163,798.14
30.7996,790.3,11,31.9947,828.0
27.8846,881.86,12,31.6641,1044.06
29.7417,1064.8,13,31.6832,1166.0
29.6586,1183.74,14,31.4011,1245.65
17.901,2515.12,15,29.2335,3141.53
22.2134,1227.14,16,31.4048,1584.36
27.2264,998.03,17,31.2931,1206.08
22.0786,1484.08,18,30.8364,2245.47
22.0336,1455.73,19,31.1588,1564.27
23.0042,1612.21,20,30.4415,2611.52
23.3224,1183.53,21,30.4082,1368.78
