Running Reverse KL,Itration,Real Det Return,Running Forward KL,Real Sto Return
16.7706,0,236.36,36.0443,257.92
19.8447,1,273.37,37.0286,274.6
18.2637,2,291.01,35.9373,287.55
18.6076,3,343.3,35.5219,338.9
17.247,4,268.56,35.8169,272.23
17.6727,5,338.52,35.6132,348.16
15.2606,6,488.77,32.4472,494.53
14.8202,7,781.76,31.658,652.24
15.015,8,672.58,32.4018,715.39
14.7126,9,806.49,31.748,718.02
16.7537,10,1042.67,32.1741,989.91
15.9517,11,896.62,31.285,865.73
13.507,12,383.53,28.5477,937.73
15.7515,13,1041.9,29.1004,1222.54
16.5062,14,963.47,32.0457,928.03
17.7831,15,1209.94,29.7966,1314.48
13.23,16,1077.46,28.9732,1431.47
16.5757,17,3188.56,26.8421,2155.09
39.0529,18,979.27,28.7516,1723.07
32.5561,19,1160.36,28.6094,1074.95
13.2231,20,1382.33,28.4856,1175.04
14.997,21,973.17,30.5903,940.2
13.1314,22,3279.04,26.6734,1909.06
16.667,23,1192.27,29.7014,1129.81
12.7621,24,3205.32,26.5719,2031.02
16.6967,25,3238.15,25.1714,2683.2
11.2858,26,3042.52,26.0758,2592.33
12.0091,27,3141.46,25.6109,2295.32
