Running Reverse KL,Running Env Steps,Real Sto Return,Reward Loss,Real Det Return,Itration,Running Update Time,Running Forward KL
25.882,0,-122.66,368.59259033203125,401.01,0,0,75.0206
25.6277,5000,-44.65,312.15496826171875,251.15,1,1,74.0689
26.8555,10000,-50.28,250.9122314453125,426.1,2,2,75.0861
27.3728,15000,-14.61,175.21775817871094,420.96,3,3,74.2748
28.5977,20000,4.74,106.9807357788086,642.78,4,4,73.7172
29.5207,25000,49.27,25.358617782592773,718.23,5,5,73.8822
29.5242,30000,60.36,-16.516416549682617,496.86,6,6,73.2994
30.7904,35000,61.16,-118.93524169921875,692.14,7,7,72.1443
30.7982,40000,84.54,-192.07516479492188,615.02,8,8,74.6023
31.1113,45000,99.2,-263.939208984375,681.4,9,9,73.4163
30.1104,50000,130.68,-328.3505554199219,715.82,10,10,69.5294
31.1939,55000,171.57,-411.9742431640625,585.65,11,11,70.0258
30.4437,60000,154.19,-448.424560546875,648.49,12,12,69.9516
29.8936,65000,206.27,-521.24169921875,1019.46,13,13,69.1036
30.3774,70000,198.81,-622.1785888671875,902.13,14,14,72.288
30.6747,75000,164.76,-663.3432006835938,685.15,15,15,70.0668
30.8816,80000,154.16,-752.4739990234375,692.26,16,16,72.8095
30.0874,85000,118.37,-812.4840698242188,720.6,17,17,69.1512
29.8226,90000,178.42,-879.8878173828125,761.49,18,18,69.7743
30.8492,95000,195.4,-973.3859252929688,866.05,19,19,72.1016
31.3955,100000,193.88,-1049.567138671875,687.85,20,20,72.8838
30.8734,105000,229.58,-1103.5322265625,742.71,21,21,71.2843
30.7833,110000,197.78,-1169.29443359375,784.34,22,22,71.5416
31.1695,115000,249.35,-1249.5107421875,926.14,23,23,72.2135
30.8693,120000,254.41,-1328.059326171875,896.39,24,24,70.8839
30.5679,125000,230.74,-1388.493896484375,640.2,25,25,71.5715
30.4605,130000,264.45,-1469.99169921875,1044.67,26,26,71.0605
30.9588,135000,271.15,-1542.5369873046875,836.48,27,27,71.5635
30.3425,140000,230.01,-1627.0513916015625,914.96,28,28,69.1651
30.0479,145000,248.63,-1683.0802001953125,805.86,29,29,70.3859
30.8318,150000,228.31,-1784.4378662109375,786.97,30,30,71.044
30.2631,155000,322.6,-1854.6273193359375,986.3,31,31,70.8022
30.9364,160000,301.76,-1952.0523681640625,583.64,32,32,71.367
30.4537,165000,230.84,-2019.0899658203125,798.15,33,33,71.2768
30.4868,170000,325.63,-2078.789306640625,953.6,34,34,70.2123
30.5564,175000,271.45,-2174.993896484375,1079.67,35,35,70.8809
30.3467,180000,245.44,-2224.7958984375,811.05,36,36,70.245
31.0785,185000,268.11,-2369.006103515625,976.9,37,37,72.3125
29.8347,190000,328.84,-2371.26416015625,994.14,38,38,69.6872
30.1588,195000,298.77,-2461.93798828125,1080.6,39,39,69.7827
29.4226,200000,327.31,-2479.371826171875,971.7,40,40,67.5221
29.8397,205000,357.48,-2611.74267578125,945.56,41,41,70.1273
29.6251,210000,318.45,-2654.734619140625,1132.93,42,42,68.2632
29.6189,215000,442.19,-2728.114990234375,1530.68,43,43,68.6042
27.4915,220000,387.4,-2646.958740234375,1048.56,44,44,64.9757
28.8192,225000,471.28,-2886.641845703125,997.37,45,45,69.1283
28.3546,230000,480.36,-2810.131591796875,1452.88,46,46,64.9256
29.2046,235000,482.19,-3079.43505859375,1314.43,47,47,68.1587
29.8343,240000,378.31,-3211.71728515625,1211.2,48,48,69.4484
28.8894,245000,383.14,-3211.126708984375,1225.83,49,49,68.2888
27.5359,250000,530.16,-3146.29638671875,1112.86,50,50,64.6376
28.6726,255000,478.03,-3333.719482421875,1064.92,51,51,67.3539
28.8801,260000,423.17,-3455.57763671875,1135.75,52,52,67.4136
28.9963,265000,462.63,-3586.19970703125,1240.4,53,53,67.7072
27.6933,270000,718.28,-3391.080322265625,1111.16,54,54,65.0266
27.948,275000,471.39,-3624.4853515625,1029.77,55,55,66.4194
27.2829,280000,625.38,-3544.15087890625,1289.62,56,56,65.1993
28.4906,285000,912.67,-3404.1201171875,1610.62,57,57,65.0436
27.7722,290000,692.59,-3538.455810546875,1659.03,58,58,64.8008
27.8449,295000,888.99,-3570.041015625,1656.82,59,59,64.2952
27.797,300000,730.63,-3992.004638671875,1369.93,60,60,66.0967
27.8702,305000,711.09,-3831.591064453125,1546.64,61,61,65.3922
28.6484,310000,1205.12,-3672.45654296875,2557.53,62,62,64.2149
27.9571,315000,789.32,-4209.02783203125,1492.46,63,63,66.1175
28.2679,320000,998.04,-3892.581787109375,2143.76,64,64,64.7674
27.0226,325000,805.03,-4142.2451171875,1821.85,65,65,64.04
27.4462,330000,521.31,-4498.31689453125,1193.55,66,66,66.5783
27.9542,335000,1087.02,-4596.82861328125,1328.72,67,67,67.1119
28.3195,340000,1021.98,-4080.813232421875,1785.29,68,68,63.9526
29.3399,345000,930.02,-3920.687744140625,1855.18,69,69,63.763
27.3458,350000,703.63,-4802.18115234375,1326.84,70,70,67.002
31.9853,355000,1659.86,-4071.179931640625,3031.04,71,71,65.1416
30.5748,360000,1502.54,-4065.33251953125,2723.58,72,72,64.6407
30.5225,365000,1508.9,-4271.49072265625,2705.73,73,73,64.7086
40.6205,370000,1893.32,-3589.583740234375,3209.49,74,74,66.7124
28.0412,375000,1199.13,-4807.3740234375,2140.51,75,75,66.5371
38.1056,380000,1974.36,-3617.970458984375,3295.4,76,76,67.0027
