Itration,Running Forward KL,Running Reverse KL,Reward Loss,Real Sto Return,Running Env Steps,Running Update Time,Real Det Return
0,158.4769,11.4754,25.244638442993164,-226.31,0,0,-5.27
1,158.4819,12.2416,-25.62411117553711,-55.88,5000,1,-61.91
2,158.3066,11.8,-58.121891021728516,30.7,10000,2,710.5
3,158.1504,12.032,-109.50460052490234,145.47,15000,3,560.88
4,157.9729,12.2517,-160.40711975097656,276.21,20000,4,697.41
5,157.8578,12.0853,-197.36598205566406,353.23,25000,5,857.63
6,157.7334,12.5819,-228.69676208496094,430.5,30000,6,853.58
7,157.8527,13.0615,-286.23443603515625,577.07,35000,7,989.16
8,158.2069,14.5825,-324.47479248046875,739.45,40000,8,1089.76
9,157.9704,14.7028,-360.55072021484375,812.48,45000,9,1230.04
10,157.8261,15.1484,-390.2083740234375,979.86,50000,10,1367.81
11,157.7592,15.6726,-440.0693664550781,1019.82,55000,11,1453.16
12,157.6151,15.8603,-476.4127197265625,1079.72,60000,12,1548.12
13,157.6472,16.3637,-510.8050842285156,1186.49,65000,13,1625.12
14,157.8231,16.4051,-557.4406127929688,1174.2,70000,14,1606.47
15,157.9019,16.3539,-590.179931640625,1235.02,75000,15,1626.62
16,157.7903,16.3156,-633.5413208007812,1272.11,80000,16,1603.33
17,157.5408,15.8297,-689.6654663085938,1277.4,85000,17,1737.49
18,157.7759,16.4174,-732.4591674804688,1345.99,90000,18,1746.12
19,157.702,16.103,-771.9097290039062,1378.49,95000,19,1788.1
20,157.7528,16.3095,-817.0891723632812,1386.73,100000,20,1790.08
21,157.6141,15.9578,-849.1356811523438,1380.25,105000,21,1760.8
22,157.6814,16.0604,-895.630859375,1454.86,110000,22,1854.94
23,157.6127,16.2569,-935.9556884765625,1509.82,115000,23,1890.52
24,157.5625,16.0555,-963.5574340820312,1493.96,120000,24,1863.38
25,157.5323,16.0972,-1002.9246826171875,1506.84,125000,25,1857.14
26,157.4693,15.6556,-1051.649658203125,1518.82,130000,26,1909.67
27,157.8258,16.3976,-1094.9239501953125,1527.14,135000,27,1892.42
28,157.6189,15.9981,-1111.04345703125,1524.7,140000,28,1871.57
29,157.6001,16.2479,-1162.0751953125,1571.67,145000,29,1931.55
30,157.3904,15.9331,-1201.2020263671875,1566.91,150000,30,1947.26
31,157.691,16.2395,-1242.7821044921875,1596.23,155000,31,1958.41
32,157.5395,16.259,-1285.931396484375,1583.59,160000,32,1965.27
33,157.3964,15.7757,-1313.6962890625,1555.56,165000,33,1899.7
34,157.2837,15.6976,-1346.76318359375,1585.49,170000,34,1917.21
35,157.4101,15.9172,-1397.422607421875,1603.88,175000,35,1932.6
36,157.3443,16.0809,-1419.1387939453125,1641.17,180000,36,2006.68
37,157.4257,16.1466,-1455.0592041015625,1643.49,185000,37,1957.56
38,157.3385,16.0688,-1490.998046875,1689.56,190000,38,2029.14
39,157.2357,16.1558,-1533.9228515625,1645.47,195000,39,2029.32
40,157.4582,16.2974,-1570.4732666015625,1661.13,200000,40,2051.5
41,157.2157,15.9274,-1621.5728759765625,1647.71,205000,41,2021.73
42,157.1506,15.9058,-1639.9256591796875,1672.78,210000,42,2053.94
43,157.2406,15.9371,-1680.3497314453125,1645.01,215000,43,2024.27
44,157.0037,15.8952,-1722.8118896484375,1671.13,220000,44,2010.4
45,157.2178,16.1289,-1746.135986328125,1681.58,225000,45,2079.01
46,157.2772,15.7754,-1799.16455078125,1671.83,230000,46,2049.77
47,157.0285,15.6197,-1815.6361083984375,1667.02,235000,47,2004.34
48,157.1205,15.7932,-1851.5809326171875,1694.91,240000,48,2075.94
49,157.0469,15.8489,-1912.986328125,1690.03,245000,49,2033.15
50,156.9446,15.9112,-1946.136962890625,1717.0,250000,50,2053.75
