Running Forward KL,Itration,Real Sto Return,Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps,Real Det Return
461.4601,0,314.98,0,2128.77099609375,261.2852,0,341.18
424.3349,1,346.95,1,692.3973388671875,235.0741,5000,439.37
431.6494,2,360.4,2,698.1271362304688,256.6081,10000,365.8
438.1425,3,408.43,3,538.0159912109375,262.0358,15000,321.79
431.688,4,439.36,4,1615.45703125,282.0677,20000,403.6
426.3539,5,415.42,5,500.1646423339844,267.0986,25000,553.36
422.5064,6,441.91,6,-230.60369873046875,241.1686,30000,317.55
404.6651,7,480.38,7,-406.0929870605469,249.475,35000,567.71
406.6689,8,450.52,8,-342.31365966796875,261.7557,40000,611.43
397.1056,9,501.77,9,-900.791259765625,234.505,45000,571.84
413.3997,10,451.4,10,-1119.171630859375,256.4968,50000,444.67
409.923,11,514.58,11,-1283.4114990234375,232.7325,55000,600.51
411.0558,12,652.0,12,-1634.451416015625,229.622,60000,525.75
405.7285,13,553.91,13,-1799.8673095703125,230.7033,65000,617.41
394.047,14,663.72,14,-1928.14453125,230.1113,70000,687.56
396.1718,15,630.71,15,-1700.7774658203125,252.6148,75000,577.48
399.5996,16,636.19,16,-2364.802734375,231.5871,80000,537.67
