Running Forward KL,Running Update Time,Running Reverse KL,Running Env Steps,Real Det Return,Real Sto Return,Itration,Reward Loss
34.3478,0,22.8636,0,230.35,221.95,0,257.1713562011719
32.7624,1,23.5565,5000,245.37,244.76,1,108.58654022216797
31.9408,2,20.9296,10000,279.94,280.39,2,15.481392860412598
31.123,3,18.7067,15000,266.89,271.68,3,-70.15422058105469
29.9879,4,17.04,20000,310.84,291.8,4,13.954097747802734
31.2552,5,18.0562,25000,326.81,320.76,5,-18.512720108032227
30.6199,6,18.5058,30000,346.51,339.08,6,-173.72647094726562
28.6979,7,18.7573,35000,386.85,372.81,7,-179.3590850830078
26.955,8,21.7923,40000,447.53,541.84,8,-150.8643798828125
27.6697,9,17.6535,45000,471.58,485.27,9,-200.66737365722656
26.2288,10,18.5686,50000,521.83,557.35,10,-262.5219421386719
26.6319,11,16.8111,55000,680.55,640.45,11,-266.2758483886719
27.073,12,17.2386,60000,605.32,572.23,12,-308.1662902832031
26.6931,13,26.4185,65000,786.0,773.45,13,-109.46360778808594
26.3583,14,22.1154,70000,361.93,447.6,14,-457.5899658203125
27.4806,15,31.7457,75000,752.27,732.67,15,-333.325439453125
26.1355,16,50.3236,80000,822.78,831.51,16,-231.3762969970703
26.2947,17,32.9349,85000,1186.87,1084.01,17,-337.8110046386719
25.8799,18,35.1146,90000,921.82,952.38,18,-434.138916015625
26.2971,19,45.2622,95000,890.23,956.66,19,-496.4471740722656
27.0287,20,35.9602,100000,291.66,927.9,20,-566.4783935546875
26.2606,21,40.3482,105000,973.07,995.32,21,-587.5087890625
24.8045,22,38.107,110000,1729.0,1058.72,22,-523.9019165039062
25.4657,23,40.2036,115000,770.71,994.79,23,-557.7698974609375
25.4852,24,45.8633,120000,862.06,921.58,24,-723.5276489257812
24.3373,25,39.2503,125000,1442.54,1071.24,25,-716.2838134765625
24.8075,26,46.0052,130000,986.76,980.98,26,-823.9197998046875
24.2891,27,47.3148,135000,962.81,954.04,27,-861.6973266601562
23.2003,28,37.7534,140000,1107.21,1162.28,28,-801.274169921875
23.6538,29,45.2924,145000,998.93,1065.11,29,-919.1994018554688
23.2147,30,31.3126,150000,1733.02,1897.35,30,-744.635498046875
