Running Env Steps,Running Update Time,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Reverse KL,Real Det Return
335000,67,25.8207,2486.53,67,-1169.168701171875,13.7052,2503.14
340000,68,23.9454,3145.8,68,-898.7848510742188,15.3922,3137.53
345000,69,23.8345,3133.6,69,-971.9932250976562,15.6241,3151.0
350000,70,24.5262,2913.54,70,-1131.0345458984375,14.833,2859.41
355000,71,23.1699,2888.8,71,-1038.82177734375,14.2107,3101.8
360000,72,23.887,3067.39,72,-1206.2347412109375,16.7129,2540.27
365000,73,22.9392,3127.71,73,-1022.532958984375,14.188,3143.28
370000,74,23.6241,2886.94,74,-1122.153076171875,14.922,3064.35
375000,75,22.8985,2745.49,75,-1023.7642211914062,14.193,3147.98
380000,76,24.2165,2793.68,76,-1176.8038330078125,15.746,3157.92
385000,77,23.4679,3130.37,77,-1130.553955078125,15.3914,3103.47
390000,78,23.4112,3161.12,78,-1088.2843017578125,14.2506,3181.76
395000,79,24.0465,3019.45,79,-1234.185546875,15.8419,3140.3
400000,80,23.2368,3099.25,80,-1192.3316650390625,13.4908,3090.7
405000,81,22.8239,2122.69,81,-1492.9510498046875,12.9278,2413.55
410000,82,24.2841,2729.78,82,-1320.2364501953125,15.3056,3142.6
415000,83,24.5117,3083.57,83,-1326.1966552734375,15.3164,3184.01
420000,84,23.2168,3197.24,84,-1197.177490234375,14.9896,3191.62
425000,85,22.8963,3086.59,85,-1212.505615234375,13.7234,3192.35
430000,86,23.5521,2789.06,86,-1246.906005859375,14.4701,3167.02
435000,87,23.5707,2488.69,87,-1250.782470703125,14.996,3196.84
440000,88,24.8133,2270.78,88,-1733.9586181640625,16.2711,1129.41
445000,89,23.4942,3124.98,89,-1204.9918212890625,13.9385,3121.58
450000,90,23.5013,3103.2,90,-1381.22900390625,14.2007,3199.17
455000,91,23.3947,3162.97,91,-1287.7440185546875,14.7905,3221.31
460000,92,22.1205,3201.04,92,-1312.017578125,13.8257,3206.46
465000,93,23.5064,3086.54,93,-1402.5633544921875,14.7352,3207.4
470000,94,22.4839,3178.37,94,-1342.969482421875,13.451,3228.38
475000,95,23.1474,2946.21,95,-1406.5662841796875,14.2499,3210.33
480000,96,23.6362,2158.24,96,-1705.42431640625,15.1307,2982.81
485000,97,23.5219,2798.57,97,-1360.1746826171875,14.1753,3208.61
490000,98,23.3339,2854.34,98,-1443.29345703125,13.4375,3195.08
495000,99,22.975,3182.34,99,-1485.7391357421875,14.6646,3190.36
500000,100,23.7025,3192.71,100,-1414.859375,15.2387,3200.91
505000,101,23.222,2309.52,101,-1463.18896484375,15.2862,3204.7
510000,102,22.7898,2443.33,102,-1427.1893310546875,14.0835,3254.67
515000,103,22.7867,3177.79,103,-1457.2373046875,14.1181,3182.01
520000,104,22.4717,3228.08,104,-1466.9024658203125,14.0442,3239.14
525000,105,22.8413,3200.0,105,-1540.2071533203125,15.0175,3211.1
530000,106,24.2341,260.89,106,-1767.18896484375,18.5005,105.66
535000,107,20.4695,2796.81,107,-1231.6544189453125,10.8943,3043.78
540000,108,22.871,3197.48,108,-1529.27685546875,14.37,3199.83
545000,109,21.778,3065.16,109,-1423.8785400390625,13.276,3119.91
550000,110,22.4176,3054.88,110,-1671.135009765625,13.5718,2997.82
555000,111,23.2604,3085.22,111,-1598.8798828125,14.6592,3051.47
560000,112,23.3103,3166.71,112,-1584.596923828125,14.5392,3169.48
565000,113,23.0143,3150.92,113,-1698.4617919921875,14.9703,3155.03
570000,114,22.8902,3192.32,114,-1588.2764892578125,14.4259,3175.82
575000,115,22.7225,2762.63,115,-1815.5975341796875,15.0141,3219.3
580000,116,22.9778,2931.02,116,-1724.458251953125,14.342,3046.7
585000,117,22.6394,2938.84,117,-1635.094482421875,13.4647,3124.52
590000,118,22.6804,3006.53,118,-1772.2286376953125,14.3176,3177.18
595000,119,21.9766,3082.94,119,-1715.0318603515625,13.0069,3074.18
600000,120,22.9005,3183.57,120,-1778.7391357421875,14.4938,3198.09
605000,121,21.5956,3254.07,121,-1527.59765625,12.9258,3251.51
610000,122,20.7035,3242.72,122,-1522.7620849609375,12.9862,3201.3
615000,123,21.3465,3245.72,123,-1612.2861328125,13.2559,3224.45
620000,124,20.584,3064.52,124,-1543.727783203125,12.0582,1161.17
625000,125,21.5984,3248.17,125,-1671.4208984375,13.8295,3210.0
630000,126,22.4343,3274.47,126,-1720.765380859375,14.77,3287.57
635000,127,21.668,3287.69,127,-1708.197509765625,14.3659,3295.09
640000,128,21.9315,3271.93,128,-1724.90380859375,14.6206,3255.41
