Real Sto Return,Real Det Return,Running Forward KL,Itration,Running Reverse KL
2848.53,2799.99,30.9194,67,15.6628
1437.81,1988.39,31.2174,68,20.949
2896.01,2757.15,30.3776,69,14.9768
1937.17,3110.16,30.0378,70,18.6687
2912.32,2854.94,30.8145,71,14.7304
2967.61,2971.89,30.6247,72,15.6985
2994.98,2958.41,30.8082,73,15.2252
2890.55,2846.67,31.1656,74,15.4185
2961.63,2867.33,29.2983,75,13.5352
2988.32,2935.47,30.5958,76,16.3319
2959.77,3007.67,30.5854,77,15.9723
1521.33,3177.11,30.7455,78,51.7836
2829.56,3000.44,30.0596,79,16.2435
2844.08,2755.72,31.052,80,15.0808
1600.14,2688.37,30.4483,81,32.4259
2899.04,2894.03,30.73,82,19.4127
2027.4,3101.32,31.4631,83,21.0261
2989.51,2908.03,29.8409,84,14.5884
2297.87,3071.62,29.3294,85,22.8342
2989.97,2875.98,30.6304,86,15.6502
3020.76,2972.88,30.4061,87,15.7045
2715.71,3055.01,29.3561,88,14.8066
2740.53,3107.62,30.3153,89,20.9255
2911.57,3095.79,30.5085,90,15.2731
3076.46,3049.45,29.5312,91,14.9494
3000.66,2983.18,29.4754,92,14.2727
3040.63,3002.43,30.378,93,15.7407
3018.82,2991.7,29.6963,94,14.9808
2960.67,2910.62,30.1967,95,14.8731
3143.5,3092.95,30.6348,96,15.8296
3160.05,3136.27,29.7841,97,15.6383
3034.64,2983.29,28.8858,98,13.3647
3077.73,3026.4,30.3686,99,16.0489
2624.33,2996.03,28.6238,100,13.3598
3077.55,3052.82,30.5751,101,17.3364
2944.21,3101.2,29.7718,102,15.1414
3079.48,3044.0,30.4511,103,16.0069
2994.25,3147.48,30.0956,104,15.843
2970.07,2928.34,29.6701,105,13.8509
2758.59,2844.42,29.9332,106,13.7615
3022.46,2978.19,28.9985,107,13.3343
3019.84,3030.42,29.2617,108,14.1274
3041.54,3050.75,29.4148,109,15.5737
3124.54,3140.81,29.8624,110,15.2479
2033.43,3112.31,30.8426,111,26.8083
3191.91,3207.35,30.4654,112,16.1423
2905.28,3178.21,29.4256,113,16.2516
3017.02,2986.35,29.4391,114,14.4568
2934.91,3092.06,30.3193,115,18.756
3102.48,3092.7,30.3493,116,16.3217
3022.76,2967.93,30.0499,117,14.3359
3156.34,3184.08,29.3204,118,15.1166
2941.83,3161.56,30.4542,119,16.9142
3012.27,2976.65,30.1825,120,15.7456
3029.33,3174.45,29.7036,121,14.9779
2631.16,3162.15,30.3416,122,15.9365
3217.31,3178.59,28.4606,123,14.5367
3117.0,3100.17,30.0632,124,16.011
3153.28,3087.78,30.0731,125,16.0147
3074.23,3052.54,29.8745,126,14.5775
3105.03,3079.83,30.0777,127,15.6641
3039.95,3014.4,29.5114,128,14.2462
3000.37,2905.66,29.9819,129,14.393
1752.04,3253.9,31.223,130,15.8464
2519.28,2949.53,29.5185,131,13.4411
2612.49,3182.43,28.8321,132,14.9749
3196.78,3199.17,27.7281,133,12.854
3103.47,3080.38,28.4799,134,13.878
3175.29,3203.12,28.7271,135,13.9425
2371.49,3175.22,30.2387,136,36.388
3109.55,3085.8,29.6255,137,15.7671
3132.34,3166.1,29.438,138,15.1991
3198.34,3193.28,28.4148,139,13.9164
2991.49,3156.3,30.061,140,14.8845
3085.22,3107.29,29.727,141,14.9639
3196.08,3194.44,29.6428,142,14.7929
3150.28,3134.73,28.5815,143,14.487
3141.48,3121.14,29.1689,144,14.965
3025.37,3212.62,29.1447,145,15.3433
3185.3,3226.64,29.282,146,15.0765
3210.4,3199.7,28.5619,147,15.0677
3181.14,3179.04,29.3757,148,15.4341
3169.04,3206.19,29.4571,149,16.4723
3211.22,3185.16,28.9182,150,15.048
2151.33,2962.02,29.8349,151,40.5732
2120.63,3050.99,29.0003,152,13.0456
3165.17,3194.13,30.1549,153,16.2596
2788.57,3245.16,29.3249,154,13.9817
3144.34,3165.58,29.1113,155,15.1139
3222.97,3235.98,29.2559,156,15.8541
3144.0,3128.51,28.1162,157,13.6087
3234.81,3185.41,28.6443,158,15.627
3257.76,3244.58,27.6589,159,13.7258
3189.02,3158.5,27.4774,160,13.7614
3148.37,3245.97,28.3746,161,14.4675
3156.62,3239.26,28.4423,162,16.8052
2722.4,3314.77,29.0021,163,14.5138
3018.43,3137.11,29.6042,164,15.0193
3106.78,3095.65,29.0778,165,14.3437
3106.23,3211.77,28.0907,166,14.3087
3155.12,3137.26,28.7328,167,14.3656
3185.04,3151.23,28.9159,168,14.1776
3078.03,3183.59,28.0484,169,13.8404
3128.2,3219.2,29.5851,170,15.2035
3075.98,3173.72,28.2441,171,13.8836
2728.35,3262.25,28.76,172,13.6575
3235.18,3258.28,27.7406,173,13.658
3310.35,3291.17,26.2172,174,11.9651
3043.39,3006.57,27.7893,175,12.7212
3070.73,3013.72,27.3876,176,12.5129
3179.07,3159.59,27.4356,177,13.6013
3188.59,3237.34,26.9863,178,13.597
3195.71,3185.07,27.1481,179,12.6437
3162.6,3190.86,26.4645,180,11.7541
3064.87,3247.09,28.3808,181,13.5368
3178.1,3164.64,27.0212,182,13.122
3244.28,3250.81,27.0687,183,13.5616
3248.85,3276.79,26.5791,184,13.089
3286.62,3294.97,26.3668,185,13.0616
3154.44,3198.65,28.0469,186,13.9487
3260.37,3257.46,27.7163,187,13.8945
3319.58,3346.56,27.8417,188,14.2064
3274.99,3296.53,26.9267,189,13.3988
3211.88,3203.81,27.4578,190,13.3936
3207.29,3209.04,27.2569,191,13.4158
3187.07,3317.12,28.4498,192,15.2626
3210.93,3212.61,27.7862,193,14.0094
3264.27,3279.23,27.1019,194,13.1114
3211.89,3249.61,27.6307,195,13.7849
3242.68,3243.41,27.8948,196,13.964
3301.65,3318.32,26.6585,197,12.9534
3229.64,3249.4,28.2895,198,14.3343
3313.57,3338.65,26.4871,199,13.3777
