Running Reverse KL,Reward Loss,Real Sto Return,Running Forward KL,Real Det Return,Running Update Time,Running Env Steps,Itration
19.8605,380.3530578613281,224.32,32.1598,222.68,0,0,0
17.9252,189.01290893554688,288.28,30.4606,281.5,1,5000,1
19.8846,126.69271850585938,270.2,31.0912,245.87,2,10000,2
25.1815,90.81896209716797,296.74,30.7259,284.96,3,15000,3
51.8865,60.86806869506836,377.03,27.701,467.38,4,20000,4
27.1455,-38.1173210144043,908.81,24.8403,883.05,5,25000,5
33.048,-80.15223693847656,362.15,29.502,313.51,6,30000,6
21.32,-16.243881225585938,382.44,27.3283,398.67,7,35000,7
21.0772,-87.5692367553711,808.2,24.7267,709.08,8,40000,8
22.7978,-149.3896942138672,873.87,25.7926,680.39,9,45000,9
15.8628,-94.23551940917969,2412.22,26.878,2590.42,10,50000,10
17.331,-115.3878402709961,1551.51,25.6149,1307.81,11,55000,11
22.1564,-206.38330078125,1091.66,25.0621,900.21,12,60000,12
23.6431,-224.84857177734375,1433.58,25.0223,3054.04,13,65000,13
18.4474,-135.2529754638672,2243.46,24.4297,2717.8,14,70000,14
20.9818,-224.908935546875,1151.83,25.0038,954.47,15,75000,15
14.6427,-30.471515655517578,2541.36,25.0608,2733.62,16,80000,16
23.3451,-366.1089782714844,1056.52,25.591,874.18,17,85000,17
15.6934,-93.23260498046875,2345.45,23.9499,2963.14,18,90000,18
16.1703,-169.62156677246094,2543.79,23.6703,3049.91,19,95000,19
14.1052,-102.92505645751953,2861.35,23.4641,3075.62,20,100000,20
17.1815,-161.88458251953125,2478.02,24.2013,956.44,21,105000,21
20.0482,-308.7166748046875,987.08,25.6835,889.46,22,110000,22
30.4933,-333.2627868652344,1309.97,25.7523,1047.46,23,115000,23
22.9237,-492.8123474121094,1130.55,25.1161,1142.37,24,120000,24
24.9654,-575.5088500976562,1014.08,26.0011,926.75,25,125000,25
25.2255,-599.9698486328125,1150.16,26.1012,922.83,26,130000,26
19.354,-457.2484130859375,1565.49,24.0266,1168.86,27,135000,27
21.158,-520.3158569335938,1407.83,24.0996,1398.54,28,140000,28
22.3294,-696.5236206054688,973.79,26.0821,929.54,29,145000,29
20.4919,-602.7308349609375,1812.53,24.8861,972.2,30,150000,30
23.042,-691.8049926757812,1216.2,24.9283,1603.83,31,155000,31
23.5603,-681.7201538085938,1202.84,24.4719,1210.13,32,160000,32
24.0591,-697.9507446289062,1154.6,25.1907,970.05,33,165000,33
23.4716,-774.609375,1143.96,24.6238,1166.07,34,170000,34
22.1831,-793.3036499023438,1151.55,25.0809,1153.31,35,175000,35
21.5337,-653.1019897460938,1483.93,23.0951,1652.83,36,180000,36
21.2906,-795.7352905273438,1391.8,23.8129,1334.16,37,185000,37
21.2621,-873.387451171875,1198.37,24.1036,1251.94,38,190000,38
20.5395,-884.0062255859375,1350.28,23.6871,1268.44,39,195000,39
21.8184,-921.723876953125,1380.95,24.5172,1756.26,40,200000,40
17.5043,-806.682861328125,1811.16,23.8422,3206.1,41,205000,41
13.5891,-413.9075927734375,2200.88,23.0209,3228.66,42,210000,42
18.4049,-991.4821166992188,734.35,23.8606,893.56,43,215000,43
20.5871,-1155.163330078125,999.39,25.354,1087.64,44,220000,44
20.7851,-1114.0477294921875,1010.88,24.2551,1031.47,45,225000,45
18.2721,-814.25341796875,1617.3,24.0049,3248.66,46,230000,46
20.0414,-1113.94384765625,1190.91,24.9624,1310.44,47,235000,47
22.4106,-1174.2410888671875,1125.69,25.0804,1007.85,48,240000,48
20.9165,-1097.988525390625,1291.81,24.3464,1188.77,49,245000,49
18.9115,-931.80908203125,1451.53,23.4291,3321.82,50,250000,50
12.7145,-272.6959228515625,3012.25,20.4471,3184.44,51,255000,51
15.1187,-523.9151000976562,2731.23,21.1876,3217.68,52,260000,52
24.2696,-1331.5743408203125,1093.26,24.0441,1157.79,53,265000,53
20.9863,-1056.4718017578125,1458.64,22.4003,3207.56,54,270000,54
21.6902,-1234.2891845703125,1292.86,23.2587,2262.79,55,275000,55
18.4453,-821.7850952148438,1988.25,22.4808,3225.74,56,280000,56
18.6163,-935.7897338867188,1898.7,22.2465,3284.62,57,285000,57
17.2822,-870.2135009765625,2054.1,21.6993,3310.17,58,290000,58
15.2263,-411.5809326171875,2512.94,22.1671,3241.42,59,295000,59
16.0813,-696.9293212890625,2551.48,21.5165,3243.63,60,300000,60
21.3332,-1238.7188720703125,1602.19,23.5531,3229.43,61,305000,61
13.968,-347.9412536621094,2844.1,20.6794,3349.91,62,310000,62
13.2332,-221.51278686523438,3088.98,20.7573,3228.48,63,315000,63
16.4736,-886.4689331054688,2284.72,21.5954,3338.8,64,320000,64
17.141,-1258.4656982421875,2003.32,23.273,3325.97,65,325000,65
14.2368,-736.6551513671875,2223.27,21.6931,3259.53,66,330000,66
15.3774,-658.9559326171875,2364.71,21.5961,3390.26,67,335000,67
18.0806,-1287.907470703125,1646.98,22.4463,3442.61,68,340000,68
14.2719,-666.672119140625,2173.7,21.078,3398.62,69,345000,69
13.8903,-312.1276550292969,3177.35,20.9708,3237.03,70,350000,70
14.3775,-386.17913818359375,3050.74,20.2555,3411.76,71,355000,71
13.7686,-284.713134765625,3316.39,20.1421,3306.73,72,360000,72
16.0599,-524.2564086914062,3379.82,20.0858,3381.21,73,365000,73
12.6476,-299.92449951171875,2891.4,18.9631,3368.52,74,370000,74
12.7051,-185.6981658935547,3358.84,19.2713,3401.9,75,375000,75
21.5449,-925.7212524414062,2409.63,20.8997,3445.3,76,380000,76
13.2514,-351.6557312011719,3128.37,20.2274,3466.96,77,385000,77
14.5501,-504.97930908203125,2871.9,19.7227,3383.98,78,390000,78
14.6063,-435.7681884765625,2761.21,19.6469,3457.9,79,395000,79
18.8576,-1225.1298828125,2287.35,21.475,1475.05,80,400000,80
13.998,-565.8779907226562,2928.79,20.469,3417.36,81,405000,81
14.8569,-487.4937438964844,3058.95,20.5951,3416.1,82,410000,82
12.6329,-406.6031188964844,2984.05,19.9942,3429.71,83,415000,83
14.5131,-703.2350463867188,2718.69,21.1887,3416.98,84,420000,84
13.756,-567.6724853515625,2768.43,20.7788,3414.18,85,425000,85
12.4451,-303.7757568359375,840.84,19.3936,3400.68,86,430000,86
13.3752,-742.2084350585938,2894.84,19.8333,3446.58,87,435000,87
13.2912,-488.7363586425781,2654.23,20.5095,3493.63,88,440000,88
14.3649,-801.013427734375,2879.65,20.3016,3454.33,89,445000,89
13.7612,-866.0134887695312,3048.49,20.38,3399.54,90,450000,90
13.4419,-808.6607666015625,2966.46,19.9917,3430.45,91,455000,91
14.2766,-1048.94775390625,2584.78,20.8276,3451.05,92,460000,92
15.3747,-1338.07763671875,1994.26,22.0232,2318.08,93,465000,93
11.1227,-420.58135986328125,3225.92,18.5854,3370.53,94,470000,94
14.1082,-878.5410766601562,2450.74,20.7196,3488.84,95,475000,95
13.2408,-806.0713500976562,2802.95,20.0803,3352.48,96,480000,96
12.9893,-690.3839721679688,3258.09,20.2129,3427.39,97,485000,97
12.7651,-727.7225952148438,3370.63,19.1178,3456.87,98,490000,98
14.4339,-863.802734375,2926.36,20.3579,3420.19,99,495000,99
11.7339,-410.21075439453125,3175.16,19.169,3450.91,100,500000,100
13.8077,-1063.4901123046875,2960.99,20.8895,3461.51,101,505000,101
15.7613,-1667.20263671875,1956.78,21.8936,3491.59,102,510000,102
14.1082,-1069.3465576171875,2585.09,20.5241,3442.42,103,515000,103
13.5244,-797.4719848632812,3180.82,19.9058,3404.46,104,520000,104
14.7873,-1380.65625,1968.46,21.6044,2609.74,105,525000,105
15.482,-1661.0621337890625,2113.47,21.4871,3458.41,106,530000,106
11.3937,-622.6279907226562,3228.95,18.8235,3432.04,107,535000,107
10.8535,-491.7166748046875,3283.34,17.7569,3424.76,108,540000,108
11.7495,-445.3942565917969,2921.34,19.107,3484.82,109,545000,109
15.9582,-1594.07275390625,1925.05,22.0375,3429.05,110,550000,110
15.055,-1263.0059814453125,2201.49,20.2964,3433.93,111,555000,111
16.6584,-1576.4512939453125,1933.09,21.7481,3213.44,112,560000,112
13.5791,-718.2489013671875,2683.82,19.578,3439.56,113,565000,113
15.3863,-1462.3818359375,2023.9,21.7031,3147.47,114,570000,114
21.7235,-1813.1060791015625,1988.02,22.0177,3010.05,115,575000,115
19.8908,-1868.599365234375,1979.19,21.6796,3527.61,116,580000,116
11.998,-742.175537109375,2921.23,18.8689,3476.79,117,585000,117
18.1805,-1796.6092529296875,1806.12,21.982,3384.44,118,590000,118
17.7432,-1944.7296142578125,1663.86,21.4748,1896.88,119,595000,119
13.6495,-955.259521484375,2923.03,19.7063,3444.45,120,600000,120
19.7714,-2055.3701171875,1979.84,22.0063,1808.96,121,605000,121
19.1744,-1999.7017822265625,1918.17,21.0867,3240.99,122,610000,122
15.2897,-1590.9132080078125,2118.81,20.6575,3429.23,123,615000,123
22.216,-1871.1318359375,2071.51,20.4651,3430.34,124,620000,124
18.0464,-2125.955322265625,1931.84,21.7228,3224.57,125,625000,125
15.9687,-1348.4395751953125,2634.51,20.4091,3492.5,126,630000,126
