Running Env Steps,Running Reverse KL,Real Sto Return,Reward Loss,Running Update Time,Itration,Real Det Return,Running Forward KL
0,23.5633,198.98,-108.68372344970703,0,0,196.61,38.0979
5000,22.1402,270.93,-125.77110290527344,1,1,266.39,37.8333
10000,18.7179,289.64,-89.54679870605469,2,2,279.14,36.5257
15000,18.2518,276.22,-43.83127212524414,3,3,267.28,36.2415
20000,24.0542,368.54,-109.67842864990234,4,4,378.95,34.7675
25000,20.3274,454.15,-59.71588134765625,5,5,520.93,32.3996
30000,27.48,373.59,-110.16421508789062,6,6,371.09,34.3521
35000,15.8876,936.52,-87.57325744628906,7,7,993.03,37.5585
40000,23.1687,254.91,-68.09934997558594,8,8,265.89,38.0994
45000,29.3642,365.08,-181.0286102294922,9,9,350.06,35.5011
50000,22.8435,399.75,-151.05191040039062,10,10,389.16,34.8374
55000,27.5242,578.57,-186.1410675048828,11,11,625.95,33.2333
60000,23.9025,1003.55,-208.39930725097656,12,12,1004.93,42.6402
65000,31.9622,1023.18,-211.43666076660156,13,13,1022.46,45.5245
70000,32.4872,1013.62,-215.18638610839844,14,14,1016.63,45.5438
75000,27.9487,662.39,-219.87229919433594,15,15,671.68,33.1099
80000,28.6892,708.33,-236.36642456054688,16,16,659.15,33.0381
85000,29.3788,680.59,-250.30857849121094,17,17,709.07,31.0624
90000,75.3925,770.52,-276.1832275390625,18,18,770.81,30.9381
95000,129.2806,777.16,-295.56756591796875,19,19,726.79,31.7721
100000,91.9111,541.22,-303.3506164550781,20,20,555.28,33.7416
105000,28.2301,1492.16,-167.20370483398438,21,21,1586.17,28.8032
110000,97.2749,1008.92,-289.6365051269531,22,22,1292.49,31.3597
115000,40.9984,1074.14,-274.6088562011719,23,23,1053.72,31.4594
