Running Update Time,Running Env Steps,Running Reverse KL,Itration,Running Forward KL,Real Det Return,Reward Loss,Real Sto Return
0,0,11.3019,0,158.2184,-111.04,149.15672302246094,-165.31
1,5000,11.7836,1,158.2962,-62.2,-205.8718719482422,-22.09
2,10000,11.8132,2,157.9972,73.71,-434.60882568359375,97.44
3,15000,11.9695,3,157.966,910.4,-572.6650390625,284.44
4,20000,13.3827,4,157.7289,969.91,-937.5860595703125,523.01
5,25000,12.4592,5,157.8343,1030.16,-1126.8751220703125,565.68
6,30000,13.0437,6,157.5251,1276.55,-1292.447265625,696.13
7,35000,13.5772,7,157.624,1215.58,-1567.13818359375,796.6
8,40000,13.3601,8,157.306,1167.78,-1773.819091796875,758.62
9,45000,13.201,9,157.1626,1035.62,-1895.5264892578125,868.69
10,50000,13.6318,10,157.2092,1250.77,-2100.998779296875,790.52
11,55000,13.5183,11,156.9292,1522.3,-2228.64892578125,1254.29
12,60000,13.2013,12,156.7244,2696.44,-1945.478515625,1883.81
13,65000,15.3753,13,156.0077,3296.11,-1380.3040771484375,2601.55
14,70000,17.6464,14,156.5731,3658.7,-1423.0341796875,3127.63
15,75000,16.5294,15,155.9656,4306.65,-1623.662353515625,3832.58
16,80000,16.4936,16,155.2895,4566.21,-1738.8013916015625,3753.93
17,85000,16.8802,17,155.445,4879.76,-1695.759521484375,4343.25
18,90000,16.3845,18,154.7677,5299.94,-2138.056396484375,4410.92
19,95000,16.6355,19,154.7367,5464.35,-2155.683837890625,4668.22
20,100000,16.1231,20,154.1549,5640.7,-2339.321044921875,5044.51
21,105000,16.2092,21,153.3575,6275.93,-2387.51318359375,5331.86
22,110000,16.933,22,152.9913,6367.56,-2387.062744140625,5766.98
23,115000,17.4265,23,153.2278,6250.68,-2324.3828125,5831.37
24,120000,16.7511,24,152.5143,6532.67,-2697.864013671875,6143.22
25,125000,18.078,25,152.4117,6756.12,-2660.781005859375,6120.77
26,130000,18.3979,26,152.7997,6966.63,-2885.1943359375,6607.66
27,135000,17.4418,27,152.1291,6952.21,-2995.855712890625,6571.3
28,140000,18.1279,28,151.5533,7777.79,-3047.12060546875,6199.05
29,145000,19.027,29,152.266,7220.32,-3366.804931640625,6916.88
30,150000,19.6831,30,151.1209,8248.44,-3126.681884765625,7328.17
31,155000,19.7001,31,152.6664,7065.54,-3705.35498046875,6846.21
32,160000,19.0008,32,150.6117,8226.79,-3474.510498046875,7458.3
33,165000,19.8125,33,151.2716,8195.28,-3658.807861328125,7215.29
34,170000,20.4464,34,151.1489,8284.08,-3731.866943359375,7913.64
35,175000,20.7257,35,150.4773,8157.48,-3779.364013671875,7889.24
36,180000,20.4705,36,151.0566,8618.93,-4024.29052734375,8016.59
37,185000,21.6956,37,150.617,8709.09,-3919.5732421875,7981.58
38,190000,20.2664,38,150.7284,8765.06,-4105.83447265625,8272.88
39,195000,19.6003,39,150.239,8438.96,-4270.6591796875,8179.37
40,200000,20.9717,40,150.6951,8818.93,-4321.70068359375,8374.28
41,205000,20.7229,41,151.8209,8562.08,-4677.8583984375,8101.38
42,210000,20.5039,42,151.2946,8175.01,-4829.47412109375,7817.93
43,215000,21.9998,43,150.5819,9134.09,-4525.3125,8654.5
44,220000,20.5719,44,150.9067,9003.46,-4985.66455078125,8561.42
45,225000,22.355,45,150.6008,9193.31,-4712.3330078125,8706.82
46,230000,21.7042,46,149.9529,9362.16,-4714.9697265625,8844.19
47,235000,19.8586,47,150.4226,9024.95,-5090.8544921875,8530.2
48,240000,20.0935,48,149.8638,9186.72,-5029.369140625,8647.48
49,245000,21.2306,49,150.0786,9396.91,-5205.8310546875,9013.05
50,250000,20.6056,50,148.8693,9453.93,-5027.79345703125,9049.97
51,255000,21.2483,51,150.6722,8816.93,-5640.17626953125,8488.62
52,260000,20.5314,52,149.5107,9490.55,-5369.41552734375,8965.74
53,265000,19.7296,53,150.0445,9283.08,-5704.88818359375,9036.93
54,270000,18.8946,54,149.3979,9289.23,-5608.04248046875,8553.06
55,275000,21.3696,55,149.1213,9655.31,-5497.9404296875,9098.97
56,280000,20.6407,56,149.6094,9634.02,-5584.888671875,8868.05
57,285000,20.837,57,149.5356,9726.17,-5857.27783203125,9297.64
58,290000,21.3674,58,149.4713,9559.59,-5882.20556640625,9252.66
59,295000,21.1741,59,149.642,9604.29,-6052.29296875,9219.26
60,300000,20.4834,60,149.0322,9902.0,-5937.35546875,9426.15
61,305000,20.2204,61,148.2689,9706.49,-6113.49609375,9313.6
62,310000,20.3049,62,149.0241,9532.13,-6341.7412109375,9114.88
63,315000,20.3775,63,148.7672,9938.56,-6077.70361328125,9492.18
64,320000,19.4483,64,148.3658,9855.39,-6334.54541015625,9329.93
65,325000,20.8022,65,148.2423,9636.85,-6559.28076171875,9392.59
66,330000,21.2439,66,149.0066,9745.45,-6670.83203125,9304.49
67,335000,21.3026,67,149.1778,9645.55,-6904.1708984375,9248.17
68,340000,17.5253,68,147.7167,8336.74,-7132.75537109375,6734.56
69,345000,21.0914,69,148.6519,10083.17,-6740.31201171875,9659.21
70,350000,20.6589,70,148.7674,9688.67,-7038.22265625,9424.11
71,355000,20.3352,71,147.5501,9981.15,-6909.5390625,9610.25
72,360000,20.6152,72,147.9245,9992.83,-7193.4677734375,9617.22
73,365000,19.8272,73,147.5863,10032.67,-7179.71240234375,9547.36
74,370000,20.5915,74,147.9705,10135.22,-7300.86669921875,9724.08
75,375000,20.0852,75,147.9516,10259.32,-7312.63623046875,9704.86
76,380000,20.3792,76,148.2656,10129.8,-7400.1240234375,9752.02
77,385000,20.8786,77,148.8542,9830.58,-7774.142578125,9548.86
78,390000,20.3886,78,148.2095,10169.49,-7693.64111328125,9780.09
79,395000,20.7915,79,148.1789,10063.2,-7956.56689453125,9578.23
80,400000,20.0558,80,146.8674,10170.12,-7794.673828125,9728.97
81,405000,20.3032,81,147.5656,10283.83,-7839.84521484375,9800.28
82,410000,19.8856,82,147.576,10212.19,-7996.27001953125,9780.45
83,415000,20.0119,83,147.296,10250.62,-8056.9208984375,9898.99
84,420000,19.9304,84,147.5507,10175.18,-8202.68359375,9685.93
85,425000,20.2296,85,146.9646,10365.96,-8263.4140625,9899.45
86,430000,19.5622,86,147.282,10282.15,-8355.7255859375,9819.06
87,435000,20.4305,87,147.3805,10389.47,-8499.7958984375,9954.91
88,440000,20.8589,88,147.2024,10255.15,-8699.7646484375,9858.8
89,445000,19.6678,89,146.8284,10458.99,-8641.134765625,10091.19
90,450000,19.9113,90,146.4683,10325.49,-8694.9111328125,9686.63
91,455000,19.7764,91,146.977,10246.44,-8702.7041015625,9820.15
92,460000,20.2197,92,146.5047,10555.95,-8847.04296875,10038.77
93,465000,20.4655,93,146.7109,10502.41,-9083.025390625,10049.15
94,470000,20.5936,94,147.3506,10511.31,-9185.60546875,10112.73
95,475000,19.2501,95,146.059,10542.03,-9017.46484375,10051.99
96,480000,19.6899,96,145.8728,10528.61,-9216.7021484375,10014.25
97,485000,20.1399,97,147.0964,10564.47,-9330.02734375,10076.75
98,490000,20.3576,98,146.8796,10436.98,-9537.9052734375,10126.86
99,495000,20.435,99,145.9613,10616.54,-9568.6845703125,10163.48
100,500000,18.2682,100,146.1812,10591.34,-9933.9814453125,9574.1
101,505000,19.1531,101,146.1071,10068.82,-9570.6318359375,10107.43
102,510000,20.1203,102,146.6056,10351.42,-10056.583984375,10011.3
103,515000,18.7061,103,146.2416,10686.44,-10276.6943359375,10085.33
104,520000,18.894,104,145.9229,10650.46,-10096.841796875,10217.7
105,525000,18.8339,105,145.1125,10729.27,-10045.162109375,10104.76
106,530000,19.205,106,145.2471,10715.83,-10080.5712890625,9649.48
107,535000,19.9282,107,144.8526,10642.28,-10243.96875,10389.68
108,540000,20.0966,108,145.1783,10630.31,-10247.388671875,10339.75
109,545000,19.8535,109,146.0038,10662.22,-10454.4013671875,10257.74
110,550000,21.0009,110,145.9638,10536.76,-10698.9189453125,10199.14
111,555000,19.3424,111,145.2749,10791.21,-10470.5263671875,10300.39
112,560000,20.1259,112,145.86,10507.89,-11080.4208984375,10211.01
113,565000,19.0794,113,146.1729,10702.34,-11328.8349609375,9961.22
114,570000,20.5283,114,145.7367,10647.79,-10922.47265625,10212.88
115,575000,20.0879,115,145.6622,10684.01,-11110.86328125,10384.73
116,580000,18.8716,116,145.041,10393.76,-11133.365234375,10187.63
117,585000,18.3813,117,145.5063,10760.67,-11854.759765625,9945.78
118,590000,18.4264,118,144.6127,10789.79,-11497.7119140625,9950.98
119,595000,20.7821,119,145.4694,10749.84,-11397.46875,10383.07
120,600000,19.6752,120,145.0323,10770.13,-11702.81640625,10293.4
121,605000,19.0552,121,144.8915,10756.58,-11491.265625,10263.16
122,610000,20.2029,122,145.4986,10856.33,-12048.2119140625,10434.78
123,615000,19.4432,123,144.8188,10881.85,-11846.4912109375,10440.85
124,620000,19.7734,124,145.0564,10928.19,-12061.1953125,10440.07
125,625000,19.0141,125,144.4925,10369.12,-11705.125,10204.0
126,630000,18.7995,126,145.4613,10746.9,-12160.0185546875,10456.0
127,635000,19.8135,127,145.2081,10786.35,-12386.75,10449.48
128,640000,19.1903,128,144.3274,10883.75,-12442.5673828125,9976.62
129,645000,19.8375,129,145.1812,10886.58,-12701.431640625,10431.89
130,650000,19.5157,130,145.063,10901.31,-12595.0693359375,10455.31
131,655000,19.804,131,145.3097,11041.16,-12852.0419921875,10498.48
132,660000,19.353,132,144.5229,11088.16,-12895.9072265625,10590.52
133,665000,19.0918,133,144.6555,10937.55,-12931.7568359375,10245.47
134,670000,17.8601,134,144.4852,10947.91,-13050.943359375,10396.06
135,675000,19.4833,135,144.5864,11093.26,-13417.8916015625,10542.78
136,680000,19.7006,136,144.1135,11175.63,-13398.5400390625,10658.69
137,685000,18.6789,137,144.008,11018.05,-13505.6005859375,10496.46
138,690000,19.3493,138,144.4423,11041.16,-13486.0361328125,10650.26
139,695000,19.8668,139,144.8176,10711.58,-13610.6474609375,10189.46
140,700000,19.2684,140,144.6779,10934.67,-14032.587890625,10545.73
141,705000,19.4051,141,144.5609,10950.91,-14307.7216796875,10474.82
142,710000,18.239,142,143.7428,11067.5,-13661.693359375,10560.06
143,715000,18.8797,143,144.1618,10869.94,-13711.8134765625,10660.35
144,720000,17.9472,144,144.0631,10950.26,-14484.5517578125,10343.38
145,725000,19.2734,145,143.9018,11182.28,-14053.033203125,10397.25
146,730000,18.815,146,144.4626,10834.41,-14260.0615234375,10456.57
147,735000,20.1442,147,144.7077,10869.46,-14560.4482421875,10454.81
148,740000,19.1012,148,144.458,11052.83,-15127.1630859375,10601.53
149,745000,19.9758,149,144.4363,11085.15,-14436.322265625,10605.3
150,750000,19.1042,150,144.2811,11153.14,-14898.080078125,10669.32
151,755000,19.6071,151,145.0817,11054.4,-15360.2998046875,10167.76
152,760000,19.3453,152,144.6341,11111.13,-15196.0146484375,10506.22
153,765000,18.2353,153,143.6581,11319.49,-14869.1630859375,10875.52
154,770000,19.1447,154,143.9222,11112.6,-15663.919921875,10745.23
155,775000,17.8764,155,143.5443,11228.25,-15157.134765625,10483.62
156,780000,19.0988,156,144.0871,11289.42,-15480.78125,10678.26
157,785000,19.2432,157,143.9802,11319.74,-15555.7890625,10778.94
158,790000,18.8588,158,143.4968,11245.33,-15674.99609375,10772.01
159,795000,18.7672,159,143.8238,11247.6,-15941.1376953125,10552.5
160,800000,18.3471,160,143.3932,11377.67,-15902.96875,10820.6
161,805000,19.3334,161,143.975,11178.49,-16122.7822265625,10712.43
162,810000,19.2736,162,143.8619,11328.26,-16025.3076171875,10892.93
163,815000,17.7012,163,144.0267,11280.97,-15937.4052734375,10687.34
164,820000,19.1085,164,143.8772,11320.18,-16450.41796875,10880.0
165,825000,17.1319,165,143.5665,11323.87,-17100.326171875,10416.46
166,830000,18.4142,166,143.27,11378.83,-16402.68359375,10894.8
167,835000,18.5572,167,143.4979,11067.33,-16939.90234375,10929.29
168,840000,19.5134,168,143.6096,11295.22,-16991.322265625,10805.51
169,845000,18.334,169,143.126,11225.73,-16866.30859375,10531.33
170,850000,18.4313,170,143.6136,11341.33,-16822.734375,10800.38
171,855000,18.3387,171,143.2753,11328.93,-17248.8125,10806.28
172,860000,17.8465,172,143.4437,11343.79,-16952.466796875,10911.03
173,865000,18.3981,173,143.8778,11013.33,-17631.201171875,10425.58
174,870000,18.6283,174,143.8165,11330.16,-17586.75,10440.16
175,875000,18.6052,175,143.5612,11351.07,-17768.12890625,10959.98
176,880000,19.411,176,144.2215,11334.92,-18295.908203125,10988.0
177,885000,19.3733,177,144.0709,11424.84,-17772.953125,10958.92
178,890000,18.6853,178,143.2882,11567.54,-18127.654296875,10809.78
179,895000,17.4158,179,143.407,11415.74,-18739.994140625,10590.68
180,900000,18.4399,180,143.3933,11297.25,-18534.162109375,10941.46
181,905000,18.8127,181,143.7196,11234.88,-18822.443359375,10893.37
182,910000,18.6322,182,143.5881,11273.98,-18690.033203125,10777.18
183,915000,18.6468,183,143.304,11503.21,-18750.08203125,11079.32
184,920000,18.9796,184,143.5876,11454.58,-18749.7734375,10995.82
185,925000,18.8938,185,144.2617,10992.57,-19861.138671875,10674.92
186,930000,19.0571,186,143.7933,11467.42,-19365.25,10865.25
187,935000,19.5685,187,144.1047,10993.48,-19555.158203125,10754.75
188,940000,18.8709,188,143.8083,11413.11,-19479.87890625,11009.53
189,945000,17.7418,189,142.8182,11548.0,-19647.16015625,10964.13
190,950000,18.6937,190,143.3284,11534.57,-19506.30078125,10792.44
191,955000,18.3572,191,143.7406,11320.35,-19596.345703125,10506.23
192,960000,18.3391,192,143.1922,11508.12,-19600.53515625,10946.23
193,965000,18.7129,193,143.7233,11381.09,-20199.3671875,10972.96
194,970000,18.9841,194,143.8033,11461.36,-20414.25390625,11089.79
195,975000,19.6031,195,143.4163,11350.82,-20256.65625,10948.05
196,980000,18.6683,196,143.9992,11458.8,-20613.365234375,11045.53
197,985000,17.7308,197,143.8956,11422.78,-21103.240234375,10516.83
198,990000,18.5986,198,143.2493,11554.91,-20711.982421875,11069.0
199,995000,18.5635,199,142.8198,11710.17,-20417.3984375,11205.0
200,1000000,18.3899,200,141.8917,11676.57,-21025.1640625,10893.32
201,1005000,19.0064,201,142.7242,11589.84,-21603.943359375,11068.54
202,1010000,16.9837,202,143.2191,11229.16,-21638.470703125,10626.94
203,1015000,18.497,203,143.2739,11368.73,-21613.16015625,11023.02
204,1020000,19.0178,204,143.317,11648.6,-21681.951171875,10758.75
205,1025000,18.5466,205,143.1541,11366.71,-21275.873046875,10363.29
206,1030000,18.2149,206,142.9771,11520.79,-21793.748046875,10992.83
207,1035000,17.6145,207,143.0432,11088.02,-22485.24609375,11136.25
208,1040000,18.018,208,142.8269,11701.24,-22501.369140625,10952.16
209,1045000,18.4657,209,143.2839,11690.03,-22124.32421875,10975.5
210,1050000,17.3328,210,143.1007,11195.63,-22713.90625,11103.69
211,1055000,18.5351,211,142.8144,11602.48,-22199.572265625,10916.51
212,1060000,16.817,212,142.6829,11475.78,-23217.853515625,11108.57
213,1065000,17.9415,213,142.9965,11641.15,-22891.609375,10777.65
214,1070000,19.3223,214,143.2577,11768.93,-22917.45703125,11088.88
215,1075000,17.8343,215,142.7853,11726.21,-23552.76953125,11300.86
216,1080000,18.9729,216,143.5173,11637.48,-23371.296875,11190.05
217,1085000,19.4539,217,143.3721,11722.44,-23456.486328125,10977.68
