Real Sto Return,Running Forward KL,Running Reverse KL,Real Det Return,Itration
-111.48,76.2831,26.2735,440.1,0
-46.58,74.7751,26.1716,504.54,1
-46.17,75.2636,26.8963,414.57,2
-6.99,74.5008,28.6132,411.25,3
17.8,74.3359,29.2814,730.56,4
37.7,74.8277,29.9376,727.67,5
62.25,74.6445,31.0256,752.41,6
75.48,74.057,30.868,766.38,7
97.79,73.2207,32.4999,770.85,8
161.39,73.7772,31.6288,882.19,9
171.12,73.938,32.3419,862.41,10
135.2,71.4103,31.9014,829.06,11
170.33,72.2692,31.9727,593.38,12
134.17,74.2992,32.5267,775.14,13
167.99,72.6897,32.3304,785.96,14
192.18,74.4694,32.0424,536.59,15
166.24,74.2138,32.5029,762.72,16
196.06,72.8778,32.4873,895.54,17
190.53,72.7486,32.367,841.55,18
265.1,74.1321,32.7163,829.63,19
263.66,70.5861,31.5938,834.99,20
209.95,73.0333,32.3641,850.18,21
211.57,72.3824,31.979,931.69,22
333.91,69.2387,31.7395,1067.1,23
228.5,71.295,31.0533,918.36,24
286.48,69.8077,31.6106,1011.49,25
231.15,72.2597,31.8146,658.37,26
239.2,73.2883,31.8517,1031.64,27
388.71,71.0696,31.5574,1037.66,28
394.8,70.7945,31.5885,970.9,29
251.23,69.4919,30.9935,937.43,30
280.09,72.4049,31.8987,991.84,31
320.37,71.5711,32.2083,962.19,32
274.18,70.6018,31.6878,926.15,33
303.87,69.8884,31.4367,871.48,34
337.27,69.1472,31.2873,891.58,35
347.26,70.4825,31.5331,1043.6,36
327.62,70.8229,31.4523,910.51,37
332.49,70.7706,31.3685,869.16,38
321.28,72.3736,31.5548,889.55,39
251.73,72.6906,31.9653,980.78,40
292.76,72.1207,31.4021,1087.31,41
386.81,70.7261,31.4564,986.2,42
314.35,70.2016,30.8894,1013.39,43
484.59,70.4334,30.8324,961.5,44
366.76,69.2465,30.8084,1097.91,45
414.17,69.3114,30.919,1056.97,46
471.17,71.1423,30.9794,1243.42,47
513.28,69.8787,30.9973,989.93,48
446.15,65.9859,30.4192,1193.86,49
422.78,69.1059,31.5316,1170.06,50
447.83,69.7383,30.7058,1250.48,51
446.08,69.5217,30.3087,1102.2,52
416.65,65.6605,29.9731,1351.63,53
437.25,64.077,29.6493,1182.94,54
645.36,70.0844,31.169,1479.67,55
580.21,63.9968,30.6161,1404.3,56
434.34,70.9536,31.4475,1335.17,57
573.46,66.1212,29.2285,1356.88,58
716.24,64.381,29.7256,1481.42,59
536.42,65.3824,29.0511,1257.05,60
591.85,65.378,29.8788,1432.77,61
652.22,65.485,30.0242,1225.55,62
544.4,64.8236,29.3518,1732.3,63
640.91,66.5251,29.753,1444.51,64
431.54,64.2338,29.411,1455.44,65
575.17,63.1291,29.3598,1247.13,66
571.43,62.9035,29.0895,1514.09,67
565.72,67.9395,30.2609,1494.47,68
579.99,64.3921,28.3145,1371.62,69
791.85,63.6125,32.0525,1506.96,70
688.38,64.2071,29.1465,1162.43,71
864.57,63.964,29.3631,1569.72,72
739.3,64.0345,29.3011,1832.6,73
871.37,61.2324,29.3084,1627.39,74
722.78,65.6113,28.6644,1642.64,75
610.82,63.8627,28.9054,1538.96,76
1023.51,60.608,30.811,1692.93,77
998.44,63.3916,30.3364,1560.56,78
914.22,58.9456,32.2238,1539.47,79
677.74,63.4984,28.5753,1734.16,80
728.97,62.6909,28.1078,1786.38,81
1071.76,59.8535,28.5639,1933.81,82
825.25,60.8927,28.9224,1309.65,83
975.92,60.1541,29.5583,2222.59,84
1070.26,58.0471,30.0156,1567.49,85
1044.02,58.7986,28.6454,1831.48,86
839.08,61.7892,29.2937,1309.64,87
892.9,62.845,28.1557,2155.55,88
796.23,60.6952,27.932,2086.5,89
830.92,60.6073,27.6463,1264.03,90
1200.21,62.1217,27.731,1897.53,91
821.86,59.3987,26.8816,1464.13,92
742.06,61.4175,27.27,1799.13,93
1096.99,60.16,26.9674,1708.64,94
892.72,61.8745,29.9574,1888.19,95
899.12,62.6212,28.1225,1879.16,96
1067.16,62.9723,28.6476,1784.7,97
1965.07,58.4906,29.3002,2273.27,98
1477.21,60.7266,27.6941,2220.75,99
1230.81,58.5557,27.3481,2557.18,100
1727.37,57.0212,29.8833,2461.13,101
993.81,58.9952,26.918,2373.85,102
1377.1,61.0847,28.6355,2233.07,103
1283.81,60.2337,29.5127,2457.02,104
1597.6,57.6492,31.8657,2673.8,105
1208.91,58.736,28.5711,2520.98,106
1375.69,57.9448,29.2346,2257.68,107
1085.05,59.3778,26.931,2432.91,108
1419.95,58.5744,28.4073,2492.32,109
1551.94,59.439,28.8274,2637.73,110
1041.42,60.8853,27.452,2758.61,111
1528.93,57.9925,27.9355,2729.74,112
1380.1,56.7517,28.798,2710.19,113
2017.14,58.4972,28.7817,2657.93,114
1736.06,57.8904,30.4816,2672.86,115
1305.26,58.2488,30.3161,2155.47,116
1472.72,58.7004,28.4637,2614.74,117
1425.29,59.4732,26.5804,2563.41,118
1293.18,58.502,28.0175,2524.06,119
