Itration,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL
116,31.3286,1004.96,1005.71,43.2418
117,36.326,994.43,994.47,45.3619
118,83.0595,175.63,175.76,39.4053
119,33.1514,268.4,267.52,38.2262
120,54.6075,1008.25,1008.26,46.3726
121,53.934,684.22,681.71,47.678
122,82.9282,54.94,53.66,37.8768
123,48.4579,342.18,344.45,46.4169
124,175.1437,94.65,100.71,41.5369
125,54.2776,134.49,138.01,39.2763
126,224.6393,17.42,16.49,43.3182
127,35.4195,92.27,91.85,39.2465
128,108.002,186.8,187.41,41.4509
129,42.1824,1000.66,1000.66,44.9988
130,77.2962,111.56,110.37,43.6053
131,42.1739,1001.54,1001.46,43.8459
132,60.877,1002.08,1002.13,44.929
133,52.1816,1001.23,1000.75,46.1555
134,63.207,1002.88,1002.95,45.6068
135,51.8964,24.24,24.61,41.9108
136,44.8171,663.1,867.64,42.117
137,28.0792,100.61,105.51,39.4001
138,130.7477,409.66,447.07,40.3023
139,148.6665,72.27,71.88,40.2875
140,50.3744,203.78,203.3,37.8145
141,29.4884,188.84,189.26,38.1587
142,47.4568,981.88,980.86,45.1662
143,47.9408,567.53,567.37,45.4928
144,42.8046,1020.71,1020.56,44.7968
145,39.1851,597.72,609.83,40.5943
146,42.9976,1007.17,1006.22,44.8054
147,66.6424,200.42,200.17,41.9089
148,37.1149,213.04,213.2,42.3639
149,41.1778,255.55,254.63,39.879
150,38.6556,993.51,993.47,41.7514
151,41.2338,989.28,985.77,45.5181
152,42.0233,984.5,990.45,42.642
153,43.6411,997.87,997.09,43.6416
154,37.6593,1001.75,1001.73,43.1426
155,41.4328,992.91,992.96,43.7463
156,29.5543,1004.69,1003.81,43.1816
157,33.023,1018.92,1017.4,44.5536
158,39.4086,1004.8,1004.72,44.5634
159,37.834,971.48,993.95,44.4673
160,52.619,110.93,105.2,39.6671
161,61.4816,210.56,211.42,38.5024
162,36.6871,513.05,497.53,40.2537
163,29.5231,995.8,994.91,46.7133
164,34.2557,997.57,996.1,44.96
165,29.5259,1001.95,1000.38,42.7814
