Running Update Time,Real Sto Return,Reward Loss,Running Env Steps,Running Reverse KL,Running Forward KL,Itration,Real Det Return
0,224.82,345.1018981933594,0,18.2153,31.4194,0,232.36
1,275.81,268.4291076660156,5000,19.9595,30.1317,1,270.99
2,335.34,191.90548706054688,10000,18.6053,29.4041,2,322.67
3,309.25,230.16453552246094,15000,18.2201,29.4992,3,289.11
4,384.98,227.14747619628906,20000,19.3399,29.1627,4,392.51
5,406.9,224.20794677734375,25000,19.5685,29.4309,5,415.29
6,414.54,181.24913024902344,30000,19.4845,29.5687,6,417.77
7,506.7,185.3137969970703,35000,19.3275,26.674,7,607.67
8,703.84,114.25727844238281,40000,19.5884,26.6138,8,717.83
9,789.55,396.83770751953125,45000,77.3292,26.3372,9,795.46
10,853.44,247.992919921875,50000,43.8919,26.6252,10,924.73
11,778.91,360.3233337402344,55000,57.0412,26.362,11,724.84
12,712.64,17.923097610473633,60000,52.1696,26.4042,12,723.45
13,963.26,246.29161071777344,65000,68.9379,26.5333,13,800.24
14,2542.46,-204.35977172851562,70000,15.2667,25.233,14,2580.34
15,1932.65,67.2806625366211,75000,29.9827,25.334,15,2545.84
16,1921.07,-143.04299926757812,80000,15.5539,23.8556,16,2756.39
17,2460.2,-115.66378021240234,85000,15.1869,23.5774,17,3008.43
18,2970.52,-236.27281188964844,90000,13.9909,23.8683,18,2891.35
19,2859.21,-168.35623168945312,95000,16.8328,23.4028,19,2999.78
20,1978.0,-180.4967041015625,100000,15.6335,23.4873,20,3100.95
21,2167.19,-119.02666473388672,105000,17.7391,24.0031,21,3084.06
22,2779.13,-196.79681396484375,110000,14.8915,23.7508,22,3109.28
23,2945.24,-235.5299530029297,115000,15.54,22.7436,23,3059.69
24,1659.79,-156.84292602539062,120000,20.6745,23.5159,24,3019.42
25,3011.27,-240.18031311035156,125000,13.9949,23.1865,25,3030.06
26,3009.45,-248.43777465820312,130000,15.1194,23.4446,26,3109.33
27,2943.04,-238.1149444580078,135000,14.2047,23.3071,27,3066.12
28,3027.79,-253.26425170898438,140000,13.7078,22.8742,28,3127.23
29,3102.46,-298.19464111328125,145000,15.2631,23.255,29,3095.14
30,2844.19,-282.4671630859375,150000,14.8231,23.2663,30,3093.43
31,2993.46,-312.265625,155000,15.3806,23.1728,31,3057.33
32,2745.15,-276.3402099609375,160000,13.6112,22.5389,32,3142.48
33,2757.49,-302.9879150390625,165000,15.4698,22.4858,33,3146.04
34,2055.87,-354.4579162597656,170000,16.8652,23.0645,34,2965.05
35,2585.65,-325.9871826171875,175000,14.1882,22.799,35,3158.1
36,3099.15,-333.6661376953125,180000,13.9528,22.5933,36,3072.74
