Itration,Running Env Steps,Real Det Return,Running Reverse KL,Real Sto Return,Running Update Time,Running Forward KL,Reward Loss
0,0,407.49,299.8452,357.06,0,422.8296,-57.05881118774414
1,5000,279.14,316.1371,312.28,1,447.7549,250.803955078125
2,10000,277.91,296.595,310.48,2,457.131,-153.56826782226562
3,15000,275.85,255.5704,341.85,3,425.739,-650.8931884765625
4,20000,434.23,269.7747,392.56,4,428.8478,-804.2841186523438
5,25000,360.46,303.9497,350.43,5,413.6708,-1032.2398681640625
6,30000,322.98,336.8472,378.77,6,433.7864,-772.918212890625
7,35000,608.14,295.2533,555.73,7,422.1448,-1215.339599609375
8,40000,697.29,268.6698,578.19,8,402.2125,-1515.0728759765625
9,45000,601.97,283.4333,498.83,9,411.0351,-1637.697265625
10,50000,535.64,256.5177,541.9,10,419.2487,-2181.551513671875
11,55000,566.59,306.0802,531.73,11,399.7015,-2061.34521484375
12,60000,628.86,284.8597,518.04,12,413.4231,-2755.727783203125
13,65000,494.91,261.6072,536.94,13,411.381,-2709.261474609375
14,70000,572.15,301.6517,595.74,14,416.0355,-2418.888671875
15,75000,624.56,320.5734,629.16,15,394.5566,-1933.998046875
16,80000,622.58,310.7457,634.2,16,411.4647,-2627.37841796875
17,85000,862.34,268.7282,672.69,17,408.0095,-2919.970947265625
18,90000,514.07,272.7861,747.67,18,401.0943,-2496.31787109375
19,95000,543.13,320.3782,710.25,19,406.7582,-3209.336181640625
20,100000,596.04,259.3083,689.48,20,410.0419,-3654.650146484375
21,105000,646.76,254.8172,769.89,21,397.0343,-3053.107666015625
22,110000,685.16,269.2247,654.33,22,417.1165,-3280.898681640625
23,115000,634.48,261.9229,634.5,23,407.928,-3360.936279296875
24,120000,624.41,260.7448,684.0,24,411.3946,-3668.489501953125
25,125000,591.0,253.343,600.11,25,422.6417,-4019.7978515625
26,130000,609.27,262.2075,670.18,26,401.3073,-3734.71728515625
27,135000,684.74,264.9495,773.46,27,408.3203,-3846.603759765625
28,140000,672.53,252.4969,803.13,28,399.4636,-3937.134765625
29,145000,681.15,236.8348,883.52,29,406.9755,-4190.6669921875
30,150000,749.39,238.5502,859.2,30,404.8659,-4298.3466796875
31,155000,703.94,238.0211,869.6,31,408.492,-4444.70263671875
32,160000,704.18,226.7598,819.33,32,395.8974,-4199.134765625
33,165000,631.57,243.8483,876.91,33,393.9828,-4618.47265625
34,170000,754.71,231.2261,889.73,34,391.8863,-4307.19775390625
35,175000,810.59,219.1165,1035.93,35,395.8267,-4669.1943359375
36,180000,776.68,231.4013,972.32,36,393.1896,-4821.99755859375
37,185000,984.96,242.9359,981.0,37,393.4058,-4792.07958984375
38,190000,813.16,249.1804,895.92,38,394.12,-4836.0185546875
39,195000,770.34,247.7937,797.95,39,397.1639,-4978.54052734375
40,200000,804.02,234.0594,1203.8,40,384.4058,-5116.60400390625
41,205000,744.52,238.2985,791.47,41,398.7904,-5313.6044921875
42,210000,722.73,232.2534,1077.8,42,391.0865,-5265.912109375
43,215000,840.83,225.1086,994.61,43,395.1648,-5039.40576171875
44,220000,914.22,218.2164,1079.59,44,385.8575,-5086.52099609375
45,225000,907.02,217.0851,1224.35,45,387.2818,-5440.57177734375
46,230000,760.37,215.3447,1452.05,46,385.3251,-5016.86181640625
47,235000,853.58,201.3067,1418.81,47,370.9489,-4683.94677734375
48,240000,994.72,210.5321,1187.11,48,373.3873,-5070.83203125
49,245000,857.48,210.5325,1483.16,49,370.5947,-5231.37841796875
50,250000,701.23,216.7347,1630.47,50,378.4215,-5156.2421875
51,255000,784.2,196.2459,2146.01,51,372.5543,-4655.326171875
52,260000,865.81,200.2682,2217.5,52,367.9772,-4598.30224609375
53,265000,1016.47,192.5377,2222.11,53,365.7619,-4379.5439453125
54,270000,665.93,216.9796,1577.94,54,384.813,-5433.40869140625
55,275000,922.17,208.6919,1849.97,55,371.9842,-4955.29736328125
56,280000,1094.44,180.1241,1756.37,56,359.9291,-4790.09326171875
57,285000,773.92,203.5283,2020.07,57,367.7157,-5381.43359375
58,290000,991.63,167.4542,3002.83,58,348.1564,-3684.4638671875
59,295000,985.71,201.3314,1584.24,59,363.4017,-5228.24658203125
60,300000,1022.45,206.027,1903.63,60,364.795,-6156.39599609375
61,305000,1080.4,167.9025,2284.02,61,342.3022,-4668.5849609375
62,310000,1034.78,169.8008,3023.61,62,347.3752,-4273.21728515625
63,315000,814.2,181.9786,2528.13,63,354.6092,-5199.740234375
64,320000,919.93,225.6421,1528.24,64,379.9014,-6526.39208984375
65,325000,788.34,212.1253,2017.42,65,366.3604,-6523.533203125
66,330000,775.83,169.9208,3407.32,66,346.7735,-3993.518798828125
67,335000,1024.7,169.8132,3832.0,67,354.0848,-4490.4521484375
68,340000,1166.74,163.1892,3265.01,68,342.7227,-4602.2841796875
69,345000,1252.72,181.6479,2758.81,69,364.1692,-4841.953125
70,350000,2241.87,155.0323,4176.79,70,341.6972,-2774.426025390625
71,355000,1014.38,169.9567,2242.62,71,344.4185,-5313.75634765625
72,360000,1254.5,151.0596,3496.58,72,345.2643,-3832.50146484375
73,365000,1871.63,167.7188,3537.32,73,350.0536,-4913.95849609375
74,370000,897.57,158.0029,2847.72,74,357.6983,-4318.34033203125
75,375000,967.9,151.5903,4466.25,75,354.2086,-3314.06640625
76,380000,2058.36,161.4511,4122.05,76,353.0418,-3718.947998046875
77,385000,1582.43,147.3659,4824.66,77,345.2507,-3160.94970703125
78,390000,1373.73,167.5016,2734.02,78,362.7164,-5605.44287109375
79,395000,1057.85,152.2207,4470.84,79,349.1087,-3360.39501953125
80,400000,1237.85,141.883,4709.66,80,340.7674,-3211.758056640625
81,405000,1009.93,141.8053,4398.12,81,346.4772,-3978.80126953125
82,410000,997.59,154.105,4502.54,82,350.8535,-3428.561767578125
83,415000,903.69,145.3396,4536.13,83,342.6251,-4277.5302734375
84,420000,1348.93,152.0142,4127.19,84,345.9787,-5377.41748046875
85,425000,1028.07,146.1645,4631.67,85,343.9876,-4446.72509765625
86,430000,1625.63,150.6519,4335.38,86,353.378,-5406.4384765625
87,435000,996.52,149.0294,4158.27,87,347.3591,-5474.59228515625
88,440000,1054.68,144.6435,4410.2,88,352.3511,-4974.3134765625
89,445000,4796.82,129.9156,4559.47,89,338.6799,-4757.71240234375
90,450000,1747.4,141.367,4806.14,90,345.9622,-5676.359375
91,455000,1252.93,149.2115,4420.1,91,349.9773,-6370.06884765625
92,460000,1357.95,135.236,4816.34,92,343.2662,-5437.19775390625
93,465000,1548.37,148.1697,4732.6,93,351.1652,-5919.65478515625
94,470000,2088.36,148.4919,4179.85,94,357.485,-5571.57763671875
95,475000,1392.8,144.7057,4315.86,95,353.484,-6113.4228515625
96,480000,2089.11,147.9895,4164.88,96,348.6793,-7027.28369140625
97,485000,3454.16,149.3871,4642.91,97,351.1965,-5789.61328125
98,490000,1330.53,159.5288,4386.29,98,356.8765,-6370.88916015625
99,495000,1156.91,139.565,4618.45,99,344.2943,-6129.56494140625
100,500000,1844.61,136.3972,4808.82,100,340.659,-6363.59619140625
101,505000,2833.13,148.5217,4146.8,101,350.1073,-6895.4404296875
102,510000,1839.43,134.9079,4360.8,102,340.9272,-7189.9794921875
103,515000,1017.22,147.7063,4457.31,103,346.4993,-7327.39306640625
104,520000,3132.33,129.5967,4832.39,104,337.1979,-7053.5068359375
105,525000,1401.52,165.2836,3577.55,105,337.4423,-7824.77587890625
106,530000,1648.96,156.2562,3125.01,106,352.1625,-8323.37109375
107,535000,972.52,170.8697,2732.79,107,347.4045,-8088.26171875
108,540000,1660.04,125.3236,3637.9,108,329.2305,-7978.9677734375
109,545000,1413.59,125.595,4621.81,109,335.4164,-8322.7744140625
110,550000,2638.64,135.6109,4277.03,110,339.3668,-8551.630859375
111,555000,2459.21,146.1487,4697.11,111,346.4278,-8586.6025390625
112,560000,1063.59,133.2962,3605.74,112,340.1962,-8383.318359375
113,565000,1735.01,130.9317,4572.45,113,333.2615,-8950.67578125
114,570000,3260.74,143.3725,2875.79,114,341.1753,-9292.04296875
115,575000,2015.33,124.7094,3894.72,115,327.0034,-8821.54296875
116,580000,3026.22,122.8465,4687.92,116,326.8066,-8280.263671875
117,585000,1752.9,154.914,3590.54,117,337.2683,-9317.8447265625
118,590000,2434.01,131.2398,4277.31,118,325.5668,-8930.5859375
119,595000,3658.63,116.4623,4287.97,119,321.5881,-9401.9716796875
120,600000,4781.03,133.9879,4656.84,120,328.1259,-9104.802734375
121,605000,3175.73,118.3024,4509.52,121,328.0999,-9683.4453125
122,610000,3483.09,128.798,4258.27,122,326.9133,-9710.1123046875
123,615000,1668.17,132.2736,4531.32,123,331.8659,-10108.076171875
124,620000,1693.69,115.4923,4541.06,124,324.7862,-10143.798828125
125,625000,3465.28,111.1971,4897.75,125,318.8612,-10328.5478515625
126,630000,2867.77,115.5652,4450.21,126,324.5384,-10563.546875
127,635000,1422.85,124.0517,4228.25,127,323.9405,-10592.630859375
128,640000,4409.8,140.5223,3387.74,128,325.8899,-10776.376953125
129,645000,3364.63,115.4364,4599.66,129,322.1938,-10797.7158203125
130,650000,2925.5,112.2081,4640.37,130,319.8272,-10988.220703125
131,655000,3698.66,117.4324,4905.66,131,326.6135,-10966.541015625
132,660000,3402.56,108.3006,4459.83,132,319.1993,-11706.396484375
133,665000,4339.47,123.0597,4898.34,133,321.3783,-11247.8251953125
134,670000,3386.99,110.1579,4836.26,134,320.3424,-11735.1416015625
135,675000,4539.63,126.3187,4722.3,135,325.1112,-11839.7841796875
136,680000,3844.46,109.4465,4962.88,136,313.3356,-11598.3818359375
137,685000,3307.07,102.6661,4600.37,137,312.9409,-11833.65625
138,690000,3797.46,114.7236,4753.22,138,324.5693,-12318.298828125
139,695000,3246.77,122.826,4817.42,139,327.6389,-12392.0185546875
140,700000,3802.49,111.0926,4839.84,140,322.7485,-12612.396484375
141,705000,4386.66,121.3274,4473.01,141,316.2874,-12364.962890625
142,710000,4459.84,113.6298,4867.82,142,319.2019,-12758.3505859375
143,715000,4532.84,108.7406,4600.65,143,320.6154,-13194.8525390625
144,720000,4630.58,121.6798,4876.1,144,320.2406,-13249.0458984375
145,725000,3069.82,107.4639,4689.77,145,311.8957,-13256.9404296875
146,730000,4404.88,126.8039,4545.21,146,322.2272,-13317.9140625
147,735000,3731.96,123.8728,4340.48,147,324.4432,-13768.7626953125
148,740000,3199.91,130.1329,4406.35,148,327.7309,-13821.1044921875
149,745000,4331.66,106.3731,4941.13,149,318.3921,-13839.1396484375
150,750000,4053.99,101.8677,4778.49,150,314.2517,-13763.8955078125
151,755000,4859.99,127.235,4535.08,151,321.2532,-14357.6708984375
152,760000,4266.41,111.1116,4400.06,152,316.1083,-14263.568359375
153,765000,4287.35,107.1373,4689.17,153,312.1595,-14184.140625
154,770000,4507.48,112.4191,4884.0,154,319.8192,-14571.2900390625
155,775000,3630.6,120.8751,4464.81,155,326.2282,-15142.6337890625
156,780000,4233.22,119.8784,4663.97,156,323.4804,-14987.6826171875
157,785000,4097.12,120.9176,4632.96,157,323.4559,-15090.4775390625
158,790000,3579.73,112.5935,4547.23,158,319.8091,-15065.7177734375
159,795000,3585.87,107.7707,4406.56,159,324.1154,-15147.7333984375
160,800000,2175.13,156.3991,3344.97,160,332.0513,-14702.498046875
161,805000,4136.81,107.3807,3999.5,161,313.6514,-15326.048828125
162,810000,4499.08,113.8342,4191.65,162,321.0908,-15188.2119140625
163,815000,3802.78,148.1402,4259.97,163,322.7485,-15102.384765625
164,820000,4392.65,126.3507,4363.11,164,317.2268,-15170.5703125
165,825000,3734.81,139.0688,3438.15,165,321.5955,-15088.0126953125
166,830000,3730.8,169.0227,3579.62,166,330.5647,-15101.0166015625
167,835000,1973.25,187.8941,2736.98,167,329.9353,-15194.5537109375
168,840000,4852.93,109.3175,4422.21,168,311.9985,-15980.1376953125
169,845000,4781.56,126.7151,3748.2,169,322.0616,-15701.90625
170,850000,2158.76,163.2298,3362.44,170,327.7472,-15678.0888671875
171,855000,3717.35,122.822,4467.54,171,311.8615,-15764.4560546875
172,860000,3600.66,109.8064,3953.87,172,308.1454,-15700.0927734375
173,865000,4459.65,109.253,4662.7,173,318.7567,-16109.3154296875
174,870000,4972.14,112.4528,4616.45,174,310.1531,-15903.818359375
175,875000,4558.58,110.2612,4901.56,175,307.3994,-15828.705078125
176,880000,5013.45,115.4308,4479.45,176,306.2504,-15724.861328125
177,885000,4847.56,95.7306,4795.64,177,309.0109,-15845.9912109375
178,890000,5000.83,100.2521,4733.02,178,310.6937,-16175.8994140625
179,895000,4943.83,99.0227,4521.82,179,305.7649,-16185.1650390625
180,900000,4056.74,98.3117,4225.64,180,307.8656,-16142.482421875
181,905000,4386.74,105.6127,4731.94,181,308.9964,-16114.5283203125
182,910000,3768.6,100.3777,4788.24,182,305.9549,-16225.900390625
183,915000,3264.62,105.2188,4147.25,183,309.6177,-16322.75390625
184,920000,3539.59,114.1062,4464.5,184,317.0337,-16543.07421875
185,925000,4228.24,92.8575,4894.54,185,305.2411,-16246.56640625
186,930000,2164.5,101.5119,4065.39,186,310.5206,-16804.818359375
187,935000,4400.5,106.2731,4508.89,187,305.4764,-16604.9296875
188,940000,3819.77,107.3136,4215.46,188,308.7382,-16387.603515625
189,945000,4866.07,94.4449,4359.3,189,305.3541,-16403.095703125
190,950000,3544.04,99.224,4305.69,190,309.9667,-16370.8271484375
191,955000,3635.06,101.4008,4753.2,191,306.8081,-16682.689453125
192,960000,3567.95,100.0652,4331.37,192,308.6728,-16875.431640625
193,965000,2904.19,95.8202,4906.07,193,307.8527,-16869.32421875
194,970000,4323.54,94.8323,4905.51,194,306.3951,-16758.9609375
195,975000,3601.61,93.3616,4594.8,195,306.6199,-16735.47265625
196,980000,3226.2,100.2702,4335.25,196,307.6574,-16794.66015625
197,985000,4466.78,98.4312,4877.02,197,300.5276,-16654.60546875
198,990000,3353.61,101.1868,4873.5,198,312.0764,-16921.26171875
199,995000,2564.01,102.7661,4634.83,199,305.731,-16941.677734375
200,1000000,4976.58,97.8732,4678.82,200,302.4056,-16881.1171875
201,1005000,2696.35,111.1325,4425.47,201,313.1572,-17329.46484375
202,1010000,3968.75,108.4869,4034.63,202,308.7439,-17149.76953125
203,1015000,2683.42,108.6454,3770.68,203,309.5709,-16763.443359375
204,1020000,3262.08,104.4077,3874.46,204,306.0562,-16836.53515625
205,1025000,3932.91,109.1842,4424.28,205,303.747,-17078.140625
206,1030000,3835.6,135.7973,4080.64,206,313.1759,-17053.8828125
207,1035000,4529.15,95.8083,4875.27,207,297.2613,-17034.7890625
208,1040000,3818.12,99.1954,4731.34,208,304.7388,-17183.2578125
209,1045000,3409.82,93.9741,4901.81,209,299.5193,-17276.5703125
210,1050000,4408.91,100.1919,4900.58,210,301.1478,-17090.916015625
211,1055000,4199.9,97.1932,4720.1,211,302.312,-17306.1640625
212,1060000,4489.45,94.7245,4726.28,212,300.5644,-17306.673828125
213,1065000,4360.85,97.2995,4791.72,213,303.0112,-17453.0703125
214,1070000,4901.77,97.3895,4804.33,214,301.9212,-17485.298828125
215,1075000,4370.99,95.6447,4717.16,215,302.6081,-17408.94140625
216,1080000,4632.34,97.785,4611.87,216,306.9318,-17468.119140625
217,1085000,4712.55,108.7385,4898.75,217,309.417,-17520.421875
218,1090000,4737.96,97.4678,4898.07,218,305.1436,-17568.55078125
219,1095000,4740.89,110.6349,4764.88,219,307.1383,-17532.90625
220,1100000,4737.26,129.4372,4642.16,220,309.5524,-17589.51953125
221,1105000,4707.69,119.2447,4781.94,221,313.0615,-17399.470703125
222,1110000,4975.84,96.1856,4924.86,222,301.4839,-17526.447265625
223,1115000,5031.24,96.4291,4574.87,223,306.771,-17575.5390625
224,1120000,4820.33,104.0792,4284.42,224,311.3406,-17680.97265625
225,1125000,2742.35,155.3389,2907.45,225,321.2744,-16972.248046875
