Running Reverse KL,Reward Loss,Running Env Steps,Running Forward KL,Real Sto Return,Running Update Time,Itration,Real Det Return
11.552,72.40245056152344,0,158.5612,-210.89,0,0,-50.3
11.6584,-100.3299789428711,5000,158.3109,-65.64,1,1,-10.14
12.2746,-326.00909423828125,10000,158.2527,146.94,2,2,483.48
13.3402,-602.0182495117188,15000,158.1094,328.94,3,3,745.69
14.0276,-850.1964111328125,20000,158.0478,517.15,4,4,1012.62
14.1191,-1093.39453125,25000,158.1206,549.89,5,5,933.57
14.3735,-1318.79833984375,30000,158.1928,648.27,6,6,1027.15
14.7112,-1551.8873291015625,35000,158.0882,750.24,7,7,821.46
14.6846,-1713.9178466796875,40000,157.9301,838.71,8,8,1081.68
14.7735,-1836.613525390625,45000,157.8179,885.81,9,9,1088.75
15.3716,-2078.123046875,50000,157.6504,964.59,10,10,1335.16
15.8726,-2328.87109375,55000,158.1332,1031.05,11,11,1401.85
15.6095,-2436.910400390625,60000,157.868,1070.52,12,12,1465.58
16.4386,-2655.273681640625,65000,157.9513,1141.19,13,13,1532.83
16.7911,-2880.8515625,70000,158.0254,1168.2,14,14,1551.56
16.6756,-3053.09423828125,75000,157.899,1205.17,15,15,1598.87
17.0579,-3232.901611328125,80000,158.0665,1258.79,16,16,1670.95
16.7631,-3450.49462890625,85000,157.9378,1323.48,17,17,1736.2
17.0161,-3659.82373046875,90000,157.9899,1334.06,18,18,1709.45
16.5278,-3898.248046875,95000,157.7547,1388.38,19,19,1794.01
16.7588,-4162.94091796875,100000,157.8307,1410.63,20,20,1829.27
16.8135,-4319.24609375,105000,157.5717,1478.88,21,21,1886.12
16.5329,-4451.84326171875,110000,157.7458,1474.89,22,22,1822.22
16.5399,-4689.236328125,115000,157.7169,1488.15,23,23,1893.14
16.6078,-4874.74853515625,120000,157.7457,1524.21,24,24,1882.88
16.6442,-5035.7021484375,125000,157.5953,1547.94,25,25,1916.48
16.7317,-5267.63427734375,130000,157.6619,1553.78,26,26,1967.11
16.6852,-5433.0849609375,135000,157.8837,1590.5,27,27,1939.18
16.6026,-5648.97119140625,140000,157.7182,1569.0,28,28,1900.7
16.8007,-5801.0244140625,145000,157.5356,1620.13,29,29,2005.84
16.6544,-6005.3740234375,150000,157.5055,1625.79,30,30,1979.71
16.4657,-6173.318359375,155000,157.367,1614.94,31,31,1975.25
16.602,-6383.1220703125,160000,157.5953,1588.53,32,32,1972.89
16.4858,-6551.60986328125,165000,157.6231,1609.29,33,33,1908.83
16.4049,-6724.828125,170000,157.473,1646.07,34,34,1916.53
16.7297,-6989.5595703125,175000,157.4614,1599.69,35,35,1981.98
16.5264,-7127.72607421875,180000,157.4513,1669.86,36,36,2016.4
16.8452,-7268.765625,185000,157.4507,1661.05,37,37,2047.99
17.0231,-7517.99365234375,190000,157.4826,1698.49,38,38,2045.5
16.8017,-7670.0634765625,195000,157.4658,1659.37,39,39,1998.76
16.6668,-7890.001953125,200000,157.5752,1675.58,40,40,2007.71
16.7123,-8015.90087890625,205000,157.3503,1677.04,41,41,2023.42
16.3232,-8262.013671875,210000,157.2428,1661.03,42,42,1987.17
16.4889,-8456.212890625,215000,157.2853,1664.89,43,43,2010.47
16.7531,-8612.8046875,220000,157.5061,1710.79,44,44,2082.46
16.4542,-8788.5888671875,225000,157.4972,1687.75,45,45,2023.94
16.656,-9037.0419921875,230000,157.5424,1727.45,46,46,2055.78
16.3753,-9221.7802734375,235000,157.1216,1688.13,47,47,2032.07
16.4271,-9344.49609375,240000,157.0291,1717.56,48,48,2061.61
16.6821,-9533.4130859375,245000,157.4273,1717.57,49,49,2062.92
16.2311,-9749.0595703125,250000,157.4422,1671.96,50,50,2043.04
16.6033,-9974.169921875,255000,157.3663,1671.42,51,51,2089.0
16.1897,-10113.505859375,260000,157.1493,1704.66,52,52,2072.71
16.2846,-10371.3564453125,265000,157.0727,1724.23,53,53,2095.85
16.1954,-10554.2041015625,270000,157.0719,1740.39,54,54,2065.51
16.556,-10773.17578125,275000,157.2632,1708.24,55,55,2082.83
16.2745,-11036.521484375,280000,157.1253,1726.83,56,56,2089.13
16.4183,-11197.7578125,285000,157.2642,1742.03,57,57,2098.59
16.2341,-11389.9541015625,290000,157.3056,1668.53,58,58,2025.87
16.0192,-11513.07421875,295000,156.9559,1739.25,59,59,2065.75
16.2442,-11666.0703125,300000,157.155,1718.36,60,60,2078.18
16.2942,-11951.064453125,305000,157.0204,1769.16,61,61,2123.45
16.0156,-12221.1748046875,310000,157.4662,1720.58,62,62,2063.37
16.1818,-12346.2958984375,315000,157.4374,1707.87,63,63,2062.11
16.1403,-12539.466796875,320000,157.296,1725.48,64,64,2125.1
16.4081,-12825.396484375,325000,157.3528,1773.74,65,65,2154.3
16.5107,-13001.1572265625,330000,157.1879,1766.35,66,66,2142.39
16.2104,-13092.7421875,335000,156.9357,1772.01,67,67,2141.7
16.1705,-13364.966796875,340000,157.1929,1768.18,68,68,2152.2
15.8198,-13431.6103515625,345000,156.8616,1764.52,69,69,2102.01
15.8222,-13695.2470703125,350000,157.0202,1735.78,70,70,2107.85
16.2642,-14057.091796875,355000,157.1601,1771.79,71,71,2124.1
15.6551,-14160.4990234375,360000,156.9127,1759.62,72,72,2086.51
16.0087,-14442.4853515625,365000,156.9098,1785.85,73,73,2099.25
15.9385,-14563.890625,370000,157.044,1785.25,74,74,2147.49
15.9802,-14815.66796875,375000,156.9552,1778.98,75,75,2115.53
15.7832,-15021.7841796875,380000,156.9982,1733.77,76,76,2076.05
15.7383,-15219.845703125,385000,156.849,1753.81,77,77,2085.57
15.7161,-15513.8408203125,390000,157.2185,1725.62,78,78,1994.92
15.898,-15644.0263671875,395000,157.0366,1787.68,79,79,2078.28
16.0826,-15864.5009765625,400000,157.0316,1765.09,80,80,2107.31
15.9592,-16027.37890625,405000,157.0249,1785.66,81,81,2141.35
15.7119,-16228.224609375,410000,156.8813,1792.49,82,82,2152.69
15.9048,-16468.033203125,415000,157.0484,1774.72,83,83,2074.39
15.5942,-16735.232421875,420000,157.1142,1747.08,84,84,2089.23
16.0352,-16954.912109375,425000,156.862,1792.34,85,85,2158.4
15.9882,-17107.615234375,430000,156.8001,1801.68,86,86,2162.65
15.9363,-17468.84765625,435000,157.0711,1791.14,87,87,2180.95
15.9681,-17614.28125,440000,157.1908,1807.63,88,88,2132.28
16.1384,-17836.701171875,445000,156.9531,1814.83,89,89,2133.79
15.8313,-17958.314453125,450000,157.0414,1783.53,90,90,2095.13
15.6332,-18252.9921875,455000,157.0199,1777.65,91,91,2111.18
15.8777,-18501.4375,460000,156.8868,1786.74,92,92,2157.37
16.1097,-18808.447265625,465000,156.9058,1808.9,93,93,2175.59
15.754,-18965.833984375,470000,156.7661,1781.56,94,94,2113.99
15.7456,-19214.0390625,475000,156.9398,1754.82,95,95,2155.49
15.7238,-19386.31640625,480000,157.0724,1770.7,96,96,2110.6
15.5225,-19637.009765625,485000,157.0892,1783.45,97,97,2123.05
15.8836,-19842.361328125,490000,156.9486,1782.64,98,98,2125.72
15.6215,-20088.603515625,495000,156.9009,1780.38,99,99,2165.74
15.7733,-20338.33203125,500000,156.7986,1819.47,100,100,2156.46
15.8735,-20595.04296875,505000,156.9566,1816.77,101,101,2145.43
15.9797,-20840.447265625,510000,156.948,1806.32,102,102,2134.61
15.7266,-21010.306640625,515000,157.022,1796.44,103,103,2117.9
15.5314,-21247.1796875,520000,156.7597,1823.53,104,104,2128.02
15.8173,-21584.26171875,525000,156.8984,1827.52,105,105,2147.28
15.6573,-21689.62109375,530000,156.9143,1806.63,106,106,2147.2
15.5641,-21983.9765625,535000,156.863,1812.65,107,107,2173.79
15.8853,-22329.818359375,540000,156.9789,1835.35,108,108,2175.61
15.8404,-22609.736328125,545000,157.057,1834.33,109,109,2178.73
16.0167,-22921.314453125,550000,156.9182,1835.76,110,110,2166.23
15.5576,-22877.728515625,555000,156.8571,1829.78,111,111,2133.85
15.9108,-23306.04296875,560000,156.9145,1828.77,112,112,2149.95
15.7386,-23486.01953125,565000,156.9339,1851.74,113,113,2202.42
15.8394,-23660.849609375,570000,156.7034,1855.56,114,114,2232.19
15.6806,-23901.083984375,575000,156.6709,1838.3,115,115,2168.5
15.3492,-24124.935546875,580000,156.7818,1814.15,116,116,2115.36
15.671,-24475.0390625,585000,156.9165,1830.48,117,117,2154.96
15.2864,-24649.1015625,590000,156.8244,1784.51,118,118,2109.55
15.1334,-24909.74609375,595000,156.8392,1783.14,119,119,2121.75
15.2952,-25134.41796875,600000,156.777,1816.79,120,120,2127.66
15.7754,-25434.68359375,605000,157.0501,1824.16,121,121,2165.61
15.818,-25631.97265625,610000,156.9005,1854.43,122,122,2207.29
15.9445,-26123.771484375,615000,157.0547,1841.44,123,123,2226.45
15.706,-26268.478515625,620000,156.8722,1845.11,124,124,2173.51
15.7181,-26492.615234375,625000,156.747,1855.91,125,125,2194.73
15.8871,-26871.00390625,630000,156.7009,1859.04,126,126,2228.81
15.515,-27011.880859375,635000,156.8512,1849.76,127,127,2190.85
15.5937,-27359.171875,640000,156.7576,1865.22,128,128,2220.56
15.844,-27480.34375,645000,156.78,1853.65,129,129,2211.94
15.4621,-27754.275390625,650000,156.7963,1813.79,130,130,2197.99
15.4912,-28113.84765625,655000,157.0234,1852.13,131,131,2191.73
15.6643,-28447.796875,660000,156.8602,1839.47,132,132,2224.4
15.7402,-28676.65234375,665000,156.9003,1854.23,133,133,2227.54
15.6659,-29001.005859375,670000,157.0266,1859.22,134,134,2244.5
15.7166,-29159.6015625,675000,156.7194,1869.97,135,135,2194.18
15.7516,-29420.91015625,680000,156.7771,1856.21,136,136,2233.25
15.3872,-29548.5859375,685000,156.729,1839.59,137,137,2182.13
15.8768,-30227.61328125,690000,156.7793,1876.33,138,138,2226.11
15.5856,-30211.017578125,695000,157.0051,1854.46,139,139,2190.9
15.5453,-30447.19921875,700000,156.9048,1879.15,140,140,2220.79
15.5914,-30773.017578125,705000,156.9645,1858.63,141,141,2211.92
15.3841,-31015.9296875,710000,156.6932,1816.28,142,142,2151.83
15.5328,-31398.06640625,715000,156.7666,1880.21,143,143,2214.74
15.7816,-31713.4375,720000,156.8643,1875.82,144,144,2221.79
15.6586,-31964.3515625,725000,156.8216,1851.71,145,145,2217.96
15.521,-32058.28515625,730000,156.8558,1835.91,146,146,2189.38
15.8001,-32493.310546875,735000,156.7904,1887.72,147,147,2236.58
15.581,-32701.078125,740000,156.869,1876.88,148,148,2206.94
15.5531,-33067.83984375,745000,156.7814,1877.37,149,149,2227.49
15.5272,-33387.63671875,750000,156.7191,1863.56,150,150,2223.61
15.7196,-33668.3828125,755000,156.6978,1913.33,151,151,2245.08
15.6684,-34002.11328125,760000,156.8822,1867.71,152,152,2260.23
15.6618,-34379.11328125,765000,156.9022,1876.35,153,153,2253.26
15.7949,-34629.2421875,770000,156.7226,1900.83,154,154,2215.68
15.1735,-34639.453125,775000,156.643,1818.2,155,155,2179.62
15.811,-35334.80859375,780000,156.8943,1905.43,156,156,2261.29
15.4903,-35359.5546875,785000,156.9622,1858.55,157,157,2147.68
15.4391,-35788.3203125,790000,156.8532,1871.26,158,158,2244.2
15.2545,-35950.40625,795000,156.766,1880.11,159,159,2232.22
15.4357,-36356.6328125,800000,156.8113,1881.34,160,160,2223.73
15.8251,-36648.00390625,805000,156.7342,1886.81,161,161,2271.04
15.3547,-37080.390625,810000,156.884,1857.39,162,162,2167.55
15.3247,-37380.109375,815000,156.8333,1859.18,163,163,2195.16
15.4285,-37490.890625,820000,156.8144,1863.7,164,164,2193.83
15.2943,-37746.7890625,825000,156.8327,1864.04,165,165,2221.17
15.7522,-38207.4921875,830000,156.7951,1919.26,166,166,2270.77
15.4397,-38489.375,835000,156.8169,1876.78,167,167,2214.35
15.4339,-38607.71484375,840000,156.7507,1876.27,168,168,2227.05
15.6377,-38890.6796875,845000,156.6955,1864.87,169,169,2221.77
15.4804,-38700.03125,850000,156.6141,1863.7,170,170,2192.35
15.3044,-39170.62890625,855000,156.6488,1877.1,171,171,2242.8
15.3387,-39140.16015625,860000,156.7521,1847.78,172,172,2236.13
15.7612,-39471.70703125,865000,156.7471,1911.49,173,173,2278.87
15.6213,-39838.05859375,870000,156.9442,1898.8,174,174,2253.14
15.6611,-39843.08984375,875000,156.7728,1941.65,175,175,2286.54
15.8067,-40163.85546875,880000,156.6905,1892.16,176,176,2267.36
15.7338,-40392.30859375,885000,156.9307,1907.26,177,177,2258.37
15.8176,-40788.91015625,890000,156.7296,1935.48,178,178,2285.87
