Running Reverse KL,Reward Loss,Real Sto Return,Itration,Real Det Return,Running Forward KL,Running Env Steps,Running Update Time
16.773,473.13275146484375,234.74,0,223.57,32.2062,0,0
25.5948,441.38848876953125,274.68,1,278.07,31.106,5000,1
29.8075,334.8556213378906,339.75,2,340.98,30.0165,10000,2
24.7973,170.8203887939453,414.04,3,425.81,28.7455,15000,3
26.6847,381.6536560058594,426.05,4,427.89,27.9172,20000,4
23.0128,182.19528198242188,464.06,5,506.61,24.8549,25000,5
27.4866,34.587684631347656,499.03,6,628.54,26.6425,30000,6
26.1507,-17.08745002746582,632.08,7,600.53,24.7367,35000,7
32.8675,149.18714904785156,552.35,8,372.68,23.9649,40000,8
52.6343,109.5173110961914,793.5,9,988.22,25.229,45000,9
58.0427,289.8780517578125,667.16,10,654.75,24.7327,50000,10
97.8403,259.11712646484375,741.67,11,669.8,24.7067,55000,11
25.6184,-103.55580139160156,948.57,12,862.37,23.1911,60000,12
13.5732,-50.8897705078125,1149.78,13,1058.93,22.6187,65000,13
17.0661,-103.51751708984375,930.21,14,1008.37,23.2843,70000,14
11.867,74.58647918701172,2494.51,15,2986.97,21.8154,75000,15
12.8112,85.33006286621094,2580.18,16,3061.72,21.8598,80000,16
14.4766,9.540972709655762,2816.41,17,2750.71,23.5286,85000,17
13.941,20.6768741607666,2818.16,18,3059.83,22.1487,90000,18
19.9836,-31.501937866210938,2419.54,19,3041.88,20.7278,95000,19
22.2136,-76.15596008300781,1338.49,20,3262.39,22.527,100000,20
12.7266,111.42669677734375,3122.79,21,3133.63,20.1004,105000,21
13.1582,46.83963394165039,2994.91,22,3214.23,20.8404,110000,22
15.9456,42.86259841918945,2926.27,23,3105.58,21.5899,115000,23
12.6931,98.37700653076172,3104.69,24,3109.86,21.1914,120000,24
13.3549,42.89056396484375,3119.74,25,3081.71,21.0879,125000,25
12.8642,71.52362060546875,3146.76,26,3183.06,20.6746,130000,26
12.878,19.97163200378418,3155.13,27,3140.1,20.6281,135000,27
