Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL,Running Update Time,Reward Loss,Running Env Steps,Itration
24.8589,275.97,285.3,37.5738,0,20.191699981689453,0,0
18.7962,216.08,295.39,35.2499,1,25.405445098876953,5000,1
16.2196,344.17,301.6,34.9236,2,-29.724851608276367,10000,2
18.5901,432.29,571.21,34.087,3,-12.293338775634766,15000,3
28.5374,483.59,375.74,33.1177,4,1.9608289003372192,20000,4
35.3212,386.27,350.73,34.8471,5,-30.389204025268555,25000,5
15.978,814.75,893.77,30.6299,6,-31.687252044677734,30000,6
23.4023,1197.79,823.55,32.0375,7,-33.34717559814453,35000,7
16.6964,760.96,767.87,32.4587,8,-67.98883056640625,40000,8
17.1039,762.34,793.16,33.0263,9,-77.77525329589844,45000,9
14.6819,859.87,857.89,31.9415,10,-51.77374267578125,50000,10
25.0287,1010.33,959.04,31.2414,11,-89.31333923339844,55000,11
22.6296,831.99,433.35,31.8035,12,-93.04487609863281,60000,12
13.5968,1561.85,1776.23,30.9103,13,-3.0210466384887695,65000,13
13.746,2002.33,2897.91,30.5956,14,-55.4644775390625,70000,14
13.7439,2823.31,2710.19,30.468,15,-85.46336364746094,75000,15
16.0221,2962.31,2956.57,31.23,16,-72.4759521484375,80000,16
13.7281,2353.19,2700.55,30.6519,17,-83.20989990234375,85000,17
14.3678,2864.49,2756.52,30.1332,18,-76.17684936523438,90000,18
13.1986,2767.48,2946.18,29.3167,19,-96.05099487304688,95000,19
14.711,2827.41,2932.37,30.8568,20,-102.42632293701172,100000,20
13.888,2647.26,2963.21,29.9024,21,-103.6507797241211,105000,21
14.0142,1866.1,2741.39,30.9208,22,-47.29135513305664,110000,22
15.7392,2977.08,2933.04,30.863,23,-108.10914611816406,115000,23
15.1296,1965.1,1973.65,31.6911,24,-57.63591766357422,120000,24
13.2071,1268.42,1254.13,29.9468,25,-33.101558685302734,125000,25
14.6745,2974.88,3123.51,30.1766,26,-92.7496566772461,130000,26
14.077,2947.18,3152.84,29.6076,27,-84.70736694335938,135000,27
15.9411,1729.19,2340.06,31.1705,28,-95.88542938232422,140000,28
14.386,3057.04,3184.03,29.2427,29,-93.1116943359375,145000,29
15.5538,2955.77,3101.59,30.2958,30,-102.83426666259766,150000,30
14.1079,3095.99,3223.08,29.2584,31,-99.06624603271484,155000,31
15.8149,3182.37,3205.32,30.4082,32,-94.83287048339844,160000,32
15.5434,3124.64,3231.97,30.7629,33,-109.57916259765625,165000,33
14.8787,3121.66,3355.17,29.4777,34,-82.76602935791016,170000,34
13.8174,3260.44,3279.37,27.8826,35,-87.01532745361328,175000,35
23.2847,1874.09,3097.72,28.5188,36,-133.384765625,180000,36
14.5537,3225.03,3251.36,28.9464,37,-104.06841278076172,185000,37
13.5504,2703.77,3360.39,29.3874,38,-79.40740966796875,190000,38
13.7555,3317.35,3354.5,28.5126,39,-94.6244125366211,195000,39
13.7009,3034.27,3345.22,28.6422,40,-92.12034606933594,200000,40
15.6358,2779.94,3391.92,27.9587,41,-94.40763092041016,205000,41
15.2994,3260.64,3317.43,29.8595,42,-117.86898803710938,210000,42
13.7551,3142.63,3196.34,28.7585,43,-114.35173797607422,215000,43
13.4809,3268.85,3437.9,26.9445,44,-79.27088165283203,220000,44
12.8593,3101.95,3350.75,27.2942,45,-85.11346435546875,225000,45
14.8663,2617.93,3380.8,29.1548,46,-110.95439147949219,230000,46
13.5491,3299.84,3333.5,27.8494,47,-98.58431243896484,235000,47
13.5172,3248.69,3308.88,27.6194,48,-105.65180969238281,240000,48
13.7102,3353.89,3377.9,27.6344,49,-105.47943115234375,245000,49
13.6312,3180.38,3388.83,27.7368,50,-92.91140747070312,250000,50
14.0339,3272.09,3321.56,27.9581,51,-121.66650390625,255000,51
14.2875,2900.75,3384.7,28.5128,52,-103.30523681640625,260000,52
19.0534,2443.22,3443.74,27.6262,53,-125.48615264892578,265000,53
13.5399,3194.07,3351.07,28.047,54,-115.07786560058594,270000,54
13.1657,3310.9,3410.21,26.0586,55,-90.16746520996094,275000,55
20.4972,2078.35,3450.73,28.93,56,-136.73565673828125,280000,56
20.95,2454.49,3418.55,26.5061,57,-127.73561096191406,285000,57
13.5509,3044.98,3424.02,26.8706,58,-102.14189910888672,290000,58
12.9736,3176.37,3429.82,25.8129,59,-65.96013641357422,295000,59
23.9401,1570.83,1974.3,27.4361,60,-181.30982971191406,300000,60
14.6094,2788.67,3460.98,26.6637,61,-98.18339538574219,305000,61
12.9821,2657.24,3512.97,26.2314,62,-101.81278228759766,310000,62
13.1872,3101.86,3487.39,26.7412,63,-80.36321258544922,315000,63
23.1215,1990.68,3497.02,27.383,64,-153.7847137451172,320000,64
13.7297,3446.99,3432.55,27.2183,65,-101.85194396972656,325000,65
21.4721,2333.18,3474.57,27.9266,66,-160.330322265625,330000,66
15.8793,3156.61,3476.03,27.1522,67,-102.14344024658203,335000,67
13.6039,3370.45,3373.89,27.0161,68,-106.17353057861328,340000,68
13.0102,3381.57,3391.51,26.7726,69,-115.31951904296875,345000,69
13.8464,3358.65,3439.65,27.4447,70,-114.8257827758789,350000,70
13.4499,3422.51,3424.37,26.6443,71,-114.74816131591797,355000,71
14.3787,3387.09,3412.82,28.191,72,-134.48777770996094,360000,72
13.5965,2934.64,3347.02,26.6527,73,-127.0125503540039,365000,73
14.0847,2831.53,3367.9,27.8339,74,-151.52145385742188,370000,74
12.3633,3258.95,3442.87,24.6752,75,-104.24903106689453,375000,75
15.2056,3309.57,3418.02,27.3236,76,-120.37042999267578,380000,76
13.9659,3457.93,3455.35,26.8269,77,-107.15958404541016,385000,77
11.9587,2822.32,3443.25,25.0264,78,-98.8029556274414,390000,78
12.9184,3428.66,3424.78,25.309,79,-101.69750213623047,395000,79
12.5199,3321.45,3390.97,26.3969,80,-124.24212646484375,400000,80
12.5437,3259.95,3306.29,26.8696,81,-136.8950653076172,405000,81
12.1503,3404.81,3411.86,24.7984,82,-117.41361236572266,410000,82
13.5305,3207.19,3398.74,27.3182,83,-132.6125946044922,415000,83
10.9873,3344.45,3377.39,23.4034,84,-99.19953155517578,420000,84
14.8319,3084.15,3412.23,26.0645,85,-151.3004608154297,425000,85
12.0226,3332.43,3398.33,25.0476,86,-132.4391326904297,430000,86
12.9831,2974.11,3382.53,26.1742,87,-153.185302734375,435000,87
12.4178,3294.87,3474.52,25.6211,88,-109.62551879882812,440000,88
14.8699,2941.65,3455.11,25.5597,89,-158.0105743408203,445000,89
13.0724,3287.92,3482.01,25.6562,90,-135.58982849121094,450000,90
12.2261,3140.84,3406.4,26.0893,91,-142.43580627441406,455000,91
15.9772,3066.58,3417.17,25.0171,92,-191.489501953125,460000,92
15.8223,2732.21,3499.93,25.8693,93,-150.16729736328125,465000,93
12.4879,3395.16,3500.33,25.1938,94,-86.21975708007812,470000,94
12.7967,3051.17,3477.57,25.053,95,-147.60691833496094,475000,95
13.9038,3185.17,3441.48,25.758,96,-147.0020294189453,480000,96
12.4275,3345.27,3412.74,25.4499,97,-162.31126403808594,485000,97
12.4131,3303.16,3445.83,24.9914,98,-146.36630249023438,490000,98
13.5176,3428.98,3457.03,26.7255,99,-146.21621704101562,495000,99
12.0714,3222.41,3460.63,24.6023,100,-117.4153060913086,500000,100
12.0651,3418.22,3429.69,24.5119,101,-137.3414306640625,505000,101
13.7865,3026.28,3429.38,26.2552,102,-176.13827514648438,510000,102
11.3373,3358.74,3388.14,24.0451,103,-157.32640075683594,515000,103
12.2418,2948.42,3439.85,24.6343,104,-128.62937927246094,520000,104
12.8204,3161.74,3468.9,25.4726,105,-142.0860137939453,525000,105
11.1655,3346.48,3405.64,24.235,106,-148.67022705078125,530000,106
10.6896,3379.09,3420.19,23.4438,107,-152.1540985107422,535000,107
13.5328,3382.02,3413.08,26.0725,108,-175.55604553222656,540000,108
11.9032,3069.76,3424.79,24.6823,109,-145.055908203125,545000,109
10.6741,3349.25,3387.55,23.4853,110,-134.4640350341797,550000,110
9.4571,3212.42,3427.4,22.9211,111,-118.37360382080078,555000,111
11.8154,2982.4,3468.13,24.7066,112,-162.13160705566406,560000,112
12.0629,3295.7,3393.51,24.8975,113,-130.47996520996094,565000,113
12.7894,3404.38,3466.1,25.0777,114,-173.89695739746094,570000,114
13.436,3179.42,3442.29,26.5812,115,-205.01136779785156,575000,115
12.1538,3115.15,3455.34,24.9519,116,-130.90829467773438,580000,116
10.9359,3218.55,3474.88,23.871,117,-159.20535278320312,585000,117
11.9031,2762.91,3447.02,24.7441,118,-140.87208557128906,590000,118
11.7907,3293.09,3472.12,24.4018,119,-159.48780822753906,595000,119
11.7345,3039.68,3402.58,25.0971,120,-169.18667602539062,600000,120
14.3415,2758.42,3483.83,26.049,121,-219.8148193359375,605000,121
12.5274,3305.45,3437.2,26.2296,122,-175.20535278320312,610000,122
13.2131,2835.22,3443.73,25.0418,123,-188.5317840576172,615000,123
12.43,2667.81,3484.45,26.1706,124,-199.23446655273438,620000,124
11.9391,2826.26,3463.52,23.9992,125,-161.21876525878906,625000,125
12.3983,2974.81,3460.57,25.1997,126,-184.9339599609375,630000,126
12.707,2997.12,3459.88,25.5229,127,-180.80938720703125,635000,127
12.255,2861.61,3448.38,24.4694,128,-185.10935974121094,640000,128
11.5903,3237.43,3448.12,24.3349,129,-166.74073791503906,645000,129
11.247,2579.11,3460.68,24.4328,130,-212.80694580078125,650000,130
12.2687,3150.45,3480.16,24.6721,131,-207.15647888183594,655000,131
12.0602,2792.6,3450.36,25.6245,132,-212.0823974609375,660000,132
11.849,2595.95,3469.74,24.3316,133,-206.0752716064453,665000,133
11.6369,2727.29,3481.84,23.4413,134,-186.60389709472656,670000,134
12.401,2790.95,3456.29,24.6925,135,-164.6461181640625,675000,135
13.6738,2997.18,3466.17,24.9182,136,-189.68446350097656,680000,136
10.9152,3164.9,3452.33,22.6128,137,-153.9386749267578,685000,137
11.3245,3012.33,3514.32,23.9886,138,-194.25711059570312,690000,138
17.3334,2957.67,3452.09,25.1809,139,-253.2963409423828,695000,139
11.794,3077.8,3475.93,24.0132,140,-182.52992248535156,700000,140
12.5575,3049.35,3472.79,24.1111,141,-162.63482666015625,705000,141
13.4522,2838.51,3470.49,25.7342,142,-264.692626953125,710000,142
11.7242,3110.9,3488.83,24.0177,143,-191.3832550048828,715000,143
12.1016,3225.72,3502.06,24.7809,144,-217.1829071044922,720000,144
12.3053,3005.83,3471.76,25.2017,145,-180.06192016601562,725000,145
16.899,3315.11,3460.6,24.5932,146,-261.73211669921875,730000,146
11.8542,3234.05,3465.35,24.0103,147,-194.99325561523438,735000,147
11.8014,3359.38,3453.04,23.8281,148,-198.0406951904297,740000,148
10.3741,3377.91,3476.65,22.7038,149,-155.91566467285156,745000,149
11.0305,3323.46,3437.52,22.8043,150,-198.60171508789062,750000,150
11.3696,3338.95,3445.63,23.4087,151,-193.7306671142578,755000,151
10.4663,2443.88,3477.66,23.3152,152,-200.0336456298828,760000,152
13.0479,2995.82,3445.49,23.4601,153,-212.3413543701172,765000,153
11.0826,2868.78,3499.3,23.7715,154,-191.6728057861328,770000,154
11.6974,3395.19,3428.52,24.1065,155,-188.0439453125,775000,155
11.0872,3334.03,3462.44,23.1072,156,-195.8123016357422,780000,156
11.4095,3220.58,3460.99,23.8033,157,-197.46636962890625,785000,157
11.5437,3183.4,3425.26,24.0126,158,-210.25308227539062,790000,158
11.2736,3104.49,3487.4,24.2502,159,-231.79666137695312,795000,159
11.058,3451.07,3486.08,23.159,160,-157.1669158935547,800000,160
10.3491,3336.38,3485.5,23.0386,161,-205.58726501464844,805000,161
11.5279,3374.66,3472.69,23.7475,162,-208.64093017578125,810000,162
11.4956,3165.16,3465.36,23.3235,163,-228.70050048828125,815000,163
10.4419,3337.97,3464.64,23.5871,164,-227.80079650878906,820000,164
12.2764,3452.53,3479.51,24.9541,165,-279.1048889160156,825000,165
11.4979,3465.22,3483.93,23.5005,166,-200.1797332763672,830000,166
10.9919,2916.78,3469.79,23.7434,167,-211.13961791992188,835000,167
11.5872,3244.23,3432.13,24.4203,168,-205.34043884277344,840000,168
11.8449,3424.88,3480.59,23.6756,169,-201.07064819335938,845000,169
10.7697,3011.96,3464.49,23.9541,170,-227.1934051513672,850000,170
11.6667,3432.01,3456.29,23.6147,171,-217.4517059326172,855000,171
11.7648,3272.93,3481.99,24.7768,172,-303.0173645019531,860000,172
10.8258,3396.28,3455.72,23.6991,173,-215.73348999023438,865000,173
12.33,2984.21,3450.2,26.1045,174,-262.42864990234375,870000,174
11.3125,3349.72,3486.28,23.6737,175,-231.3051300048828,875000,175
11.1313,2949.05,3473.62,25.3161,176,-291.19464111328125,880000,176
10.8502,3229.05,3457.15,24.1882,177,-254.21112060546875,885000,177
11.1245,3428.74,3477.45,23.0189,178,-184.27415466308594,890000,178
12.1632,3398.29,3469.93,24.5297,179,-252.1969451904297,895000,179
12.0751,3258.01,3501.0,24.8765,180,-262.41558837890625,900000,180
11.9519,3458.24,3493.04,24.1038,181,-224.28857421875,905000,181
11.62,3363.94,3497.49,23.7946,182,-268.9942932128906,910000,182
11.5679,2842.49,3477.21,24.3504,183,-252.24742126464844,915000,183
11.326,2906.96,3436.29,24.0144,184,-236.3528289794922,920000,184
12.2998,2951.43,3478.99,24.9925,185,-228.6134033203125,925000,185
11.1661,3136.07,3481.2,24.5693,186,-261.503173828125,930000,186
11.3874,2872.45,3464.14,23.605,187,-294.5072937011719,935000,187
12.1863,3068.54,3499.85,24.8214,188,-337.934814453125,940000,188
10.7016,3415.53,3455.16,23.7389,189,-302.5473327636719,945000,189
11.2798,2944.83,3517.14,25.2314,190,-315.02947998046875,950000,190
11.4905,3448.04,3480.97,23.925,191,-243.1411895751953,955000,191
11.4937,3232.41,3490.3,23.7506,192,-254.42108154296875,960000,192
11.3408,3396.72,3476.74,23.9897,193,-279.4476013183594,965000,193
11.0814,3449.91,3499.68,23.7219,194,-230.07516479492188,970000,194
10.8484,3237.65,3438.89,23.8016,195,-284.971923828125,975000,195
11.2898,3158.95,3463.88,23.3911,196,-269.45806884765625,980000,196
11.1056,3420.7,3466.72,23.3515,197,-293.5904235839844,985000,197
10.7225,2925.22,3476.74,24.4022,198,-341.39703369140625,990000,198
11.2372,3464.85,3471.78,23.5804,199,-255.4368896484375,995000,199
