Running Reverse KL,Running Update Time,Itration,Real Sto Return,Running Env Steps,Running Forward KL,Reward Loss,Real Det Return
20.3535,0,0,231.92,0,32.1366,123.71720886230469,218.79
44.3775,1,1,340.88,5000,32.0506,227.36029052734375,320.08
35.4825,2,2,323.36,10000,29.3674,142.2681427001953,291.48
35.6151,3,3,458.89,15000,30.5686,82.26915740966797,477.34
39.2948,4,4,497.08,20000,28.9927,40.16016387939453,542.74
68.6967,5,5,542.19,25000,26.1352,221.53973388671875,625.85
28.5157,6,6,221.17,30000,32.271,189.09542846679688,191.71
52.5991,7,7,1016.27,35000,38.4686,-365.7197570800781,1016.26
21.7194,8,8,453.3,40000,34.3444,-316.64300537109375,865.42
50.1985,9,9,298.88,45000,39.7199,-468.8153991699219,284.21
34.0912,10,10,82.19,50000,30.2008,-428.0831604003906,81.66
34.0877,11,11,1040.32,55000,34.9047,-413.93670654296875,1040.19
29.0429,12,12,1032.82,60000,35.4419,-475.31005859375,1033.61
38.2168,13,13,999.56,65000,38.6922,-636.0860595703125,1001.13
25.492,14,14,1044.53,70000,36.7199,-544.5475463867188,1042.0
25.6806,15,15,993.24,75000,36.1296,-617.4371337890625,989.59
21.1434,16,16,940.38,80000,29.2539,-555.6528930664062,940.97
36.5559,17,17,1028.11,85000,34.7531,-741.00341796875,1027.65
31.9052,18,18,1044.3,90000,34.6286,-709.9761352539062,1043.12
55.0645,19,19,413.6,95000,27.1177,-435.478759765625,419.11
46.6395,20,20,492.64,100000,25.9491,-384.1170349121094,509.46
32.0655,21,21,1060.15,105000,33.7474,-744.0473022460938,1057.85
36.7741,22,22,1003.76,110000,34.6254,-1023.637939453125,1004.51
37.6894,23,23,132.16,115000,29.6551,-918.3554077148438,970.25
28.8255,24,24,41.8,120000,36.3019,-1065.8170166015625,40.85
163.8714,25,25,63.86,125000,33.2765,-521.0343627929688,64.13
24.0192,26,26,293.58,130000,28.66,-1016.6336669921875,294.15
20.0975,27,27,698.1,135000,30.7673,-362.62762451171875,1058.73
27.4535,28,28,1022.44,140000,34.2062,-1238.4705810546875,1022.79
40.3451,29,29,256.96,145000,32.0537,-176.72389221191406,262.97
39.4249,30,30,982.52,150000,36.4197,-1393.67578125,983.61
33.9261,31,31,1060.87,155000,36.2228,-1162.9608154296875,1060.0
36.2483,32,32,1005.71,160000,38.0736,-1440.843017578125,997.48
33.5889,33,33,1002.15,165000,37.4732,-1473.0435791015625,1000.94
26.5935,34,34,1055.98,170000,37.1846,-1470.9180908203125,1055.93
24.4156,35,35,821.22,175000,32.8913,-1251.3970947265625,1030.34
33.1902,36,36,1054.26,180000,34.3017,-1390.302001953125,1053.82
37.6154,37,37,1060.24,185000,35.749,-1435.2672119140625,1060.87
29.918,38,38,758.66,190000,33.3914,-1256.9351806640625,1064.99
48.3293,39,39,1021.44,195000,34.5378,-1698.2000732421875,1021.13
27.7254,40,40,1038.18,200000,33.099,-1636.1771240234375,1027.7
37.2377,41,41,1043.22,205000,38.9203,-1718.039794921875,1042.33
40.0477,42,42,518.62,210000,34.5119,-1722.97509765625,562.45
26.5605,43,43,1085.89,215000,36.0051,-1671.6126708984375,1080.3
32.6154,44,44,1051.08,220000,35.6944,-1812.6502685546875,1049.2
31.7609,45,45,421.14,225000,32.7296,-973.6534423828125,425.79
37.2574,46,46,1020.05,230000,36.6975,-2046.39453125,1020.22
44.8129,47,47,1002.58,235000,39.3419,-2182.170654296875,1007.05
44.0261,48,48,989.64,240000,39.8921,-2222.324951171875,991.24
127.18,49,49,255.99,245000,28.8886,-1167.311279296875,253.5
121.1177,50,50,375.7,250000,30.2095,-1354.7806396484375,356.62
123.9081,51,51,354.83,255000,32.4364,-1652.6749267578125,273.16
34.1825,52,52,1056.95,260000,37.6774,-2154.904296875,1056.23
50.8307,53,53,451.85,265000,40.9434,-2442.15673828125,488.85
209.1502,54,54,3.83,270000,33.7889,-1467.294921875,4.2
33.4131,55,55,1085.96,275000,33.8957,-2266.850830078125,1063.15
31.8188,56,56,1028.05,280000,34.9384,-2496.3955078125,1028.25
27.8591,57,57,1029.18,285000,35.4724,-2472.690673828125,1033.72
25.3735,58,58,1020.35,290000,36.4137,-2497.85595703125,1020.02
22.9654,59,59,1029.53,295000,36.0531,-2518.706298828125,1032.26
32.7921,60,60,978.34,300000,36.9059,-2676.933349609375,979.98
22.7394,61,61,1035.94,305000,35.4419,-2530.86962890625,1023.07
34.6528,62,62,1024.83,310000,38.2463,-2763.707275390625,1024.51
19.6882,63,63,1055.49,315000,34.7837,-2491.947509765625,1067.48
14.7459,64,64,164.28,320000,30.484,-1583.3270263671875,199.41
13.0252,65,65,316.78,325000,29.643,-1288.9271240234375,390.89
14.8104,66,66,55.32,330000,30.6307,-810.2235107421875,52.52
