Running Env Steps,Real Sto Return,Running Update Time,Itration,Running Reverse KL,Reward Loss,Real Det Return,Running Forward KL
0,-65.25,0,0,27.0923,-2.363018751144409,324.36,75.8702
5000,-23.13,1,1,27.6265,-14.416821479797363,369.0,74.3108
10000,-7.03,2,2,26.8685,-23.606815338134766,381.51,72.0077
15000,18.98,3,3,27.9604,-42.15742492675781,485.75,72.7564
20000,48.89,4,4,29.2783,-63.733524322509766,642.54,74.197
25000,57.43,5,5,28.277,-73.38404846191406,542.22,72.2643
30000,68.94,6,6,30.5822,-87.33038330078125,617.4,73.1825
35000,123.82,7,7,31.0011,-92.41543579101562,535.89,74.371
40000,91.18,8,8,31.21,-111.16818237304688,780.45,73.5021
45000,82.28,9,9,31.6533,-126.16278076171875,498.23,74.0015
50000,166.7,10,10,31.6844,-137.21875,698.64,73.1732
55000,177.1,11,11,31.5545,-149.4058380126953,633.58,73.2115
60000,114.87,12,12,32.1994,-160.68099975585938,473.29,74.4987
65000,159.07,13,13,32.0766,-169.09933471679688,606.64,73.5091
70000,135.02,14,14,31.6544,-182.57591247558594,634.69,73.2651
75000,136.18,15,15,31.3297,-200.6129608154297,473.92,73.0358
80000,242.54,16,16,32.563,-215.60362243652344,691.89,74.5374
85000,145.45,17,17,32.7622,-229.4679412841797,728.72,73.1834
90000,141.22,18,18,31.7465,-236.03762817382812,492.75,74.5544
95000,109.36,19,19,31.322,-245.6316375732422,384.47,72.0897
100000,76.15,20,20,30.9276,-256.7230529785156,643.11,73.5335
105000,61.26,21,21,31.6797,-282.7528076171875,344.62,75.0738
110000,99.38,22,22,31.356,-288.86810302734375,393.42,72.8581
115000,150.62,23,23,31.2274,-301.811279296875,293.54,75.0954
120000,158.02,24,24,31.8301,-312.8346252441406,329.88,73.4484
125000,193.53,25,25,32.5473,-320.7885437011719,650.28,72.1927
130000,191.2,26,26,31.1181,-336.2060852050781,460.8,73.8743
135000,161.48,27,27,30.8454,-355.8789978027344,338.71,74.0125
140000,116.98,28,28,30.9565,-367.59588623046875,439.59,72.2591
145000,119.47,29,29,31.3742,-383.3028259277344,414.22,73.4185
150000,145.51,30,30,31.2074,-396.4459228515625,690.78,73.0396
155000,151.29,31,31,30.7509,-410.13970947265625,355.79,73.2065
160000,156.81,32,32,30.9856,-420.04443359375,270.77,73.6552
165000,122.9,33,33,30.2537,-426.2045593261719,344.06,70.5427
170000,150.97,34,34,32.0326,-453.6573181152344,475.99,72.8295
175000,144.18,35,35,31.3617,-470.9111022949219,395.63,75.5444
180000,158.21,36,36,31.5878,-479.45855712890625,635.57,73.155
185000,151.81,37,37,30.7798,-486.85150146484375,311.65,73.3052
190000,205.55,38,38,31.6948,-513.0741577148438,485.57,74.5745
195000,112.16,39,39,30.4058,-519.0850830078125,470.67,74.8274
200000,146.37,40,40,32.0288,-544.7182006835938,253.66,73.2873
205000,156.61,41,41,30.7871,-545.699462890625,418.85,72.1353
210000,136.03,42,42,31.296,-567.0704956054688,401.5,74.6778
215000,72.72,43,43,31.2208,-588.1260986328125,349.06,74.4108
220000,78.67,44,44,30.9892,-598.6175537109375,253.14,74.8089
225000,146.71,45,45,30.6777,-608.0509643554688,321.58,73.9483
230000,125.29,46,46,30.6564,-622.839111328125,423.04,74.0246
235000,110.61,47,47,30.4765,-647.9627685546875,298.68,74.0679
240000,114.93,48,48,30.5884,-652.8270263671875,437.98,72.8933
245000,122.57,49,49,30.9965,-679.7064819335938,270.75,74.5377
250000,168.22,50,50,30.7288,-685.1346435546875,621.98,74.0521
255000,192.42,51,51,35.4914,-713.2259521484375,627.81,72.8438
