Real Det Return,Running Update Time,Reward Loss,Running Reverse KL,Itration,Real Sto Return,Running Env Steps,Running Forward KL
409.83,0,37.9827766418457,13.7856,0,414.67,0,49.9796
351.62,1,-75.77056884765625,28.2402,1,322.54,5000,50.1644
443.67,2,-72.07085418701172,24.1862,2,353.16,10000,49.319
425.24,3,-5.678728103637695,17.9027,3,420.42,15000,48.3817
403.17,4,-42.14365768432617,18.4009,4,400.59,20000,49.6613
376.34,5,-106.79823303222656,28.1457,5,398.11,25000,49.566
408.77,6,-132.16506958007812,26.4479,6,372.16,30000,50.1654
460.3,7,-125.11469268798828,35.5149,7,466.19,35000,49.8722
429.93,8,-77.1258773803711,21.0644,8,430.82,40000,49.5171
469.01,9,-108.3834457397461,28.9935,9,513.94,45000,49.0752
449.88,10,-59.77308654785156,17.2825,10,437.33,50000,49.4638
457.55,11,-45.27732849121094,15.138,11,441.75,55000,48.6347
687.67,12,91.00791931152344,12.8244,12,571.54,60000,47.5471
611.64,13,48.33742904663086,12.846,13,600.54,65000,48.2478
522.67,14,6.204545497894287,26.7002,14,494.46,70000,48.0679
428.12,15,52.47694396972656,22.4816,15,431.08,75000,48.9779
595.74,16,-5.75992488861084,13.7084,16,529.68,80000,48.2648
507.58,17,-2.520740032196045,13.1812,17,540.07,85000,48.3643
603.45,18,-56.980491638183594,17.4721,18,543.87,90000,47.8091
748.14,19,-83.18251037597656,15.6479,19,665.28,95000,48.0093
569.1,20,-95.21651458740234,17.8137,20,595.6,100000,48.6204
695.17,21,-153.32278442382812,26.3432,21,648.47,105000,48.9833
778.79,22,-113.01756286621094,17.0141,22,711.37,110000,48.372
936.44,23,-60.02864074707031,12.1738,23,1026.38,115000,47.5593
774.26,24,-94.76780700683594,13.7206,24,1015.37,120000,48.0792
812.28,25,-135.32933044433594,15.206,25,1096.58,125000,47.3453
2270.27,26,-191.7238006591797,15.5367,26,2162.88,130000,47.5079
2483.8,27,-179.72093200683594,14.8364,27,2051.47,135000,46.5482
2149.99,28,-152.74807739257812,14.6828,28,2175.43,140000,47.8803
2779.8,29,-151.022705078125,14.7731,29,1768.73,145000,46.0484
2579.48,30,-206.88328552246094,14.7869,30,1933.68,150000,47.2106
1950.03,31,-146.23788452148438,13.5683,31,1611.38,155000,46.6638
1392.89,32,-69.07874298095703,12.5011,32,1154.45,160000,46.1189
2462.81,33,-91.03202819824219,15.2157,33,1596.04,165000,46.4759
2759.35,34,-211.7991180419922,14.9414,34,2421.33,170000,46.5006
1789.99,35,-136.11325073242188,14.1787,35,1365.5,175000,46.0842
3228.11,36,-234.68980407714844,17.9589,36,2813.57,180000,46.2091
3181.71,37,-226.5786590576172,15.8123,37,2766.91,185000,46.6001
913.7,38,-214.32936096191406,13.5304,38,1728.6,190000,45.6294
2985.52,39,-237.1808319091797,15.8499,39,2275.11,195000,46.6476
2638.94,40,-188.1800537109375,14.3497,40,2086.97,200000,46.057
3213.28,41,-249.3790740966797,18.2418,41,3057.0,205000,45.7317
3369.64,42,-264.1948547363281,18.0642,42,2934.7,210000,46.038
3177.4,43,-275.41656494140625,18.4289,43,3230.85,215000,45.6255
3467.36,44,-257.46441650390625,16.643,44,2779.24,220000,45.6155
3451.07,45,-273.223388671875,17.117,45,3220.01,225000,46.0216
3577.62,46,-284.0694580078125,20.3768,46,3485.04,230000,45.9061
3417.65,47,-289.34466552734375,17.361,47,3405.84,235000,45.1507
3576.76,48,-284.8703918457031,17.7102,48,3534.39,240000,44.6984
3216.56,49,-318.4973449707031,18.9372,49,3139.62,245000,46.4153
3499.28,50,-279.871337890625,19.5502,50,3422.89,250000,44.728
3379.89,51,-321.9536437988281,19.9911,51,3478.54,255000,46.2093
3792.73,52,-282.5888977050781,17.6752,52,3800.8,260000,44.1353
3643.24,53,-296.7257385253906,17.9744,53,3639.49,265000,44.3023
3832.45,54,-317.90869140625,20.7806,54,3839.21,270000,45.3967
3418.81,55,-300.6072998046875,16.152,55,3112.42,275000,44.7577
3834.67,56,-308.35211181640625,19.0829,56,3752.26,280000,45.2293
3541.25,57,-303.2807312011719,17.3293,57,3607.95,285000,44.432
3828.64,58,-332.0181884765625,17.2096,58,2978.45,290000,44.6462
3929.64,59,-322.5980529785156,18.8832,59,3943.04,295000,43.8459
3885.7,60,-339.24554443359375,18.3506,60,3862.98,300000,44.0668
4005.73,61,-341.45233154296875,19.4349,61,3969.39,305000,43.7185
4048.79,62,-341.5043029785156,22.8337,62,4077.24,310000,44.5363
3688.38,63,-357.771484375,17.4702,63,3649.45,315000,44.123
4032.26,64,-349.1971740722656,18.5694,64,4028.28,320000,44.2246
4053.06,65,-325.6722106933594,16.9349,65,4009.15,325000,42.3829
3832.99,66,-360.4474182128906,19.6946,66,3686.04,330000,44.5437
3958.34,67,-346.3464660644531,16.3874,67,3014.2,335000,43.5977
4024.18,68,-362.5337219238281,19.5276,68,4033.57,340000,43.8941
3904.45,69,-378.0435791015625,19.8373,69,4030.94,345000,44.1531
3856.43,70,-382.7132873535156,19.6071,70,3967.5,350000,43.3195
14.56,71,-358.6859436035156,27.6801,71,38.99,355000,53.0385
-81.47,72,-557.927734375,47.649,72,-72.03,360000,54.8246
336.5,73,-377.22259521484375,15.9214,73,388.61,365000,50.7715
1975.66,74,-508.6886901855469,14.9428,74,2129.37,370000,46.5365
