Reward Loss,Real Sto Return,Running Forward KL,Itration,Running Env Steps,Real Det Return,Running Update Time,Running Reverse KL
-1438.281982421875,194.5,32.5395,0,0,189.11,0,19.055
-1566.123046875,221.48,32.1476,1,5000,224.01,1,23.4073
-1556.75634765625,250.33,30.5896,2,10000,238.84,2,20.3207
-1191.7586669921875,290.11,30.2093,3,15000,288.86,3,13.5708
-1311.44189453125,319.75,29.2605,4,20000,370.36,4,13.3278
-1291.6983642578125,345.39,29.799,5,25000,353.03,5,16.6446
-1293.321044921875,365.64,29.7948,6,30000,372.36,6,15.6764
-1263.5504150390625,432.69,27.8883,7,35000,429.27,7,15.4746
-1500.129150390625,504.5,27.3743,8,40000,492.81,8,24.1423
-1489.367431640625,424.51,27.2203,9,45000,500.41,9,21.3396
-1271.592529296875,661.61,25.2695,10,50000,695.16,10,17.0231
-914.466064453125,1210.64,24.6022,11,55000,981.6,11,16.7129
-1305.6788330078125,871.24,24.9113,12,60000,916.49,12,18.4957
-1136.8497314453125,1239.31,24.3165,13,65000,2953.17,13,17.0973
-1687.669921875,552.76,25.9292,14,70000,594.84,14,22.0717
-1400.2266845703125,1252.96,24.7539,15,75000,930.13,15,20.57
-506.4696960449219,2342.21,22.2573,16,80000,3126.33,16,14.0837
-381.54974365234375,2457.73,21.8362,17,85000,3029.62,17,13.1728
-314.9518737792969,2904.16,22.7434,18,90000,2978.14,18,12.547
-276.583740234375,2680.34,21.8571,19,95000,3255.36,19,13.5624
-132.9285125732422,3274.87,21.241,20,100000,3216.28,20,12.7572
-308.06658935546875,2555.43,21.7275,21,105000,3414.84,21,12.6459
-51.33842086791992,3204.5,21.4998,22,110000,3322.18,22,12.0285
-294.3886413574219,3022.74,20.1213,23,115000,3249.1,23,11.2314
-222.4507293701172,3245.21,21.4962,24,120000,3432.0,24,11.3426
-905.9371948242188,1547.48,22.8409,25,125000,1067.54,25,13.5604
-467.5283203125,2215.34,21.1975,26,130000,2852.53,26,11.4923
-110.4106216430664,3332.87,21.7455,27,135000,3447.27,27,11.6181
-396.021240234375,2832.62,21.7407,28,140000,3511.93,28,11.9251
-1356.056640625,1609.92,23.5006,29,145000,1051.24,29,15.5965
-384.5150451660156,2985.53,21.6307,30,150000,3495.47,30,11.3021
-722.4756469726562,2587.75,22.5372,31,155000,3478.77,31,12.1026
-285.323486328125,2950.54,21.1725,32,160000,3461.31,32,11.5576
-465.8970642089844,3240.84,20.9448,33,165000,3453.16,33,11.2674
-78.36870574951172,3281.91,20.7649,34,170000,3346.75,34,11.9843
-1680.4078369140625,1650.88,22.6626,35,175000,1860.75,35,17.5722
-1154.423095703125,2105.54,22.0629,36,180000,3444.08,36,15.1678
-340.12469482421875,2879.99,21.8024,37,185000,3512.83,37,12.0224
-357.13018798828125,2881.12,21.3827,38,190000,3390.53,38,11.7725
-47.823482513427734,3423.81,20.214,39,195000,3433.57,39,11.6366
-512.1849975585938,2987.46,21.7009,40,200000,3418.04,40,13.3253
-162.30648803710938,3344.3,19.4177,41,205000,3300.97,41,11.3403
-691.536376953125,2489.76,21.9811,42,210000,3442.7,42,12.6397
-456.7440490722656,3219.79,20.9923,43,215000,3436.88,43,11.6905
-1083.002685546875,2465.24,22.5591,44,220000,3466.07,44,12.2235
-165.65707397460938,3404.95,20.4475,45,225000,3421.7,45,11.5798
-92.1361083984375,3430.97,20.4848,46,230000,3411.92,46,12.0021
-570.3318481445312,3302.18,21.1767,47,235000,3369.83,47,11.6654
-152.85433959960938,3307.01,19.9211,48,240000,3362.41,48,11.9665
-124.36602020263672,3342.96,19.3457,49,245000,3380.07,49,11.4902
-241.27001953125,2947.63,20.3943,50,250000,3394.95,50,11.5463
-789.7566528320312,2834.56,21.7435,51,255000,3449.33,51,12.7647
-189.3240509033203,3365.85,19.9021,52,260000,3413.76,52,11.2692
-501.9726257324219,3107.49,20.9228,53,265000,3391.05,53,11.3206
-363.28204345703125,2752.98,19.6699,54,270000,3389.7,54,11.3843
-215.09400939941406,3293.41,19.8524,55,275000,3357.26,55,11.1862
-207.6392364501953,3365.68,19.0088,56,280000,3365.63,56,11.0789
-366.0504150390625,3368.61,20.1331,57,285000,3363.34,57,11.0421
-223.77496337890625,3343.96,20.7565,58,290000,3430.52,58,11.5551
-500.3918762207031,3127.4,20.3403,59,295000,3449.05,59,10.9588
-266.3509521484375,3184.75,19.3802,60,300000,3305.9,60,11.1828
-662.3740234375,2911.6,21.0999,61,305000,3438.11,61,11.5967
-178.02191162109375,3409.27,18.6903,62,310000,3404.43,62,10.9169
-405.1465759277344,3395.02,20.4675,63,315000,3396.23,63,11.2991
-312.15771484375,3288.42,18.7129,64,320000,3326.72,64,10.8829
-613.6983032226562,3414.06,20.5709,65,325000,3435.82,65,11.1204
-523.02880859375,2857.57,20.1261,66,330000,3431.53,66,11.5437
-656.3097534179688,3164.42,20.0804,67,335000,3369.89,67,10.8158
-393.0373840332031,3288.2,19.4519,68,340000,3397.03,68,10.7879
-421.74114990234375,3300.56,20.7522,69,345000,3415.76,69,11.0986
-322.4884033203125,3420.04,19.7814,70,350000,3401.47,70,11.3631
-728.9502563476562,3017.38,21.3416,71,355000,3429.57,71,10.7892
