Real Sto Return,Itration,Reward Loss,Running Update Time,Running Forward KL,Running Reverse KL,Running Env Steps,Real Det Return
-120.47,0,445.2859802246094,0,158.4216,11.7199,0,-129.71
3.04,1,418.23736572265625,1,158.4121,11.7858,5000,662.66
336.08,2,431.8177795410156,2,158.1165,13.1849,10000,658.28
430.39,3,401.8313903808594,3,158.067,12.7122,15000,924.31
453.64,4,413.6799621582031,4,158.1182,13.008,20000,674.25
364.38,5,288.632080078125,5,158.3256,12.9064,25000,963.58
592.6,6,280.78021240234375,6,158.2912,14.1823,30000,1131.18
211.69,7,172.68222045898438,7,158.2401,13.0244,35000,397.37
-46.06,8,-6.448417663574219,8,158.4762,15.8383,40000,-12.5
868.35,9,147.17442321777344,9,158.011,16.2244,45000,1425.99
982.82,10,104.45281982421875,10,157.9163,16.0374,50000,1222.41
1124.36,11,65.25188446044922,11,157.8632,16.2687,55000,1388.13
1042.43,12,15.290260314941406,12,158.0382,16.0408,60000,1369.96
1089.64,13,-6.527960300445557,13,158.03,16.0358,65000,1508.74
1162.63,14,-28.82295799255371,14,157.9453,16.102,70000,1551.07
1199.57,15,-95.73465728759766,15,158.0669,16.5838,75000,1569.47
1206.36,16,-140.192626953125,16,158.0428,16.5546,80000,1568.84
1236.93,17,-158.5115203857422,17,157.6815,16.3648,85000,1587.02
1286.37,18,-215.96539306640625,18,157.8001,16.3435,90000,1666.01
1285.57,19,-254.6962432861328,19,157.8077,16.2668,95000,1713.54
1301.44,20,-301.0721740722656,20,157.9574,16.5002,100000,1719.31
1330.42,21,-341.92462158203125,21,157.6599,16.6777,105000,1705.08
1320.55,22,-390.8861389160156,22,157.9944,16.2083,110000,1747.45
1337.92,23,-430.35333251953125,23,157.8968,16.3889,115000,1705.21
1361.57,24,-458.3168640136719,24,157.7274,16.4428,120000,1793.85
1378.12,25,-491.5758972167969,25,157.8577,16.5833,125000,1790.39
1361.58,26,-546.2510986328125,26,157.6497,15.7333,130000,1744.29
1425.35,27,-585.2570190429688,27,157.7361,16.6939,135000,1854.36
1434.5,28,-642.9970092773438,28,157.6922,16.3378,140000,1821.35
1420.03,29,-665.0150146484375,29,157.9167,16.1535,145000,1786.63
1497.78,30,-717.4488525390625,30,157.7343,16.1612,150000,1892.78
1490.01,31,-751.1830444335938,31,157.6392,16.2173,155000,1886.48
1458.2,32,-801.3478393554688,32,157.72,16.0759,160000,1834.63
1521.77,33,-845.6348266601562,33,157.7674,16.7696,165000,1752.47
1469.66,34,-884.7520751953125,34,157.4828,16.3188,170000,1861.79
1519.43,35,-938.6028442382812,35,157.7424,16.2701,175000,1820.47
1531.84,36,-966.9632568359375,36,157.5632,16.0031,180000,1906.57
1546.25,37,-1009.9375,37,157.3164,15.6955,185000,1923.58
1557.27,38,-1046.642578125,38,157.4815,16.1426,190000,1983.83
1558.3,39,-1093.595703125,39,157.4404,16.0925,195000,1942.41
1584.15,40,-1137.591796875,40,157.1708,15.8764,200000,1889.37
1602.69,41,-1183.7606201171875,41,157.4371,16.0415,205000,1945.22
1588.11,42,-1233.8416748046875,42,157.1885,15.8229,210000,1950.1
1549.1,43,-1263.1600341796875,43,157.4326,15.7315,215000,1903.25
1578.32,44,-1305.6771240234375,44,157.3655,16.2214,220000,1899.49
1637.76,45,-1342.78076171875,45,157.4293,16.0659,225000,1995.47
1574.03,46,-1391.856689453125,46,157.3527,16.0175,230000,1967.74
1583.67,47,-1433.1962890625,47,157.3873,15.7495,235000,1989.31
1643.42,48,-1469.8663330078125,48,157.2092,16.0559,240000,1989.51
1605.61,49,-1520.84521484375,49,157.1942,15.6536,245000,1894.09
1643.33,50,-1558.9139404296875,50,157.1879,15.8185,250000,1956.12
1705.08,51,-1586.9140625,51,157.1258,16.2383,255000,2057.48
1613.12,52,-1639.452392578125,52,157.18,15.6081,260000,1960.44
1651.16,53,-1677.2738037109375,53,157.2154,15.8987,265000,2035.44
1640.78,54,-1728.3277587890625,54,157.0647,15.8323,270000,2036.77
1670.59,55,-1759.0760498046875,55,157.0224,15.6536,275000,2027.21
1712.55,56,-1799.610107421875,56,156.9482,15.9538,280000,2087.07
1681.68,57,-1845.89501953125,57,157.2059,16.092,285000,2052.8
1645.3,58,-1892.97314453125,58,156.914,15.4803,290000,1960.13
1629.23,59,-1925.6986083984375,59,156.8467,15.7391,295000,2028.61
1698.25,60,-1960.44970703125,60,156.9235,16.0362,300000,2031.99
1712.57,61,-2007.05078125,61,157.091,15.871,305000,2097.47
1691.06,62,-2055.224853515625,62,157.1575,15.7985,310000,2008.38
1701.34,63,-2102.8427734375,63,157.0952,15.6251,315000,2042.91
1707.61,64,-2125.403076171875,64,156.9285,15.4367,320000,2006.72
1685.15,65,-2176.095947265625,65,157.0712,15.7486,325000,2057.11
1739.38,66,-2214.3603515625,66,156.9098,15.8667,330000,2085.17
1695.1,67,-2265.618896484375,67,157.1495,15.7584,335000,2009.21
1682.17,68,-2305.4169921875,68,156.8744,15.463,340000,2016.48
1701.53,69,-2338.659423828125,69,156.932,15.481,345000,2029.38
1724.57,70,-2402.49072265625,70,156.8505,15.4278,350000,1996.91
1734.56,71,-2430.4658203125,71,156.9388,15.9719,355000,2078.7
1723.22,72,-2475.336181640625,72,157.0675,15.7182,360000,2030.21
1725.42,73,-2514.70166015625,73,157.0509,15.5939,365000,2073.7
1716.47,74,-2556.05859375,74,156.6911,15.5002,370000,2065.12
1699.4,75,-2584.3466796875,75,156.9703,15.1246,375000,2048.45
1726.86,76,-2630.06396484375,76,156.8009,15.3746,380000,2068.74
1724.68,77,-2699.7431640625,77,156.7512,15.3485,385000,2099.35
1761.69,78,-2736.214599609375,78,156.8527,15.8528,390000,2166.83
1715.77,79,-2810.4150390625,79,156.9997,15.6066,395000,2024.58
1732.55,80,-2820.972412109375,80,156.8151,15.4834,400000,2103.64
1760.23,81,-2863.293212890625,81,156.9001,15.4949,405000,2129.09
1756.51,82,-2914.839599609375,82,156.9584,15.5345,410000,2106.07
1753.39,83,-2982.477783203125,83,156.8804,15.7623,415000,2083.33
1757.7,84,-3013.778076171875,84,156.842,15.518,420000,2079.47
1773.31,85,-3053.796142578125,85,156.7769,15.6727,425000,2119.25
1776.37,86,-3107.587158203125,86,156.8934,15.7068,430000,2132.3
1741.02,87,-3123.27197265625,87,156.6521,15.1151,435000,2107.26
1750.94,88,-3181.904052734375,88,156.777,15.3691,440000,2093.95
1811.14,89,-3206.106201171875,89,156.824,15.7425,445000,2144.02
1768.47,90,-3297.598876953125,90,156.8069,15.7183,450000,2117.03
1758.17,91,-3321.90869140625,91,157.0599,15.4824,455000,2083.44
1806.68,92,-3370.9638671875,92,156.7022,15.8616,460000,2150.21
1750.68,93,-3418.1181640625,93,156.8703,15.6459,465000,2112.58
1818.07,94,-3459.423095703125,94,156.764,15.6794,470000,2136.16
1807.18,95,-3520.80419921875,95,156.828,15.7209,475000,2160.58
1764.02,96,-3554.953125,96,156.7051,15.6001,480000,2101.27
1773.81,97,-3563.52783203125,97,156.8118,15.3968,485000,2141.76
1781.59,98,-3658.380615234375,98,156.844,15.6288,490000,2141.25
1787.63,99,-3669.868408203125,99,156.9404,15.4245,495000,2148.33
1817.55,100,-3729.96630859375,100,156.6072,15.616,500000,2156.19
1816.3,101,-3783.97802734375,101,156.9091,15.5734,505000,2158.02
1761.49,102,-3831.76953125,102,156.8251,15.418,510000,2115.37
1763.99,103,-3875.58251953125,103,156.7889,15.4684,515000,2105.16
1807.95,104,-3937.2294921875,104,156.956,15.5366,520000,2137.15
1756.92,105,-3977.36474609375,105,156.746,15.2466,525000,2095.22
1782.73,106,-4060.251708984375,106,156.9226,15.3989,530000,2119.61
1810.41,107,-4082.302001953125,107,156.8844,15.764,535000,2187.31
1808.75,108,-4136.84765625,108,156.8909,15.5577,540000,2192.62
1778.13,109,-4185.23974609375,109,156.7313,15.4111,545000,2175.95
1816.43,110,-4222.27587890625,110,156.8935,15.6602,550000,2171.04
1824.7,111,-4256.2490234375,111,156.6997,15.504,555000,2178.26
1844.46,112,-4330.43115234375,112,156.6522,15.776,560000,2185.63
1822.24,113,-4343.3203125,113,156.8585,15.5958,565000,2157.62
1795.86,114,-4459.6025390625,114,157.0522,16.1777,570000,2191.42
1780.47,115,-4466.07568359375,115,156.9229,15.5744,575000,2112.39
1781.64,116,-4531.10009765625,116,156.8145,15.2901,580000,2117.94
1836.98,117,-4559.7734375,117,156.8352,15.9574,585000,2176.64
1813.18,118,-4634.9873046875,118,156.9345,15.6266,590000,2171.82
1829.02,119,-4662.31298828125,119,156.9815,15.8014,595000,2181.49
1813.39,120,-4709.08837890625,120,156.9575,15.7108,600000,2172.52
1816.69,121,-4746.62890625,121,156.8729,15.6463,605000,2141.29
1835.58,122,-4774.1337890625,122,156.9831,15.6336,610000,2190.49
1801.65,123,-4822.60498046875,123,156.8213,15.609,615000,2169.58
1834.13,124,-4871.736328125,124,156.8037,15.8548,620000,2189.37
1823.02,125,-4913.6748046875,125,156.9284,15.5149,625000,2179.25
1823.18,126,-4937.09423828125,126,156.8341,15.3925,630000,2155.07
1815.39,127,-4999.76611328125,127,156.8042,15.4674,635000,2152.17
1826.63,128,-5018.12890625,128,156.8446,15.6927,640000,2168.83
1834.74,129,-5098.2568359375,129,157.0226,15.0204,645000,2176.4
1809.02,130,-5092.83837890625,130,156.8633,15.4916,650000,2187.27
1836.36,131,-5128.99658203125,131,156.8344,15.5735,655000,2191.83
1809.5,132,-5206.2919921875,132,156.9458,15.8179,660000,2145.66
1837.02,133,-5209.90576171875,133,156.8124,16.0615,665000,2194.95
1827.32,134,-5234.16015625,134,156.7932,15.4391,670000,2150.35
1789.67,135,-5262.5869140625,135,156.8363,15.1495,675000,2146.62
1824.96,136,-5345.46923828125,136,156.9377,15.4027,680000,2149.02
1837.29,137,-5378.18359375,137,156.8528,15.3081,685000,2216.72
1816.51,138,-5429.6630859375,138,156.7926,15.2936,690000,2180.61
1841.14,139,-5463.16162109375,139,156.8204,15.4041,695000,2187.02
1852.06,140,-5507.2939453125,140,156.7519,15.4916,700000,2188.44
1803.44,141,-5551.32958984375,141,156.8607,15.3865,705000,2170.94
1846.96,142,-5616.45556640625,142,156.8419,15.265,710000,2184.67
1822.41,143,-5624.94921875,143,156.7236,15.2735,715000,2222.03
1826.89,144,-5645.416015625,144,156.6325,15.2157,720000,2187.08
1791.89,145,-5720.1357421875,145,156.7618,15.2974,725000,2090.07
1843.47,146,-5764.25439453125,146,156.7273,15.4366,730000,2193.7
1841.83,147,-5806.17431640625,147,156.7724,15.7277,735000,2210.22
1866.34,148,-5871.072265625,148,156.7083,15.615,740000,2193.65
1859.4,149,-5929.294921875,149,156.8884,15.6586,745000,2208.45
1825.54,150,-5981.3125,150,157.0174,15.4683,750000,2158.47
1853.26,151,-6014.044921875,151,156.9653,15.8249,755000,2208.66
1854.91,152,-6008.23388671875,152,156.726,15.4786,760000,2188.62
1870.84,153,-6078.583984375,153,156.7095,15.6051,765000,2213.59
1832.09,154,-6137.2451171875,154,156.6707,15.4066,770000,2164.68
1839.01,155,-6199.70751953125,155,156.8972,15.7285,775000,2224.59
1820.34,156,-6175.38134765625,156,156.6564,15.175,780000,2172.4
1802.68,157,-6230.15380859375,157,156.8458,15.2712,785000,2140.49
1883.61,158,-6326.00830078125,158,156.686,15.5416,790000,2223.28
1821.88,159,-6378.49755859375,159,156.8818,15.3644,795000,2169.07
1876.95,160,-6406.87158203125,160,156.8337,15.6309,800000,2191.58
1830.87,161,-6485.35693359375,161,156.8032,15.4441,805000,2161.81
1839.03,162,-6523.6376953125,162,156.7441,15.5766,810000,2190.1
1857.82,163,-6545.17529296875,163,156.7597,15.1699,815000,2181.7
