Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return,Itration
467.0802,275.8083,350.24,341.93,0
428.2072,334.7046,337.59,338.18,1
422.3137,278.2477,378.56,518.24,2
423.6688,261.2125,449.66,468.04,3
386.1011,322.8259,487.92,503.83,4
409.1106,300.3705,446.1,472.42,5
389.2914,273.8318,424.38,487.6,6
394.7979,290.6459,459.9,464.73,7
413.7904,273.8498,461.06,403.51,8
404.693,277.3235,505.53,487.04,9
406.0945,301.8723,516.81,539.75,10
387.4166,286.1684,515.26,504.91,11
392.6362,297.6865,491.77,436.95,12
393.8365,316.0226,517.88,450.84,13
387.1776,264.8829,592.98,563.77,14
380.8203,256.5707,513.67,541.04,15
383.8418,279.9663,514.1,512.72,16
398.0343,273.4342,619.3,515.58,17
385.2158,287.2347,623.08,514.72,18
372.3106,270.7869,585.66,635.65,19
385.1028,278.2026,584.05,552.8,20
380.2311,253.29,615.22,645.69,21
378.1749,297.8221,638.33,543.58,22
369.4804,308.5158,720.83,621.39,23
357.9536,445.9087,674.22,622.42,24
361.058,292.3187,688.61,696.8,25
372.6875,310.4637,769.19,733.43,26
355.673,283.5205,692.47,735.29,27
371.5685,275.9946,705.66,751.85,28
355.3234,308.3892,717.43,722.36,29
358.489,257.0029,777.38,623.56,30
361.2038,243.5801,688.69,683.12,31
356.9025,256.7632,995.33,669.91,32
352.8806,233.3949,972.56,713.56,33
345.7633,254.2673,809.45,698.8,34
352.3134,244.3475,858.26,791.02,35
364.1852,240.6471,834.97,622.48,36
344.7073,245.1825,904.29,849.04,37
326.877,187.3696,1020.46,597.2,38
344.2893,234.2911,874.88,548.47,39
352.1307,233.3529,803.67,488.81,40
344.0238,231.4007,1286.62,679.3,41
335.8553,227.5818,1026.52,634.88,42
345.7414,211.8309,945.49,568.92,43
314.02,188.6113,1381.89,891.53,44
346.4169,228.0596,1042.91,624.92,45
312.8052,182.4726,1141.49,616.72,46
346.9145,230.8452,1250.45,546.19,47
311.5419,167.4876,1744.89,911.74,48
300.4502,165.6559,2139.16,600.36,49
308.2565,180.8303,1762.23,602.82,50
327.9561,221.6591,1270.46,808.98,51
319.1937,182.368,2130.16,750.37,52
326.4285,197.9451,1831.75,737.39,53
308.5624,153.42,1897.66,693.38,54
313.9667,201.4695,2256.61,1116.82,55
281.3747,123.7045,3597.68,1623.18,56
301.7673,152.6675,3108.14,1116.58,57
307.1951,178.9298,3098.42,1230.71,58
315.8693,179.296,3207.6,920.9,59
289.6859,110.9716,3808.21,2490.53,60
309.4154,179.042,2924.56,836.07,61
297.1595,133.596,3551.43,2270.24,62
296.6735,112.1947,4558.55,2444.02,63
294.5486,122.0896,4640.55,3798.57,64
286.9659,108.0343,4448.43,3376.61,65
313.9384,190.0129,3415.91,2127.91,66
310.6949,209.6157,2700.24,1221.73,67
307.5726,188.7672,2886.02,2509.33,68
298.9621,131.6007,4042.78,1715.62,69
300.0646,164.596,3728.49,2554.84,70
294.8551,131.0408,4097.01,3698.18,71
277.1762,100.4003,4842.92,3447.04,72
305.6015,151.027,2902.48,4033.28,73
288.5556,106.6078,4499.14,3970.06,74
280.8451,120.1838,4718.44,4517.05,75
291.2125,121.3581,3674.88,4638.82,76
310.0565,176.992,3093.93,825.7,77
295.9429,152.3257,2696.84,1164.29,78
299.0642,165.5287,2981.66,1857.13,79
291.3519,148.1612,3604.86,3287.65,80
304.7104,184.4696,2558.06,1995.8,81
280.5124,108.9173,4414.69,3846.29,82
286.0843,135.158,3841.41,3397.03,83
316.7912,208.1668,3331.86,3369.57,84
275.2851,106.4496,3383.61,2622.48,85
275.5885,114.2131,3876.18,4161.47,86
288.3046,118.6087,3955.63,4671.26,87
279.407,103.885,4971.18,4388.87,88
278.7446,118.099,4202.91,2929.56,89
278.7858,103.1846,5103.11,3933.88,90
297.1887,161.6958,2744.43,1314.94,91
284.0792,121.0629,3850.21,2767.19,92
288.8129,113.4423,4457.01,2518.17,93
284.4222,107.0683,4321.44,1791.88,94
277.0693,107.7095,4061.89,2714.92,95
286.1622,116.0521,4542.94,3412.07,96
284.7446,115.6718,3584.17,2432.93,97
289.7919,132.9076,4502.87,2224.24,98
301.089,177.4452,2363.8,1277.05,99
299.7336,165.2902,4760.36,1794.96,100
296.7622,136.6725,3404.93,1785.91,101
289.1685,121.5064,5103.03,2138.57,102
300.1041,143.2146,3549.2,1811.05,103
288.1496,116.6413,4518.75,3230.56,104
285.7124,116.8376,5027.32,3682.02,105
300.5688,144.4135,4410.79,3577.22,106
291.7186,122.8534,4110.91,4619.46,107
280.8744,111.1801,4587.65,3940.89,108
291.3081,114.7731,4500.14,4839.67,109
290.4888,126.0394,4644.22,3105.07,110
297.9203,129.73,4066.29,3558.81,111
306.704,166.0887,4611.76,4889.41,112
294.2636,119.7908,4999.43,3925.16,113
293.3704,133.0467,4300.92,3745.63,114
292.5288,124.5994,4791.49,4011.41,115
295.1401,131.9084,3830.1,3312.49,116
304.7666,139.7171,4655.46,4569.32,117
293.2375,118.2063,4394.1,3048.35,118
294.877,125.9831,4788.17,4892.17,119
298.8739,133.2901,4633.66,4488.94,120
293.907,129.3069,4930.35,3266.68,121
291.2537,124.2808,4908.59,4474.86,122
290.7866,117.6218,5104.06,4181.34,123
300.547,135.403,4747.18,3218.18,124
291.8868,135.4413,4581.41,2437.16,125
295.2872,137.5735,3792.32,1514.36,126
284.862,113.6583,4764.91,2700.89,127
293.9067,131.2463,4632.99,3529.9,128
298.5499,148.0077,3981.31,1152.08,129
290.0703,133.4897,4673.52,3222.46,130
284.9866,118.5188,4343.64,2226.8,131
292.7399,126.871,4459.36,2506.81,132
286.6772,122.9881,4120.27,2864.0,133
297.482,126.6483,5051.4,3686.63,134
292.887,127.1748,4568.73,4304.5,135
287.8192,122.4451,5201.15,3965.57,136
298.1289,141.7612,4852.1,3018.54,137
289.6353,127.2531,5045.9,3743.19,138
289.4893,126.5057,4094.73,4051.59,139
291.9732,121.9799,5254.49,3412.78,140
289.5883,122.0515,4954.01,2988.95,141
292.0599,136.3292,4494.04,4028.91,142
289.6473,126.2467,5248.62,3232.46,143
285.9955,105.8735,5261.35,4408.06,144
283.5854,112.9955,4828.97,5221.23,145
289.5651,117.6787,5213.26,4729.31,146
284.8058,119.9718,4394.04,3672.73,147
293.7453,127.1779,5412.01,4029.19,148
283.1791,108.1535,5327.77,3998.41,149
293.6251,124.8664,5348.65,3996.51,150
296.9944,121.6223,5380.28,4287.4,151
287.3984,116.083,5349.61,3065.36,152
286.0056,114.4231,4957.6,4302.01,153
286.4469,109.7081,5292.94,4876.91,154
289.8444,122.4131,5008.36,3786.85,155
286.6345,112.858,5168.27,5217.03,156
286.6064,114.4454,5151.87,4760.1,157
289.7989,120.6341,5144.69,5237.7,158
290.7533,119.4224,5379.79,5272.9,159
293.3544,126.3461,5418.56,4198.04,160
291.3884,119.5453,5399.2,5252.38,161
288.5414,123.7484,5416.17,3774.21,162
292.0922,113.2707,5062.49,3999.24,163
290.2014,114.9568,5255.56,5360.93,164
296.9008,138.8616,4786.52,4511.72,165
283.2327,113.3101,5002.77,5013.97,166
311.3375,162.1217,4872.21,4898.1,167
287.7134,115.1668,5383.57,5502.84,168
292.7389,116.4089,5405.04,3569.31,169
292.3122,116.8854,5184.74,4856.73,170
286.1739,114.7337,5427.93,5482.81,171
291.8085,123.6634,5255.75,5343.14,172
285.0557,106.0976,5298.73,5218.04,173
296.1916,120.1472,5182.9,5538.21,174
291.8653,120.3196,5475.44,5333.91,175
299.6621,134.1022,4532.99,3449.19,176
286.3425,111.9801,5376.18,5462.58,177
284.3693,109.5232,5381.02,5208.6,178
287.654,115.6806,5198.22,5507.62,179
291.0908,129.1759,5408.27,5510.85,180
298.4298,116.0256,4228.06,3491.78,181
303.3087,147.2216,4758.87,5614.69,182
295.5303,121.5052,4438.11,5064.87,183
289.2983,125.2736,5490.26,4884.39,184
281.573,110.826,5423.34,4035.58,185
283.4301,116.0949,5025.92,4769.75,186
299.6495,135.432,5197.26,4529.98,187
291.2529,116.1672,5122.7,4753.78,188
287.833,111.298,4989.01,4740.55,189
