Real Sto Return,Running Reverse KL,Running Env Steps,Reward Loss,Real Det Return,Itration,Running Forward KL,Running Update Time
405.38,13.7244,0,99.50481414794922,394.51,0,49.3636,0
226.6,12.1541,5000,18.875896453857422,313.87,1,49.9562,1
368.64,19.1672,10000,3.135114908218384,377.29,2,49.6857,2
348.63,13.5967,15000,46.248600006103516,379.88,3,49.5941,3
446.8,13.3608,20000,23.774198532104492,415.17,4,48.4397,4
442.66,14.2778,25000,51.034915924072266,445.59,5,48.8767,5
447.65,16.5072,30000,45.38251876831055,440.28,6,49.1255,6
416.13,15.2411,35000,6.391488075256348,415.08,7,48.9681,7
420.52,12.3815,40000,-41.99807357788086,461.87,8,48.9978,8
397.55,14.0704,45000,-23.64592170715332,448.83,9,49.115,9
409.43,13.7746,50000,-10.283514976501465,437.65,10,49.2168,10
421.1,21.3641,55000,-45.98775100708008,479.16,11,49.1314,11
444.83,14.7018,60000,-7.563348770141602,449.73,12,48.6492,12
526.72,18.0004,65000,-44.329471588134766,519.99,13,48.5096,13
577.01,14.2422,70000,-20.790361404418945,639.98,14,48.1472,14
560.71,13.3786,75000,-38.67635726928711,602.4,15,47.9689,15
613.61,13.1114,80000,-79.74549865722656,626.95,16,47.7476,16
636.95,14.5109,85000,-125.89746856689453,681.78,17,47.4378,17
744.47,14.5937,90000,-97.50678253173828,862.89,18,47.8954,18
858.57,19.3343,95000,-84.60811614990234,807.81,19,47.8251,19
509.95,21.9674,100000,-79.87451171875,537.73,20,48.6133,20
559.36,13.3601,105000,-126.40885925292969,478.99,21,48.0352,21
493.21,14.4381,110000,-189.50833129882812,561.56,22,48.517,22
564.65,12.7956,115000,-164.2699432373047,744.47,23,47.8399,23
728.98,37.6897,120000,-81.42578887939453,772.53,24,47.4007,24
744.59,27.268,125000,-116.97850799560547,728.4,25,47.6705,25
782.81,26.8363,130000,-134.68455505371094,844.24,26,47.5622,26
763.92,14.1672,135000,-209.4298095703125,850.82,27,46.9336,27
822.87,15.5509,140000,-181.1565399169922,840.53,28,46.7439,28
860.43,15.6801,145000,-237.1954345703125,952.28,29,46.8568,29
954.75,21.2935,150000,-171.58445739746094,1432.87,30,46.791,30
889.64,24.0273,155000,-240.5665740966797,1004.09,31,46.7858,31
1042.44,22.7233,160000,-204.83230590820312,1199.89,32,46.6746,32
972.47,27.013,165000,-204.7489776611328,1227.23,33,46.8751,33
971.89,23.4458,170000,-248.50051879882812,1279.55,34,46.5207,34
907.71,20.7893,175000,-270.1053771972656,1009.16,35,46.9817,35
