Real Det Return,Running Reverse KL,Running Update Time,Running Env Steps,Itration,Reward Loss,Real Sto Return,Running Forward KL
282.25,281.9415,0,0,0,4054.986572265625,303.65,449.9026
280.32,313.0278,1,5000,1,4091.521240234375,270.31,446.8772
309.51,279.2192,2,10000,2,3259.09130859375,319.15,450.3109
397.67,279.6121,3,15000,3,3514.46875,373.91,425.7481
491.32,257.1299,4,20000,4,3360.671630859375,374.03,436.3339
393.38,271.8365,5,25000,5,3184.75146484375,416.77,413.2577
377.6,258.1988,6,30000,6,2250.483154296875,425.88,407.3217
381.03,293.2953,7,35000,7,1679.5987548828125,410.24,427.7928
606.17,250.3366,8,40000,8,1529.7381591796875,458.03,385.602
441.99,252.1103,9,45000,9,1989.2532958984375,474.9,406.9484
480.12,243.4934,10,50000,10,1519.185791015625,509.82,385.0828
540.17,250.8866,11,55000,11,1290.6429443359375,581.96,392.2072
527.44,257.2137,12,60000,12,670.2171630859375,608.36,401.1697
576.54,249.0333,13,65000,13,887.1008911132812,655.74,389.3859
566.44,256.9003,14,70000,14,622.223876953125,637.75,390.7283
606.41,288.2119,15,75000,15,201.52479553222656,728.19,357.0687
788.46,237.1117,16,80000,16,118.02947235107422,818.17,374.8751
793.13,229.644,17,85000,17,-171.44102478027344,726.84,372.4097
800.93,242.0854,18,90000,18,-49.302459716796875,747.46,360.9596
617.45,250.1991,19,95000,19,-600.1404418945312,711.15,382.305
590.03,257.6898,20,100000,20,-783.3538208007812,675.28,386.3157
394.6,264.3195,21,105000,21,-367.3844299316406,658.52,403.251
565.15,273.6438,22,110000,22,-565.5286254882812,907.23,372.8813
823.56,254.4699,23,115000,23,-1020.3374633789062,695.14,366.6024
876.02,269.1532,24,120000,24,-1849.62060546875,943.42,375.2862
992.33,243.216,25,125000,25,-1839.7178955078125,796.27,379.033
945.01,233.6992,26,130000,26,-2097.69384765625,961.82,373.9238
749.05,251.1744,27,135000,27,-2104.4912109375,761.73,368.4102
659.67,259.942,28,140000,28,-2540.0615234375,965.7,378.3869
934.9,220.3737,29,145000,29,-2705.66259765625,818.97,379.3665
600.3,211.4828,30,150000,30,-3198.661376953125,924.97,372.9611
694.62,210.7892,31,155000,31,-3551.864501953125,791.54,355.2839
1254.61,200.6209,32,160000,32,-3258.653076171875,1232.03,354.177
980.0,201.5146,33,165000,33,-3500.980224609375,1020.48,353.0801
1005.56,210.145,34,170000,34,-3680.956787109375,1356.35,344.7845
642.75,213.7891,35,175000,35,-3743.537353515625,1160.82,363.5194
1193.13,203.0391,36,180000,36,-3771.043701171875,1839.73,345.9872
535.32,238.2758,37,185000,37,-4473.45703125,919.23,374.1232
665.21,231.7581,38,190000,38,-4812.52587890625,997.71,366.176
1098.44,229.9215,39,195000,39,-5071.21826171875,1162.53,349.5583
655.19,211.5098,40,200000,40,-4967.68798828125,1034.64,357.0744
796.59,225.7946,41,205000,41,-5269.72314453125,842.08,353.7919
1118.9,218.4752,42,210000,42,-5303.40380859375,1448.14,348.8191
612.51,220.9814,43,215000,43,-5924.86328125,885.63,366.9598
558.79,226.1976,44,220000,44,-6128.25634765625,1055.4,355.8968
857.7,178.4012,45,225000,45,-5406.61083984375,1391.64,341.7599
899.83,204.007,46,230000,46,-5557.109375,1356.14,343.3354
1648.72,186.8743,47,235000,47,-5445.50390625,2170.86,343.859
1759.42,208.968,48,240000,48,-6632.6591796875,1816.7,342.4459
1961.69,180.5172,49,245000,49,-6044.5419921875,1652.52,325.3139
941.42,240.9082,50,250000,50,-7361.23681640625,1060.53,353.696
1622.23,187.6318,51,255000,51,-6468.7109375,1634.41,322.2345
1721.93,167.4084,52,260000,52,-6039.4794921875,1573.68,322.1213
970.35,203.6221,53,265000,53,-7125.43896484375,1639.51,342.4727
1193.38,203.7137,54,270000,54,-6661.201171875,1251.82,338.8185
1646.58,211.3162,55,275000,55,-7023.61669921875,1458.38,328.7524
1824.6,154.6979,56,280000,56,-5440.82568359375,2065.13,317.7096
1739.97,180.6714,57,285000,57,-5903.560546875,1866.07,317.0146
1094.5,183.3314,58,290000,58,-6965.69970703125,2466.24,326.4915
2211.12,156.6837,59,295000,59,-5175.7763671875,2024.47,303.7879
2039.11,142.5555,60,300000,60,-5866.005859375,2646.25,308.115
1410.78,184.1324,61,305000,61,-6952.33251953125,1969.78,320.0665
1546.5,182.3897,62,310000,62,-5834.7802734375,1492.58,316.1886
3782.17,178.4917,63,315000,63,-6272.20263671875,2140.9,318.3377
935.75,194.9304,64,320000,64,-7380.4599609375,1459.78,343.3694
1292.41,194.5954,65,325000,65,-6667.73583984375,1350.95,331.7958
1155.14,185.0971,66,330000,66,-6885.49072265625,1963.15,325.7162
1871.33,136.1479,67,335000,67,-5650.431640625,3338.6,299.7379
1668.91,172.9671,68,340000,68,-6710.7802734375,2309.69,314.9989
1331.87,164.4026,69,345000,69,-7094.193359375,1532.39,310.2218
1908.32,144.0039,70,350000,70,-6321.59228515625,2942.86,302.4157
1124.6,124.429,71,355000,71,-4702.66162109375,2799.37,291.6385
2642.7,110.4728,72,360000,72,-4746.61376953125,3671.13,289.8666
