Running Update Time,Running Env Steps,Running Reverse KL,Real Sto Return,Running Forward KL,Real Det Return,Itration,Reward Loss
0,0,25.3762,-44.96,75.1637,175.89,0,174.48098754882812
1,5000,24.9461,-120.06,74.4229,331.69,1,152.21726989746094
2,10000,26.2474,-33.35,73.9352,489.45,2,131.93768310546875
3,15000,26.2378,-25.06,72.5006,352.39,3,87.06529235839844
4,20000,28.286,3.86,72.4076,421.13,4,11.96704387664795
5,25000,28.7244,49.51,72.2159,668.32,5,-26.482648849487305
6,30000,28.9972,68.78,71.9224,533.1,6,-92.75767517089844
7,35000,31.4382,81.53,73.5434,485.95,7,-134.28982543945312
8,40000,30.8021,79.68,72.8747,443.75,8,-214.3094482421875
9,45000,33.2753,124.93,72.9243,586.62,9,-237.95896911621094
10,50000,31.5834,128.43,71.262,737.34,10,-322.4727478027344
11,55000,30.9758,124.45,70.5488,625.41,11,-389.39971923828125
12,60000,32.1792,128.72,72.5341,431.1,12,-474.8507995605469
13,65000,30.5239,198.81,69.6565,678.51,13,-478.350341796875
14,70000,30.7233,172.11,70.8062,773.45,14,-569.3790283203125
15,75000,32.3772,174.32,71.2568,800.66,15,-640.9347534179688
16,80000,30.7257,210.4,70.7525,880.26,16,-646.135009765625
17,85000,31.608,171.53,70.818,701.22,17,-717.7432861328125
18,90000,31.3071,170.16,71.2031,726.0,18,-779.192138671875
19,95000,31.2478,173.3,69.8321,729.54,19,-859.7576293945312
20,100000,30.2449,171.52,68.5224,696.37,20,-915.783447265625
21,105000,30.4632,161.67,69.0458,813.49,21,-966.5808715820312
22,110000,30.5598,194.12,69.7174,889.67,22,-1019.0861206054688
23,115000,30.4924,234.33,68.6335,802.43,23,-1048.978271484375
24,120000,30.1566,166.63,67.1269,765.51,24,-1124.19970703125
25,125000,30.7916,235.2,66.9215,966.28,25,-1160.6143798828125
26,130000,30.7687,245.27,69.4902,927.0,26,-1276.8406982421875
27,135000,30.3482,132.84,69.5956,734.21,27,-1308.721435546875
28,140000,30.8592,164.42,70.7784,741.94,28,-1412.174560546875
29,145000,30.7878,170.57,67.0354,855.37,29,-1444.476806640625
30,150000,30.7623,180.06,70.8491,982.54,30,-1518.16748046875
31,155000,30.2373,202.62,67.4021,865.31,31,-1555.720703125
32,160000,31.1291,225.62,67.8247,879.65,32,-1619.713134765625
33,165000,29.8384,201.36,69.4389,710.04,33,-1668.376220703125
34,170000,30.2771,244.91,68.8757,869.34,34,-1784.12890625
35,175000,29.5913,226.28,67.7263,1009.04,35,-1791.570556640625
