Running Reverse KL,Reward Loss,Running Env Steps,Running Forward KL,Running Update Time,Itration,Real Det Return,Real Sto Return
16.9461,394.4034118652344,0,32.9119,0,0,220.78,205.12
49.9341,639.3237915039062,5000,32.497,1,1,248.27,228.45
45.0433,544.546142578125,10000,32.8503,2,2,229.25,227.28
18.7544,189.5819549560547,15000,29.291,3,3,327.66,301.17
38.9877,539.01025390625,20000,30.0333,4,4,310.74,305.14
41.1523,370.6676330566406,25000,30.57,5,5,375.1,357.36
47.2682,423.8441162109375,30000,30.22,6,6,363.6,339.79
18.2972,47.464290618896484,35000,30.7354,7,7,343.43,336.7
17.1727,-87.13597869873047,40000,28.8207,8,8,440.61,401.36
32.368,-59.89936828613281,45000,31.8881,9,9,293.58,291.11
25.5886,-144.49639892578125,50000,32.3837,10,10,443.61,438.09
42.0879,-173.2674560546875,55000,38.7639,11,11,989.92,988.2
19.1637,-175.5731658935547,60000,34.9269,12,12,31.18,38.87
16.3778,219.02133178710938,65000,27.7337,13,13,359.71,206.21
37.7729,-300.1429443359375,70000,34.0837,14,14,245.1,250.22
45.035,-364.4103698730469,75000,40.2417,15,15,1008.43,1008.27
25.879,-371.7029724121094,80000,31.9524,16,16,638.39,452.58
23.3361,-331.4800720214844,85000,33.2473,17,17,588.11,530.38
21.0589,-392.37225341796875,90000,29.9904,18,18,1052.77,827.6
18.5309,-31.2012882232666,95000,30.255,19,19,556.97,432.21
35.1704,-551.6631469726562,100000,34.9792,20,20,1049.93,966.66
20.4535,-631.099365234375,105000,35.314,21,21,1050.28,1048.77
25.5324,-591.0427856445312,110000,28.936,22,22,338.76,463.37
24.8884,-741.3965454101562,115000,34.5517,23,23,1035.0,1036.89
19.9671,-773.103759765625,120000,35.6237,24,24,1025.95,1022.22
18.2734,-742.4451904296875,125000,35.0062,25,25,1017.71,1021.12
16.5025,-792.11669921875,130000,33.2861,26,26,1055.11,1121.02
18.141,-201.1092529296875,135000,29.4659,27,27,682.25,650.79
44.7282,-857.0150756835938,140000,29.3744,28,28,600.54,589.81
14.3921,-219.70559692382812,145000,27.746,29,29,717.58,688.4
20.1916,-785.4814453125,150000,26.7543,30,30,1172.13,1216.91
12.4178,-314.6168212890625,155000,27.4793,31,31,470.67,556.27
20.4436,-479.80743408203125,160000,26.1278,32,32,221.79,227.42
26.861,-1195.6029052734375,165000,35.5444,33,33,1020.17,1020.41
26.9867,-1253.8243408203125,170000,38.996,34,34,996.41,994.89
21.0836,-1216.8525390625,175000,31.0784,35,35,711.6,1037.35
24.8054,-1290.0606689453125,180000,35.2539,36,36,1047.34,1051.11
23.638,-1197.3338623046875,185000,29.1773,37,37,999.63,997.17
31.9924,-1231.2518310546875,190000,28.3075,38,38,588.71,588.08
22.249,-1364.6776123046875,195000,32.5387,39,39,680.89,330.44
27.2769,-1362.8709716796875,200000,30.0638,40,40,1047.53,897.45
18.3548,-1049.640380859375,205000,28.2778,41,41,309.67,295.12
49.5018,-1644.3848876953125,210000,40.8245,42,42,987.4,988.28
26.3015,-1674.13232421875,215000,36.9256,43,43,1042.32,1041.0
33.8125,-1752.9871826171875,220000,34.8909,44,44,50.56,62.32
45.2043,-1756.7171630859375,225000,38.8376,45,45,987.19,986.79
36.8075,-1865.706787109375,230000,34.712,46,46,803.71,684.62
30.8028,-1902.4075927734375,235000,32.2694,47,47,294.58,291.68
36.3728,-1785.2418212890625,240000,29.9723,48,48,178.43,186.21
18.5107,-868.89599609375,245000,29.531,49,49,79.37,114.52
29.5231,-1944.81689453125,250000,37.4715,50,50,1001.8,1002.92
37.246,-2082.39501953125,255000,39.3233,51,51,1000.84,1000.26
30.2061,-2130.826171875,260000,37.6246,52,52,1019.66,1017.28
35.3224,-2186.074951171875,265000,39.6238,53,53,1007.77,1007.79
70.3697,-1506.9390869140625,270000,31.3952,54,54,255.93,213.69
34.9553,-1596.1585693359375,275000,31.3844,55,55,290.99,290.76
29.3209,-2377.512451171875,280000,38.8336,56,56,1000.75,921.32
30.0439,-2428.08544921875,285000,39.7445,57,57,1000.12,999.27
39.6761,-2475.846435546875,290000,39.8997,58,58,986.95,986.95
29.0841,-2253.01025390625,295000,32.1393,59,59,1027.35,846.43
17.9449,-1279.1929931640625,300000,30.5931,60,60,158.03,157.5
17.4523,-1919.733642578125,305000,31.7598,61,61,233.15,235.17
16.3883,-1619.724365234375,310000,29.0194,62,62,409.33,406.28
22.4636,-1410.2547607421875,315000,25.5221,63,63,581.06,630.23
26.3576,-2024.15869140625,320000,27.7209,64,64,567.47,802.7
45.4109,-2777.863525390625,325000,31.8061,65,65,929.98,870.48
47.7002,-2907.161865234375,330000,36.9548,66,66,989.54,989.25
45.1761,-2954.817138671875,335000,38.7327,67,67,963.7,987.7
45.0071,-3045.206787109375,340000,34.5738,68,68,201.72,218.54
26.6905,-3020.2763671875,345000,38.3747,69,69,1011.25,1009.61
31.1895,-3070.636962890625,350000,38.6018,70,70,991.49,990.75
27.9966,-3086.54541015625,355000,38.6234,71,71,985.1,984.69
30.5221,-3153.19384765625,360000,39.2794,72,72,984.22,983.89
25.7887,-3185.7685546875,365000,36.3229,73,73,1016.05,920.38
26.725,-2527.500244140625,370000,26.9656,74,74,479.25,441.97
24.041,-2417.4609375,375000,27.7414,75,75,403.74,393.08
21.0811,-2779.8447265625,380000,25.876,76,76,611.32,520.48
23.509,-2887.999267578125,385000,28.4061,77,77,465.27,437.26
26.9189,-2877.476318359375,390000,28.3523,78,78,1140.2,1012.48
37.1335,-3322.7666015625,395000,29.5352,79,79,826.97,787.23
42.053,-3199.919677734375,400000,29.5611,80,80,585.26,532.64
43.8943,-3245.896728515625,405000,27.5993,81,81,669.06,635.3
38.9992,-3017.81689453125,410000,29.5922,82,82,840.62,772.77
41.7365,-3195.979736328125,415000,28.8155,83,83,577.99,553.44
41.6283,-3254.870849609375,420000,27.0833,84,84,612.36,603.52
40.2605,-3163.219482421875,425000,27.8318,85,85,844.27,714.88
29.9955,-2388.932861328125,430000,26.4862,86,86,2225.45,1516.77
38.0786,-2945.188232421875,435000,26.081,87,87,782.93,1161.84
35.9199,-2777.59814453125,440000,27.1602,88,88,858.42,1366.08
16.9672,-1503.5389404296875,445000,26.3905,89,89,1950.53,1937.04
46.5012,-3866.250732421875,450000,28.5945,90,90,435.63,421.02
34.5392,-3037.931640625,455000,27.3107,91,91,707.65,1235.0
45.5421,-3947.41552734375,460000,28.4045,92,92,455.57,449.75
48.059,-3961.231201171875,465000,29.6292,93,93,603.08,571.21
25.2837,-2245.99658203125,470000,25.8622,94,94,1974.54,1877.19
32.3532,-3055.835205078125,475000,27.9671,95,95,2215.94,1760.35
32.9213,-3884.66552734375,480000,28.1764,96,96,740.19,641.01
44.2554,-4121.51416015625,485000,28.4543,97,97,569.34,494.06
42.6847,-3841.7021484375,490000,26.45,98,98,784.91,716.43
39.6173,-3786.15283203125,495000,27.5463,99,99,925.63,800.87
44.7782,-3998.375244140625,500000,26.6007,100,100,730.11,799.39
17.0339,-1327.5626220703125,505000,28.1912,101,101,2499.07,2417.5
21.0462,-1780.25244140625,510000,27.4082,102,102,2114.9,2201.02
41.7806,-4021.028076171875,515000,28.5621,103,103,1381.88,999.29
36.9227,-3672.217041015625,520000,26.7776,104,104,2015.89,1318.18
37.9454,-3849.40380859375,525000,27.0546,105,105,927.48,1009.46
19.8258,-1690.6451416015625,530000,27.14,106,106,2846.33,2230.93
17.3233,-1255.919921875,535000,28.1539,107,107,2687.98,2566.33
18.2152,-905.0447998046875,540000,28.0738,108,108,2694.11,2510.46
28.1889,-4323.70166015625,545000,27.4148,109,109,2820.59,770.19
19.4553,-2473.479736328125,550000,28.0163,110,110,2858.96,2373.88
18.1522,-1213.0916748046875,555000,28.1228,111,111,2750.13,2713.04
25.018,-2139.706298828125,560000,28.268,112,112,2737.93,2319.3
19.7108,-3031.52978515625,565000,28.2443,113,113,2819.4,1592.38
17.4233,-1085.153076171875,570000,28.3804,114,114,2587.23,2664.29
18.8072,-1311.7298583984375,575000,29.009,115,115,2732.08,2677.25
21.0192,-4235.3173828125,580000,27.4215,116,116,926.48,823.27
18.5939,-1275.7374267578125,585000,27.8849,117,117,2789.22,2818.31
16.953,-1931.0003662109375,590000,26.6181,118,118,2456.46,2810.89
20.4182,-1454.8770751953125,595000,29.1911,119,119,2825.23,2877.95
18.8352,-2337.01953125,600000,26.0561,120,120,2945.53,2373.39
19.7947,-1319.6070556640625,605000,28.456,121,121,3055.82,3024.6
18.6948,-3149.7783203125,610000,27.6852,122,122,3044.83,1748.74
20.9027,-1443.0743408203125,615000,29.7184,123,123,2904.0,2907.33
19.8953,-1484.612548828125,620000,28.1918,124,124,2974.34,3000.34
20.3509,-1125.4351806640625,625000,28.5979,125,125,3030.94,3048.08
20.2257,-1452.7294921875,630000,28.5119,126,126,2972.57,2898.72
17.1294,-1608.7686767578125,635000,27.2402,127,127,2767.01,2815.76
19.7854,-1528.4307861328125,640000,28.6507,128,128,2828.66,2825.05
17.7232,-1798.3770751953125,645000,28.2003,129,129,2946.91,2763.49
19.4452,-1820.71533203125,650000,28.4497,130,130,3025.39,3031.77
16.9776,-1449.2921142578125,655000,27.9219,131,131,2504.51,2575.45
18.679,-1742.072265625,660000,29.3882,132,132,2820.89,2764.86
18.8606,-1623.556640625,665000,28.3074,133,133,2913.78,2910.68
19.0269,-1591.8780517578125,670000,27.9948,134,134,2814.52,2840.87
18.419,-1824.928955078125,675000,28.0899,135,135,2754.77,2819.48
17.0581,-2853.4970703125,680000,26.4915,136,136,2894.04,1996.7
