Running Forward KL,Real Sto Return,Running Update Time,Reward Loss,Itration,Running Env Steps,Running Reverse KL,Real Det Return
147.4375,10063.64,76,-1338.8775634765625,76,380000,21.4504,10465.58
147.2497,10296.45,77,-1337.852294921875,77,385000,21.3598,10642.26
147.6218,9920.35,78,-1354.110107421875,78,390000,20.7705,10757.75
147.5032,8039.46,79,-1681.31591796875,79,395000,15.2527,7660.52
147.164,10081.44,80,-1437.9603271484375,80,400000,21.4276,10524.1
146.7537,9632.08,81,-1467.5126953125,81,405000,18.5901,9904.56
147.3422,10047.71,82,-1569.7076416015625,82,410000,20.0796,10512.53
146.9682,10371.11,83,-1474.7919921875,83,415000,20.6892,10901.75
147.1677,10096.35,84,-1522.970458984375,84,420000,21.3209,10450.89
147.2988,10275.92,85,-1518.2374267578125,85,425000,21.9985,10648.65
147.317,10061.04,86,-1521.1656494140625,86,430000,20.8884,10802.04
147.0858,10237.71,87,-1534.608642578125,87,435000,20.3945,10589.91
146.2164,10287.98,88,-1533.5208740234375,88,440000,19.3719,10763.84
146.9927,10229.23,89,-1601.41845703125,89,445000,21.1668,10657.31
147.1018,10087.31,90,-1667.04052734375,90,450000,22.0011,10403.29
146.8192,10336.97,91,-1628.42138671875,91,455000,20.9768,10749.17
146.7927,10392.0,92,-1654.80517578125,92,460000,20.7118,10704.09
147.0287,10207.97,93,-1682.29150390625,93,465000,22.2841,10660.79
145.8458,10475.32,94,-1640.5784912109375,94,470000,20.8083,10901.24
146.5625,10392.83,95,-1706.1114501953125,95,475000,20.5069,10889.5
146.8368,10239.3,96,-1779.32958984375,96,480000,21.9212,10473.43
145.6637,10135.03,97,-1709.524658203125,97,485000,20.3284,11100.81
146.113,10060.47,98,-1813.198974609375,98,490000,18.8014,10819.25
146.3074,10341.42,99,-1796.078125,99,495000,20.6448,10759.51
146.2342,10619.17,100,-1762.2635498046875,100,500000,21.4705,11007.43
146.561,10687.26,101,-1767.6412353515625,101,505000,22.1494,10768.01
146.9833,9612.18,102,-1847.7564697265625,102,510000,20.9722,11003.21
146.4967,10093.15,103,-2029.0699462890625,103,515000,19.402,11079.71
146.0065,10549.05,104,-1839.2918701171875,104,520000,21.3361,10776.74
146.6651,10445.36,105,-1967.2030029296875,105,525000,19.4041,10822.14
145.459,10660.77,106,-1888.149169921875,106,530000,20.7795,11172.89
145.3622,10631.65,107,-1886.98583984375,107,535000,20.6205,11069.27
146.3116,10455.33,108,-1923.2431640625,108,540000,20.8636,10885.45
146.1368,9633.09,109,-1967.59033203125,109,545000,20.9501,11060.78
145.4834,10661.1,110,-1978.049072265625,110,550000,21.3733,11145.1
146.3591,10695.37,111,-1991.784912109375,111,555000,21.0951,11234.08
146.0173,10747.34,112,-2023.95458984375,112,560000,21.1701,11210.2
145.6145,10352.91,113,-2123.08935546875,113,565000,20.6834,11151.56
145.9745,10646.26,114,-2103.02490234375,114,570000,20.0484,11196.68
145.423,10220.09,115,-1996.9854736328125,115,575000,21.4199,11135.16
145.7762,10381.16,116,-2126.030029296875,116,580000,20.2184,10732.72
145.9604,10859.78,117,-2208.572265625,117,585000,20.0248,11246.07
145.167,10514.94,118,-2297.074951171875,118,590000,19.6749,11275.68
146.2097,10530.14,119,-2209.989013671875,119,595000,21.8336,10873.08
145.7239,10438.78,120,-2147.608154296875,120,600000,21.3356,11355.85
145.8468,10779.12,121,-2255.810546875,121,605000,21.0627,11238.94
145.3018,10330.59,122,-2199.48291015625,122,610000,21.0991,10919.07
145.9406,10658.56,123,-2223.053955078125,123,615000,21.2702,11168.25
146.2278,10113.34,124,-2356.90673828125,124,620000,22.0281,10428.29
145.3076,8106.67,125,-2419.515625,125,625000,17.9346,9808.36
145.8971,10480.06,126,-2357.70458984375,126,630000,21.1118,10934.15
145.3423,10255.31,127,-2507.647705078125,127,635000,19.4509,11148.17
146.2813,10655.12,128,-2379.30517578125,128,640000,21.7667,10978.04
145.4769,10470.47,129,-2347.96533203125,129,645000,21.1994,10890.65
145.706,9720.33,130,-2404.843994140625,130,650000,21.5275,10841.71
145.6488,10381.04,131,-2405.96435546875,131,655000,19.3179,10752.66
147.1625,10604.56,132,-2480.4296875,132,660000,22.0468,10911.47
145.6996,10365.84,133,-2429.150146484375,133,665000,21.1081,10962.48
145.3833,9794.48,134,-2622.12890625,134,670000,19.2301,10757.2
145.6369,10771.32,135,-2664.97900390625,135,675000,20.4418,10687.14
144.9788,10488.47,136,-2566.1044921875,136,680000,20.9926,11318.92
146.5727,10356.61,137,-2603.578125,137,685000,22.5771,10939.02
145.9115,10449.81,138,-2596.0341796875,138,690000,19.8899,10763.84
145.3178,10522.95,139,-2501.0380859375,139,695000,21.011,11345.39
145.7017,10038.62,140,-2582.305908203125,140,700000,21.6498,11331.57
145.4979,10250.08,141,-2611.691650390625,141,705000,21.4433,10984.81
145.0689,10540.39,142,-2571.67529296875,142,710000,19.9476,11053.26
146.534,10115.99,143,-2593.7666015625,143,715000,21.1128,10808.62
144.6785,10730.34,144,-2643.03857421875,144,720000,20.0084,11163.19
145.4371,10792.69,145,-3040.998046875,145,725000,17.1117,10216.44
145.2988,10251.72,146,-3164.493408203125,146,730000,16.3174,9819.37
146.0852,10758.81,147,-2718.64501953125,147,735000,20.7071,11210.24
145.0125,11042.82,148,-2725.2177734375,148,740000,21.1976,11404.51
146.501,9862.79,149,-3053.27294921875,149,745000,18.5916,10666.14
145.9063,10567.13,150,-2864.052734375,150,750000,21.4182,11251.93
145.5182,8978.09,151,-3118.879150390625,151,755000,19.4355,11206.47
144.7176,10458.82,152,-2908.698974609375,152,760000,21.7838,11123.38
145.3526,10017.25,153,-3180.09912109375,153,765000,19.3143,10578.7
145.3545,11078.4,154,-2844.709228515625,154,770000,20.9414,11296.47
144.7156,10803.52,155,-2880.340576171875,155,775000,20.6253,11528.17
144.4677,9479.72,156,-3132.763427734375,156,780000,18.0762,10074.62
145.3451,11033.68,157,-3059.13134765625,157,785000,22.0237,11072.33
144.6076,10877.11,158,-3039.1474609375,158,790000,19.8897,11006.39
144.8651,10963.68,159,-2928.886962890625,159,795000,20.7344,11558.6
144.6768,11009.29,160,-3022.9072265625,160,800000,20.9054,11741.3
145.3411,11108.19,161,-3074.60302734375,161,805000,21.1255,11659.18
145.3521,11073.04,162,-3102.1533203125,162,810000,21.0424,11541.31
145.6166,11021.95,163,-3145.334716796875,163,815000,21.1936,11480.77
145.0247,11131.35,164,-3113.350341796875,164,820000,20.898,11634.67
145.661,10741.31,165,-3158.205078125,165,825000,20.5804,11269.8
145.4035,10824.93,166,-3234.873779296875,166,830000,20.8623,11476.35
145.6596,10674.36,167,-3156.95947265625,167,835000,19.5337,11077.8
144.71,10771.06,168,-3261.0712890625,168,840000,20.8876,11594.67
145.1717,11056.78,169,-3445.2255859375,169,845000,19.2166,11522.44
145.4203,9268.92,170,-3544.469970703125,170,850000,18.5434,10426.85
144.7343,11106.6,171,-3304.3857421875,171,855000,20.9656,11569.89
145.0375,11277.21,172,-3345.15673828125,172,860000,21.0547,11689.84
144.8732,10790.0,173,-3454.08154296875,173,865000,21.6409,11351.98
145.0674,11187.2,174,-3409.125732421875,174,870000,22.0232,11637.55
144.5699,11132.98,175,-3371.5927734375,175,875000,20.4228,11555.73
145.2592,11136.02,176,-3388.945556640625,176,880000,21.4284,11688.44
144.145,10833.73,177,-3413.927978515625,177,885000,20.1877,11817.44
144.8058,11024.13,178,-3443.32373046875,178,890000,21.699,11616.29
144.9485,11113.33,179,-3524.1484375,179,895000,21.8686,11484.52
145.2493,10336.96,180,-3738.46728515625,180,900000,19.913,11354.79
145.0338,11124.28,181,-3612.248779296875,181,905000,20.5557,11605.86
144.6763,11050.72,182,-3593.95703125,182,910000,21.4554,11503.43
144.3346,11265.98,183,-3687.744140625,183,915000,20.568,11712.57
144.9391,11200.74,184,-3494.128662109375,184,920000,20.9888,11685.13
144.2621,11191.03,185,-3608.697021484375,185,925000,21.4145,11777.27
144.1173,10451.14,186,-3733.880615234375,186,930000,19.6375,11660.07
143.9335,11428.54,187,-3639.444091796875,187,935000,21.5283,11874.51
144.7204,11379.46,188,-3844.1748046875,188,940000,19.8424,11800.63
144.178,10813.14,189,-3696.788330078125,189,945000,21.9622,11797.42
143.6573,11341.2,190,-3753.706787109375,190,950000,20.8125,11883.41
144.4873,11261.13,191,-3785.91162109375,191,955000,21.8303,11729.79
144.005,10750.76,192,-3683.377197265625,192,960000,20.8733,11838.41
144.5433,11325.18,193,-3775.65380859375,193,965000,21.2827,11661.46
145.2327,11357.65,194,-3850.173095703125,194,970000,21.636,11794.77
144.6491,11025.2,195,-3866.544921875,195,975000,21.465,11869.87
144.8102,11380.87,196,-3940.606689453125,196,980000,21.7296,11842.73
144.3193,11290.56,197,-3914.65771484375,197,985000,21.8253,11792.08
144.4745,11377.07,198,-4054.455322265625,198,990000,22.3694,11711.85
144.7252,11275.51,199,-4016.77978515625,199,995000,21.6026,11662.78
145.4089,11266.24,200,-4025.341064453125,200,1000000,21.8971,11662.0
144.6707,11415.89,201,-4004.483642578125,201,1005000,21.3691,11838.5
145.375,11350.52,202,-4125.18896484375,202,1010000,22.0953,11738.1
145.7463,11364.99,203,-4132.85595703125,203,1015000,21.4679,11812.42
145.48,11456.52,204,-4129.130859375,204,1020000,22.1919,11825.37
145.237,10561.79,205,-4275.26318359375,205,1025000,20.8726,11851.46
144.9686,11363.09,206,-4263.39208984375,206,1030000,22.2154,11662.48
145.2743,11480.24,207,-4252.66455078125,207,1035000,22.3937,11863.24
145.4344,11362.65,208,-4247.0380859375,208,1040000,21.6681,11792.32
144.8953,11482.99,209,-4254.9658203125,209,1045000,21.4772,11921.74
144.641,11524.82,210,-4289.9912109375,210,1050000,21.7796,11937.17
144.9368,11586.24,211,-4332.609375,211,1055000,22.6672,12055.72
145.1613,11532.5,212,-4322.45166015625,212,1060000,21.5515,11912.09
144.9744,11539.37,213,-4357.03955078125,213,1065000,22.1266,11581.09
144.9247,10970.66,214,-4351.36962890625,214,1070000,21.8029,11785.82
144.7429,11561.39,215,-4325.77734375,215,1075000,21.4485,11995.25
144.0641,11488.56,216,-4383.39794921875,216,1080000,22.135,11904.91
144.6959,11628.24,217,-4371.88623046875,217,1085000,21.7882,12055.81
145.276,11241.35,218,-4437.9052734375,218,1090000,21.647,11976.94
145.0193,11613.19,219,-4380.87939453125,219,1095000,21.8386,12042.68
144.8096,11541.57,220,-4445.58642578125,220,1100000,21.7882,12017.83
144.9177,11263.77,221,-4485.39013671875,221,1105000,21.8067,12051.53
145.1252,11578.47,222,-4391.14697265625,222,1110000,21.2738,12088.67
144.4205,11455.79,223,-4436.2451171875,223,1115000,21.6371,12070.99
145.0199,11549.0,224,-4374.7158203125,224,1120000,21.4703,12023.86
145.0041,11490.0,225,-4534.21923828125,225,1125000,21.864,11965.97
145.1559,11593.94,226,-4547.98388671875,226,1130000,21.8077,12054.56
144.2962,11588.29,227,-4476.74560546875,227,1135000,20.8251,12009.98
144.6191,11508.53,228,-4485.4794921875,228,1140000,21.1743,12070.59
145.5261,11744.61,229,-4595.86279296875,229,1145000,21.6992,12068.55
144.2646,11055.45,230,-4547.6650390625,230,1150000,20.6181,12135.34
145.1333,11626.11,231,-4550.6953125,231,1155000,21.0018,12129.02
145.1504,11641.91,232,-4632.40771484375,232,1160000,21.4443,12103.37
144.5832,11138.83,233,-4610.7197265625,233,1165000,21.634,12108.17
144.7118,11573.91,234,-4738.22021484375,234,1170000,21.3299,11977.49
144.3271,11658.38,235,-4611.251953125,235,1175000,21.2235,12121.16
144.06,11570.04,236,-4649.31005859375,236,1180000,21.0092,12153.63
143.9464,11578.33,237,-4676.73681640625,237,1185000,21.2961,12096.06
144.9487,11646.03,238,-4827.935546875,238,1190000,21.5082,12183.99
145.5061,11566.53,239,-4908.4072265625,239,1195000,21.4545,11913.8
144.9953,11652.63,240,-4835.0517578125,240,1200000,21.5998,12026.54
145.3828,11743.93,241,-4769.2900390625,241,1205000,21.4132,12135.95
144.4932,11628.14,242,-4836.27587890625,242,1210000,21.1167,12050.59
144.5212,11587.75,243,-4807.30029296875,243,1215000,21.1118,11983.6
144.3164,11356.49,244,-4927.158203125,244,1220000,20.7929,11956.3
145.2651,11586.84,245,-5013.8564453125,245,1225000,21.1135,12101.57
145.4066,11608.98,246,-4899.92822265625,246,1230000,22.3172,12043.92
144.8485,11540.15,247,-4994.79150390625,247,1235000,20.0507,12125.3
144.521,11618.36,248,-4953.95458984375,248,1240000,20.2595,12155.47
144.642,11625.04,249,-5024.6982421875,249,1245000,21.0052,12097.05
144.6118,11581.47,250,-5055.3330078125,250,1250000,20.7966,11984.64
144.7327,11494.1,251,-5114.666015625,251,1255000,20.0574,12012.38
144.4482,11543.73,252,-5033.33642578125,252,1260000,21.3407,12022.15
144.0957,11544.84,253,-5237.3486328125,253,1265000,18.6475,12130.12
145.0881,11688.13,254,-5181.66845703125,254,1270000,21.1903,12254.18
144.6995,11621.46,255,-5224.12890625,255,1275000,21.0414,12135.65
144.4733,11566.12,256,-5189.6259765625,256,1280000,20.5851,11955.65
144.4396,11661.27,257,-5238.2275390625,257,1285000,21.3011,12114.84
144.8207,11602.88,258,-5311.58837890625,258,1290000,20.8892,12046.21
144.2152,11658.23,259,-5226.31103515625,259,1295000,21.3975,12055.49
144.4538,11692.3,260,-5255.9814453125,260,1300000,21.0023,12055.38
144.1634,11696.2,261,-5333.01513671875,261,1305000,20.0268,12099.4
144.4018,11711.54,262,-5419.59912109375,262,1310000,19.6146,12102.98
143.7918,11127.34,263,-5198.05322265625,263,1315000,20.9715,12095.42
144.3267,11686.38,264,-5311.74072265625,264,1320000,21.1581,12020.75
145.0847,11085.52,265,-5328.0947265625,265,1325000,21.1104,12035.58
144.9452,11674.61,266,-5404.228515625,266,1330000,20.9085,11927.62
144.5876,11585.23,267,-5526.66845703125,267,1335000,20.914,11849.08
144.2316,11655.21,268,-5481.181640625,268,1340000,20.948,12125.12
144.3544,11656.56,269,-5521.28125,269,1345000,20.8494,11995.38
144.42,11806.85,270,-5381.75439453125,270,1350000,21.0204,12184.36
144.7725,11535.37,271,-5574.17333984375,271,1355000,20.9798,11808.55
144.7058,11422.8,272,-5583.818359375,272,1360000,20.4909,12027.84
144.4463,11807.3,273,-5561.45849609375,273,1365000,19.5108,12091.89
144.2911,11499.64,274,-5639.8291015625,274,1370000,21.3447,12204.64
145.0743,11707.66,275,-5588.943359375,275,1375000,21.0309,12059.35
144.0338,11655.0,276,-5623.94970703125,276,1380000,21.3389,12028.24
144.7986,11684.86,277,-5621.24609375,277,1385000,20.9668,12009.01
144.0751,11638.25,278,-5721.17431640625,278,1390000,21.1883,12051.52
144.5414,11732.92,279,-5645.26220703125,279,1395000,20.9519,12037.41
145.6356,11607.76,280,-5844.421875,280,1400000,19.7619,12072.26
144.9697,11159.0,281,-5718.38330078125,281,1405000,20.8323,12186.61
144.815,11741.04,282,-5798.15283203125,282,1410000,20.4893,12120.51
144.1071,11685.81,283,-5834.07861328125,283,1415000,21.1204,11933.47
145.3722,11656.81,284,-5836.65478515625,284,1420000,21.2558,11585.33
144.4659,11721.13,285,-5843.3486328125,285,1425000,20.3452,11918.31
144.567,11537.91,286,-5804.5546875,286,1430000,20.6023,12316.01
145.0375,11748.77,287,-5866.83056640625,287,1435000,21.0581,12091.92
145.4326,11724.79,288,-5890.80029296875,288,1440000,21.5296,12069.52
145.1986,11770.96,289,-5943.10107421875,289,1445000,21.5131,12167.33
144.5204,11771.27,290,-5792.1298828125,290,1450000,20.8512,12299.97
143.7296,11785.68,291,-5942.39990234375,291,1455000,21.0691,12142.66
145.0325,11874.16,292,-5780.51513671875,292,1460000,20.6543,12345.58
144.7814,11835.39,293,-6040.95703125,293,1465000,19.9404,12282.11
144.8107,11714.61,294,-6067.0791015625,294,1470000,21.0334,12169.58
144.6096,11618.52,295,-5925.7421875,295,1475000,21.1452,12072.33
144.7137,11135.96,296,-5990.2158203125,296,1480000,19.8767,12405.79
144.4475,11809.22,297,-5946.78466796875,297,1485000,21.5199,12140.05
144.3696,11844.07,298,-6043.734375,298,1490000,21.6135,12253.55
143.8848,11716.09,299,-5914.01318359375,299,1495000,20.6228,12175.68
144.5973,11658.3,300,-6048.64501953125,300,1500000,20.5755,12001.21
144.1461,11305.3,301,-6014.546875,301,1505000,20.9682,12190.8
144.3061,11807.4,302,-6020.27978515625,302,1510000,21.119,11967.78
144.5797,11812.82,303,-6094.7265625,303,1515000,21.7508,12438.65
144.4901,11829.79,304,-6157.9453125,304,1520000,20.8055,12535.66
145.0556,11413.56,305,-6159.25830078125,305,1525000,20.9884,12338.18
145.1513,11153.47,306,-6106.859375,306,1530000,21.7247,11960.34
144.0046,11873.0,307,-6244.76220703125,307,1535000,21.0259,12462.72
144.8704,11891.21,308,-6286.96875,308,1540000,21.4607,12350.77
144.24,12018.0,309,-6270.3642578125,309,1545000,20.8054,12684.04
144.2983,11862.9,310,-6217.23193359375,310,1550000,22.04,12805.13
144.478,11674.46,311,-6226.09130859375,311,1555000,21.201,12545.01
144.7512,11941.46,312,-6287.35205078125,312,1560000,21.6525,12613.55
144.4848,11271.29,313,-6227.404296875,313,1565000,21.6963,12754.69
145.0558,11844.7,314,-6455.9765625,314,1570000,21.6399,12244.44
146.0303,11954.74,315,-6508.7705078125,315,1575000,22.7274,11940.95
145.0868,12078.21,316,-6353.57666015625,316,1580000,22.256,12736.59
145.1611,12110.76,317,-6403.640625,317,1585000,22.4088,12622.39
144.3677,12085.92,318,-6315.23193359375,318,1590000,21.2454,12566.5
145.1686,11906.89,319,-6293.25,319,1595000,21.5439,12285.73
144.6357,12099.87,320,-6407.28271484375,320,1600000,22.1194,12674.86
144.6462,12089.8,321,-6319.67578125,321,1605000,21.5372,12586.66
145.486,11498.24,322,-6420.53857421875,322,1610000,21.8668,12329.98
144.4647,12077.29,323,-6500.40771484375,323,1615000,21.2959,12520.4
144.6357,11439.99,324,-6508.646484375,324,1620000,22.086,12320.73
145.0728,11641.54,325,-6540.5048828125,325,1625000,21.8511,12257.99
144.8047,11470.6,326,-6697.16796875,326,1630000,22.0391,12124.8
144.8699,11796.78,327,-6537.5634765625,327,1635000,22.4867,12625.4
144.2817,12142.3,328,-6503.98095703125,328,1640000,22.5973,12800.81
144.6836,11944.54,329,-6516.03759765625,329,1645000,21.6709,12716.89
144.4278,11601.83,330,-6779.23388671875,330,1650000,22.014,12438.33
143.7603,9809.9,331,-6599.443359375,331,1655000,21.2586,12273.05
146.0381,11554.85,332,-6749.51904296875,332,1660000,21.3401,12667.92
145.6596,11626.03,333,-6801.37255859375,333,1665000,22.0597,12503.16
145.3038,12111.62,334,-6708.34912109375,334,1670000,22.2062,12505.46
144.4404,11967.41,335,-6810.70849609375,335,1675000,22.3427,12470.85
144.9381,12144.82,336,-6740.73291015625,336,1680000,21.4631,12492.75
143.3838,11595.3,337,-6777.7490234375,337,1685000,21.9698,12604.61
144.3605,11682.39,338,-6810.8994140625,338,1690000,22.4538,12486.89
144.8346,12001.35,339,-6824.00146484375,339,1695000,22.9047,12535.12
144.5675,11807.11,340,-6968.0283203125,340,1700000,21.8387,12178.35
143.7414,11636.86,341,-6946.0830078125,341,1705000,22.798,12639.97
144.7967,11640.77,342,-6971.376953125,342,1710000,21.622,11857.47
145.3765,11491.07,343,-7162.880859375,343,1715000,21.8838,11803.03
144.3575,11898.73,344,-6951.640625,344,1720000,22.0964,12306.08
144.4233,11768.06,345,-6809.55322265625,345,1725000,21.5916,12024.16
144.8036,12166.12,346,-6944.55908203125,346,1730000,22.7815,12633.14
145.4108,11996.17,347,-7024.80615234375,347,1735000,22.9857,12137.05
144.4653,11928.75,348,-7132.95556640625,348,1740000,21.7793,12033.92
144.8271,11808.99,349,-7183.591796875,349,1745000,22.9515,11991.37
143.7779,11884.98,350,-6948.40478515625,350,1750000,22.2013,12583.29
144.3656,11361.49,351,-7026.6240234375,351,1755000,22.9717,12728.78
145.2531,11700.7,352,-7289.1181640625,352,1760000,23.0731,12173.8
144.5283,12151.41,353,-7002.322265625,353,1765000,22.4224,12650.51
145.0146,11701.1,354,-7141.880859375,354,1770000,22.9165,12497.37
144.9789,11390.61,355,-7372.75048828125,355,1775000,22.2531,12069.4
144.8851,11858.4,356,-7296.36279296875,356,1780000,22.7495,12171.12
144.5197,11428.59,357,-7335.15380859375,357,1785000,22.6123,12579.32
144.767,12110.38,358,-7274.02294921875,358,1790000,22.4645,12556.73
144.0335,12052.91,359,-7329.75732421875,359,1795000,22.3185,12304.07
145.3421,11949.58,360,-7573.2998046875,360,1800000,22.071,12241.53
145.8635,11753.06,361,-7446.412109375,361,1805000,22.4839,12492.99
144.7768,11796.49,362,-7368.447265625,362,1810000,22.4719,12091.11
144.6632,11921.23,363,-7436.06787109375,363,1815000,22.3079,12151.75
144.8266,11888.01,364,-7245.9775390625,364,1820000,22.2084,12434.71
145.1571,11845.57,365,-7513.521484375,365,1825000,22.358,12022.88
144.415,12083.76,366,-7296.4658203125,366,1830000,22.3665,12491.75
145.0394,11708.8,367,-7391.78173828125,367,1835000,21.8616,11762.37
144.7565,12179.27,368,-7533.19970703125,368,1840000,23.3507,12519.49
