Real Sto Return,Real Det Return,Running Update Time,Running Forward KL,Reward Loss,Running Env Steps,Itration,Running Reverse KL
-150.41,388.67,0,75.9662,88.21946716308594,0,0,26.049
-76.16,314.43,1,74.4039,72.7449722290039,5000,1,25.6214
-30.46,693.13,2,75.4671,54.854068756103516,10000,2,28.0312
11.24,748.67,3,74.5783,35.48373794555664,15000,3,28.5691
37.04,677.71,4,73.0808,13.528676986694336,20000,4,29.9659
106.24,762.37,5,72.5913,8.202425956726074,25000,5,31.4529
183.36,765.99,6,73.7786,-9.292632102966309,30000,6,32.0266
164.35,800.97,7,72.6948,-25.135982513427734,35000,7,32.5484
295.59,838.55,8,72.6433,-33.139007568359375,40000,8,31.8225
213.07,929.16,9,73.9556,-55.332977294921875,45000,9,31.749
225.77,922.02,10,72.3316,-64.9248275756836,50000,10,32.6039
276.59,866.52,11,72.5606,-78.71173095703125,55000,11,31.4907
234.89,1011.72,12,71.6503,-88.3421630859375,60000,12,32.1129
236.16,1029.33,13,71.9988,-108.08761596679688,65000,13,32.1759
421.65,1138.9,14,68.4746,-118.39614868164062,70000,14,30.7747
367.63,994.57,15,70.346,-135.45968627929688,75000,15,31.641
270.76,716.71,16,69.5017,-147.91561889648438,80000,16,30.476
273.93,764.32,17,71.1149,-168.94284057617188,85000,17,31.3473
375.1,1098.6,18,69.7689,-175.4703826904297,90000,18,31.0538
254.05,846.82,19,67.9019,-187.89700317382812,95000,19,29.255
410.16,984.91,20,68.2265,-206.9841766357422,100000,20,30.4914
424.8,977.45,21,68.7117,-221.92361450195312,105000,21,29.8218
592.38,1239.75,22,64.4705,-213.03607177734375,110000,22,28.3679
443.64,1221.0,23,66.9309,-232.4120635986328,115000,23,28.3796
992.37,1715.11,24,65.7384,-226.6064910888672,120000,24,29.5843
1081.11,1662.46,25,65.7881,-244.0513458251953,125000,25,29.9301
1220.74,2152.83,26,65.0892,-223.7058868408203,130000,26,32.1647
536.13,1031.71,27,65.401,-262.3511962890625,135000,27,27.7169
886.7,981.45,28,66.4878,-268.3045959472656,140000,28,28.9094
914.14,1543.61,29,66.2811,-287.68780517578125,145000,29,29.1063
1202.64,1519.12,30,67.3857,-253.74156188964844,150000,30,33.1946
1403.41,1442.55,31,67.4445,-291.4133605957031,155000,31,29.7244
908.86,1477.53,32,66.4874,-304.34967041015625,160000,32,29.8077
1322.52,2005.72,33,67.9122,-349.24298095703125,165000,33,28.6919
1609.95,1892.08,34,67.413,-309.6603698730469,170000,34,33.8227
1962.97,2720.43,35,67.4229,-297.9768371582031,175000,35,34.6621
2481.05,2806.95,36,67.3762,-309.3835754394531,180000,36,33.4629
1431.99,1319.94,37,68.7395,-365.6458740234375,185000,37,33.0556
1739.29,3202.24,38,69.4477,-291.1702880859375,190000,38,40.6414
1491.81,2182.28,39,69.2924,-345.46417236328125,195000,39,39.3861
2021.17,2156.24,40,69.1605,-352.5746765136719,200000,40,38.6471
2614.25,2942.88,41,68.7307,-333.83233642578125,205000,41,43.0673
1803.39,2869.22,42,69.9716,-364.21771240234375,210000,42,41.2233
1713.7,2833.37,43,68.3975,-386.15789794921875,215000,43,38.0672
2191.58,3172.53,44,68.0675,-389.8260192871094,220000,44,39.0844
2555.04,3567.92,45,68.1913,-368.4837646484375,225000,45,41.4485
2000.72,3219.29,46,68.2176,-438.3973083496094,230000,46,36.3497
2010.86,3758.86,47,69.442,-424.2863464355469,235000,47,41.9393
2481.11,3168.77,48,68.5796,-413.9783935546875,240000,48,44.2666
1627.78,2678.14,49,68.9452,-493.32147216796875,245000,49,37.6394
1968.17,3151.04,50,70.7749,-378.87646484375,250000,50,51.0807
3709.18,4471.44,51,70.702,-408.6030578613281,255000,51,51.1591
2755.49,4072.3,52,70.8871,-425.3330993652344,260000,52,48.1571
2121.86,4219.57,53,70.8478,-435.23724365234375,265000,53,53.0387
2699.78,2968.25,54,69.3251,-451.1717834472656,270000,54,46.635
2961.92,4400.18,55,70.0106,-467.12799072265625,275000,55,49.4206
2705.14,2631.14,56,68.3078,-489.52734375,280000,56,41.4229
3416.8,4525.47,57,69.4246,-493.30859375,285000,57,46.9996
3455.7,3618.5,58,69.9433,-509.3209228515625,290000,58,47.4381
2547.28,4197.11,59,72.1988,-492.3830871582031,295000,59,53.1041
3797.39,4387.58,60,73.5107,-495.97271728515625,300000,60,56.4573
2972.96,3669.21,61,70.1206,-513.8060302734375,305000,61,48.9266
2252.47,3412.32,62,78.1889,-454.19091796875,310000,62,57.4342
2942.27,4726.81,63,70.8117,-557.37744140625,315000,63,49.5429
3164.07,4937.45,64,71.6989,-605.2173461914062,320000,64,53.99
2173.45,2647.52,65,71.0191,-534.4812622070312,325000,65,54.0162
2576.73,4120.92,66,72.1182,-580.6723022460938,330000,66,50.5105
4237.95,5165.61,67,82.309,-581.7244262695312,335000,67,68.3462
4503.98,4911.31,68,80.2184,-558.734130859375,340000,68,67.1465
3357.1,4245.25,69,72.2747,-631.3973388671875,345000,69,57.9052
4358.68,5002.95,70,73.9151,-606.5325317382812,350000,70,59.9502
4131.3,5541.25,71,70.8758,-665.30224609375,355000,71,51.0109
3689.37,3990.4,72,71.1294,-663.20166015625,360000,72,53.3682
3239.34,4036.85,73,73.1269,-680.0259399414062,365000,73,58.0432
3709.98,4399.53,74,71.2117,-705.9739990234375,370000,74,52.2947
4071.86,5108.18,75,84.1443,-767.5702514648438,375000,75,72.4646
4360.87,4695.97,76,74.1051,-730.9046020507812,380000,76,58.2403
4292.84,4847.27,77,76.2318,-705.6065063476562,385000,77,63.8891
4638.73,5086.0,78,84.9883,-751.4724731445312,390000,78,70.8645
3643.94,4002.14,79,78.688,-747.462890625,395000,79,67.0989
3715.33,5296.29,80,75.7026,-785.257080078125,400000,80,63.2988
4454.77,5315.91,81,76.7651,-817.5128784179688,405000,81,67.8423
4397.39,4911.2,82,86.8785,-811.2807006835938,410000,82,73.594
4388.1,4393.45,83,74.1696,-816.2308959960938,415000,83,63.1038
4079.38,5252.52,84,70.8244,-887.035400390625,420000,84,51.4775
4908.46,5319.02,85,75.8267,-903.6974487304688,425000,85,64.821
3801.27,4695.09,86,78.4575,-902.6157836914062,430000,86,66.7045
3600.69,5224.4,87,76.3991,-932.5935668945312,435000,87,72.5158
4322.55,4994.67,88,85.69,-958.9426879882812,440000,88,77.0064
