Running Env Steps,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return,Reward Loss,Itration,Running Update Time
390000,11.8926,18.5117,3385.84,3342.44,-609.0216064453125,78,78
395000,12.2283,18.5329,3422.61,3395.53,-570.4159545898438,79,79
400000,12.1626,18.4023,3437.43,3432.58,-495.3387145996094,80,80
405000,10.724,17.5769,3367.03,3358.27,-488.0955505371094,81,81
410000,12.6916,18.2818,3415.76,3379.92,-600.5056762695312,82,82
415000,11.9198,18.3386,3399.97,3416.48,-631.3881225585938,83,83
420000,11.3229,18.6542,3427.44,2980.23,-564.7847290039062,84,84
425000,11.653,18.1491,3366.48,3378.2,-634.361083984375,85,85
430000,11.4332,19.0646,3388.89,2717.35,-691.7778930664062,86,86
435000,12.1473,18.3725,3393.32,3373.49,-683.8433837890625,87,87
440000,11.5124,18.7547,3402.79,3392.0,-661.9304809570312,88,88
445000,11.8915,18.212,3420.14,3425.86,-656.63525390625,89,89
450000,10.7449,17.5745,3376.08,3254.29,-646.4183959960938,90,90
455000,11.2243,17.9003,3372.34,3366.62,-694.4598999023438,91,91
460000,10.9518,18.1441,3374.61,3375.94,-609.186279296875,92,92
465000,11.1411,18.1244,3443.8,3431.84,-577.40673828125,93,93
470000,12.2808,18.8077,3414.87,3409.12,-693.481689453125,94,94
475000,11.7614,19.6332,3444.71,3224.24,-825.06494140625,95,95
480000,12.0065,18.0932,3413.67,3363.79,-671.7869873046875,96,96
485000,11.7197,18.7718,3443.27,3428.7,-606.4878540039062,97,97
490000,13.1984,18.8617,3448.65,3435.51,-749.5037231445312,98,98
495000,11.977,18.6129,3401.31,3387.58,-827.3049926757812,99,99
500000,11.0627,18.9299,3446.2,3069.13,-736.3294677734375,100,100
505000,12.0555,18.5704,3487.15,3450.58,-786.9682006835938,101,101
510000,11.7651,18.9469,3407.75,3288.11,-781.3809204101562,102,102
515000,11.1699,19.2723,3473.78,2968.72,-760.6201171875,103,103
520000,11.7149,18.1958,3428.61,3383.27,-792.1488647460938,104,104
525000,11.6755,18.3246,3401.59,3381.94,-812.140380859375,105,105
530000,10.8491,17.8091,3426.56,3387.48,-746.223388671875,106,106
535000,11.1149,17.7134,3430.82,3405.56,-760.7130737304688,107,107
540000,11.7255,18.4997,3420.1,3397.57,-796.1018676757812,108,108
545000,11.0519,17.9571,3428.05,3125.51,-820.9799194335938,109,109
550000,11.7426,18.5151,3423.79,3376.79,-752.041015625,110,110
555000,11.6533,18.091,3410.08,3409.15,-812.0278930664062,111,111
560000,12.498,18.9757,3431.21,3416.91,-762.5889282226562,112,112
565000,11.0333,17.5607,3390.3,3359.72,-720.2645874023438,113,113
570000,12.0688,18.7865,3397.81,3391.59,-886.926513671875,114,114
575000,11.1582,18.5882,3458.43,3364.68,-867.3915405273438,115,115
580000,11.0285,17.4743,3420.69,3413.66,-755.8441772460938,116,116
585000,12.1327,18.547,3436.18,3371.92,-837.4312744140625,117,117
590000,11.8101,18.0162,3478.0,3350.68,-725.3665771484375,118,118
595000,10.9436,17.3381,3427.92,3433.55,-761.9274291992188,119,119
600000,11.9449,18.4485,3438.92,3429.48,-854.580810546875,120,120
605000,11.1659,17.4984,3431.12,3393.61,-806.972900390625,121,121
610000,11.5434,18.199,3481.04,3200.94,-785.1004638671875,122,122
615000,11.1674,17.9733,3427.38,3361.83,-848.9241943359375,123,123
620000,12.0012,18.9537,3407.24,3345.17,-958.8005981445312,124,124
625000,11.6794,17.8708,3450.48,3433.18,-824.3292236328125,125,125
630000,11.2635,18.2197,3470.84,3073.23,-909.0077514648438,126,126
635000,11.795,18.0626,3435.87,3414.35,-865.1861572265625,127,127
640000,12.0703,18.3192,3429.01,3420.67,-876.7354125976562,128,128
645000,11.585,18.0979,3397.42,3373.96,-976.4305419921875,129,129
650000,11.1729,17.8668,3441.71,3435.65,-872.0784912109375,130,130
655000,12.459,19.155,3453.98,3247.84,-906.827392578125,131,131
660000,12.1642,18.7828,3415.54,3395.1,-1099.99609375,132,132
665000,11.279,17.6415,3454.17,2321.57,-878.848388671875,133,133
670000,12.4777,18.2216,3456.99,3286.57,-902.4412231445312,134,134
675000,11.1793,18.1059,3441.36,3379.39,-958.4793090820312,135,135
680000,11.6267,18.0041,3449.34,3429.7,-917.4494018554688,136,136
685000,12.0088,18.4265,3438.27,3430.91,-926.2373657226562,137,137
690000,10.7444,16.9388,3402.2,3402.19,-818.9541625976562,138,138
695000,12.3466,18.5084,3441.51,3302.33,-1050.9345703125,139,139
700000,11.8832,18.1128,3438.43,3424.29,-950.486328125,140,140
705000,11.2277,17.5207,3432.72,3383.58,-899.1551513671875,141,141
710000,11.2515,17.4441,3460.48,3456.28,-912.36083984375,142,142
715000,11.621,18.036,3452.6,3433.29,-886.2158813476562,143,143
720000,12.4284,18.4243,3415.62,3427.0,-1032.297119140625,144,144
725000,11.836,18.6019,3446.28,3377.15,-935.8417358398438,145,145
730000,11.7345,17.2864,3462.34,3445.08,-903.1484375,146,146
735000,10.9602,17.9277,3478.63,3340.74,-936.94873046875,147,147
740000,11.4246,17.2907,3445.62,3456.98,-889.9252319335938,148,148
745000,11.7469,18.1496,3432.86,3413.17,-967.3697509765625,149,149
750000,11.9145,18.1678,3452.86,3439.78,-1005.6277465820312,150,150
755000,11.2633,18.2206,3476.72,3443.7,-978.9119873046875,151,151
760000,11.9239,17.8303,3458.99,3450.79,-1056.167724609375,152,152
765000,11.3195,17.1897,3461.98,3458.5,-998.1231689453125,153,153
770000,11.7999,17.5897,3454.55,3436.12,-993.60888671875,154,154
775000,12.1001,17.9542,3467.84,3465.62,-973.89501953125,155,155
780000,11.3463,17.0775,3447.42,3446.19,-968.997802734375,156,156
785000,10.8892,16.798,3469.27,3423.84,-797.4523315429688,157,157
790000,10.5546,16.6287,3463.01,3443.48,-843.9912719726562,158,158
795000,11.3746,17.1331,3465.06,3454.04,-895.5963745117188,159,159
800000,10.9099,17.3197,3443.04,3442.57,-983.58447265625,160,160
805000,11.6611,17.9167,3462.48,3444.4,-1149.6282958984375,161,161
810000,11.4617,16.8122,3456.81,3437.76,-907.2056274414062,162,162
815000,11.546,17.734,3454.51,3446.07,-993.0557250976562,163,163
820000,11.3539,17.2578,3457.92,3447.89,-958.1255493164062,164,164
825000,12.2646,18.2616,3467.55,3467.01,-1122.2794189453125,165,165
830000,11.0547,17.1993,3496.37,3167.66,-1080.97021484375,166,166
835000,12.041,17.7729,3470.15,3450.4,-1002.422607421875,167,167
840000,12.4296,18.1769,3518.06,3340.56,-1081.30615234375,168,168
845000,11.9904,18.2458,3457.23,3433.67,-1167.1304931640625,169,169
850000,11.1868,17.54,3464.73,3436.23,-1022.43798828125,170,170
855000,11.6384,17.5258,3462.85,3448.86,-1090.8170166015625,171,171
860000,12.3424,18.0067,3461.59,3451.37,-1228.45849609375,172,172
865000,11.5694,18.529,3485.85,3479.23,-1148.3985595703125,173,173
870000,11.2132,17.4702,3416.06,3393.6,-1197.8392333984375,174,174
