Itration,Reward Loss,Running Reverse KL,Running Forward KL,Running Update Time,Real Det Return,Real Sto Return,Running Env Steps
0,262.9640197753906,293.8184,467.059,0,295.5,318.73,0
1,450.388427734375,270.2554,455.3388,1,292.97,301.52,5000
2,-1.4557838439941406,317.52,458.4933,2,297.81,319.7,10000
3,-289.8609619140625,265.9156,447.0876,3,338.09,426.6,15000
4,66.80846405029297,260.5617,442.0532,4,307.89,345.05,20000
5,329.8046569824219,257.5287,432.1073,5,423.33,425.28,25000
6,727.8544921875,304.972,446.7655,6,402.06,415.22,30000
7,-681.3505859375,264.158,435.4896,7,461.93,460.49,35000
8,-916.1303100585938,245.3403,431.7556,8,420.14,501.93,40000
9,-1343.0360107421875,251.3549,425.6443,9,628.01,499.6,45000
10,-1724.936279296875,296.1958,422.122,10,538.9,527.34,50000
11,-1686.4241943359375,293.9403,413.6045,11,482.37,513.94,55000
12,-2150.754638671875,262.2997,418.9127,12,517.36,520.82,60000
13,-2016.101806640625,259.1735,411.9558,13,501.01,565.96,65000
14,-2433.39697265625,262.7053,410.8532,14,612.38,572.42,70000
15,-2404.89990234375,277.3646,418.7749,15,524.63,592.62,75000
16,-2810.275634765625,254.7355,408.4055,16,490.68,604.47,80000
