Running Update Time,Running Env Steps,Real Det Return,Itration,Real Sto Return,Running Reverse KL,Reward Loss,Running Forward KL
0,0,274.64,0,274.32,26.2751,-114.59101104736328,38.3664
1,5000,235.28,1,233.96,37.1945,-140.27996826171875,38.1233
2,10000,322.52,2,320.26,40.3589,-150.1850128173828,38.5191
3,15000,289.83,3,294.88,25.7961,-157.4158935546875,36.4544
4,20000,349.77,4,343.84,26.7844,-167.6441650390625,37.4484
5,25000,420.17,5,410.37,32.9541,-186.47164916992188,36.9616
6,30000,445.43,6,432.42,43.5873,-189.7141876220703,37.0493
7,35000,482.38,7,477.42,38.0928,-190.77407836914062,36.1574
8,40000,534.84,8,537.96,41.7345,-201.56735229492188,33.5256
9,45000,1152.88,9,848.56,28.9211,-155.85838317871094,31.5085
10,50000,327.39,10,813.22,40.3672,-187.13926696777344,31.4915
11,55000,807.06,11,728.46,46.2499,-200.9803924560547,31.5434
12,60000,1343.63,12,1100.17,27.0441,-180.54183959960938,31.6487
13,65000,916.22,13,957.45,33.6294,-203.11692810058594,32.5045
14,70000,1384.19,14,2153.42,21.4502,-108.26568603515625,30.6513
15,75000,923.75,15,893.71,34.5161,-218.2969512939453,33.7164
16,80000,1077.91,16,1049.87,35.4894,-225.86318969726562,33.033
17,85000,3119.8,17,2823.75,26.5603,-182.0077362060547,31.2001
18,90000,1020.65,18,1124.07,24.3187,-208.9687042236328,33.0675
19,95000,2495.37,19,1640.26,23.1618,-174.24234008789062,31.3922
20,100000,3141.61,20,2400.77,19.0453,-109.32967376708984,30.3619
21,105000,1198.99,21,2415.2,16.0579,-113.67234802246094,29.7598
22,110000,2135.18,22,1595.43,23.3495,-187.2311248779297,31.7773
23,115000,1126.34,23,1305.33,25.7522,-227.5989227294922,32.4537
24,120000,2653.86,24,2147.54,22.3739,-183.45907592773438,30.8188
25,125000,2473.36,25,1911.5,25.6633,-208.1859893798828,30.6643
26,130000,3098.26,26,2778.01,24.4583,-135.53094482421875,29.6996
27,135000,3178.66,27,3045.03,16.1174,-77.96427917480469,30.3132
