Itration,Running Update Time,Real Det Return,Reward Loss,Running Reverse KL,Running Env Steps,Real Sto Return,Running Forward KL
0,0,430.07,76.74201965332031,13.2918,0,447.16,49.7489
1,1,342.12,22.529632568359375,15.7588,5000,339.81,48.9439
2,2,435.39,-16.157508850097656,18.533,10000,413.35,47.979
3,3,403.9,15.928565979003906,14.7705,15000,329.59,48.9227
4,4,477.87,37.297664642333984,13.687,20000,450.66,48.5098
5,5,532.46,-31.851886749267578,15.7415,25000,464.87,48.3419
6,6,1473.7,-143.1192169189453,24.1461,30000,1005.65,47.6283
7,7,690.15,-32.456634521484375,13.6205,35000,814.08,46.7471
8,8,2505.98,-111.23320770263672,15.7903,40000,1554.86,46.4427
9,9,804.07,-130.34579467773438,24.2064,45000,809.05,46.6311
10,10,792.58,-184.6940155029297,35.3166,50000,790.95,47.4992
11,11,946.8,-99.75358581542969,21.5973,55000,910.92,46.5471
12,12,1084.96,-189.7464141845703,30.881,60000,1165.48,46.8152
13,13,2425.93,-203.51943969726562,18.199,65000,1478.05,46.6291
14,14,1909.23,-212.21339416503906,28.6322,70000,1475.11,46.7856
15,15,1816.26,-234.71728515625,31.1455,75000,1679.89,46.2158
16,16,2587.29,-231.04261779785156,22.5706,80000,1718.54,46.3303
17,17,2013.51,-236.33590698242188,18.8893,85000,1918.77,45.2558
18,18,2297.07,-242.1664581298828,23.0536,90000,1808.08,45.3757
19,19,1562.28,-265.69403076171875,18.8498,95000,1290.13,45.9121
20,20,1819.35,-223.94155883789062,17.4872,100000,1449.06,45.3204
21,21,2718.7,-249.05282592773438,16.6974,105000,1977.96,45.853
22,22,2647.28,-234.70053100585938,15.6955,110000,2065.16,45.6065
23,23,2227.89,-219.0886688232422,15.0739,115000,1924.39,44.5881
24,24,3148.32,-256.5802917480469,19.7697,120000,2422.57,44.6151
25,25,2986.92,-258.0965576171875,17.9731,125000,2799.46,44.4738
26,26,3150.02,-235.9245147705078,15.9985,130000,2503.55,44.1207
27,27,2544.13,-284.458984375,20.4418,135000,2420.49,44.9918
28,28,3006.85,-259.8439025878906,16.2349,140000,2636.81,44.6118
29,29,3051.07,-234.9491424560547,15.1781,145000,2494.75,44.0663
30,30,3079.55,-240.13050842285156,16.5662,150000,3246.32,44.5696
31,31,2742.83,-234.79083251953125,15.1663,155000,3211.58,44.2661
32,32,3389.12,-246.64637756347656,18.0277,160000,3461.98,44.7604
33,33,3539.14,-271.03216552734375,19.0838,165000,3559.61,44.981
34,34,2619.17,-264.57037353515625,16.5917,170000,3301.14,44.0018
35,35,3635.02,-279.6016845703125,18.2565,175000,3183.31,45.3656
36,36,3696.55,-290.7332458496094,18.3929,180000,3711.92,43.9951
37,37,3631.62,-305.8432922363281,17.9871,185000,3636.57,44.2938
38,38,3670.48,-315.0334167480469,17.4512,190000,3761.1,43.4189
39,39,3737.33,-315.44683837890625,19.7128,195000,3806.4,44.3112
40,40,3775.08,-304.7762756347656,20.7668,200000,3648.72,44.8075
41,41,3773.19,-309.8778076171875,18.6996,205000,3804.27,43.1533
42,42,3902.76,-309.2861328125,19.8026,210000,3916.28,44.3948
43,43,3944.58,-320.4784851074219,18.8976,215000,3878.0,43.6244
44,44,3935.8,-308.8495788574219,19.4134,220000,3939.39,43.9385
45,45,3848.95,-316.6984558105469,19.6752,225000,3912.25,43.9874
46,46,3879.07,-310.02581787109375,19.29,230000,3893.03,43.8545
47,47,3921.48,-326.4448547363281,20.3037,235000,3988.78,44.362
48,48,4086.36,-321.3923645019531,20.6294,240000,4055.32,43.9145
49,49,4005.01,-344.08544921875,19.7136,245000,3890.15,43.7713
50,50,3990.34,-334.46759033203125,20.1746,250000,3804.15,43.6825
51,51,3966.95,-355.1775817871094,18.4662,255000,3963.37,43.2017
52,52,4073.87,-337.1706237792969,19.8651,260000,4078.84,43.975
53,53,4031.87,-342.5948791503906,20.1338,265000,4011.14,44.026
54,54,3972.85,-336.1755676269531,20.2478,270000,4004.68,44.0233
