Running Reverse KL,Real Sto Return,Itration,Running Forward KL,Real Det Return
14.308,306.31,0,49.4769,296.75
14.5404,241.33,1,49.4395,307.51
33.2734,361.29,2,50.2178,384.99
20.8728,364.98,3,49.8609,371.18
17.8508,409.54,4,48.9184,611.04
15.4214,502.03,5,49.3674,523.66
13.7004,417.67,6,48.6378,521.2
15.0829,599.46,7,48.0583,603.88
12.6423,589.31,8,48.3197,730.05
13.585,629.55,9,48.6569,668.28
14.2609,696.01,10,47.8179,632.34
14.0939,806.36,11,47.504,568.21
13.1062,705.85,12,47.23,680.86
13.7203,672.3,13,47.2139,572.03
13.1897,716.93,14,46.2521,665.54
14.6525,799.25,15,46.9402,770.52
13.2155,956.07,16,45.9188,1329.54
14.3116,1012.84,17,46.6235,973.25
13.192,1174.77,18,45.7026,955.65
13.4638,1113.07,19,46.1798,1437.27
13.8659,1231.17,20,46.1484,1764.07
15.4752,1203.05,21,46.4969,1741.49
15.3586,1071.38,22,46.1554,1317.6
20.2185,1133.04,23,47.2191,1966.56
16.5141,1140.36,24,46.2682,1362.31
14.4146,1288.47,25,46.0062,1920.22
17.3257,1337.27,26,45.7817,1551.47
19.7742,1253.3,27,45.6774,1757.16
17.9285,1281.51,28,45.1384,1711.47
18.6799,2057.62,29,45.5093,2530.01
16.0304,2223.69,30,45.1824,2465.25
13.7562,2080.29,31,45.018,2681.6
15.9578,1866.39,32,45.2833,1413.03
16.4288,2339.1,33,45.518,2151.33
14.8654,2466.98,34,45.4505,1716.09
14.7841,2708.6,35,45.0345,3144.49
13.6568,2604.63,36,44.878,3185.17
15.6253,2756.23,37,45.1333,3352.99
15.491,2969.19,38,44.9117,3411.13
14.4582,3166.21,39,45.5181,3135.13
15.5443,3166.51,40,44.9334,3216.59
16.1868,3340.34,41,45.0276,3300.31
15.9051,3167.43,42,45.0532,3221.5
15.505,3311.62,43,44.5805,3460.53
17.1696,3240.25,44,44.7329,3493.77
16.0908,3419.78,45,44.9148,3268.94
14.7447,2803.11,46,44.5174,3532.74
16.7677,3494.99,47,44.8761,3611.58
16.8382,3486.5,48,44.8384,3457.07
15.3159,3140.88,49,44.593,3288.98
14.9643,3123.57,50,44.692,3323.6
16.5987,3516.64,51,44.5048,3700.56
15.6248,2734.98,52,44.6391,3390.59
15.132,3333.96,53,44.519,3686.79
16.6501,3604.88,54,44.6966,3679.48
15.2628,3577.88,55,44.1646,3705.85
17.3766,3605.25,56,44.2248,3819.21
15.8031,3579.47,57,44.4878,3721.96
16.9885,3588.89,58,44.1115,3649.85
16.3492,3572.89,59,44.0802,3655.49
18.2791,3256.26,60,44.5749,3473.49
15.7839,3303.2,61,44.455,3058.58
17.8289,3645.16,62,43.931,3836.53
16.3289,3650.01,63,44.6197,3688.91
16.1405,3678.33,64,44.0791,3768.75
14.6686,3639.4,65,44.5192,3754.95
16.2967,3705.58,66,44.0709,3783.51
17.2832,3626.4,67,44.4831,3818.25
17.2082,3712.54,68,44.062,3828.23
17.6339,3811.95,69,43.9122,3800.11
15.0807,3666.01,70,43.9533,3777.81
17.7629,3690.89,71,44.3687,3807.02
18.1944,3722.33,72,44.3956,3856.5
16.584,3700.4,73,43.9343,3784.45
17.2036,3723.32,74,43.7243,3775.95
17.2127,3744.47,75,43.9604,3883.87
17.0093,3825.16,76,43.857,3895.54
17.4232,3784.13,77,43.5753,3920.35
18.2956,3603.72,78,43.8453,3975.77
16.4645,3618.22,79,44.2521,3824.15
17.4141,3833.3,80,44.1819,3962.39
16.8092,3723.05,81,44.0827,3888.96
17.1673,3830.68,82,44.1904,3870.85
15.4951,3679.83,83,43.7696,3829.83
16.3838,3792.17,84,43.9619,3749.61
17.6126,3763.51,85,44.2212,3913.17
17.2246,3838.88,86,43.4315,3929.31
19.2241,3794.29,87,44.0119,4015.58
17.7012,3821.31,88,43.6107,3942.99
16.6363,3658.95,89,44.1853,3866.8
16.2886,3689.68,90,43.6969,3478.72
16.4011,3803.29,91,43.8661,3915.1
17.7656,3804.81,92,44.0511,3871.11
17.5408,3766.19,93,44.3455,3828.25
16.8766,3837.4,94,43.8301,3939.73
17.7538,3881.67,95,44.1141,3957.78
18.5746,3784.16,96,44.1047,3990.12
16.632,3810.69,97,43.5913,3910.7
17.5545,3728.28,98,44.0387,3687.45
17.3081,3820.52,99,43.5308,4027.59
17.0059,3837.81,100,43.7777,3879.52
16.7353,3783.59,101,43.836,3922.47
