Running Update Time,Real Det Return,Running Reverse KL,Running Forward KL,Real Sto Return,Running Env Steps,Itration,Reward Loss
0,218.01,25.2532,74.1924,-33.41,0,0,21.004907608032227
1,316.45,24.7501,75.3203,-80.0,5000,1,-1.2627243995666504
2,579.09,25.8386,73.996,8.26,10000,2,-11.346600532531738
3,552.14,25.5311,73.5471,16.87,15000,3,-24.153217315673828
4,456.7,26.9964,73.0568,13.78,20000,4,-36.65386199951172
5,529.07,28.0575,73.2554,42.97,25000,5,-50.040462493896484
6,699.11,29.249,73.2315,97.33,30000,6,-61.7658576965332
7,759.52,30.7943,72.0006,89.08,35000,7,-76.51331329345703
8,586.27,30.0553,72.5144,96.36,40000,8,-86.6969985961914
9,913.95,30.8822,71.9573,154.37,45000,9,-99.36932373046875
10,587.52,30.8217,71.9075,184.98,50000,10,-113.69112396240234
11,627.08,31.0598,71.6546,137.25,55000,11,-125.17252349853516
12,857.32,30.9651,70.3897,180.55,60000,12,-138.06671142578125
13,859.43,31.2414,69.5462,231.96,65000,13,-148.23570251464844
14,903.86,31.2324,71.2665,191.44,70000,14,-164.07162475585938
15,892.32,31.4959,70.6895,215.52,75000,15,-174.8050537109375
16,656.88,30.7274,68.1776,228.73,80000,16,-183.29617309570312
17,851.47,32.6253,71.8982,247.96,85000,17,-200.8057861328125
18,694.79,32.195,72.0564,192.62,90000,18,-216.14691162109375
19,720.34,30.5251,70.5312,242.13,95000,19,-225.40724182128906
20,740.31,30.8578,69.1665,190.13,100000,20,-236.16456604003906
21,778.16,30.635,69.6555,235.94,105000,21,-248.36715698242188
22,879.04,30.0822,67.6906,278.61,110000,22,-257.2986145019531
23,858.48,30.6247,68.7511,291.89,115000,23,-272.0457458496094
24,951.3,31.174,69.4636,223.29,120000,24,-289.5826110839844
25,882.34,30.6223,70.0475,220.18,125000,25,-302.2602233886719
26,784.75,28.7554,67.5307,228.7,130000,26,-309.81390380859375
27,975.55,30.0373,69.0888,351.46,135000,27,-329.2160339355469
28,898.16,30.8186,71.0668,214.61,140000,28,-344.6184387207031
29,996.4,29.0646,66.9355,332.08,145000,29,-347.92010498046875
30,1064.32,30.2889,70.2056,301.8,150000,30,-367.737548828125
31,1128.74,29.4919,68.1865,306.61,155000,31,-378.53204345703125
32,1100.15,28.88,65.6502,357.08,160000,32,-381.6675720214844
33,1036.36,29.8495,66.6236,323.21,165000,33,-396.9573059082031
34,725.04,30.0328,69.8757,213.31,170000,34,-422.7031555175781
35,1065.47,28.8916,67.3536,239.7,175000,35,-427.8821716308594
36,869.55,29.8282,68.9865,238.96,180000,36,-446.8252258300781
37,963.62,28.8743,65.2211,328.28,185000,37,-444.9130859375
38,925.02,29.4175,67.9158,348.2,190000,38,-468.62603759765625
39,938.19,29.7874,68.3174,369.58,195000,39,-488.6589660644531
40,1009.0,29.7035,69.2081,388.61,200000,40,-501.7082824707031
41,868.85,30.0903,69.2855,238.29,205000,41,-518.1852416992188
42,1155.29,28.6572,67.047,406.33,210000,42,-521.046875
43,1008.81,29.2833,67.3733,373.12,215000,43,-537.8392333984375
44,939.82,27.7476,65.8701,486.04,220000,44,-539.4405517578125
45,828.72,27.0615,64.2488,354.18,225000,45,-551.6090087890625
46,1006.35,28.5978,67.2363,376.98,230000,46,-576.7159423828125
47,734.29,29.8424,70.3667,248.9,235000,47,-615.1627807617188
48,1158.44,27.1089,64.212,392.8,240000,48,-586.4950561523438
49,1205.57,27.482,65.5076,367.02,245000,49,-617.2839965820312
