Running Update Time,Running Env Steps,Real Sto Return,Reward Loss,Itration,Running Reverse KL,Running Forward KL,Real Det Return
0,0,194.18,232.27755737304688,0,15.5818,38.3288,182.23
1,5000,306.95,210.8860321044922,1,19.3498,36.9347,313.47
2,10000,297.17,216.03500366210938,2,21.1865,36.4724,302.94
3,15000,276.47,206.7274169921875,3,25.8586,37.2127,289.48
4,20000,353.24,212.88394165039062,4,28.9617,37.5103,355.9
5,25000,359.53,200.47412109375,5,24.2671,37.4643,370.84
6,30000,380.06,194.9102325439453,6,24.3437,38.0681,388.63
7,35000,379.04,182.82293701171875,7,25.3096,37.4599,384.87
8,40000,339.66,172.5965118408203,8,26.6443,36.8505,388.26
9,45000,382.77,162.017578125,9,24.5457,37.5744,391.35
10,50000,391.05,152.94728088378906,10,25.9512,37.5897,399.01
11,55000,388.56,151.15516662597656,11,24.9008,37.7107,393.99
12,60000,389.25,123.73332977294922,12,23.4966,37.6985,398.87
13,65000,391.13,145.45384216308594,13,33.3581,37.6462,396.92
14,70000,399.84,118.31771087646484,14,26.5536,37.669,406.57
15,75000,401.59,92.57899475097656,15,24.7322,37.6647,407.36
16,80000,404.05,101.72283172607422,16,34.3567,37.6311,409.38
17,85000,404.18,80.24459838867188,17,25.8276,37.5366,408.98
18,90000,413.22,85.01651763916016,18,30.879,36.1906,415.81
19,95000,407.6,62.64607620239258,19,24.5681,35.5523,407.62
20,100000,580.61,71.6468734741211,20,35.668,34.2533,595.92
21,105000,511.13,47.75059127807617,21,32.3417,33.799,440.37
22,110000,479.39,12.954194068908691,22,23.4019,34.9427,452.22
23,115000,510.41,7.399635314941406,23,18.9231,34.1036,654.84
24,120000,700.66,8.000418663024902,24,20.1634,32.9988,665.13
25,125000,696.18,10.325636863708496,25,49.9769,34.3146,680.4
26,130000,632.45,8.779611587524414,26,43.4666,33.9262,632.48
27,135000,757.79,-19.704532623291016,27,34.3392,34.0184,674.75
28,140000,881.9,-23.757020950317383,28,30.4498,33.9445,969.51
29,145000,740.52,-28.733980178833008,29,76.6765,34.2571,739.83
30,150000,759.02,-28.23577880859375,30,65.2811,33.2988,774.19
31,155000,753.38,-51.93778610229492,31,59.8545,33.8466,703.7
32,160000,831.35,-52.983741760253906,32,61.1589,33.2421,872.09
33,165000,932.11,-45.642616271972656,33,44.6748,31.6769,955.7
34,170000,894.18,-78.36027526855469,34,53.2278,32.4561,860.75
35,175000,885.17,-75.3089599609375,35,42.9143,31.8209,942.75
36,180000,838.83,-84.69383239746094,36,45.6325,32.0605,936.15
37,185000,841.84,-88.11427307128906,37,46.186,33.4272,931.78
38,190000,836.99,-98.30419921875,38,36.4752,32.3452,906.99
39,195000,983.35,-101.67328643798828,39,35.96,31.2727,1106.7
40,200000,921.8,-101.18767547607422,40,33.0699,31.7638,858.01
41,205000,914.83,-120.9021224975586,41,35.2127,32.7358,876.21
42,210000,899.35,-143.3668212890625,42,49.0603,32.439,863.62
43,215000,959.13,-141.36279296875,43,40.3021,32.2643,892.61
44,220000,887.36,-164.57904052734375,44,40.072,32.6683,886.78
45,225000,908.92,-183.02462768554688,45,45.7236,32.7707,858.56
46,230000,960.09,-172.5811004638672,46,39.7598,31.2667,931.52
47,235000,940.32,-205.25509643554688,47,45.7931,32.4853,989.81
48,240000,946.0,-204.78990173339844,48,44.493,32.1204,935.67
49,245000,998.83,-225.2257537841797,49,51.7222,31.915,964.21
50,250000,926.83,-228.5618896484375,50,54.058,33.5803,916.66
51,255000,932.41,-238.1038818359375,51,51.8737,32.1669,1052.59
52,260000,1010.76,-252.604248046875,52,52.1226,31.8676,1033.54
53,265000,998.6,-236.49676513671875,53,45.4356,31.2188,1047.89
54,270000,941.97,-259.25567626953125,54,48.8977,32.4813,931.39
55,275000,972.73,-293.44818115234375,55,53.9718,31.8692,1069.57
56,280000,979.76,-265.4946594238281,56,51.5,31.3151,1010.48
57,285000,1219.44,-288.6463928222656,57,44.1675,30.8935,1199.0
58,290000,1009.61,-310.6169128417969,58,45.9251,31.9482,1140.13
59,295000,1008.23,-285.98541259765625,59,41.3293,31.3146,1140.66
60,300000,1060.12,-314.4696960449219,60,39.8125,30.9814,1354.09
61,305000,932.49,-332.189453125,61,43.4672,31.6018,955.92
62,310000,989.43,-335.9907531738281,62,44.1437,31.1433,1050.66
63,315000,1209.36,-296.7610778808594,63,33.7837,30.2286,1366.25
64,320000,1017.22,-320.6499938964844,64,31.8856,31.1011,1098.76
65,325000,1079.25,-345.8804016113281,65,39.7808,30.5316,1144.15
66,330000,1630.79,-270.8108825683594,66,33.0094,29.8387,1401.51
67,335000,1378.43,-314.8985290527344,67,36.9494,30.0221,2764.21
68,340000,1136.86,-375.63189697265625,68,38.0002,30.5641,1978.13
69,345000,1226.46,-347.1336975097656,69,45.3991,30.0807,1302.37
70,350000,1051.43,-382.028076171875,70,35.5096,30.2081,1169.86
71,355000,1268.74,-363.37646484375,71,34.5111,29.8877,1758.21
72,360000,1081.97,-386.8861999511719,72,40.7191,30.3575,1171.28
73,365000,1058.11,-396.589599609375,73,38.4363,30.4392,1154.38
74,370000,1254.28,-388.1632385253906,74,32.0476,30.2318,2688.78
75,375000,1192.6,-383.6191711425781,75,30.4732,30.5753,1554.11
76,380000,1204.91,-427.2903747558594,76,38.0764,30.6241,1467.67
77,385000,1702.96,-263.3625793457031,77,25.1231,29.0,2550.05
78,390000,1124.23,-425.5776672363281,78,34.674,30.4173,1781.48
79,395000,1791.85,-291.2082824707031,79,17.6985,29.5434,2216.02
80,400000,1635.34,-221.71221923828125,80,12.7674,29.8674,1894.81
81,405000,1430.48,-223.78475952148438,81,12.4684,30.036,2114.11
82,410000,1185.52,-248.5535125732422,82,12.6065,29.9304,1546.55
83,415000,1160.91,-325.5821533203125,83,14.2279,30.0261,1221.03
84,420000,1526.08,-301.9087829589844,84,16.8764,29.43,1298.28
85,425000,2324.67,-235.15792846679688,85,14.9603,29.536,2680.91
86,430000,1491.04,-324.808349609375,86,17.1134,29.7305,1330.51
