Real Det Return,Itration,Running Update Time,Running Forward KL,Running Env Steps,Running Reverse KL,Reward Loss,Real Sto Return
193.37,0,0,31.6755,0,14.0884,79.25175476074219,187.65
268.73,1,1,31.766,5000,19.0594,145.39842224121094,261.0
279.83,2,2,31.675,10000,18.2567,-38.72703552246094,274.58
281.74,3,3,31.9938,15000,20.7342,-43.31064987182617,279.93
292.01,4,4,33.0276,20000,23.5673,-94.18842315673828,302.74
343.14,5,5,32.0397,25000,22.2561,-147.71286010742188,325.69
313.02,6,6,31.3585,30000,24.9817,-240.52008056640625,306.25
344.28,7,7,30.1723,35000,23.9515,-301.6650695800781,345.91
498.59,8,8,25.3513,40000,14.3862,-207.55221557617188,447.57
285.28,9,9,23.6343,45000,13.0299,-196.41827392578125,300.96
728.32,10,10,22.5722,50000,13.6844,-280.83843994140625,853.87
815.67,11,11,23.6013,55000,16.8685,-463.11016845703125,521.54
681.69,12,12,24.0488,60000,17.4363,-450.6541748046875,664.47
1061.33,13,13,22.7466,65000,14.2359,-382.15570068359375,1033.77
866.95,14,14,23.8976,70000,15.4678,-363.5189514160156,860.88
1358.97,15,15,23.7357,75000,14.4742,-423.9671325683594,1132.08
2961.06,16,16,22.1899,80000,11.1182,-267.1592102050781,2618.78
3135.65,17,17,22.9654,85000,13.4049,-410.82818603515625,2224.42
3178.48,18,18,21.8863,90000,11.6604,-425.7732849121094,1871.51
2917.55,19,19,22.471,95000,12.4913,-435.5257873535156,2959.11
2954.83,20,20,22.4945,100000,12.1333,-434.1512451171875,2797.03
3074.22,21,21,22.9394,105000,11.6887,-443.2642517089844,1545.22
3031.64,22,22,21.8428,110000,11.8174,-407.10198974609375,3053.86
3044.13,23,23,22.4345,115000,11.839,-410.13958740234375,2959.37
3202.45,24,24,20.8436,120000,11.1363,-342.407958984375,2577.86
3059.18,25,25,21.9413,125000,12.3431,-421.85980224609375,2718.16
3042.21,26,26,22.0395,130000,14.4201,-459.2598571777344,2705.49
3177.12,27,27,22.0071,135000,12.7704,-356.628173828125,2987.47
3182.69,28,28,21.2945,140000,11.9389,-350.62652587890625,3174.92
3231.04,29,29,22.1218,145000,11.8491,-366.4847106933594,2827.04
3208.22,30,30,21.6654,150000,10.928,-501.8357849121094,2709.25
1681.63,31,31,22.0787,155000,11.7303,-689.696533203125,1867.31
3176.98,32,32,22.0483,160000,11.4583,-470.9151306152344,2682.33
3135.96,33,33,21.7692,165000,12.3352,-464.53192138671875,3187.95
3044.75,34,34,21.1176,170000,11.0413,-525.0086059570312,1990.55
1711.21,35,35,22.0443,175000,19.9389,-765.1638793945312,1405.9
3137.08,36,36,21.3734,180000,12.0868,-451.8359069824219,3137.78
3189.9,37,37,20.9623,185000,11.6168,-390.6278991699219,3101.88
3278.21,38,38,21.3735,190000,11.976,-512.2869262695312,2986.5
3265.89,39,39,20.8067,195000,10.3215,-507.807373046875,2323.7
3145.39,40,40,22.5202,200000,13.2033,-539.306640625,3061.4
1989.82,41,41,20.744,205000,10.8738,-525.6332397460938,2767.16
3286.04,42,42,20.4988,210000,11.4682,-416.9051208496094,2996.08
3291.97,43,43,20.8581,215000,10.7492,-580.906982421875,3250.65
3273.08,44,44,20.4344,220000,11.1557,-479.4840393066406,3016.55
3332.99,45,45,20.3024,225000,10.2831,-485.77685546875,2861.41
1765.84,46,46,20.3045,230000,10.8539,-573.321044921875,2092.26
3324.02,47,47,20.3532,235000,9.9831,-494.3500061035156,3102.13
3328.73,48,48,20.2409,240000,10.6975,-466.0324401855469,3111.37
3291.58,49,49,20.0482,245000,11.994,-419.0010681152344,3290.77
3364.27,50,50,20.4694,250000,10.3399,-496.3150939941406,2911.92
3276.71,51,51,20.4717,255000,12.3948,-516.3272705078125,3265.05
3380.17,52,52,18.9323,260000,9.3704,-449.5133361816406,2644.4
3318.09,53,53,20.1988,265000,11.4135,-520.513427734375,3073.93
3354.65,54,54,19.5592,270000,10.7221,-457.3077392578125,3282.95
3321.68,55,55,19.4669,275000,11.6146,-490.72650146484375,3322.25
3400.42,56,56,19.1896,280000,10.7672,-510.50177001953125,3310.84
3376.55,57,57,19.7346,285000,11.7863,-481.1112365722656,3147.89
3347.84,58,58,19.0139,290000,11.3118,-489.5870666503906,3249.71
3369.51,59,59,19.0512,295000,10.4379,-471.6663818359375,3331.09
3345.07,60,60,18.3438,300000,10.3133,-362.9056701660156,2992.5
3376.77,61,61,19.8042,305000,12.2926,-431.54779052734375,3362.59
3302.18,62,62,20.2789,310000,12.762,-507.9051513671875,3311.47
3392.91,63,63,19.5078,315000,11.4796,-485.36749267578125,3361.16
3380.59,64,64,19.7383,320000,12.247,-501.0992431640625,3379.32
3377.49,65,65,18.4129,325000,10.3556,-436.590087890625,3307.0
3361.28,66,66,19.485,330000,11.9404,-551.380859375,3351.14
3334.18,67,67,19.3524,335000,11.6532,-570.372802734375,3329.14
3367.19,68,68,18.4939,340000,10.1751,-596.820068359375,3134.57
3396.3,69,69,18.4032,345000,10.7295,-541.005859375,3371.75
3385.1,70,70,18.9274,350000,11.4451,-556.59521484375,3356.63
3340.37,71,71,18.2292,355000,11.2366,-481.50946044921875,3325.59
3405.79,72,72,19.0122,360000,11.006,-501.5864562988281,3231.81
3387.7,73,73,18.4848,365000,11.1869,-476.4244079589844,3241.88
3383.16,74,74,18.9739,370000,10.5684,-561.8162231445312,3175.79
3372.95,75,75,18.3576,375000,10.5428,-589.9835205078125,3261.61
3395.34,76,76,20.3307,380000,11.8197,-670.5079956054688,3198.23
3390.82,77,77,20.1926,385000,9.7649,-914.4779663085938,2544.77
3361.09,78,78,18.7861,390000,11.2209,-600.8101196289062,3357.25
3404.45,79,79,18.5647,395000,10.2001,-596.1737060546875,2503.35
3381.43,80,80,19.2762,400000,10.5885,-559.99951171875,3361.1
3396.9,81,81,18.4151,405000,10.8933,-545.6867065429688,3176.78
3430.94,82,82,18.9034,410000,11.4859,-548.0947875976562,2745.93
3400.71,83,83,18.6105,415000,11.7518,-580.6806030273438,3398.04
3345.88,84,84,19.5312,420000,11.2144,-701.3219604492188,3341.5
3379.51,85,85,18.6777,425000,11.4126,-597.349365234375,3170.69
3429.04,86,86,18.819,430000,11.8957,-523.989990234375,2738.63
3393.68,87,87,18.8963,435000,11.1218,-673.3325805664062,3369.38
3351.76,88,88,18.1682,440000,11.1988,-596.6328735351562,3335.95
3385.02,89,89,19.1538,445000,11.9275,-610.31689453125,3379.58
3398.18,90,90,19.8739,450000,10.714,-750.0507202148438,2360.46
3382.2,91,91,18.4908,455000,10.5767,-593.4777221679688,3339.03
3402.98,92,92,18.6363,460000,10.9896,-701.2787475585938,3330.79
3428.32,93,93,18.7163,465000,10.184,-652.1105346679688,3284.27
3411.89,94,94,18.2902,470000,11.3635,-581.9616088867188,3399.47
3439.11,95,95,18.0627,475000,10.9292,-537.9436645507812,3412.8
3390.69,96,96,17.9384,480000,11.0629,-579.5317993164062,3374.41
3433.37,97,97,18.6681,485000,10.6421,-656.9769287109375,3372.51
3442.98,98,98,18.1396,490000,10.529,-646.9132690429688,3318.07
3385.58,99,99,18.707,495000,10.6264,-806.583251953125,3378.41
3423.36,100,100,18.1828,500000,11.3822,-711.5641479492188,3407.27
3376.56,101,101,18.5438,505000,11.2109,-782.9061279296875,3354.21
3353.88,102,102,18.0844,510000,10.6934,-667.2901000976562,3329.7
3390.51,103,103,17.9441,515000,10.7503,-641.4610595703125,3262.22
3441.45,104,104,18.4947,520000,9.9803,-671.2713623046875,3235.3
3415.8,105,105,18.1362,525000,10.6097,-727.962646484375,3252.68
3424.39,106,106,19.3687,530000,10.4847,-674.5458984375,1942.18
3427.48,107,107,17.7305,535000,10.6602,-715.1886596679688,3408.6
3356.13,108,108,17.6022,540000,9.9431,-707.6083984375,3341.17
3403.87,109,109,17.9197,545000,10.6449,-737.7072143554688,3371.48
3434.97,110,110,18.0777,550000,10.3702,-694.4305419921875,3207.75
3423.96,111,111,17.5472,555000,11.0845,-667.55126953125,3419.93
3403.55,112,112,17.807,560000,10.8622,-778.2499389648438,3277.24
3390.36,113,113,18.0603,565000,11.0094,-695.266357421875,3382.79
3389.17,114,114,17.6413,570000,10.6494,-749.876220703125,3354.94
3438.92,115,115,19.0813,575000,10.9168,-874.1063842773438,3194.55
3426.37,116,116,19.0382,580000,10.3861,-855.0296020507812,3142.14
3413.35,117,117,18.1453,585000,10.4658,-849.1148681640625,3196.12
3412.48,118,118,17.7659,590000,10.8875,-703.2495727539062,3301.65
3455.79,119,119,17.5873,595000,10.1914,-825.9435424804688,3189.78
3438.63,120,120,18.5483,600000,10.365,-972.47119140625,3110.36
3447.13,121,121,18.6873,605000,10.2608,-1029.3809814453125,2956.48
3421.69,122,122,18.0391,610000,10.7907,-850.7749633789062,3417.6
3405.41,123,123,17.9573,615000,10.7801,-944.3318481445312,3293.23
3435.61,124,124,18.3228,620000,10.3963,-900.4625854492188,2895.27
3432.63,125,125,19.0293,625000,10.5638,-1031.3206787109375,3406.64
3431.61,126,126,18.0595,630000,11.531,-853.7031860351562,3416.43
3465.64,127,127,18.1967,635000,10.8212,-821.7574462890625,3110.77
3413.52,128,128,18.3903,640000,10.2968,-928.8113403320312,3117.57
3440.07,129,129,18.6373,645000,10.9443,-993.044677734375,3286.82
3435.07,130,130,17.8542,650000,10.6924,-1019.6334838867188,3050.36
3429.07,131,131,18.2898,655000,11.3524,-853.73095703125,3351.91
3397.66,132,132,18.2129,660000,10.9845,-899.0006103515625,3361.4
3440.29,133,133,18.0041,665000,11.2096,-828.4805297851562,3378.73
3434.71,134,134,17.7871,670000,10.8267,-872.7469482421875,3411.75
3396.91,135,135,19.0449,675000,10.6711,-1075.9146728515625,2756.96
3423.33,136,136,18.2418,680000,10.5022,-988.4307861328125,3070.06
3454.09,137,137,16.9609,685000,10.7817,-747.0610961914062,3434.35
3411.54,138,138,17.9872,690000,11.0228,-978.430419921875,3399.57
3397.96,139,139,17.1811,695000,10.5497,-863.7322387695312,3390.37
3450.21,140,140,17.4177,700000,10.8549,-891.6879272460938,3403.14
3421.7,141,141,17.7659,705000,10.6737,-874.9968872070312,3360.05
3412.88,142,142,17.4439,710000,10.3415,-960.888427734375,3217.45
3389.12,143,143,18.8727,715000,10.9468,-1166.8431396484375,3190.33
3410.52,144,144,17.7112,720000,10.7625,-904.4990844726562,3402.6
3444.52,145,145,18.0744,725000,10.6562,-968.3145751953125,3207.27
3425.64,146,146,19.1275,730000,11.1401,-1143.2559814453125,3250.39
3404.79,147,147,16.3583,735000,10.1273,-776.8544311523438,3385.71
3425.91,148,148,17.5583,740000,10.7738,-1001.757080078125,3416.65
3408.61,149,149,19.2964,745000,11.7444,-1690.9630126953125,2398.28
3415.97,150,150,16.6449,750000,9.7352,-892.5633544921875,3344.7
3433.58,151,151,17.9282,755000,10.8706,-1034.0091552734375,3214.5
3404.97,152,152,17.6998,760000,10.6465,-997.9937133789062,3404.82
3405.28,153,153,17.1312,765000,10.3419,-897.4129638671875,3402.8
3448.7,154,154,19.4545,770000,11.6484,-1528.1392822265625,2058.45
3422.84,155,155,17.8892,775000,10.332,-1049.4417724609375,3422.81
3441.94,156,156,17.4952,780000,10.7409,-1033.2891845703125,3424.99
3390.36,157,157,17.496,785000,10.2119,-1200.5028076171875,3389.86
3432.71,158,158,17.9101,790000,10.2317,-1147.3289794921875,3094.42
3433.73,159,159,17.6757,795000,10.6081,-1043.245361328125,3369.68
3454.5,160,160,17.9083,800000,11.2686,-1040.705078125,3437.15
3416.8,161,161,17.7926,805000,10.7458,-1107.9051513671875,3371.66
3435.73,162,162,17.5967,810000,10.5113,-792.7030029296875,3287.69
3448.09,163,163,17.8043,815000,10.9809,-1146.511962890625,3217.61
3442.21,164,164,17.8541,820000,10.3813,-1246.2247314453125,3228.08
3445.73,165,165,17.6017,825000,10.6499,-1073.7750244140625,3398.69
3433.49,166,166,17.5257,830000,9.7559,-1119.837646484375,3371.01
3445.12,167,167,17.3667,835000,10.578,-1125.758056640625,3440.82
3442.39,168,168,17.4543,840000,10.2519,-1105.9945068359375,3366.18
3441.64,169,169,17.5952,845000,11.0,-1003.2442626953125,3431.58
3443.57,170,170,17.5986,850000,10.9739,-1046.3997802734375,3079.26
3383.3,171,171,17.5297,855000,10.011,-1198.075927734375,3238.48
3372.17,172,172,17.0593,860000,10.0147,-1094.6124267578125,3325.03
3420.52,173,173,17.3266,865000,10.1906,-1146.841064453125,3284.75
3415.9,174,174,18.2515,870000,10.4979,-1263.4495849609375,3299.02
3427.04,175,175,17.6682,875000,10.4274,-1157.3795166015625,3200.23
3410.13,176,176,18.7618,880000,11.4235,-1584.3995361328125,2743.82
3417.28,177,177,17.7058,885000,10.27,-1220.22265625,3313.52
3394.84,178,178,18.7625,890000,10.5274,-1425.947509765625,2965.9
3391.77,179,179,18.1383,895000,10.4435,-1325.5943603515625,3183.1
3386.82,180,180,17.4983,900000,10.3757,-1299.083740234375,3103.44
3447.8,181,181,18.8621,905000,11.0603,-1432.40380859375,3035.87
3412.79,182,182,18.3776,910000,10.9203,-1515.6993408203125,3025.57
3416.79,183,183,18.139,915000,10.2257,-1271.2467041015625,2731.24
3428.57,184,184,16.7223,920000,9.7335,-1051.7811279296875,3420.32
3421.09,185,185,17.6325,925000,10.2365,-1261.23388671875,3375.75
3387.69,186,186,17.4471,930000,9.5953,-1364.3082275390625,3320.95
3442.81,187,187,17.3258,935000,9.8536,-1197.0523681640625,3071.5
3446.69,188,188,19.0107,940000,10.4609,-1573.76806640625,3127.18
3428.99,189,189,18.0536,945000,10.1682,-1443.391357421875,3198.34
3417.44,190,190,17.1869,950000,10.3581,-1295.258544921875,3071.55
3415.29,191,191,17.1375,955000,9.6168,-1335.9459228515625,2908.05
3394.44,192,192,17.3468,960000,10.0824,-1410.3641357421875,3390.62
3432.46,193,193,16.7328,965000,10.0062,-1310.561279296875,3158.14
3404.7,194,194,17.5024,970000,10.0185,-1415.8817138671875,3205.61
3424.98,195,195,16.8558,975000,9.5514,-1414.06005859375,3000.64
3395.46,196,196,18.1824,980000,9.8491,-1628.00146484375,2971.15
3404.81,197,197,17.8766,985000,10.336,-1332.313232421875,2889.24
3433.15,198,198,18.1177,990000,11.6742,-1358.7235107421875,3108.99
3429.68,199,199,17.3398,995000,10.0634,-1369.018798828125,3230.93
