Running Forward KL,Itration,Running Update Time,Real Sto Return,Running Env Steps,Reward Loss,Running Reverse KL,Real Det Return
49.4297,0,0,321.1,0,67.0966567993164,14.1569,272.18
49.5825,1,1,397.69,5000,29.363393783569336,13.2459,417.01
49.5486,2,2,391.0,10000,21.231487274169922,15.05,359.79
49.3445,3,3,344.2,15000,-3.0124635696411133,14.8982,372.53
49.3859,4,4,396.86,20000,6.7539215087890625,28.6512,450.05
49.2029,5,5,461.36,25000,-33.030242919921875,26.1248,502.88
48.7213,6,6,432.75,30000,-51.73130416870117,27.1647,505.87
48.9241,7,7,430.02,35000,-30.65700912475586,18.349,491.45
48.0899,8,8,455.68,40000,-70.85040283203125,21.5912,490.25
48.7486,9,9,439.79,45000,-11.292070388793945,18.2499,461.34
47.7713,10,10,472.02,50000,-13.364538192749023,16.9496,524.81
48.1421,11,11,604.37,55000,-21.68819236755371,16.3641,787.28
48.9827,12,12,591.74,60000,-77.75145721435547,17.4277,742.76
48.2302,13,13,561.71,65000,-49.690067291259766,12.894,745.91
47.9485,14,14,417.56,70000,-127.82089233398438,14.6114,425.25
47.6432,15,15,606.72,75000,-133.4905548095703,15.1283,611.71
49.511,16,16,154.56,80000,-83.99903869628906,19.6348,11.91
47.7795,17,17,509.45,85000,-105.57046508789062,17.6692,673.3
47.6552,18,18,644.58,90000,-88.34913635253906,16.8813,735.46
49.4825,19,19,449.85,95000,-180.47714233398438,30.7894,599.68
52.2127,20,20,-9.49,100000,-58.99327850341797,26.6177,-8.38
52.3774,21,21,21.53,105000,-133.7213897705078,62.3433,-29.2
54.3899,22,22,12.76,110000,-227.5489501953125,60.3542,79.94
50.7301,23,23,353.15,115000,-110.00321960449219,29.3529,406.65
51.9921,24,24,127.69,120000,-249.52052307128906,97.1343,88.89
51.7981,25,25,191.31,125000,-273.74127197265625,74.1021,210.88
50.2668,26,26,348.38,130000,-114.846435546875,18.6389,323.24
51.5277,27,27,186.17,135000,-35.418212890625,16.928,182.99
49.7941,28,28,312.15,140000,-162.246337890625,29.7355,359.66
50.8416,29,29,210.19,145000,-122.34359741210938,17.1259,332.09
51.9909,30,30,248.71,150000,-189.0149688720703,32.7778,386.78
50.0403,31,31,438.55,155000,-151.29811096191406,20.0097,499.6
50.4922,32,32,113.48,160000,-203.66336059570312,20.2421,58.49
51.4801,33,33,194.6,165000,-208.17605590820312,22.4713,236.44
49.8044,34,34,318.71,170000,-286.5914306640625,25.715,306.34
48.6546,35,35,401.47,175000,-184.69566345214844,18.8202,453.61
54.9839,36,36,-13.81,180000,-199.07015991210938,43.8122,-14.57
50.2669,37,37,377.03,185000,-208.7229766845703,15.4412,430.3
50.1015,38,38,199.8,190000,-184.19366455078125,15.8186,180.62
51.4489,39,39,144.1,195000,-311.3828430175781,61.7709,153.7
50.207,40,40,345.63,200000,-260.7129211425781,20.0432,319.54
50.4023,41,41,328.84,205000,-282.3389892578125,45.8007,261.12
50.326,42,42,450.7,210000,-276.9666442871094,29.1321,379.04
49.0131,43,43,292.89,215000,-266.0505676269531,14.7701,268.36
49.4954,44,44,346.34,220000,-314.5588073730469,32.0231,290.87
50.3548,45,45,326.47,225000,-274.7891540527344,23.443,461.23
49.7326,46,46,322.65,230000,-352.6315002441406,20.283,265.92
50.0263,47,47,393.92,235000,-395.8808898925781,35.3919,509.48
50.327,48,48,133.71,240000,-434.3643798828125,57.4828,80.52
50.2552,49,49,473.84,245000,-481.4563293457031,65.7169,211.21
49.3293,50,50,360.29,250000,-413.3618469238281,20.0438,326.36
49.8484,51,51,476.67,255000,-401.483154296875,29.1816,654.82
50.1482,52,52,563.62,260000,-426.7846984863281,46.2523,777.3
49.9668,53,53,478.72,265000,-419.0862121582031,29.2771,373.83
50.9456,54,54,351.31,270000,-411.2431945800781,67.3903,389.1
50.7456,55,55,559.8,275000,-396.817138671875,49.7923,633.32
