Running Env Steps,Running Update Time,Running Forward KL,Real Sto Return,Reward Loss,Real Det Return,Itration,Running Reverse KL
0,0,158.5222,-213.58,456.72210693359375,5.2,0,11.4298
5000,1,158.4604,-20.95,383.5608825683594,31.55,1,11.917
10000,2,158.2166,182.36,335.0546875,278.93,2,12.0241
15000,3,157.8943,419.25,293.5225830078125,1255.71,3,12.4149
20000,4,156.9526,1424.46,331.1222839355469,2476.27,4,13.8733
25000,5,157.5128,2498.49,331.63018798828125,2899.33,5,18.305
30000,6,156.7477,2460.56,253.67352294921875,3239.27,6,16.1754
35000,7,156.7823,3122.3,189.698486328125,3619.01,7,16.1849
40000,8,156.6085,3272.61,159.27139282226562,3857.82,8,17.8873
45000,9,156.9197,3845.46,112.96531677246094,4225.46,9,19.028
50000,10,157.0424,3712.22,66.23837280273438,4472.83,10,18.7475
55000,11,156.3635,3880.09,34.0864372253418,4730.36,11,17.7885
60000,12,156.3517,4177.21,-9.172916412353516,4999.7,12,18.2674
65000,13,156.0233,4424.47,-58.49015808105469,5044.6,13,17.1421
70000,14,155.4467,4762.57,-91.32572937011719,5261.97,14,15.9721
75000,15,155.1735,4999.33,-119.76676940917969,5529.66,15,16.9719
80000,16,154.6158,5280.12,-144.053466796875,5789.96,16,17.3739
85000,17,154.9295,5497.11,-164.58326721191406,5885.39,17,17.6189
90000,18,154.4535,5591.36,-205.9673614501953,5960.68,18,17.3166
95000,19,154.2073,5764.69,-220.4737091064453,6332.35,19,17.2986
100000,20,153.7653,5842.46,-233.98065185546875,6545.83,20,17.5984
105000,21,153.0573,6249.28,-255.95265197753906,6707.36,21,17.186
110000,22,153.1182,5930.95,-296.56414794921875,6829.59,22,16.7082
115000,23,153.1745,6331.45,-338.0006103515625,6729.78,23,16.7571
120000,24,152.5681,6568.58,-349.1605529785156,6746.85,24,17.2636
125000,25,152.2748,6836.21,-364.6917419433594,6879.9,25,17.6037
130000,26,152.5463,6806.31,-401.93218994140625,7275.29,26,17.4494
135000,27,152.6253,6986.9,-431.5885925292969,7497.91,27,17.5611
140000,28,151.1981,6941.08,-443.61663818359375,7431.63,28,17.4647
145000,29,152.0774,7080.25,-480.181640625,7461.9,29,18.1082
150000,30,151.1991,7323.28,-519.0272216796875,7767.99,30,17.8356
155000,31,151.3608,7472.28,-528.1090698242188,8111.17,31,17.66
160000,32,151.0462,7625.46,-552.8916625976562,8049.65,32,17.8834
165000,33,151.809,7353.94,-599.5848388671875,8052.95,33,17.5773
170000,34,151.5735,7600.96,-613.4688720703125,8010.67,34,17.2801
175000,35,150.8183,7815.55,-612.818359375,8386.6,35,17.6601
180000,36,151.3254,7452.09,-667.0101318359375,8082.85,36,17.5281
185000,37,151.0516,7785.65,-688.8421020507812,8152.1,37,16.9572
190000,38,150.7904,7957.05,-707.57275390625,8518.2,38,17.9516
195000,39,151.4662,8218.02,-721.4495239257812,8596.33,39,18.5538
200000,40,151.1799,8275.31,-723.6846313476562,8715.1,40,18.2013
205000,41,150.251,8439.69,-737.9489135742188,8964.94,41,17.8749
210000,42,150.3278,8506.81,-765.5035400390625,9087.17,42,18.5019
215000,43,150.2482,8502.63,-783.783935546875,9173.51,43,18.1743
220000,44,149.8464,8695.63,-808.4993896484375,9255.38,44,18.642
225000,45,150.3676,8600.6,-815.6510009765625,8914.08,45,18.6097
230000,46,149.5749,8726.17,-825.2445068359375,9022.67,46,18.0749
235000,47,149.3744,8848.66,-829.4005126953125,9402.15,47,19.2987
240000,48,149.0976,8893.76,-863.3604736328125,9527.3,48,18.1945
245000,49,149.3353,8784.14,-874.5020751953125,9149.01,49,19.4121
250000,50,149.4632,8792.05,-876.2388916015625,9169.96,50,20.4573
255000,51,149.157,9136.03,-910.7606811523438,9799.69,51,19.264
260000,52,148.2388,9267.92,-920.6690063476562,9831.49,52,20.3525
265000,53,148.969,9111.41,-914.7860717773438,9634.22,53,20.2464
270000,54,148.3886,9400.14,-927.0556640625,9987.22,54,21.013
275000,55,148.3272,9610.14,-951.5803833007812,10176.9,55,21.2212
280000,56,148.3137,9577.3,-967.2001342773438,10169.82,56,18.8187
285000,57,148.3103,9505.86,-965.6893310546875,10015.87,57,20.7405
290000,58,147.5727,9675.07,-976.2565307617188,10290.91,58,20.0336
295000,59,147.7536,9489.78,-996.3564453125,10078.38,59,18.5392
300000,60,146.7571,9534.22,-1037.3201904296875,10192.91,60,18.5608
305000,61,147.3312,9616.66,-1064.2802734375,10159.45,61,19.9619
310000,62,147.6896,9566.15,-1052.793701171875,9911.55,62,21.9253
315000,63,147.9145,9700.75,-1082.81201171875,10218.4,63,23.078
320000,64,147.1964,9911.25,-1087.5263671875,10449.1,64,22.1386
325000,65,147.5753,9806.13,-1109.2481689453125,10415.11,65,20.7806
330000,66,147.7513,10032.16,-1106.373779296875,10588.92,66,22.5128
335000,67,148.0011,9875.3,-1156.435302734375,10240.29,67,22.0602
340000,68,147.5574,9725.6,-1141.833740234375,10324.69,68,20.8723
345000,69,146.6329,9909.04,-1159.1903076171875,10635.77,69,19.6744
350000,70,146.7435,10060.51,-1139.8780517578125,10683.36,70,21.0542
355000,71,146.9525,9866.36,-1213.15771484375,9994.37,71,19.2683
360000,72,147.2566,10021.91,-1181.832763671875,10505.76,72,21.1875
365000,73,147.0785,10121.76,-1188.4688720703125,10731.9,73,20.6717
370000,74,146.8501,10127.34,-1242.9742431640625,10500.58,74,22.2152
375000,75,147.3571,10196.91,-1266.3717041015625,10543.48,75,22.1474
380000,76,146.675,10291.67,-1247.8634033203125,10781.35,76,21.4277
385000,77,146.582,10070.68,-1293.6279296875,10695.91,77,20.6546
390000,78,147.3231,10124.82,-1296.944580078125,10716.19,78,20.6473
395000,79,146.0172,10436.65,-1274.736328125,10954.78,79,20.6883
400000,80,147.7293,10094.98,-1386.8157958984375,10700.54,80,21.7979
405000,81,146.4706,10456.93,-1333.3529052734375,10918.67,81,21.9164
410000,82,146.5139,10223.26,-1380.4180908203125,10753.06,82,20.7436
415000,83,146.5367,9337.19,-1427.9271240234375,10685.41,83,19.6927
420000,84,145.6814,8082.59,-1531.0313720703125,7761.2,84,17.247
425000,85,145.779,10209.53,-1416.0625,10830.33,85,20.3197
430000,86,145.6451,10601.56,-1392.1195068359375,11097.94,86,21.6067
435000,87,145.5143,10190.2,-1441.6732177734375,10981.3,87,21.655
440000,88,147.8488,9850.04,-1549.3775634765625,10058.41,88,22.3918
445000,89,145.8122,10487.28,-1502.2877197265625,10963.45,89,21.8316
450000,90,146.8456,10108.33,-1537.2694091796875,10850.3,90,22.4006
455000,91,145.8666,10462.55,-1518.3773193359375,11023.42,91,20.6753
460000,92,145.3618,10657.09,-1524.8516845703125,11095.55,92,21.3894
465000,93,146.4403,10443.67,-1563.5992431640625,10781.79,93,22.0122
470000,94,145.5217,8918.26,-1666.2225341796875,8439.73,94,18.5192
475000,95,145.3651,10161.38,-1551.019287109375,11133.65,95,19.7825
480000,96,145.5198,10361.66,-1609.632568359375,10840.26,96,20.4258
485000,97,145.437,10478.67,-1652.05224609375,10907.63,97,21.8098
490000,98,146.0838,10674.45,-1633.427734375,11114.51,98,22.3431
495000,99,145.2715,9754.15,-1653.73974609375,11080.18,99,20.1868
500000,100,146.2663,10565.59,-1687.1890869140625,10547.75,100,22.7083
505000,101,146.3119,10691.51,-1696.362548828125,11190.08,101,21.3172
510000,102,144.9032,10665.19,-1764.8603515625,10899.12,102,19.8937
515000,103,144.9704,10779.18,-1733.4888916015625,11281.64,103,20.1911
520000,104,145.5991,10512.53,-1775.7593994140625,11226.91,104,20.8336
525000,105,145.7514,10446.83,-1772.8209228515625,11171.45,105,22.0908
530000,106,145.4612,10837.41,-1775.55224609375,11239.67,106,22.3041
535000,107,144.8768,10691.39,-1830.8076171875,11304.72,107,20.0581
540000,108,145.4991,10745.96,-1793.2562255859375,11251.59,108,21.06
545000,109,144.4446,10814.64,-1820.432861328125,11172.55,109,20.075
550000,110,145.2955,10431.16,-1832.7139892578125,11317.08,110,21.1351
555000,111,144.2131,10899.05,-1828.9267578125,11417.64,111,20.8504
