Itration,Running Forward KL,Real Det Return,Running Reverse KL,Real Sto Return
0,73.3555,435.98,24.8059,-54.54
1,73.7246,-135.04,25.9021,-106.88
2,71.9408,357.3,26.9784,-48.05
3,71.9405,629.38,27.0381,38.49
4,73.2763,605.84,27.7963,34.22
5,71.6767,520.27,27.9031,44.02
6,70.4078,662.02,29.1189,97.76
7,70.8889,801.02,29.872,105.59
8,73.9241,915.96,30.5325,143.72
9,71.3551,818.02,30.5502,180.08
10,69.9141,771.29,30.2798,158.34
11,69.6919,942.83,30.8688,185.48
12,71.7152,815.43,30.8632,286.07
13,71.0757,1006.22,30.9296,203.71
14,72.1213,733.87,31.732,185.57
15,69.7739,813.59,30.7203,219.74
16,66.9338,1061.52,29.3084,219.97
17,64.2739,970.99,27.9784,210.02
18,68.7812,859.9,30.0008,204.22
19,70.8356,866.93,30.2941,201.05
20,68.0725,943.05,29.3106,222.36
21,70.9359,702.94,29.9532,187.97
22,73.2638,271.79,32.1443,88.93
23,77.2327,270.33,33.7188,-33.52
24,75.1697,-61.31,34.967,-11.24
25,79.8831,-577.93,68.1206,-719.35
26,83.3046,-1444.35,191.5347,-913.98
27,76.1701,-256.0,40.1417,-408.01
28,74.0491,-74.53,27.2349,-87.41
29,73.5754,-54.35,31.8569,-298.04
30,73.2716,-244.83,30.6436,-237.71
31,74.919,-57.46,35.5763,-140.2
32,74.4137,11.95,34.3151,-282.28
33,74.634,293.08,32.3035,-115.86
34,73.0807,107.07,30.8715,-71.13
35,72.9665,126.41,29.9043,-149.64
36,73.8768,-231.72,35.0469,-151.59
37,75.2815,-49.24,31.1117,-79.03
38,74.9883,284.17,29.056,-26.9
39,74.6749,220.38,29.1471,-68.28
40,72.258,-219.56,28.7771,-70.82
41,73.3823,220.98,32.079,-3.85
42,72.4027,221.12,29.4835,-19.57
43,73.7438,232.94,30.3677,-22.5
44,71.7049,166.71,30.7726,-24.64
45,74.3601,297.86,30.9589,-37.13
46,73.5574,16.2,30.9907,-25.83
47,75.1085,259.02,29.7373,-0.74
48,72.0856,255.89,30.6498,-30.15
49,76.3416,109.77,34.8888,9.6
50,72.8351,251.95,32.2996,-52.69
51,75.0036,189.18,31.5249,-21.99
52,73.1493,270.17,29.5146,-14.66
53,72.3652,165.02,30.1011,-25.25
54,69.9127,162.63,30.7185,-84.42
55,73.6026,-535.61,32.5553,-21.05
56,69.6812,263.26,29.946,-42.84
57,69.9739,49.45,29.4437,-16.99
58,71.3846,275.63,28.5197,8.5
59,73.0974,241.03,28.5054,-38.44
60,72.8362,-181.71,30.2228,-60.75
61,74.0863,194.34,29.1634,-18.93
62,73.8937,208.64,30.6838,-31.72
63,71.9768,58.08,28.5842,-9.81
64,72.6779,134.43,31.5843,25.06
65,71.0111,201.14,29.821,0.56
66,71.198,203.96,29.8952,-0.64
67,71.0969,249.05,27.9977,8.32
68,75.5718,100.14,31.3985,-12.93
69,73.1969,114.18,32.3764,-52.41
70,73.7051,27.71,28.7844,-40.49
71,72.8477,-110.9,31.7528,-12.19
72,73.1028,179.52,29.7778,-35.5
73,74.2173,129.12,31.843,-93.6
74,73.8715,116.11,32.6114,-46.34
75,68.9124,373.81,30.0004,-14.01
