Real Sto Return,Running Forward KL,Running Update Time,Running Env Steps,Real Det Return,Running Reverse KL,Itration,Reward Loss
187.74,33.5927,0,0,182.23,18.0495,0,237.58009338378906
234.79,32.8443,1,5000,211.03,28.6164,1,329.5927734375
224.24,32.4447,2,10000,206.62,25.6186,2,319.7169494628906
270.51,29.0157,3,15000,217.88,18.9299,3,231.48809814453125
288.65,31.6186,4,20000,274.34,19.5061,4,198.25640869140625
344.77,31.4009,5,25000,376.58,19.0332,5,153.03599548339844
1011.73,39.4451,6,30000,1011.67,53.7699,6,-348.0164794921875
444.93,32.7281,7,35000,582.45,25.6656,7,-113.78607177734375
412.71,36.5363,8,40000,517.41,34.5643,8,-345.7459411621094
276.96,33.9856,9,45000,219.19,24.0814,9,-372.9242858886719
984.21,37.7536,10,50000,986.98,44.0884,10,-523.5137329101562
774.41,35.43,11,55000,802.65,37.2576,11,-417.1064453125
544.38,31.1075,12,60000,557.17,39.2942,12,38.397518157958984
513.79,31.9655,13,65000,440.04,24.7498,13,26.53464698791504
1047.85,34.2306,14,70000,1044.65,21.5993,14,-436.9911804199219
1090.49,34.1184,15,75000,1090.65,21.9367,15,-464.1030578613281
959.01,33.384,16,80000,940.58,20.2595,16,-614.4506225585938
338.05,31.7658,17,85000,339.22,33.5043,17,-677.026611328125
289.45,31.1605,18,90000,291.33,30.8624,18,-697.0789794921875
228.92,30.9085,19,95000,229.17,47.3319,19,-480.5794982910156
563.91,32.2356,20,100000,502.74,38.0316,20,-645.9359130859375
901.88,37.2896,21,105000,1035.21,53.5086,21,-828.419189453125
1028.73,39.9766,22,110000,1029.23,38.8066,22,-1011.5866088867188
250.9,32.7219,23,115000,247.38,63.9285,23,-661.7886352539062
276.97,31.432,24,120000,283.66,24.0305,24,-437.9454345703125
225.28,33.302,25,125000,225.27,50.4612,25,-664.845947265625
382.82,31.8451,26,130000,385.21,34.2399,26,-582.9017944335938
334.13,30.8428,27,135000,322.13,26.3859,27,-484.81817626953125
437.0,30.764,28,140000,443.32,23.93,28,-852.6072998046875
