Real Det Return,Real Sto Return,Running Reverse KL,Running Forward KL,Itration,Running Update Time,Running Env Steps,Reward Loss
342.56,349.16,12.1725,49.0349,0,0,0,336.29364013671875
416.02,422.76,12.3899,48.6865,1,1,5000,284.8117370605469
626.25,519.28,39.512,48.3212,2,2,10000,310.6906433105469
383.4,370.82,27.4128,49.6124,3,3,15000,278.4559020996094
2423.73,792.68,17.6808,46.7417,4,4,20000,219.51504516601562
540.38,573.33,18.7927,47.2113,5,5,25000,313.79931640625
486.91,535.06,32.4768,47.7267,6,6,30000,191.96119689941406
2111.03,1448.72,13.9436,46.3563,7,7,35000,175.01771545410156
799.9,968.94,15.3129,46.5498,8,8,40000,347.0799560546875
1685.57,1183.85,14.9638,45.6654,9,9,45000,220.43338012695312
739.52,904.66,18.131,45.6457,10,10,50000,243.28244018554688
2287.78,2157.25,15.6635,46.1544,11,11,55000,112.94039916992188
919.37,514.28,20.8063,46.2425,12,12,60000,65.93814849853516
1634.48,1484.75,15.9953,44.6145,13,13,65000,97.81849670410156
2211.76,1811.5,14.6709,45.2331,14,14,70000,114.7011489868164
2676.69,2001.22,22.0674,45.4192,15,15,75000,-9.112626075744629
1279.36,1262.13,16.5871,45.7767,16,16,80000,107.4914321899414
2733.43,2187.48,15.5177,45.0645,17,17,85000,8.010655403137207
2655.3,2419.85,14.6527,45.387,18,18,90000,26.79458236694336
3074.43,2578.95,16.8781,44.6226,19,19,95000,-16.695053100585938
2908.96,2555.58,15.4923,44.8011,20,20,100000,0.8175969123840332
2974.13,2643.32,15.6273,45.3179,21,21,105000,-5.125552177429199
2730.6,3018.96,16.0227,45.0018,22,22,110000,-57.05353546142578
2197.43,2967.26,15.3544,44.8037,23,23,115000,-55.04548645019531
3432.47,3099.51,15.9758,43.3394,24,24,120000,-38.209171295166016
3152.47,3023.21,16.1242,44.8572,25,25,125000,-57.704986572265625
3418.59,3036.18,15.2219,44.2781,26,26,130000,-62.94664764404297
3035.52,2966.06,16.3639,44.7556,27,27,135000,-88.39073944091797
2429.38,2704.32,15.0024,45.0745,28,28,140000,-51.155418395996094
3019.58,3047.76,19.1589,44.6102,29,29,145000,-134.36061096191406
406.52,335.12,21.2723,48.564,30,30,150000,-44.39121627807617
579.01,464.14,22.5025,48.7115,31,31,155000,-131.29603576660156
2579.01,2558.41,19.546,47.8999,32,32,160000,-148.95558166503906
2933.86,2982.58,15.2161,44.4056,33,33,165000,-154.6849365234375
2832.95,2903.3,16.7448,45.8582,34,34,170000,-152.53680419921875
2399.91,2409.02,16.5682,47.0424,35,35,175000,-137.61651611328125
248.47,166.08,21.0179,47.0831,36,36,180000,-126.69816589355469
3065.38,3122.62,22.4345,46.2037,37,37,185000,-192.40892028808594
3116.24,3101.07,15.926,44.5561,38,38,190000,-163.56399536132812
3154.25,3116.76,18.355,45.6645,39,39,195000,-181.08740234375
3456.19,2884.22,17.2961,43.2981,40,40,200000,-96.00028228759766
3422.84,3406.17,19.8094,45.0458,41,41,205000,-183.408203125
3148.67,3349.56,16.1558,43.3058,42,42,210000,-217.64439392089844
3626.23,3628.75,15.5157,42.5558,43,43,215000,-181.17791748046875
3722.81,3611.0,13.8465,42.9672,44,44,220000,-160.18736267089844
3921.49,3745.05,13.8882,42.3236,45,45,225000,-120.43848419189453
3800.93,3762.27,13.7398,42.178,46,46,230000,-164.22108459472656
3703.94,3731.48,14.799,42.0534,47,47,235000,-184.62387084960938
3870.02,3792.22,16.3451,42.1954,48,48,240000,-170.77230834960938
4047.0,3972.45,15.8552,41.6514,49,49,245000,-158.33216857910156
4055.58,4009.97,17.1963,41.6515,50,50,250000,-158.2548065185547
3998.03,3882.36,14.0343,41.4785,51,51,255000,-144.3131866455078
3989.32,4065.55,14.2953,41.3261,52,52,260000,-169.960205078125
1573.76,3718.22,16.3246,41.4354,53,53,265000,-169.44631958007812
4170.34,4098.46,15.8258,41.2671,54,54,270000,-156.82286071777344
4078.8,4067.55,15.2417,41.2585,55,55,275000,-143.9036102294922
1623.42,1996.26,15.9556,41.2105,56,56,280000,-159.56741333007812
4138.31,4089.05,14.6916,41.2772,57,57,285000,-165.7088165283203
4277.97,4174.89,17.1234,40.7176,58,58,290000,-179.98793029785156
4280.11,4164.63,15.2827,41.0638,59,59,295000,-179.37826538085938
2988.99,3005.75,16.6391,41.139,60,60,300000,-212.92611694335938
4088.31,4040.37,18.2817,41.5992,61,61,305000,-231.6936798095703
4268.43,4058.99,15.4911,40.2577,62,62,310000,-227.81956481933594
4215.54,4205.81,16.8521,40.304,63,63,315000,-238.73370361328125
4108.74,4207.02,15.307,40.4267,64,64,320000,-227.23870849609375
