Running Reverse KL,Real Det Return,Itration,Running Forward KL,Reward Loss,Real Sto Return,Running Env Steps,Running Update Time
25.2501,383.82,0,75.0437,87.13153839111328,-21.03,0,0
25.8308,290.01,1,74.7477,69.00695037841797,-53.0,5000,1
26.525,529.86,2,75.3134,54.82776641845703,-3.82,10000,2
28.173,610.49,3,74.09,38.70195770263672,-0.39,15000,3
28.9428,367.62,4,73.4384,24.06487274169922,59.55,20000,4
32.4801,501.41,5,74.1152,4.803229331970215,120.35,25000,5
29.9845,321.53,6,75.1084,-1.977086067199707,82.58,30000,6
31.3109,866.93,7,72.8778,-27.979873657226562,164.5,35000,7
31.7813,847.72,8,72.7187,-41.3243293762207,230.35,40000,8
32.3939,895.05,9,72.3949,-57.62999725341797,173.76,45000,9
30.4162,792.52,10,71.4732,-61.477195739746094,153.08,50000,10
29.4838,454.21,11,71.3813,-77.89252471923828,141.56,55000,11
31.5888,630.44,12,72.418,-92.84728240966797,221.23,60000,12
30.6654,582.25,13,72.4654,-106.36383056640625,173.72,65000,13
30.6565,398.0,14,72.5387,-126.28072357177734,117.17,70000,14
30.9829,284.76,15,72.2808,-136.851318359375,145.89,75000,15
29.3484,322.24,16,71.4173,-145.6853485107422,148.54,80000,16
31.404,220.33,17,72.0266,-165.51954650878906,151.23,85000,17
31.3509,774.77,18,74.2021,-179.5693359375,166.62,90000,18
30.9162,642.46,19,73.1594,-193.95803833007812,198.69,95000,19
30.7133,583.91,20,71.0887,-203.24867248535156,216.67,100000,20
30.8836,416.41,21,73.2589,-220.28872680664062,164.31,105000,21
30.5576,897.6,22,70.8052,-233.43357849121094,360.69,110000,22
30.035,540.39,23,70.5778,-248.8729248046875,212.51,115000,23
30.0249,634.55,24,70.8694,-261.0311584472656,234.29,120000,24
30.6433,703.96,25,72.5801,-283.7389831542969,256.18,125000,25
29.2837,1106.68,26,69.5745,-285.3837890625,281.87,130000,26
30.6366,532.08,27,72.3044,-310.2244873046875,214.53,135000,27
30.3746,682.21,28,71.5183,-327.23321533203125,218.8,140000,28
29.8455,446.06,29,71.0279,-337.3318786621094,171.16,145000,29
31.1982,1056.03,30,72.222,-355.92822265625,352.41,150000,30
30.5089,670.64,31,72.0502,-371.4517822265625,289.65,155000,31
30.3299,520.39,32,71.8345,-384.9870910644531,217.41,160000,32
30.3764,789.94,33,71.65,-402.4121398925781,295.51,165000,33
30.3313,722.37,34,72.2946,-421.046875,364.94,170000,34
29.8927,864.9,35,70.5267,-424.2663269042969,244.59,175000,35
29.958,568.27,36,71.3141,-448.99298095703125,309.47,180000,36
30.8186,556.74,37,73.2197,-472.3852844238281,205.83,185000,37
29.325,655.23,38,71.1562,-474.433349609375,273.07,190000,38
29.7248,964.9,39,70.4283,-491.619140625,449.74,195000,39
29.4386,828.2,40,70.1627,-508.1602783203125,333.43,200000,40
29.8378,563.98,41,67.5285,-488.4358215332031,313.27,205000,41
29.4221,586.04,42,70.3683,-537.363037109375,218.13,210000,42
29.0227,1017.47,43,68.4374,-538.179443359375,346.21,215000,43
29.9579,521.99,44,72.1294,-584.2215576171875,223.34,220000,44
29.879,1049.34,45,68.3167,-557.8597412109375,407.63,225000,45
29.4993,1009.65,46,70.2605,-600.4116821289062,304.4,230000,46
29.8745,1243.96,47,67.5857,-587.35205078125,563.49,235000,47
30.5681,1476.04,48,71.0844,-643.1036987304688,704.52,240000,48
29.9097,987.92,49,70.3138,-658.8463745117188,409.03,245000,49
31.5321,2009.9,50,68.201,-627.7877807617188,918.61,250000,50
29.242,930.88,51,68.8949,-646.8624267578125,402.34,255000,51
28.9181,774.33,52,69.5969,-697.38623046875,328.61,260000,52
29.3023,641.76,53,69.7941,-699.0068969726562,649.18,265000,53
29.5216,581.67,54,70.2745,-739.0222778320312,279.96,270000,54
29.2678,440.56,55,70.8834,-758.533447265625,200.11,275000,55
30.6199,536.49,56,72.9298,-801.7717895507812,363.64,280000,56
29.626,852.7,57,67.394,-705.6820678710938,524.93,285000,57
29.0673,1517.44,58,68.031,-771.6295166015625,1029.5,290000,58
34.0771,1520.69,59,68.7251,-753.5096435546875,1300.57,295000,59
28.2063,665.04,60,68.563,-797.84619140625,339.64,300000,60
28.8931,630.41,61,69.2701,-859.1719970703125,374.57,305000,61
27.0296,439.4,62,66.819,-821.397705078125,317.54,310000,62
31.0187,1781.05,63,68.1803,-823.4688110351562,997.75,315000,63
30.3779,1301.89,64,67.2888,-841.6990966796875,480.32,320000,64
