Running Forward KL,Real Det Return,Running Reverse KL,Itration,Real Sto Return
48.893,344.3,13.3458,0,286.38
50.5004,432.52,17.3827,1,475.57
48.8616,760.35,15.8465,2,729.86
48.1935,837.34,20.4735,3,543.35
48.8309,866.1,21.7541,4,707.08
48.198,849.03,30.5158,5,1011.03
47.9863,687.96,18.8889,6,753.48
46.7314,2499.49,15.3167,7,1157.02
47.0576,2067.26,15.3621,8,1564.76
47.2156,2608.24,16.7218,9,1567.11
47.2934,1429.08,14.4467,10,1071.82
48.0565,1849.79,14.5955,11,1162.72
47.1691,1983.49,17.5543,12,1477.01
47.8802,1489.89,18.7338,13,1270.05
47.4434,1441.65,17.4661,14,1059.47
47.2508,2685.56,18.3672,15,1739.33
46.5897,1712.89,26.7145,16,1430.37
46.9506,1652.87,16.2093,17,1201.14
46.592,1798.05,15.4899,18,1953.05
46.6115,1983.09,18.1896,19,1512.15
47.4824,1077.95,16.3684,20,1202.84
47.4413,519.94,16.2674,21,865.03
47.4366,1364.92,15.9834,22,1013.92
47.0848,1195.19,15.2975,23,972.23
47.604,1139.82,15.9101,24,1060.01
47.6352,1218.76,15.5639,25,976.54
47.0771,1774.85,14.9692,26,1523.55
47.0162,1583.76,14.1607,27,1203.43
47.3742,885.06,15.3027,28,1022.61
46.7325,1188.52,21.2401,29,994.91
46.6253,2214.33,20.3315,30,1597.0
47.0329,883.64,18.778,31,1004.89
47.2825,1326.56,19.3209,32,1034.03
46.7751,1328.49,19.3643,33,1197.52
47.1349,1331.29,19.7291,34,1308.04
46.965,1244.02,19.5172,35,1098.34
46.8308,1317.56,14.6627,36,1219.77
46.7575,1424.28,17.2549,37,1343.65
46.6712,2016.29,16.3148,38,1457.15
46.9664,1826.68,24.4966,39,1415.18
46.2065,1726.08,18.2163,40,1349.73
46.683,1565.9,20.557,41,1187.21
46.5417,2148.42,19.2753,42,1528.1
47.004,1827.62,17.5757,43,1401.54
46.8531,1415.28,17.6443,44,1200.55
46.6553,1603.99,21.2187,45,1427.97
46.9441,1604.13,24.0865,46,1193.41
45.8118,1862.64,19.4748,47,1946.87
47.035,1470.91,18.2198,48,1295.81
46.6103,1396.11,24.287,49,1314.56
46.4012,1795.24,22.4538,50,1476.39
47.0581,1445.2,28.2545,51,1317.17
46.0243,2047.35,20.5385,52,1889.59
46.1623,2322.54,24.3168,53,1825.32
47.0981,1672.0,29.9272,54,1455.36
46.5664,1571.25,21.8484,55,1530.92
47.1954,1460.7,20.5587,56,1441.1
47.2413,1528.94,26.8611,57,1217.34
47.3739,1501.56,29.6054,58,1373.91
47.4344,1619.84,34.8209,59,1244.14
46.2244,1412.57,22.6774,60,1247.16
46.6647,1431.19,19.3913,61,1058.72
46.0977,1630.49,17.8447,62,1299.91
45.691,2280.96,19.065,63,1722.91
46.0158,1714.2,15.0955,64,1269.87
45.9295,1894.11,21.933,65,1409.02
45.3044,2677.14,18.4524,66,1745.27
45.9801,1567.81,19.593,67,1558.02
45.3278,2775.16,14.8501,68,1850.83
46.3459,2032.08,17.5059,69,1719.31
46.3298,2977.39,26.1543,70,1453.26
46.4692,1692.27,24.1534,71,1494.93
45.5739,3032.06,15.3396,72,1910.43
46.189,2594.17,21.6274,73,2212.2
45.9482,2773.95,17.249,74,1988.01
46.0248,2819.88,18.6528,75,2083.73
45.641,3662.58,20.8713,76,1794.87
45.8503,3130.25,16.4714,77,2106.85
46.0355,3239.05,23.5123,78,2208.39
45.7948,3363.38,18.018,79,2330.02
45.4475,3536.15,17.8874,80,3200.69
45.7112,3490.78,17.2551,81,2528.32
45.6582,3489.53,20.7704,82,2318.79
45.4821,3554.55,21.7121,83,2781.09
45.0629,3059.55,19.6437,84,2359.43
45.2024,3435.38,17.6146,85,2956.0
45.6702,3415.96,19.779,86,2836.59
45.6221,3477.91,18.0795,87,2654.04
45.8607,2828.02,18.7908,88,2785.64
45.8022,3498.76,16.2997,89,2951.25
45.3909,3393.85,19.233,90,2916.6
45.4127,3258.71,19.311,91,2911.28
45.2046,3303.25,16.7521,92,2458.73
45.423,3372.0,17.7949,93,3002.42
45.2817,3447.44,21.8447,94,2713.41
45.6236,3410.84,18.6219,95,3112.35
45.5759,3515.02,24.3444,96,2975.51
45.6675,3532.54,17.7156,97,3098.8
45.6639,3201.87,18.7927,98,3108.87
45.5761,3217.74,17.6164,99,2721.46
45.3456,3524.59,19.409,100,3005.98
45.2498,3456.45,17.2044,101,3246.02
45.522,3300.34,17.9551,102,3061.63
45.2918,3576.23,19.3219,103,3334.09
45.5633,3561.51,19.6427,104,3369.05
45.2633,3522.68,18.4188,105,3341.27
45.5986,3544.46,18.002,106,3371.06
45.587,3555.67,17.4979,107,3235.8
45.2035,3535.4,18.731,108,3463.71
44.7472,3589.12,18.2669,109,3374.03
45.6746,3538.42,18.4861,110,3211.63
45.1223,3606.21,17.1717,111,3036.83
45.3927,3530.01,18.4598,112,3281.25
45.3896,3537.26,19.2663,113,3480.93
45.1572,3513.36,17.9789,114,3360.56
45.0693,3575.57,18.9024,115,3497.18
45.3164,3594.67,18.5259,116,3408.77
45.3472,3544.95,19.0527,117,3459.26
44.8547,3594.08,18.2486,118,3570.71
44.98,3652.9,17.8554,119,3551.99
45.0132,3587.92,17.7388,120,3367.79
44.473,3661.06,18.022,121,3497.62
45.1832,3601.53,17.883,122,3580.03
45.2674,3705.25,19.8089,123,3624.14
45.0011,3647.16,19.4337,124,3576.67
45.021,3472.16,18.5694,125,3455.08
45.7105,3592.66,20.6422,126,3548.58
45.3088,3596.14,18.8414,127,3566.42
44.5967,3728.9,18.4428,128,3583.19
44.6892,3690.83,18.572,129,3595.85
44.9205,3602.05,19.1669,130,3610.15
44.7769,3614.97,18.3064,131,3360.02
44.7639,3718.2,18.1695,132,3664.82
44.7798,3668.0,18.4336,133,3597.62
45.0096,3617.76,18.3701,134,3617.65
45.1498,3621.92,19.1517,135,3622.29
45.0526,3711.03,19.1934,136,3606.34
45.0477,3671.96,20.4303,137,3555.07
45.1019,3555.67,18.1438,138,3520.25
44.6479,3689.66,18.7824,139,3575.98
44.7564,3745.77,18.3186,140,3671.73
45.1344,3735.72,19.3848,141,3642.42
44.4316,3727.17,18.4462,142,3661.07
44.9459,3698.08,19.0941,143,3599.77
44.7713,3718.49,17.9964,144,3516.03
44.7304,3654.32,17.6288,145,3458.63
44.4077,3672.69,17.0683,146,3626.29
45.071,3691.41,19.2539,147,3636.46
