Itration,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return
0,30.7691,38.1882,223.83,240.11
1,41.9498,37.5032,222.46,234.51
2,44.5159,36.5017,311.24,299.32
3,32.2011,36.1161,296.49,311.75
4,19.6318,36.6336,297.32,301.96
5,62.9026,36.5345,369.51,355.0
6,24.5785,36.2513,365.02,363.96
7,35.0404,35.29,387.17,379.37
8,79.9692,35.0202,412.24,394.54
9,40.0058,32.8766,575.45,528.17
10,31.7239,32.9127,486.97,465.99
11,41.3009,32.501,550.34,535.06
12,50.5455,32.6365,661.87,509.9
13,79.3927,31.7919,744.28,757.28
14,39.4004,31.6764,820.64,783.17
15,34.4354,31.9895,697.56,688.89
16,31.2751,31.7364,725.33,740.75
17,35.7443,31.3784,849.25,819.73
18,56.3109,32.4361,710.38,713.36
19,40.1516,31.6307,718.89,727.97
20,48.7395,31.4508,777.64,765.33
21,44.3385,30.6245,1311.94,1105.79
22,32.9374,31.3126,1011.37,960.12
23,30.1843,30.7641,1006.56,1054.51
24,21.7998,30.0907,1084.5,1201.81
25,35.9962,30.4665,2987.63,1685.79
26,37.9449,30.0673,1534.6,1892.81
27,14.1874,28.2458,3419.65,3202.07
28,33.0652,28.3933,2181.58,1675.55
29,33.3358,30.5485,982.45,1048.38
