Reward Loss,Running Forward KL,Real Sto Return,Itration,Running Update Time,Real Det Return,Running Reverse KL,Running Env Steps
-1490.2921142578125,33.6868,189.71,0,0,188.36,24.0144,0
-1601.8470458984375,33.9752,237.48,1,1,237.89,26.4334,5000
-1680.791748046875,33.0373,209.11,2,2,204.73,27.0077,10000
-1739.81787109375,33.0514,239.62,3,3,248.1,29.1888,15000
-1816.1746826171875,33.2544,237.92,4,4,230.88,29.6783,20000
-1801.106689453125,32.4445,250.19,5,5,270.47,27.121,25000
-1374.9674072265625,32.4522,251.89,6,6,244.98,22.6098,30000
-1763.923095703125,31.4923,283.39,7,7,303.21,25.7334,35000
-1196.0799560546875,29.9055,303.72,8,8,309.25,20.3035,40000
-939.9783935546875,29.9849,319.97,9,9,318.7,23.4895,45000
-791.7872924804688,29.6245,342.89,10,10,351.03,25.1467,50000
-2176.58056640625,30.1173,333.09,11,11,318.39,34.2225,55000
-1643.2901611328125,30.5089,355.41,12,12,350.74,24.1342,60000
-1580.4273681640625,30.0712,382.91,13,13,387.44,23.5814,65000
-2283.106201171875,28.8425,404.61,14,14,414.79,34.5361,70000
-2310.826416015625,28.588,416.49,15,15,425.77,36.098,75000
-810.2061157226562,26.8334,505.31,16,16,552.25,20.106,80000
-1711.5125732421875,27.2021,472.52,17,17,484.15,22.1547,85000
-1630.6929931640625,27.2025,585.08,18,18,652.58,21.751,90000
-1790.7440185546875,26.709,282.65,19,19,136.95,25.1094,95000
-1546.7266845703125,26.8469,571.66,20,20,631.82,23.8972,100000
-1998.3575439453125,24.2702,966.83,21,21,1246.47,25.9561,105000
-2072.31298828125,25.1186,731.78,22,22,759.96,22.6328,110000
-1530.176025390625,24.3049,999.76,23,23,897.0,18.8578,115000
-887.1698608398438,24.1566,1829.76,24,24,1678.16,13.6046,120000
-1862.51220703125,24.5463,1008.3,25,25,935.9,20.8121,125000
-1186.4544677734375,23.9734,2009.9,26,26,1938.28,22.439,130000
-841.782958984375,23.7356,2114.6,27,27,1746.45,12.6345,135000
-512.4522094726562,24.0147,1655.15,28,28,2017.15,21.2406,140000
-725.7680053710938,24.7222,2359.5,29,29,2941.64,18.197,145000
-727.9683837890625,23.9388,1645.14,30,30,2374.82,14.0985,150000
-308.0926513671875,24.0516,2898.37,31,31,3152.47,17.2424,155000
-828.5433959960938,24.3042,2211.2,32,32,2988.28,14.1227,160000
-542.2063598632812,23.8597,2705.9,33,33,3012.46,15.4803,165000
-603.0054931640625,23.2828,2386.92,34,34,2437.2,14.2007,170000
-558.8568725585938,22.9534,2643.69,35,35,2990.96,14.4134,175000
-810.81396484375,24.0365,2317.62,36,36,2907.14,17.3959,180000
-538.2578735351562,23.5661,2621.44,37,37,3036.41,14.8465,185000
-983.2108764648438,22.9002,1942.68,38,38,2437.8,12.8889,190000
-777.2587280273438,22.9828,2554.01,39,39,3102.84,13.7391,195000
-1013.5010375976562,22.3782,2318.45,40,40,3084.05,12.502,200000
-706.3345336914062,22.8445,2545.56,41,41,1169.6,13.72,205000
-1865.5909423828125,22.7899,2164.82,42,42,3126.69,24.3452,210000
-1001.0776977539062,22.5925,2787.55,43,43,3078.8,15.5842,215000
-577.0933227539062,22.5668,3090.62,44,44,3066.35,14.3341,220000
-601.1221313476562,22.3659,2566.1,45,45,3040.61,15.2283,225000
-755.1522827148438,22.8257,2955.78,46,46,3049.68,15.1906,230000
-581.6395263671875,23.1256,2990.72,47,47,3059.4,15.3725,235000
-847.5048828125,22.0943,2648.51,48,48,3202.81,12.4256,240000
-581.7310791015625,22.8015,2782.03,49,49,3101.42,15.6185,245000
-516.2347412109375,22.3101,2903.25,50,50,3167.25,14.388,250000
-587.600341796875,22.1712,2944.59,51,51,3156.26,14.3087,255000
-976.3456420898438,22.9248,2899.7,52,52,3039.62,14.6369,260000
-736.4302368164062,22.9006,3153.65,53,53,3152.19,14.5026,265000
-1121.8753662109375,21.8698,1568.74,54,54,373.13,15.2738,270000
-1893.3756103515625,23.719,2439.65,55,55,3191.8,23.6089,275000
-686.7615966796875,22.5401,2463.91,56,56,3129.89,14.6232,280000
-692.7807006835938,22.8295,2909.81,57,57,3076.33,15.0033,285000
-1625.251953125,22.8767,1516.59,58,58,3203.12,13.0787,290000
-2001.8427734375,23.2669,2338.42,59,59,3205.5,24.8384,295000
-2061.038330078125,23.6992,1962.48,60,60,3189.78,27.4412,300000
-713.9201049804688,22.9525,3138.07,61,61,3120.69,14.9314,305000
-1189.081787109375,22.9111,2700.93,62,62,3180.42,19.5623,310000
-1372.846923828125,22.8037,2963.46,63,63,3176.84,20.5753,315000
-768.8135375976562,23.4444,3108.7,64,64,3082.26,15.6341,320000
-2231.1826171875,23.8105,2007.07,65,65,3184.16,28.382,325000
-1161.3980712890625,23.08,2709.22,66,66,3184.59,18.4917,330000
-864.1424560546875,23.096,3145.86,67,67,3158.71,15.2696,335000
-810.9719848632812,23.6375,3147.8,68,68,3141.49,16.0504,340000
-1094.9632568359375,22.8484,2908.32,69,69,3189.29,16.0522,345000
-991.6490478515625,22.918,2775.98,70,70,3164.41,15.5617,350000
-1001.5792236328125,22.5638,3075.8,71,71,3141.33,14.7058,355000
-1082.674072265625,22.7201,2831.01,72,72,3169.62,16.2847,360000
-1047.6885986328125,22.8924,2815.2,73,73,3183.2,14.8189,365000
-1126.2508544921875,23.3313,2959.04,74,74,3155.03,17.1544,370000
-1865.926513671875,22.3186,2468.0,75,75,3181.36,21.3843,375000
-1861.4691162109375,23.1062,2611.01,76,76,3181.88,20.262,380000
-1040.9697265625,22.9584,3010.75,77,77,3150.16,15.1814,385000
-881.660400390625,22.3515,3064.63,78,78,3189.87,14.5999,390000
-1015.8436889648438,22.6594,2954.08,79,79,3158.75,13.9752,395000
-1036.5328369140625,22.431,3109.52,80,80,3170.65,14.063,400000
-1166.5469970703125,22.7906,2411.6,81,81,3195.45,13.7184,405000
-2024.9029541015625,22.9009,1695.46,82,82,3180.11,13.5672,410000
-1215.9610595703125,22.3777,2394.06,83,83,3194.25,13.219,415000
-1102.3492431640625,22.6863,3068.61,84,84,3115.66,14.6975,420000
-1072.99951171875,22.4797,2673.83,85,85,3186.63,13.3121,425000
-1018.119873046875,21.8421,2747.37,86,86,3180.38,13.8854,430000
-1044.78857421875,22.5274,3161.77,87,87,3148.42,14.493,435000
-1662.1260986328125,22.5964,2055.39,88,88,3213.63,18.0949,440000
-1391.98583984375,21.9942,2812.53,89,89,3188.78,12.5856,445000
-1094.138671875,22.7191,3116.45,90,90,3169.97,14.3966,450000
-2265.97314453125,23.1382,2456.7,91,91,3159.8,24.9125,455000
-1586.844970703125,22.2207,2779.3,92,92,3145.63,12.1847,460000
-1447.61474609375,22.1197,3034.27,93,93,3142.13,13.4602,465000
-2420.068359375,22.8424,2108.31,94,94,3169.13,25.0155,470000
-1186.3131103515625,22.8296,3123.43,95,95,3083.69,15.0543,475000
-1369.478515625,22.359,3039.07,96,96,3097.04,14.0953,480000
-1280.9066162109375,21.8205,2500.68,97,97,3172.57,12.9617,485000
-1291.6700439453125,22.4521,3132.45,98,98,3101.38,14.8338,490000
-1731.5999755859375,21.6371,2190.35,99,99,3164.6,13.0828,495000
-1558.519287109375,22.6637,2742.5,100,100,3158.89,15.4488,500000
-1442.2293701171875,22.1344,3088.84,101,101,3136.04,15.4234,505000
-1582.753173828125,22.8114,2880.5,102,102,3156.19,15.1567,510000
-1447.8914794921875,22.3144,2972.28,103,103,3130.12,14.0803,515000
-1346.3594970703125,22.766,3051.92,104,104,3095.61,14.5015,520000
-1370.659912109375,23.3497,2955.48,105,105,3053.9,15.5891,525000
-1275.77783203125,22.5561,2830.25,106,106,3121.56,14.6039,530000
-1364.9871826171875,22.5672,2874.46,107,107,3118.32,14.2955,535000
-1394.5107421875,23.245,3102.33,108,108,3133.85,15.3681,540000
-1386.9794921875,22.4754,3113.51,109,109,3072.02,14.0303,545000
-1331.4002685546875,22.4361,3099.9,110,110,3133.63,14.3439,550000
-1350.874267578125,23.0344,3014.51,111,111,3165.09,14.8984,555000
-1394.8408203125,22.066,3160.67,112,112,3143.61,13.5572,560000
-1587.520263671875,22.4833,3146.43,113,113,3118.25,13.6689,565000
-1632.367919921875,22.4493,3154.86,114,114,3136.95,15.0796,570000
-1651.0123291015625,22.4149,3135.43,115,115,3103.0,14.6506,575000
-1550.739013671875,22.7876,3102.54,116,116,3112.13,14.5735,580000
-1912.979736328125,22.012,3049.78,117,117,3126.54,17.407,585000
-2951.8193359375,23.0871,2283.37,118,118,3191.64,24.0859,590000
-1505.3818359375,22.785,3142.77,119,119,3113.64,14.9051,595000
-1608.7030029296875,23.1377,3057.35,120,120,3098.18,15.216,600000
-1712.111083984375,22.2354,2888.49,121,121,3174.73,14.1243,605000
-2436.44873046875,22.6034,2862.91,122,122,3163.18,18.8707,610000
-2000.978515625,22.0948,2806.17,123,123,3183.54,16.7508,615000
-1587.4422607421875,22.6793,3146.91,124,124,3128.53,15.0415,620000
-1565.0206298828125,22.117,3147.15,125,125,3127.73,14.0431,625000
-1779.3751220703125,22.5081,3151.13,126,126,3122.93,14.6602,630000
-2029.11181640625,21.9497,3184.44,127,127,3178.35,15.2105,635000
-1593.20556640625,22.0109,3151.1,128,128,3141.65,13.3963,640000
-1850.4373779296875,22.2738,3071.1,129,129,3152.25,14.2624,645000
-1707.7545166015625,22.5225,3117.93,130,130,3079.55,13.9947,650000
-1698.1170654296875,22.514,2994.94,131,131,3108.77,14.1787,655000
-1689.685302734375,21.7787,3119.98,132,132,3182.91,13.0594,660000
-2231.475341796875,23.0183,3127.26,133,133,3096.61,17.474,665000
-2797.341796875,23.1146,2155.62,134,134,3166.24,18.2701,670000
-2049.749267578125,21.675,2838.03,135,135,3182.42,12.143,675000
-1937.2813720703125,22.8655,2959.88,136,136,3169.62,14.7972,680000
-1925.625732421875,21.7387,3097.55,137,137,3160.34,14.5531,685000
-2584.25830078125,22.4975,2537.59,138,138,3167.83,16.7536,690000
-1768.3778076171875,22.2666,3175.93,139,139,3166.89,13.806,695000
-1771.8681640625,22.1517,3176.95,140,140,3165.32,14.2263,700000
-1937.640380859375,21.8314,3152.91,141,141,3145.69,13.2388,705000
-1879.81640625,22.0602,2965.66,142,142,3181.78,20.0448,710000
-1988.8529052734375,21.9059,3165.5,143,143,3166.2,13.1591,715000
-2133.0283203125,22.4809,3143.71,144,144,3122.79,14.4479,720000
-2121.605712890625,21.9896,3094.89,145,145,3182.05,14.3497,725000
-2497.531005859375,23.0103,2950.26,146,146,3180.0,16.0389,730000
-2132.734130859375,22.3467,2744.92,147,147,3155.38,13.9018,735000
-1995.287841796875,21.5222,2064.71,148,148,3161.72,12.7352,740000
-2076.885009765625,21.7061,2951.72,149,149,3172.43,13.1966,745000
-2175.29248046875,21.8173,2987.41,150,150,3187.29,13.382,750000
-2066.61865234375,21.6355,3101.72,151,151,3142.86,12.9669,755000
-2316.4248046875,22.2269,2993.55,152,152,3193.48,14.2735,760000
-2393.0458984375,21.7472,3117.48,153,153,3166.91,13.56,765000
-2220.4384765625,21.84,3044.58,154,154,3125.98,14.2459,770000
-2113.3994140625,22.3978,3148.44,155,155,3124.92,14.0798,775000
-2152.806640625,21.7523,3154.37,156,156,3155.13,13.0084,780000
-2119.56640625,21.8963,3162.76,157,157,3165.34,13.5299,785000
